service,entity_set,property,type,set_total,count_with_impossible_filter,verdict
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Wempf,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Kostl,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Aufnr,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Rsnum,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Rspos,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Umwrk,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Umlgo,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Grund,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,BudatMkpf,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,CpudtMkpf,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,InfoRecordSet,Infnr,Edm.String,553,0,HONOURED
ZMM_KPI02_ADD_SRV,InfoRecordSet,Matnr,Edm.String,553,0,HONOURED
ZMM_KPI02_ADD_SRV,InfoRecordSet,Lifnr,Edm.String,553,0,HONOURED
ZMM_KPI02_ADD_SRV,InfoRecordSet,Loekz,Edm.Boolean,553,,NOT_TESTED
ZMM_KPI02_ADD_SRV,InfoRecordOrgSet,Infnr,Edm.String,588,0,HONOURED
ZMM_KPI02_ADD_SRV,InfoRecordOrgSet,Ekorg,Edm.String,588,0,HONOURED
ZMM_KPI02_ADD_SRV,InfoRecordOrgSet,Esokz,Edm.String,588,0,HONOURED
ZMM_KPI02_ADD_SRV,InfoRecordOrgSet,Werks,Edm.String,588,0,HONOURED
ZMM_KPI02_ADD_SRV,InfoRecordOrgSet,Loekz,Edm.Boolean,588,,NOT_TESTED
ZMM_KPI02_ADD_SRV,InfoRecordOrgSet,Waers,Edm.String,588,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,InfoRecordOrgSet,Aplfz,Edm.String,588,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,InfoRecordOrgSet,Netpr,Edm.String,588,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,InfoRecordOrgSet,Peinh,Edm.String,588,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,InfoRecordOrgSet,Effpr,Edm.String,588,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,PurchaseOrderSet,Ebeln,Edm.String,3140,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderSet,Bsart,Edm.String,3140,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderSet,Aedat,Edm.DateTime,3140,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderSet,Bedat,Edm.DateTime,3140,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderSet,Lifnr,Edm.String,3140,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderSet,Ekorg,Edm.String,3140,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderSet,Ekgrp,Edm.String,3140,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderSet,Waers,Edm.String,3140,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Ebeln,Edm.String,11097,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Ebelp,Edm.String,11097,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Loekz,Edm.String,11097,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Aedat,Edm.DateTime,11097,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Txz01,Edm.String,11097,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Matnr,Edm.String,11097,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Werks,Edm.String,11097,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Lgort,Edm.String,11097,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Bednr,Edm.String,11097,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Menge,Edm.String,11097,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Meins,Edm.String,11097,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Netpr,Edm.String,11097,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Peinh,Edm.String,11097,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Netwr,Edm.String,11097,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Elikz,Edm.Boolean,11097,,NOT_TESTED
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Pstyp,Edm.String,11097,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Knttp,Edm.String,11097,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Plifz,Edm.String,11097,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Banfn,Edm.String,11097,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,Bnfpo,Edm.String,11097,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,VendorSet,Lifnr,Edm.String,227,0,HONOURED
ZMM_KPI02_ADD_SRV,VendorSet,Name1,Edm.String,227,0,HONOURED
ZMM_KPI02_ADD_SRV,VendorSet,Ktokk,Edm.String,227,0,HONOURED
ZMM_KPI02_ADD_SRV,VendorSet,Loevm,Edm.Boolean,227,,NOT_TESTED
ZMM_KPI02_ADD_SRV,MaterialDescriptionSet,Matnr,Edm.String,2042,0,HONOURED
ZMM_KPI02_ADD_SRV,MaterialDescriptionSet,Spras,Edm.String,2042,0,HONOURED
ZMM_KPI02_ADD_SRV,MaterialDescriptionSet,Maktx,Edm.String,2042,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,MaterialSet,Matnr,Edm.String,2040,0,HONOURED
ZMM_KPI02_ADD_SRV,MaterialSet,Lvorm,Edm.Boolean,2040,,NOT_TESTED
ZMM_KPI02_ADD_SRV,MaterialSet,Mtart,Edm.String,2040,0,HONOURED
ZMM_KPI02_ADD_SRV,MaterialSet,Matkl,Edm.String,2040,0,HONOURED
ZMM_KPI02_ADD_SRV,MaterialSet,Bismt,Edm.String,2040,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,MaterialSet,Meins,Edm.String,2040,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,MaterialSet,Mstae,Edm.String,2040,0,HONOURED
ZMM_KPI02_ADD_SRV,MaterialSet,Extwg,Edm.String,2040,0,HONOURED
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Matnr,Edm.String,2183,0,HONOURED
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Werks,Edm.String,2183,0,HONOURED
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Lvorm,Edm.Boolean,2183,,NOT_TESTED
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Dismm,Edm.String,2183,0,HONOURED
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Dispo,Edm.String,2183,0,HONOURED
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Plifz,Edm.String,2183,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Webaz,Edm.String,2183,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Minbe,Edm.Decimal,2183,0,HONOURED
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Eisbe,Edm.String,2183,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Bstmi,Edm.String,2183,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Bstma,Edm.String,2183,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Mabst,Edm.String,2183,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,StorageLocationStockSet,Matnr,Edm.String,2304,0,HONOURED
ZMM_KPI02_ADD_SRV,StorageLocationStockSet,Werks,Edm.String,2304,0,HONOURED
ZMM_KPI02_ADD_SRV,StorageLocationStockSet,Lgort,Edm.String,2304,0,HONOURED
ZMM_KPI02_ADD_SRV,StorageLocationStockSet,Labst,Edm.String,2304,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,StorageLocationStockSet,Insme,Edm.String,2304,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,StorageLocationStockSet,Speme,Edm.String,2304,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,StorageLocationStockSet,Lgpbe,Edm.String,2304,0,HONOURED
ZMM_KPI02_ADD_SRV,MaterialDocumentHeaderSet,Mblnr,Edm.String,40651,0,HONOURED
ZMM_KPI02_ADD_SRV,MaterialDocumentHeaderSet,Mjahr,Edm.String,40651,0,HONOURED
ZMM_KPI02_ADD_SRV,MaterialDocumentHeaderSet,Budat,Edm.DateTime,40651,40651,IGNORED
ZMM_KPI02_ADD_SRV,MaterialDocumentHeaderSet,Cpudt,Edm.DateTime,40651,40651,IGNORED
ZMM_KPI02_ADD_SRV,MaterialDocumentHeaderSet,Xblnr,Edm.String,40651,0,HONOURED
ZMM_KPI02_ADD_SRV,POScheduleLineSet,Ebeln,Edm.String,3631,0,HONOURED
ZMM_KPI02_ADD_SRV,POScheduleLineSet,Ebelp,Edm.String,3631,0,HONOURED
ZMM_KPI02_ADD_SRV,POScheduleLineSet,Etenr,Edm.String,3631,0,HONOURED
ZMM_KPI02_ADD_SRV,POScheduleLineSet,Eindt,Edm.DateTime,3631,0,HONOURED
ZMM_KPI02_ADD_SRV,POScheduleLineSet,Menge,Edm.String,3631,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,POScheduleLineSet,Wemng,Edm.String,3631,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,POHistorySet,Ebeln,Edm.String,3881,0,HONOURED
ZMM_KPI02_ADD_SRV,POHistorySet,Ebelp,Edm.String,3881,0,HONOURED
ZMM_KPI02_ADD_SRV,POHistorySet,Zekkn,Edm.String,3881,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,POHistorySet,Vgabe,Edm.String,3881,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,POHistorySet,Gjahr,Edm.String,3881,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,POHistorySet,Belnr,Edm.String,3881,0,HONOURED
ZMM_KPI02_ADD_SRV,POHistorySet,Buzei,Edm.String,3881,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,POHistorySet,Bewtp,Edm.String,3881,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,POHistorySet,Bwart,Edm.String,3881,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,POHistorySet,Budat,Edm.DateTime,3881,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,POHistorySet,Menge,Edm.String,3881,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,POHistorySet,Dmbtr,Edm.String,3881,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,POHistorySet,Shkzg,Edm.String,3881,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,POHistorySet,Cpudt,Edm.DateTime,3881,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,POHistorySet,Matnr,Edm.String,3881,0,HONOURED
ZMM_KPI02_ADD_SRV,POHistorySet,Werks,Edm.String,3881,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Rsnum,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Rspos,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Xloek,Edm.Boolean,7088,,NOT_TESTED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Kzear,Edm.Boolean,7088,,NOT_TESTED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Matnr,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Werks,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Lgort,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Bdter,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Bdmng,Edm.Decimal,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Meins,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Enmng,Edm.String,7088,,REJECTED_HTTP_500
ZMM_KPI02_TAB_SRV,ReservationItemSet,Enwrt,Edm.String,7088,,REJECTED_HTTP_500
ZMM_KPI02_TAB_SRV,ReservationItemSet,Banfn,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Bnfpo,Edm.String,7088,7031,PARTIAL_OR_ODD
ZMM_KPI02_TAB_SRV,ReservationItemSet,Aufnr,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Bwart,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Umwrk,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Umlgo,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Wempf,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Sgtxt,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Ablad,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,ReservationItemSet,Zzxblnr,Edm.String,7088,0,HONOURED
ZMM_KPI02_TAB_SRV,MaterialValuationSet,Matnr,Edm.String,2116,0,HONOURED
ZMM_KPI02_TAB_SRV,MaterialValuationSet,Bwkey,Edm.String,2116,0,HONOURED
ZMM_KPI02_TAB_SRV,MaterialValuationSet,Lbkum,Edm.Decimal,2116,0,HONOURED
ZMM_KPI02_TAB_SRV,MaterialValuationSet,Salk3,Edm.String,2116,,REJECTED_HTTP_500
ZMM_KPI02_TAB_SRV,MaterialValuationSet,Vprsv,Edm.String,2116,0,HONOURED
ZMM_KPI02_TAB_SRV,MaterialValuationSet,Verpr,Edm.String,2116,,REJECTED_HTTP_500
ZMM_KPI02_TAB_SRV,MaterialValuationSet,Stprs,Edm.String,2116,,REJECTED_HTTP_500
ZMM_KPI02_TAB_SRV,MaterialValuationSet,Peinh,Edm.String,2116,,REJECTED_HTTP_500
ZMM_KPI02_TAB_SRV,MaterialValuationSet,Bklas,Edm.String,2116,0,HONOURED
ZMM_KPI02_TAB_SRV,MaterialValuationSet,Waers,Edm.String,2116,0,HONOURED
ZMM_KPI02_TAB_SRV,ChangeDocHeaderSet,Objectclas,Edm.String,241950,0,HONOURED
ZMM_KPI02_TAB_SRV,ChangeDocHeaderSet,Objectid,Edm.String,241950,0,HONOURED
ZMM_KPI02_TAB_SRV,ChangeDocHeaderSet,Changenr,Edm.String,241950,0,HONOURED
ZMM_KPI02_TAB_SRV,ChangeDocHeaderSet,Username,Edm.String,241950,0,HONOURED
ZMM_KPI02_TAB_SRV,ChangeDocHeaderSet,Udate,Edm.DateTime,241950,0,HONOURED
ZMM_KPI02_TAB_SRV,ChangeDocHeaderSet,Utime,Edm.String,241950,,REJECTED_HTTP_400
ZMM_KPI02_TAB_SRV,ChangeDocHeaderSet,Tcode,Edm.String,241950,0,HONOURED
ZMM_KPI02_TAB_SRV,ChangeDocItemSet,Objectclas,Edm.String,939970,0,HONOURED
ZMM_KPI02_TAB_SRV,ChangeDocItemSet,Objectid,Edm.String,939970,0,HONOURED
ZMM_KPI02_TAB_SRV,ChangeDocItemSet,Changenr,Edm.String,939970,0,HONOURED
ZMM_KPI02_TAB_SRV,ChangeDocItemSet,Tabname,Edm.String,939970,0,HONOURED
ZMM_KPI02_TAB_SRV,ChangeDocItemSet,Tabkey,Edm.String,939970,0,HONOURED
ZMM_KPI02_TAB_SRV,ChangeDocItemSet,Fname,Edm.String,939970,0,HONOURED
ZMM_KPI02_TAB_SRV,ChangeDocItemSet,Chngind,Edm.String,939970,0,HONOURED
ZMM_KPI02_TAB_SRV,ChangeDocItemSet,Value_new,Edm.String,939970,0,HONOURED
ZMM_KPI02_TAB_SRV,ChangeDocItemSet,Value_old,Edm.String,939970,0,HONOURED
ZMM_KPI02_TAB_SRV,BatchStockSet,Matnr,Edm.String,26889,0,HONOURED
ZMM_KPI02_TAB_SRV,BatchStockSet,Werks,Edm.String,26889,0,HONOURED
ZMM_KPI02_TAB_SRV,BatchStockSet,Lgort,Edm.String,26889,0,HONOURED
ZMM_KPI02_TAB_SRV,BatchStockSet,Charg,Edm.String,26889,0,HONOURED
ZMM_KPI02_TAB_SRV,BatchStockSet,Clabs,Edm.Decimal,26889,0,HONOURED
ZMM_KPI02_TAB_SRV,MonthlyMovementStatisticSet,Spmon,Edm.String,1429,0,HONOURED
ZMM_KPI02_TAB_SRV,MonthlyMovementStatisticSet,Werks,Edm.String,1429,0,HONOURED
ZMM_KPI02_TAB_SRV,MonthlyMovementStatisticSet,Matnr,Edm.String,1429,0,HONOURED
ZMM_KPI02_TAB_SRV,MonthlyMovementStatisticSet,Lgort,Edm.String,1429,0,HONOURED
ZMM_KPI02_TAB_SRV,MonthlyMovementStatisticSet,Basme,Edm.String,1429,0,HONOURED
ZMM_KPI02_TAB_SRV,MonthlyMovementStatisticSet,Mzubb,Edm.String,1429,,REJECTED_HTTP_500
ZMM_KPI02_TAB_SRV,MonthlyMovementStatisticSet,Wzubb,Edm.String,1429,,REJECTED_HTTP_500
ZMM_KPI02_TAB_SRV,MonthlyMovementStatisticSet,Magbb,Edm.String,1429,,REJECTED_HTTP_500
ZMM_KPI02_TAB_SRV,MonthlyMovementStatisticSet,Wagbb,Edm.String,1429,,REJECTED_HTTP_500
ZMM_KPI02_TAB_SRV,MonthlyMovementStatisticSet,Ambwg,Edm.String,1429,,REJECTED_HTTP_500
ZMM_KPI02_TAB_SRV,MonthlyMovementStatisticSet,Muvbr,Edm.String,1429,,REJECTED_HTTP_500
ZMM_KPI02_TAB_SRV,MonthlyMovementStatisticSet,Wuvbr,Edm.String,1429,,REJECTED_HTTP_500
ZMM_KPI02_TAB_SRV,StockMovementStatisticSet,Werks,Edm.String,1486,0,HONOURED
ZMM_KPI02_TAB_SRV,StockMovementStatisticSet,Lgort,Edm.String,1486,0,HONOURED
ZMM_KPI02_TAB_SRV,StockMovementStatisticSet,Matnr,Edm.String,1486,0,HONOURED
ZMM_KPI02_TAB_SRV,StockMovementStatisticSet,Dispo,Edm.String,1486,0,HONOURED
ZMM_KPI02_TAB_SRV,StockMovementStatisticSet,Mtart,Edm.String,1486,0,HONOURED
ZMM_KPI02_TAB_SRV,StockMovementStatisticSet,Matkl,Edm.String,1486,0,HONOURED
ZMM_KPI02_TAB_SRV,StockMovementStatisticSet,Dismm,Edm.String,1486,0,HONOURED
ZMM_KPI02_TAB_SRV,StockMovementStatisticSet,Mbwbest,Edm.String,1486,,REJECTED_HTTP_500
ZMM_KPI02_TAB_SRV,StockMovementStatisticSet,Wbwbest,Edm.String,1486,,REJECTED_HTTP_500
ZMM_KPI02_TAB_SRV,StockMovementStatisticSet,Letztzug,Edm.DateTime,1486,,REJECTED_HTTP_400
ZMM_KPI02_TAB_SRV,StockMovementStatisticSet,Letztabg,Edm.DateTime,1486,0,HONOURED
ZMM_KPI02_TAB_SRV,StockMovementStatisticSet,Letztver,Edm.DateTime,1486,0,HONOURED
ZMM_KPI02_TAB_SRV,StockMovementStatisticSet,Letztbew,Edm.DateTime,1486,0,HONOURED
ZMM_KPI02_TAB_SRV,StockMovementStatisticSet,Eisbe,Edm.String,1486,,REJECTED_HTTP_500
