Rsnum,Rspos,Matnr,Werks,status,confirmed_used,confirmation_date,replanned_date,reason
1000000075,0001,000000000030000029,1000,USED,true,2026-01-24,,
1000000076,0001,000000000030000029,1000,AWAITING_USE,false,,,
1000000077,0001,000000000030000030,3000,AWAITING_USE,false,,,
1000000078,0001,000000000030000030,3000,OVERDUE_USE,false,,,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000079,0001,000000000030000030,3000,OVERDUE_USE,false,,2026-09-03,EQUIPMENT_STILL_IN_SERVICE
1000000080,0001,000000000030000030,4000,AWAITING_PURCHASE_ORDER,false,,,
1000000081,0001,000000000030000031,3000,AWAITING_USE,false,,,
1000000082,0001,000000000030000031,3000,OVERDUE_USE,false,,2026-08-06,EQUIPMENT_STILL_IN_SERVICE
1000000083,0001,000000000030000032,2000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000084,0001,000000000030000032,2000,AWAITING_PURCHASE_ORDER,false,,,
1000000085,0001,000000000030000032,2000,AWAITING_USE,false,,,
1000000086,0001,000000000030000032,4000,USED,true,2026-04-28,,
1000000087,0001,000000000030000032,4000,USED,true,2026-01-25,,
1000000088,0001,000000000030000033,2000,USED,true,2026-05-21,,
1000000089,0001,000000000030000033,2000,USED,true,2026-01-30,,
1000000090,0001,000000000030000033,2000,USED,true,2026-01-16,,
1000000091,0001,000000000030000034,1000,USED,true,2026-07-26,,
1000000092,0001,000000000030000035,4000,USED,true,2026-02-26,,
1000000093,0001,000000000030000035,4000,OVERDUE_USE,false,,,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000094,0001,000000000030000035,4000,PARTIALLY_USED,true,2026-08-28,,
1000000095,0001,000000000030000036,1000,USED,true,2026-04-17,,
1000000096,0001,000000000030000036,1000,USED,true,2025-11-29,,
1000000097,0001,000000000030000036,1000,AWAITING_USE,false,,,
1000000098,0001,000000000030000037,4000,USED,true,2026-04-12,,
1000000099,0001,000000000030000037,4000,USED,true,2026-06-20,,
1000000100,0001,000000000030000037,1000,USED,true,2026-06-25,,
1000000101,0001,000000000030000038,4000,PARTIALLY_USED,true,2026-07-26,,
1000000102,0001,000000000030000038,4000,PARTIALLY_USED,true,2026-08-13,,
1000000103,0001,000000000030000039,1000,AWAITING_USE,false,,,
1000000104,0001,000000000030000039,1000,OVERDUE_USE,false,,,EQUIPMENT_STILL_IN_SERVICE
1000000105,0001,000000000030000039,1000,USED,true,2026-07-02,,
1000000106,0001,000000000030000040,1000,OVERDUE_USE,false,,2026-07-02,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000107,0001,000000000030000040,1000,USED,true,2025-12-22,,
1000000108,0001,000000000030000040,1000,OVERDUE_USE,false,,,EQUIPMENT_STILL_IN_SERVICE
1000000109,0001,000000000030000041,2000,AWAITING_USE,false,,,
1000000110,0001,000000000030000042,4000,USED,true,2026-08-03,,
1000000111,0001,000000000030000042,4000,USED,true,2025-12-14,,
1000000112,0001,000000000030000043,3000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000113,0001,000000000030000043,3000,AWAITING_USE,false,,,
1000000114,0001,000000000030000044,3000,USED,true,2026-09-03,,
1000000115,0001,000000000030000044,3000,PARTIALLY_USED,true,2026-06-10,,
1000000116,0001,000000000030000045,2000,AWAITING_USE,false,,,
1000000117,0001,000000000030000045,2000,AWAITING_USE,false,,,
1000000118,0001,000000000030000046,3000,AWAITING_USE,false,,,
1000000119,0001,000000000030000046,3000,AWAITING_USE,false,,,
1000000120,0001,000000000030000046,3000,AWAITING_USE,false,,,
1000000121,0001,000000000030000046,4000,AWAITING_USE,false,,,
1000000122,0001,000000000030000046,4000,USED,true,2026-01-14,,
1000000123,0001,000000000030000047,1000,USED,true,2026-01-15,,
1000000124,0001,000000000030000047,1000,USED,true,2026-03-05,,
1000000125,0001,000000000030000047,1000,USED,true,2026-05-13,,
1000000126,0001,000000000030000048,4000,OVERDUE_USE,false,,2026-09-15,EQUIPMENT_STILL_IN_SERVICE
1000000127,0001,000000000030000048,4000,OVERDUE_USE,false,,,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000128,0001,000000000030000049,2000,AWAITING_USE,false,,,
1000000129,0001,000000000030000049,2000,PARTIALLY_USED,true,2026-05-17,,
1000000130,0001,000000000030000050,3000,OVERDUE_USE,false,,2026-09-05,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000131,0001,000000000030000050,3000,USED,true,2025-12-22,,
1000000132,0001,000000000030000050,3000,USED,true,2026-03-03,,
1000000133,0001,000000000030000051,1000,USED,true,2026-05-09,,
1000000134,0001,000000000030000051,1000,AWAITING_USE,false,,,
1000000135,0001,000000000030000051,1000,USED,true,2026-09-06,,
1000000136,0001,000000000030000052,1000,OVERDUE_USE,false,,2026-10-02,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000137,0001,000000000030000052,1000,USED,true,2026-09-07,,
1000000138,0001,000000000030000052,1000,USED,true,2026-02-08,,
1000000139,0001,000000000030000053,1000,AWAITING_PURCHASE_ORDER,false,,,
1000000140,0001,000000000030000054,3000,AWAITING_PURCHASE_ORDER,false,,,
1000000141,0001,000000000030000054,3000,AWAITING_PURCHASE_ORDER,false,,,
1000000142,0001,000000000030000055,4000,AWAITING_USE,false,,,
1000000143,0001,000000000030000055,1000,USED,true,2026-05-23,,
1000000144,0001,000000000030000055,1000,OVERDUE_USE,false,,2026-08-15,EQUIPMENT_STILL_IN_SERVICE
1000000145,0001,000000000030000055,1000,USED,true,2026-07-16,,
1000000146,0001,000000000030000056,2000,PARTIALLY_USED,true,2026-09-07,,
1000000147,0001,000000000030000056,2000,USED,true,2026-04-21,,
1000000148,0001,000000000030000056,2000,AWAITING_USE,false,,,
1000000149,0001,000000000030000057,4000,AWAITING_USE,false,,,
1000000150,0001,000000000030000057,4000,AWAITING_USE,false,,,
1000000151,0001,000000000030000057,4000,USED,true,2026-05-26,,
1000000152,0001,000000000030000058,2000,USED,true,2026-01-26,,
1000000153,0001,000000000030000058,2000,OVERDUE_USE,false,,2026-07-22,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000154,0001,000000000030000059,4000,USED,true,2026-09-02,,
1000000155,0001,000000000030000059,4000,USED,true,2026-05-27,,
1000000156,0001,000000000030000060,3000,AWAITING_PURCHASE_ORDER,false,,,
1000000157,0001,000000000030000060,3000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000158,0001,000000000030000060,3000,OVERDUE_USE,false,,,EQUIPMENT_STILL_IN_SERVICE
1000000159,0001,000000000030000061,4000,AWAITING_USE,false,,,
1000000160,0001,000000000030000061,4000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000161,0001,000000000030000061,4000,OVERDUE_USE,false,,2026-09-18,EQUIPMENT_STILL_IN_SERVICE
1000000162,0001,000000000030000062,2000,USED,true,2026-06-12,,
1000000163,0001,000000000030000063,4000,USED,true,2026-05-03,,
1000000164,0001,000000000030000063,4000,AWAITING_USE,false,,,
1000000165,0001,000000000030000064,4000,OVERDUE_USE,false,,,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000166,0001,000000000030000064,4000,AWAITING_USE,false,,,
1000000167,0001,000000000030000064,1000,USED,true,2025-12-02,,
1000000168,0001,000000000030000064,1000,USED,true,2025-12-13,,
1000000169,0001,000000000030000064,1000,OVERDUE_USE,false,,,EQUIPMENT_STILL_IN_SERVICE
1000000170,0001,000000000030000065,4000,AWAITING_PURCHASE_ORDER,false,,,
1000000171,0001,000000000030000066,3000,AWAITING_USE,false,,,
1000000172,0001,000000000030000066,3000,AWAITING_USE,false,,,
1000000173,0001,000000000030000067,1000,USED,true,2026-06-06,,
1000000174,0001,000000000030000068,1000,USED,true,2026-01-22,,
1000000175,0001,000000000030000068,1000,USED,true,2026-04-01,,
1000000176,0001,000000000030000068,1000,PARTIALLY_USED,true,2026-02-11,,
1000000177,0001,000000000030000069,3000,PARTIALLY_USED,true,2026-04-10,,
1000000178,0001,000000000030000069,3000,USED,true,2026-01-22,,
1000000179,0001,000000000030000069,4000,USED,true,2026-04-30,,
1000000180,0001,000000000030000070,1000,USED,true,2026-03-25,,
1000000181,0001,000000000030000070,1000,USED,true,2026-06-17,,
1000000182,0001,000000000030000070,1000,PARTIALLY_USED,true,2026-06-30,,
1000000183,0001,000000000030000071,3000,AWAITING_USE,false,,,
1000000184,0001,000000000030000071,3000,USED,true,2026-07-04,,
1000000185,0001,000000000030000072,4000,PARTIALLY_USED,true,2026-03-02,,
1000000186,0001,000000000030000073,4000,USED,true,2026-05-18,,
1000000187,0001,000000000030000073,3000,AWAITING_USE,false,,,
1000000188,0001,000000000030000073,3000,USED,true,2026-05-09,,
1000000189,0001,000000000030000074,4000,AWAITING_USE,false,,,
1000000190,0001,000000000030000074,2000,USED,true,2026-05-01,,
1000000191,0001,000000000030000074,2000,USED,true,2026-09-04,,
1000000192,0001,000000000030000075,4000,USED,true,2026-08-22,,
1000000193,0001,000000000030000075,4000,USED,true,2026-06-09,,
1000000194,0001,000000000030000076,2000,USED,true,2026-04-01,,
1000000195,0001,000000000030000076,2000,USED,true,2026-05-15,,
1000000196,0001,000000000030000077,1000,USED,true,2026-02-19,,
1000000197,0001,000000000030000077,1000,OVERDUE_USE,false,,2026-09-10,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000198,0001,000000000030000078,4000,AWAITING_USE,false,,,
1000000199,0001,000000000030000079,4000,AWAITING_PURCHASE_ORDER,false,,,
1000000200,0001,000000000030000079,4000,OVERDUE_USE,false,,,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000201,0001,000000000030000079,4000,USED,true,2026-01-10,,
1000000202,0001,000000000030000080,4000,AWAITING_USE,false,,,
1000000203,0001,000000000030000080,4000,USED,true,2026-05-22,,
1000000204,0001,000000000030000080,4000,USED,true,2026-09-07,,
1000000205,0001,000000000030000080,3000,USED,true,2026-07-31,,
1000000206,0001,000000000030000081,4000,USED,true,2026-06-26,,
1000000207,0001,000000000030000082,1000,AWAITING_USE,false,,,
1000000208,0001,000000000030000083,1000,OVERDUE_USE,false,,2026-10-09,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000209,0001,000000000030000083,1000,AWAITING_PURCHASE_ORDER,false,,,
1000000210,0001,000000000030000084,4000,USED,true,2026-06-24,,
1000000211,0001,000000000030000084,4000,USED,true,2026-03-26,,
1000000212,0001,000000000030000084,3000,AWAITING_USE,false,,,
1000000213,0001,000000000030000085,3000,AWAITING_USE,false,,,
1000000214,0001,000000000030000086,2000,USED,true,2026-03-25,,
1000000215,0001,000000000030000086,2000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000216,0001,000000000030000087,2000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000217,0001,000000000030000087,2000,AWAITING_PURCHASE_ORDER,false,,,
1000000218,0001,000000000030000087,2000,OVERDUE_USE,false,,2026-09-02,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000219,0001,000000000030000088,4000,AWAITING_USE,false,,,
1000000220,0001,000000000030000089,2000,AWAITING_USE,false,,,
1000000221,0001,000000000030000089,2000,USED,true,2026-06-08,,
1000000222,0001,000000000030000089,4000,OVERDUE_USE,false,,,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000223,0001,000000000030000090,4000,OVERDUE_USE,false,,2026-09-23,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000224,0001,000000000030000090,3000,OVERDUE_USE,false,,2026-08-12,EQUIPMENT_STILL_IN_SERVICE
1000000225,0001,000000000030000090,3000,USED,true,2026-01-06,,
1000000226,0001,000000000030000091,1000,USED,true,2026-08-08,,
1000000227,0001,000000000030000091,1000,USED,true,2026-08-21,,
1000000228,0001,000000000030000092,2000,AWAITING_USE,false,,,
1000000229,0001,000000000030000092,2000,USED,true,2026-06-25,,
1000000230,0001,000000000030000093,1000,AWAITING_USE,false,,,
1000000231,0001,000000000030000094,3000,PARTIALLY_USED,true,2026-01-11,,
1000000232,0001,000000000030000094,3000,USED,true,2026-08-28,,
1000000233,0001,000000000030000095,4000,USED,true,2026-07-31,,
1000000234,0001,000000000030000096,1000,AWAITING_USE,false,,,
1000000235,0001,000000000030000096,1000,USED,true,2026-03-06,,
1000000236,0001,000000000030000097,2000,AWAITING_USE,false,,,
1000000237,0001,000000000030000098,3000,AWAITING_PURCHASE_ORDER,false,,,
1000000238,0001,000000000030000098,1000,AWAITING_USE,false,,,
1000000239,0001,000000000030000099,1000,AWAITING_USE,false,,,
1000000240,0001,000000000030000099,1000,AWAITING_USE,false,,,
1000000241,0001,000000000030000099,1000,USED,true,2026-07-09,,
1000000242,0001,000000000030000100,3000,OVERDUE_USE,false,,2026-11-28,EQUIPMENT_STILL_IN_SERVICE
1000000243,0001,000000000030000100,3000,OVERDUE_USE,false,,,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000244,0001,000000000030000101,4000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000245,0001,000000000030000102,1000,AWAITING_USE,false,,,
1000000246,0001,000000000030000102,1000,AWAITING_USE,false,,,
1000000247,0001,000000000030000102,1000,PARTIALLY_USED,true,2026-07-05,,
1000000248,0001,000000000030000102,4000,USED,true,2026-01-16,,
1000000249,0001,000000000030000102,4000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000250,0001,000000000030000103,4000,USED,true,2026-04-20,,
1000000251,0001,000000000030000104,4000,USED,true,2026-07-11,,
1000000252,0001,000000000030000104,4000,USED,true,2026-03-16,,
1000000253,0001,000000000030000105,3000,AWAITING_USE,false,,,
1000000254,0001,000000000030000105,3000,OVERDUE_USE,false,,,EQUIPMENT_STILL_IN_SERVICE
1000000255,0001,000000000030000105,3000,USED,true,2026-02-13,,
1000000256,0001,000000000030000105,2000,AWAITING_PURCHASE_ORDER,false,,,
1000000257,0001,000000000030000105,2000,USED,true,2026-04-22,,
1000000258,0001,000000000030000105,2000,USED,true,2026-04-21,,
1000000259,0001,000000000030000106,2000,AWAITING_USE,false,,,
1000000260,0001,000000000030000107,3000,AWAITING_USE,false,,,
1000000261,0001,000000000030000108,2000,AWAITING_PURCHASE_ORDER,false,,,
1000000262,0001,000000000030000108,2000,USED,true,2026-09-07,,
1000000263,0001,000000000030000108,2000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000264,0001,000000000030000108,1000,AWAITING_PURCHASE_ORDER,false,,,
1000000265,0001,000000000030000108,1000,OVERDUE_USE,false,,,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000266,0001,000000000030000108,1000,AWAITING_USE,false,,,
1000000267,0001,000000000030000109,1000,USED,true,2026-05-27,,
1000000268,0001,000000000030000109,1000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000269,0001,000000000030000109,1000,AWAITING_USE,false,,,
1000000270,0001,000000000030000110,2000,AWAITING_USE,false,,,
1000000271,0001,000000000030000111,3000,USED,true,2026-07-08,,
1000000272,0001,000000000030000111,3000,USED,true,2026-02-08,,
1000000273,0001,000000000030000112,2000,PARTIALLY_USED,true,2026-08-25,,
1000000274,0001,000000000030000113,4000,PARTIALLY_USED,true,2026-01-06,,
1000000275,0001,000000000030000114,3000,PARTIALLY_USED,true,2026-08-14,,
1000000276,0001,000000000030000114,3000,USED,true,2026-05-23,,
1000000277,0001,000000000030000114,3000,AWAITING_USE,false,,,
1000000278,0001,000000000030000115,3000,USED,true,2026-06-16,,
1000000279,0001,000000000030000115,3000,AWAITING_USE,false,,,
1000000280,0001,000000000030000116,1000,PARTIALLY_USED,true,2026-04-20,,
1000000281,0001,000000000030000116,1000,USED,true,2026-09-07,,
1000000282,0001,000000000030000116,1000,OVERDUE_USE,false,,2026-10-16,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000283,0001,000000000030000117,4000,AWAITING_USE,false,,,
1000000284,0001,000000000030000118,4000,USED,true,2026-01-25,,
1000000285,0001,000000000030000118,4000,USED,true,2026-03-13,,
1000000286,0001,000000000030000118,4000,AWAITING_USE,false,,,
1000000287,0001,000000000030000119,3000,AWAITING_USE,false,,,
1000000288,0001,000000000030000119,3000,USED,true,2026-04-14,,
1000000289,0001,000000000030000120,3000,PARTIALLY_USED,true,2026-01-13,,
1000000290,0001,000000000030000120,3000,OVERDUE_USE,false,,2026-08-25,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000291,0001,000000000030000120,3000,OVERDUE_USE,false,,2026-08-24,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000292,0001,000000000030000121,3000,AWAITING_PURCHASE_ORDER,false,,,
1000000293,0001,000000000030000122,3000,USED,true,2026-03-14,,
1000000294,0001,000000000030000122,3000,USED,true,2025-12-30,,
1000000295,0001,000000000030000123,1000,USED,true,2026-05-15,,
1000000296,0001,000000000030000123,1000,USED,true,2026-03-24,,
1000000297,0001,000000000030000123,4000,AWAITING_USE,false,,,
1000000298,0001,000000000030000123,4000,USED,true,2026-04-26,,
1000000299,0001,000000000030000124,3000,PARTIALLY_USED,true,2026-04-24,,
1000000300,0001,000000000030000124,3000,PARTIALLY_USED,true,2026-02-09,,
1000000301,0001,000000000030000124,3000,USED,true,2026-05-08,,
1000000302,0001,000000000030000125,3000,AWAITING_USE,false,,,
1000000303,0001,000000000030000125,1000,AWAITING_USE,false,,,
1000000304,0001,000000000030000126,1000,USED,true,2026-05-11,,
1000000305,0001,000000000030000127,2000,AWAITING_USE,false,,,
1000000306,0001,000000000030000127,2000,OVERDUE_USE,false,,2026-07-20,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000307,0001,000000000030000128,3000,USED,true,2026-08-19,,
1000000308,0001,000000000030000128,3000,OVERDUE_USE,false,,2026-07-20,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000309,0001,000000000030000128,3000,USED,true,2026-05-14,,
1000000310,0001,000000000030000129,2000,USED,true,2026-09-07,,
1000000311,0001,000000000030000129,2000,AWAITING_USE,false,,,
1000000312,0001,000000000030000129,2000,AWAITING_PURCHASE_ORDER,false,,,
1000000313,0001,000000000030000130,4000,USED,true,2026-05-05,,
1000000314,0001,000000000030000130,4000,OVERDUE_USE,false,,,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000315,0001,000000000030000130,2000,AWAITING_USE,false,,,
1000000316,0001,000000000030000130,2000,AWAITING_USE,false,,,
1000000317,0001,000000000030000131,3000,USED,true,2026-01-15,,
1000000318,0001,000000000030000131,3000,AWAITING_USE,false,,,
1000000319,0001,000000000030000132,3000,AWAITING_USE,false,,,
1000000320,0001,000000000030000132,3000,AWAITING_PURCHASE_ORDER,false,,,
1000000321,0001,000000000030000132,3000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000322,0001,000000000030000133,4000,OVERDUE_USE,false,,2026-07-29,EQUIPMENT_STILL_IN_SERVICE
1000000323,0001,000000000030000133,4000,OVERDUE_USE,false,,2026-09-18,EQUIPMENT_STILL_IN_SERVICE
1000000324,0001,000000000030000134,2000,USED,true,2026-07-02,,
1000000325,0001,000000000030000135,4000,USED,true,2026-07-01,,
1000000326,0001,000000000030000135,4000,AWAITING_PURCHASE_ORDER,false,,,
1000000327,0001,000000000030000136,3000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000328,0001,000000000030000136,3000,USED,true,2026-01-19,,
1000000329,0001,000000000030000137,3000,AWAITING_PURCHASE_ORDER,false,,,
1000000330,0001,000000000030000138,4000,AWAITING_USE,false,,,
1000000331,0001,000000000030000139,3000,OVERDUE_USE,false,,2026-06-12,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000332,0001,000000000030000140,3000,AWAITING_USE,false,,,
1000000333,0001,000000000030000140,3000,USED,true,2026-02-02,,
1000000334,0001,000000000030000140,3000,USED,true,2025-12-07,,
1000000335,0001,000000000030000141,3000,AWAITING_PURCHASE_ORDER,false,,,
1000000336,0001,000000000030000141,3000,PARTIALLY_USED,true,2026-04-14,,
1000000337,0001,000000000030000141,2000,USED,true,2026-02-06,,
1000000338,0001,000000000030000141,2000,USED,true,2025-12-17,,
1000000339,0001,000000000030000141,2000,USED,true,2026-03-02,,
1000000340,0001,000000000030000142,1000,AWAITING_USE,false,,,
1000000341,0001,000000000030000142,1000,USED,true,2026-08-11,,
1000000342,0001,000000000030000143,2000,USED,true,2026-04-09,,
1000000343,0001,000000000030000143,2000,USED,true,2026-04-12,,
1000000344,0001,000000000030000143,3000,AWAITING_USE,false,,,
1000000345,0001,000000000030000144,3000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000346,0001,000000000030000144,3000,AWAITING_USE,false,,,
1000000347,0001,000000000030000145,3000,USED,true,2026-08-27,,
1000000348,0001,000000000030000145,4000,USED,true,2026-01-03,,
1000000349,0001,000000000030000145,4000,AWAITING_USE,false,,,
1000000350,0001,000000000030000146,4000,USED,true,2026-03-07,,
1000000351,0001,000000000030000146,4000,AWAITING_USE,false,,,
1000000352,0001,000000000030000146,4000,AWAITING_USE,false,,,
1000000353,0001,000000000030000147,3000,USED,true,2026-03-22,,
1000000354,0001,000000000030000147,3000,AWAITING_USE,false,,,
1000000355,0001,000000000030000147,3000,USED,true,2026-06-17,,
1000000356,0001,000000000030000148,2000,USED,true,2026-07-26,,
1000000357,0001,000000000030000148,2000,USED,true,2026-04-05,,
1000000358,0001,000000000030000148,2000,USED,true,2026-05-21,,
