plan_id,session_id,Rsnum,Rspos,Matnr,Werks,requester,purpose,planned_quantity,planned_use_date,status
PLAN-000049,SESS-000049,1000000050,0001,000000000030000019,3000,VZIREQ02,Breakdown replacement,2.000,2026-04-28,CLOSED
PLAN-000050,SESS-000050,1000000051,0001,000000000030000020,2000,VZIREQ02,Capital project spare,1.000,2026-06-17,CLOSED
PLAN-000051,SESS-000051,1000000052,0001,000000000030000021,1000,VZIREQ05,Breakdown replacement,4.000,2026-06-25,CLOSED
PLAN-000052,SESS-000052,1000000053,0001,000000000030000021,1000,VZIREQ02,Capital project spare,2.000,2026-08-20,CLOSED
PLAN-000053,SESS-000053,1000000054,0001,000000000030000021,1000,VZIREQ01,Condition monitoring intervention,2.000,2026-03-30,OPEN
PLAN-000054,SESS-000054,1000000055,0001,000000000030000021,4000,VZIREQ05,Condition monitoring intervention,1.000,2026-03-07,OPEN
PLAN-000055,SESS-000055,1000000056,0001,000000000030000021,4000,VZIREQ02,Statutory inspection rebuild,4.000,2026-08-02,OPEN
PLAN-000056,SESS-000056,1000000057,0001,000000000030000022,4000,VZIREQ05,Reliability improvement upgrade,1.000,2026-07-09,OPEN
PLAN-000057,SESS-000057,1000000058,0001,000000000030000022,1000,VZIREQ01,Planned shutdown replacement,4.000,2026-04-20,OPEN
PLAN-000058,SESS-000058,1000000059,0001,000000000030000022,1000,VZIREQ05,Reliability improvement upgrade,3.000,2026-06-23,CLOSED
PLAN-000059,SESS-000059,1000000060,0001,000000000030000022,1000,VZIREQ03,Reliability improvement upgrade,4.000,2026-01-19,CLOSED
PLAN-000060,SESS-000060,1000000061,0001,000000000030000023,1000,VZIREQ05,Condition monitoring intervention,2.000,2026-05-31,CLOSED
PLAN-000061,SESS-000061,1000000062,0001,000000000030000023,1000,VZIREQ04,Planned shutdown replacement,1.000,2025-11-07,OPEN
PLAN-000062,SESS-000062,1000000063,0001,000000000030000024,1000,VZIREQ05,Capital project spare,4.000,2026-01-06,CLOSED
PLAN-000063,SESS-000063,1000000064,0001,000000000030000025,3000,VZIREQ03,Capital project spare,3.000,2026-02-22,CLOSED
PLAN-000064,SESS-000064,1000000065,0001,000000000030000025,3000,VZIREQ04,Condition monitoring intervention,2.000,2026-07-01,CLOSED
PLAN-000065,SESS-000065,1000000066,0001,000000000030000025,3000,VZIREQ02,Capital project spare,2.000,2026-05-02,OPEN
PLAN-000066,SESS-000066,1000000067,0001,000000000030000026,3000,VZIREQ02,Reliability improvement upgrade,1.000,2026-05-25,OPEN
PLAN-000067,SESS-000067,1000000068,0001,000000000030000027,2000,VZIREQ02,Planned shutdown replacement,3.000,2026-01-23,OPEN
PLAN-000068,SESS-000068,1000000069,0001,000000000030000027,4000,VZIREQ03,Condition monitoring intervention,1.000,2026-06-15,CLOSED
PLAN-000069,SESS-000069,1000000070,0001,000000000030000027,4000,VZIREQ05,Statutory inspection rebuild,1.000,2026-07-22,CLOSED
PLAN-000070,SESS-000070,1000000071,0001,000000000030000028,1000,VZIREQ03,Reliability improvement upgrade,4.000,2026-02-13,CLOSED
PLAN-000071,SESS-000071,1000000072,0001,000000000030000028,4000,VZIREQ01,Capital project spare,1.000,2025-12-24,OPEN
PLAN-000072,SESS-000072,1000000073,0001,000000000030000028,4000,VZIREQ05,Capital project spare,2.000,2026-04-13,CLOSED
PLAN-000073,SESS-000073,1000000074,0001,000000000030000028,4000,VZIREQ04,Planned shutdown replacement,4.000,2026-06-19,OPEN
PLAN-000074,SESS-000074,1000000075,0001,000000000030000029,1000,VZIREQ04,Breakdown replacement,1.000,2025-12-04,CLOSED
PLAN-000075,SESS-000075,1000000076,0001,000000000030000029,1000,VZIREQ05,Capital project spare,2.000,2026-01-10,OPEN
PLAN-000076,SESS-000076,1000000077,0001,000000000030000030,3000,VZIREQ01,Breakdown replacement,1.000,2025-12-10,OPEN
PLAN-000077,SESS-000077,1000000078,0001,000000000030000030,3000,VZIREQ03,Breakdown replacement,2.000,2026-05-31,OPEN
PLAN-000078,SESS-000078,1000000079,0001,000000000030000030,3000,VZIREQ03,Statutory inspection rebuild,4.000,2026-06-08,OPEN
PLAN-000079,SESS-000079,1000000080,0001,000000000030000030,4000,VZIREQ05,Condition monitoring intervention,1.000,2026-05-14,CLOSED
PLAN-000080,SESS-000080,1000000081,0001,000000000030000031,3000,VZIREQ02,Planned shutdown replacement,1.000,2025-11-22,OPEN
PLAN-000081,SESS-000081,1000000082,0001,000000000030000031,3000,VZIREQ04,Planned shutdown replacement,3.000,2026-05-24,OPEN
PLAN-000082,SESS-000082,1000000083,0001,000000000030000032,2000,VZIREQ01,Breakdown replacement,3.000,2026-05-08,OPEN
PLAN-000083,SESS-000083,1000000084,0001,000000000030000032,2000,VZIREQ04,Statutory inspection rebuild,3.000,2026-02-14,CLOSED
PLAN-000084,SESS-000084,1000000085,0001,000000000030000032,2000,VZIREQ04,Breakdown replacement,1.000,2026-02-15,OPEN
PLAN-000085,SESS-000085,1000000086,0001,000000000030000032,4000,VZIREQ04,Condition monitoring intervention,4.000,2026-05-01,CLOSED
PLAN-000086,SESS-000086,1000000087,0001,000000000030000032,4000,VZIREQ04,Capital project spare,4.000,2026-01-31,CLOSED
PLAN-000087,SESS-000087,1000000088,0001,000000000030000033,2000,VZIREQ03,Statutory inspection rebuild,1.000,2026-04-13,CLOSED
PLAN-000088,SESS-000088,1000000089,0001,000000000030000033,2000,VZIREQ01,Capital project spare,4.000,2025-12-18,CLOSED
PLAN-000089,SESS-000089,1000000090,0001,000000000030000033,2000,VZIREQ05,Breakdown replacement,1.000,2025-12-19,CLOSED
PLAN-000090,SESS-000090,1000000091,0001,000000000030000034,1000,VZIREQ03,Condition monitoring intervention,2.000,2026-08-06,CLOSED
PLAN-000091,SESS-000091,1000000092,0001,000000000030000035,4000,VZIREQ01,Condition monitoring intervention,4.000,2025-12-26,CLOSED
PLAN-000092,SESS-000092,1000000093,0001,000000000030000035,4000,VZIREQ02,Reliability improvement upgrade,3.000,2026-06-20,OPEN
PLAN-000093,SESS-000093,1000000094,0001,000000000030000035,4000,VZIREQ03,Statutory inspection rebuild,4.000,2026-07-12,CLOSED
PLAN-000094,SESS-000094,1000000095,0001,000000000030000036,1000,VZIREQ05,Breakdown replacement,1.000,2026-03-12,CLOSED
PLAN-000095,SESS-000095,1000000096,0001,000000000030000036,1000,VZIREQ02,Planned shutdown replacement,4.000,2025-11-30,CLOSED
PLAN-000096,SESS-000096,1000000097,0001,000000000030000036,1000,VZIREQ02,Statutory inspection rebuild,1.000,2026-03-24,OPEN
PLAN-000097,SESS-000097,1000000099,0001,000000000030000037,4000,VZIREQ01,Capital project spare,4.000,2026-05-15,CLOSED
PLAN-000098,SESS-000098,1000000100,0001,000000000030000037,1000,VZIREQ04,Reliability improvement upgrade,4.000,2026-06-21,CLOSED
PLAN-000099,SESS-000099,1000000101,0001,000000000030000038,4000,VZIREQ03,Planned shutdown replacement,1.000,2026-07-15,CLOSED
PLAN-000100,SESS-000100,1000000102,0001,000000000030000038,4000,VZIREQ05,Condition monitoring intervention,3.000,2026-07-03,CLOSED
PLAN-000101,SESS-000101,1000000103,0001,000000000030000039,1000,VZIREQ04,Breakdown replacement,3.000,2026-06-22,OPEN
PLAN-000102,SESS-000102,1000000104,0001,000000000030000039,1000,VZIREQ01,Planned shutdown replacement,3.000,2026-08-18,OPEN
PLAN-000103,SESS-000103,1000000106,0001,000000000030000040,1000,VZIREQ05,Breakdown replacement,2.000,2026-05-02,OPEN
PLAN-000104,SESS-000104,1000000107,0001,000000000030000040,1000,VZIREQ03,Statutory inspection rebuild,2.000,2025-12-26,CLOSED
PLAN-000105,SESS-000105,1000000108,0001,000000000030000040,1000,VZIREQ02,Reliability improvement upgrade,4.000,2026-05-20,OPEN
PLAN-000106,SESS-000106,1000000109,0001,000000000030000041,2000,VZIREQ01,Capital project spare,2.000,2026-08-04,OPEN
PLAN-000107,SESS-000107,1000000110,0001,000000000030000042,4000,VZIREQ02,Reliability improvement upgrade,2.000,2026-06-11,CLOSED
PLAN-000108,SESS-000108,1000000111,0001,000000000030000042,4000,VZIREQ02,Breakdown replacement,2.000,2025-12-27,CLOSED
PLAN-000109,SESS-000109,1000000112,0001,000000000030000043,3000,VZIREQ03,Reliability improvement upgrade,2.000,2026-06-19,OPEN
PLAN-000110,SESS-000110,1000000113,0001,000000000030000043,3000,VZIREQ02,Statutory inspection rebuild,1.000,2025-12-04,OPEN
PLAN-000111,SESS-000111,1000000114,0001,000000000030000044,3000,VZIREQ04,Planned shutdown replacement,3.000,2026-07-23,CLOSED
PLAN-000112,SESS-000112,1000000115,0001,000000000030000044,3000,VZIREQ05,Statutory inspection rebuild,1.000,2026-05-29,CLOSED
PLAN-000113,SESS-000113,1000000116,0001,000000000030000045,2000,VZIREQ01,Capital project spare,1.000,2025-12-07,OPEN
PLAN-000114,SESS-000114,1000000117,0001,000000000030000045,2000,VZIREQ01,Statutory inspection rebuild,4.000,2026-07-11,OPEN
PLAN-000115,SESS-000115,1000000118,0001,000000000030000046,3000,VZIREQ01,Breakdown replacement,2.000,2025-11-28,OPEN
PLAN-000116,SESS-000116,1000000119,0001,000000000030000046,3000,VZIREQ02,Breakdown replacement,4.000,2026-07-16,OPEN
PLAN-000117,SESS-000117,1000000120,0001,000000000030000046,3000,VZIREQ05,Statutory inspection rebuild,4.000,2026-07-28,OPEN
PLAN-000118,SESS-000118,1000000121,0001,000000000030000046,4000,VZIREQ03,Statutory inspection rebuild,1.000,2026-05-28,OPEN
PLAN-000119,SESS-000119,1000000122,0001,000000000030000046,4000,VZIREQ01,Capital project spare,4.000,2025-11-14,CLOSED
PLAN-000120,SESS-000120,1000000123,0001,000000000030000047,1000,VZIREQ02,Reliability improvement upgrade,1.000,2026-01-14,CLOSED
PLAN-000121,SESS-000121,1000000124,0001,000000000030000047,1000,VZIREQ04,Planned shutdown replacement,1.000,2026-02-14,CLOSED
PLAN-000122,SESS-000122,1000000125,0001,000000000030000047,1000,VZIREQ01,Planned shutdown replacement,4.000,2026-04-19,CLOSED
PLAN-000123,SESS-000123,1000000126,0001,000000000030000048,4000,VZIREQ05,Capital project spare,4.000,2026-07-12,OPEN
PLAN-000124,SESS-000124,1000000127,0001,000000000030000048,4000,VZIREQ03,Condition monitoring intervention,4.000,2026-05-12,OPEN
PLAN-000125,SESS-000125,1000000128,0001,000000000030000049,2000,VZIREQ04,Reliability improvement upgrade,1.000,2026-03-13,OPEN
PLAN-000126,SESS-000126,1000000129,0001,000000000030000049,2000,VZIREQ03,Condition monitoring intervention,4.000,2026-03-02,CLOSED
PLAN-000127,SESS-000127,1000000130,0001,000000000030000050,3000,VZIREQ01,Condition monitoring intervention,3.000,2026-07-03,OPEN
PLAN-000128,SESS-000128,1000000131,0001,000000000030000050,3000,VZIREQ02,Condition monitoring intervention,4.000,2026-01-02,CLOSED
PLAN-000129,SESS-000129,1000000132,0001,000000000030000050,3000,VZIREQ01,Planned shutdown replacement,3.000,2026-02-14,CLOSED
PLAN-000130,SESS-000130,1000000133,0001,000000000030000051,1000,VZIREQ04,Capital project spare,4.000,2026-03-13,CLOSED
PLAN-000131,SESS-000131,1000000134,0001,000000000030000051,1000,VZIREQ03,Planned shutdown replacement,4.000,2026-04-10,OPEN
PLAN-000132,SESS-000132,1000000135,0001,000000000030000051,1000,VZIREQ04,Statutory inspection rebuild,2.000,2026-07-26,CLOSED
PLAN-000133,SESS-000133,1000000136,0001,000000000030000052,1000,VZIREQ04,Breakdown replacement,2.000,2026-08-13,OPEN
PLAN-000134,SESS-000134,1000000137,0001,000000000030000052,1000,VZIREQ01,Planned shutdown replacement,3.000,2026-09-08,CLOSED
PLAN-000135,SESS-000135,1000000138,0001,000000000030000052,1000,VZIREQ04,Planned shutdown replacement,3.000,2026-01-14,CLOSED
PLAN-000136,SESS-000136,1000000139,0001,000000000030000053,1000,VZIREQ03,Planned shutdown replacement,3.000,2026-08-14,CLOSED
PLAN-000137,SESS-000137,1000000140,0001,000000000030000054,3000,VZIREQ04,Statutory inspection rebuild,1.000,2026-04-06,CLOSED
PLAN-000138,SESS-000138,1000000141,0001,000000000030000054,3000,VZIREQ05,Statutory inspection rebuild,1.000,2025-11-20,CLOSED
PLAN-000139,SESS-000139,1000000142,0001,000000000030000055,4000,VZIREQ05,Breakdown replacement,4.000,2026-04-25,OPEN
PLAN-000140,SESS-000140,1000000143,0001,000000000030000055,1000,VZIREQ05,Planned shutdown replacement,1.000,2026-05-06,CLOSED
PLAN-000141,SESS-000141,1000000144,0001,000000000030000055,1000,VZIREQ01,Condition monitoring intervention,2.000,2026-06-06,OPEN
PLAN-000142,SESS-000142,1000000145,0001,000000000030000055,1000,VZIREQ05,Breakdown replacement,2.000,2026-07-01,CLOSED
PLAN-000143,SESS-000143,1000000146,0001,000000000030000056,2000,VZIREQ03,Capital project spare,3.000,2026-08-13,CLOSED
PLAN-000144,SESS-000144,1000000148,0001,000000000030000056,2000,VZIREQ01,Reliability improvement upgrade,4.000,2025-11-28,OPEN
PLAN-000145,SESS-000145,1000000149,0001,000000000030000057,4000,VZIREQ02,Statutory inspection rebuild,3.000,2026-07-08,OPEN
PLAN-000146,SESS-000146,1000000150,0001,000000000030000057,4000,VZIREQ04,Condition monitoring intervention,2.000,2026-05-15,OPEN
PLAN-000147,SESS-000147,1000000151,0001,000000000030000057,4000,VZIREQ04,Planned shutdown replacement,2.000,2026-03-25,CLOSED
PLAN-000148,SESS-000148,1000000152,0001,000000000030000058,2000,VZIREQ01,Reliability improvement upgrade,1.000,2026-01-26,CLOSED
PLAN-000149,SESS-000149,1000000153,0001,000000000030000058,2000,VZIREQ03,Condition monitoring intervention,1.000,2026-05-15,OPEN
PLAN-000150,SESS-000150,1000000154,0001,000000000030000059,4000,VZIREQ05,Condition monitoring intervention,1.000,2026-08-20,CLOSED
PLAN-000151,SESS-000151,1000000155,0001,000000000030000059,4000,VZIREQ02,Planned shutdown replacement,2.000,2026-06-05,CLOSED
PLAN-000152,SESS-000152,1000000156,0001,000000000030000060,3000,VZIREQ05,Condition monitoring intervention,1.000,2026-03-17,CLOSED
PLAN-000153,SESS-000153,1000000157,0001,000000000030000060,3000,VZIREQ03,Planned shutdown replacement,2.000,2026-06-16,OPEN
PLAN-000154,SESS-000154,1000000158,0001,000000000030000060,3000,VZIREQ02,Planned shutdown replacement,4.000,2026-04-29,OPEN
PLAN-000155,SESS-000155,1000000159,0001,000000000030000061,4000,VZIREQ01,Condition monitoring intervention,4.000,2025-12-22,OPEN
PLAN-000156,SESS-000156,1000000160,0001,000000000030000061,4000,VZIREQ04,Reliability improvement upgrade,4.000,2026-04-28,OPEN
PLAN-000157,SESS-000157,1000000161,0001,000000000030000061,4000,VZIREQ05,Statutory inspection rebuild,2.000,2026-06-14,OPEN
PLAN-000158,SESS-000158,1000000162,0001,000000000030000062,2000,VZIREQ03,Reliability improvement upgrade,1.000,2026-05-27,CLOSED
PLAN-000159,SESS-000159,1000000163,0001,000000000030000063,4000,VZIREQ03,Statutory inspection rebuild,1.000,2026-05-16,CLOSED
PLAN-000160,SESS-000160,1000000164,0001,000000000030000063,4000,VZIREQ03,Statutory inspection rebuild,3.000,2026-01-01,OPEN
PLAN-000161,SESS-000161,1000000165,0001,000000000030000064,4000,VZIREQ05,Capital project spare,4.000,2026-07-25,OPEN
PLAN-000162,SESS-000162,1000000166,0001,000000000030000064,4000,VZIREQ05,Planned shutdown replacement,2.000,2026-03-18,OPEN
PLAN-000163,SESS-000163,1000000167,0001,000000000030000064,1000,VZIREQ01,Condition monitoring intervention,2.000,2025-12-07,CLOSED
PLAN-000164,SESS-000164,1000000168,0001,000000000030000064,1000,VZIREQ02,Planned shutdown replacement,2.000,2025-11-04,CLOSED
PLAN-000165,SESS-000165,1000000169,0001,000000000030000064,1000,VZIREQ02,Reliability improvement upgrade,2.000,2026-08-16,OPEN
PLAN-000166,SESS-000166,1000000170,0001,000000000030000065,4000,VZIREQ04,Reliability improvement upgrade,4.000,2026-01-05,CLOSED
PLAN-000167,SESS-000167,1000000171,0001,000000000030000066,3000,VZIREQ04,Reliability improvement upgrade,2.000,2026-05-24,OPEN
PLAN-000168,SESS-000168,1000000172,0001,000000000030000066,3000,VZIREQ03,Planned shutdown replacement,1.000,2026-01-01,OPEN
PLAN-000169,SESS-000169,1000000173,0001,000000000030000067,1000,VZIREQ02,Statutory inspection rebuild,1.000,2026-04-29,CLOSED
PLAN-000170,SESS-000170,1000000174,0001,000000000030000068,1000,VZIREQ05,Breakdown replacement,4.000,2025-12-11,CLOSED
PLAN-000171,SESS-000171,1000000175,0001,000000000030000068,1000,VZIREQ02,Condition monitoring intervention,4.000,2026-03-01,CLOSED
PLAN-000172,SESS-000172,1000000176,0001,000000000030000068,1000,VZIREQ04,Planned shutdown replacement,4.000,2026-01-16,CLOSED
PLAN-000173,SESS-000173,1000000177,0001,000000000030000069,3000,VZIREQ01,Statutory inspection rebuild,4.000,2026-03-12,CLOSED
PLAN-000174,SESS-000174,1000000178,0001,000000000030000069,3000,VZIREQ01,Capital project spare,4.000,2025-11-18,CLOSED
PLAN-000175,SESS-000175,1000000180,0001,000000000030000070,1000,VZIREQ04,Capital project spare,4.000,2026-01-29,CLOSED
PLAN-000176,SESS-000176,1000000181,0001,000000000030000070,1000,VZIREQ04,Reliability improvement upgrade,2.000,2026-05-03,CLOSED
PLAN-000177,SESS-000177,1000000182,0001,000000000030000070,1000,VZIREQ02,Capital project spare,4.000,2026-05-23,CLOSED
PLAN-000178,SESS-000178,1000000183,0001,000000000030000071,3000,VZIREQ02,Reliability improvement upgrade,4.000,2026-03-25,OPEN
PLAN-000179,SESS-000179,1000000184,0001,000000000030000071,3000,VZIREQ01,Planned shutdown replacement,2.000,2026-04-17,CLOSED
PLAN-000180,SESS-000180,1000000185,0001,000000000030000072,4000,VZIREQ02,Condition monitoring intervention,4.000,2025-12-31,CLOSED
PLAN-000181,SESS-000181,1000000186,0001,000000000030000073,4000,VZIREQ02,Breakdown replacement,3.000,2026-04-17,CLOSED
PLAN-000182,SESS-000182,1000000187,0001,000000000030000073,3000,VZIREQ04,Planned shutdown replacement,2.000,2026-03-21,OPEN
PLAN-000183,SESS-000183,1000000188,0001,000000000030000073,3000,VZIREQ04,Condition monitoring intervention,3.000,2026-03-16,CLOSED
PLAN-000184,SESS-000184,1000000189,0001,000000000030000074,4000,VZIREQ04,Breakdown replacement,3.000,2026-04-26,OPEN
PLAN-000185,SESS-000185,1000000190,0001,000000000030000074,2000,VZIREQ03,Statutory inspection rebuild,4.000,2026-03-28,CLOSED
PLAN-000186,SESS-000186,1000000191,0001,000000000030000074,2000,VZIREQ04,Breakdown replacement,4.000,2026-08-06,CLOSED
PLAN-000187,SESS-000187,1000000192,0001,000000000030000075,4000,VZIREQ05,Planned shutdown replacement,3.000,2026-09-10,CLOSED
PLAN-000188,SESS-000188,1000000193,0001,000000000030000075,4000,VZIREQ02,Breakdown replacement,4.000,2026-05-23,CLOSED
PLAN-000189,SESS-000189,1000000194,0001,000000000030000076,2000,VZIREQ02,Breakdown replacement,4.000,2026-02-27,CLOSED
PLAN-000190,SESS-000190,1000000195,0001,000000000030000076,2000,VZIREQ05,Condition monitoring intervention,2.000,2026-03-23,CLOSED
PLAN-000191,SESS-000191,1000000196,0001,000000000030000077,1000,VZIREQ05,Statutory inspection rebuild,2.000,2025-12-14,CLOSED
PLAN-000192,SESS-000192,1000000197,0001,000000000030000077,1000,VZIREQ02,Breakdown replacement,1.000,2026-05-16,OPEN
PLAN-000193,SESS-000193,1000000198,0001,000000000030000078,4000,VZIREQ03,Capital project spare,3.000,2026-01-06,OPEN
PLAN-000194,SESS-000194,1000000199,0001,000000000030000079,4000,VZIREQ03,Statutory inspection rebuild,2.000,2025-12-12,CLOSED
PLAN-000195,SESS-000195,1000000200,0001,000000000030000079,4000,VZIREQ04,Breakdown replacement,2.000,2026-07-21,OPEN
PLAN-000196,SESS-000196,1000000201,0001,000000000030000079,4000,VZIREQ04,Reliability improvement upgrade,3.000,2025-11-26,CLOSED
PLAN-000197,SESS-000197,1000000202,0001,000000000030000080,4000,VZIREQ05,Breakdown replacement,1.000,2026-04-12,OPEN
PLAN-000198,SESS-000198,1000000204,0001,000000000030000080,4000,VZIREQ01,Reliability improvement upgrade,3.000,2026-07-15,CLOSED
PLAN-000199,SESS-000199,1000000205,0001,000000000030000080,3000,VZIREQ02,Breakdown replacement,2.000,2026-06-29,CLOSED
PLAN-000200,SESS-000200,1000000207,0001,000000000030000082,1000,VZIREQ02,Breakdown replacement,3.000,2026-03-05,OPEN
PLAN-000201,SESS-000201,1000000208,0001,000000000030000083,1000,VZIREQ05,Condition monitoring intervention,3.000,2026-07-18,OPEN
PLAN-000202,SESS-000202,1000000209,0001,000000000030000083,1000,VZIREQ02,Condition monitoring intervention,2.000,2025-11-29,CLOSED
PLAN-000203,SESS-000203,1000000210,0001,000000000030000084,4000,VZIREQ02,Reliability improvement upgrade,1.000,2026-06-15,CLOSED
PLAN-000204,SESS-000204,1000000212,0001,000000000030000084,3000,VZIREQ04,Statutory inspection rebuild,2.000,2026-07-31,OPEN
