Infnr,Matnr,Lifnr,Loekz
5300000122,000000000090000015,0001000025,false
5300000123,000000000030000052,0001000029,false
5300000124,000000000010000257,0001000027,false
5300000125,000000000010000260,0001000031,false
5300000126,000000000010000263,0001000053,false
5300000127,000000000030000055,0001000005,false
5300000128,000000000010000271,0001000050,false
5300000129,000000000010000272,0001000021,false
5300000130,000000000010000273,0001000017,false
5300000131,000000000030000058,0001000002,false
5300000132,000000000080000069,0001000036,false
5300000133,000000000010000275,0001000026,false
5300000134,000000000030000060,0001000038,false
5300000135,000000000010000277,0001000011,false
5300000136,000000000010000278,0001000018,false
5300000137,000000000010000279,0001000018,false
5300000138,000000000010000281,0001000010,false
5300000139,000000000030000061,0001000035,false
5300000140,000000000010000283,0001000045,false
5300000141,000000000010000285,0001000006,false
5300000142,000000000080000071,0001000024,false
5300000143,000000000010000288,0001000010,false
5300000144,000000000010000289,0001000051,false
5300000145,000000000010000292,0001000007,false
5300000146,000000000010000303,0001000015,false
5300000147,000000000080000074,0001000052,false
5300000148,000000000080000075,0001000008,false
5300000149,000000000010000305,0001000014,false
5300000150,000000000010000311,0001000058,false
5300000151,000000000010000314,0001000045,false
5300000152,000000000010000318,0001000053,false
5300000153,000000000010000319,0001000015,false
5300000154,000000000010000324,0001000013,false
5300000155,000000000010000325,0001000037,false
5300000156,000000000010000326,0001000035,false
5300000157,000000000010000330,0001000019,false
5300000158,000000000010000331,0001000041,false
5300000159,000000000010000334,0001000017,false
5300000160,000000000010000337,0001000007,false
5300000161,000000000010000341,0001000049,false
5300000162,000000000010000347,0001000002,false
5300000163,000000000010000352,0001000055,false
5300000164,000000000010000355,0001000049,false
5300000165,000000000010000356,0001000037,false
5300000166,000000000010000357,0001000021,false
5300000167,000000000010000359,0001000010,false
5300000168,000000000010000362,0001000021,false
5300000169,000000000010000366,0001000025,false
5300000170,000000000010000371,0001000006,false
5300000171,000000000030000077,0001000015,false
5300000172,000000000080000082,0001000012,false
5300000173,000000000010000374,0001000010,false
5300000174,000000000010000375,0001000049,false
5300000175,000000000010000376,0001000045,false
5300000176,000000000010000378,0001000023,false
5300000177,000000000080000087,0001000028,false
5300000178,000000000010000380,0001000037,false
5300000179,000000000010000381,0001000055,false
5300000180,000000000010000382,0001000051,false
5300000181,000000000010000383,0001000019,false
5300000182,000000000080000088,0001000028,false
5300000183,000000000010000386,0001000042,false
5300000184,000000000010000387,0001000042,false
5300000185,000000000090000018,0001000029,false
5300000186,000000000030000085,0001000041,false
5300000187,000000000010000395,0001000023,false
5300000188,000000000010000398,0001000045,false
5300000189,000000000010000406,0001000058,false
5300000190,000000000010000409,0001000005,false
5300000191,000000000090000021,0001000009,false
5300000192,000000000030000087,0001000007,false
5300000193,000000000030000089,0001000039,false
5300000194,000000000090000022,0001000041,false
5300000195,000000000010000424,0001000022,false
5300000196,000000000010000427,0001000030,false
5300000197,000000000010000432,0001000057,false
5300000198,000000000010000434,0001000007,false
5300000199,000000000080000097,0001000032,false
5300000200,000000000010000443,0001000005,false
5300000201,000000000010000444,0001000025,false
5300000202,000000000030000093,0001000003,false
5300000203,000000000010000450,0001000035,false
5300000204,000000000090000023,0001000001,false
5300000205,000000000010000451,0001000034,false
5300000206,000000000010000453,0001000015,false
5300000207,000000000010000454,0001000029,false
5300000208,000000000010000456,0001000015,false
5300000209,000000000010000459,0001000041,false
5300000210,000000000010000461,0001000010,false
5300000211,000000000010000463,0001000026,false
5300000212,000000000010000464,0001000006,false
5300000213,000000000010000467,0001000046,false
5300000214,000000000010000468,0001000005,false
5300000215,000000000030000098,0001000015,false
5300000216,000000000010000473,0001000013,false
5300000217,000000000010000475,0001000029,false
5300000218,000000000030000099,0001000050,false
5300000219,000000000030000100,0001000045,false
5300000220,000000000010000476,0001000030,false
5300000221,000000000090000025,0001000042,false
5300000222,000000000010000478,0001000042,false
5300000223,000000000030000103,0001000023,false
5300000224,000000000080000104,0001000056,false
5300000225,000000000010000485,0001000053,false
5300000226,000000000010000486,0001000010,false
5300000227,000000000030000104,0001000010,false
5300000228,000000000080000106,0001000052,false
5300000229,000000000010000490,0001000025,false
5300000230,000000000010000491,0001000009,false
5300000231,000000000010000492,0001000053,false
5300000232,000000000080000108,0001000040,false
5300000233,000000000010000493,0001000033,false
5300000234,000000000080000109,0001000028,false
5300000235,000000000010000495,0001000013,false
5300000236,000000000010000498,0001000007,false
5300000237,000000000030000106,0001000043,false
5300000238,000000000010000501,0001000002,false
5300000239,000000000080000111,0001000024,false
5300000240,000000000010000502,0001000001,false
5300000241,000000000010000506,0001000055,false
5300000242,000000000010000513,0001000055,false
5300000243,000000000010000514,0001000037,false
5300000244,000000000010000516,0001000026,false
5300000245,000000000030000109,0001000007,false
5300000246,000000000080000112,0001000016,false
5300000247,000000000010000533,0001000041,false
5300000248,000000000010000536,0001000059,false
5300000249,000000000010000537,0001000046,false
5300000250,000000000090000030,0001000002,false
5300000251,000000000010000539,0001000039,false
5300000252,000000000030000112,0001000045,false
5300000253,000000000010000542,0001000026,false
5300000254,000000000010000543,0001000019,false
5300000255,000000000080000117,0001000000,false
5300000256,000000000010000544,0001000034,false
5300000257,000000000030000116,0001000013,false
5300000258,000000000010000547,0001000042,false
5300000259,000000000010000548,0001000011,false
5300000260,000000000010000549,0001000022,false
5300000261,000000000030000118,0001000046,false
5300000262,000000000010000561,0001000015,false
5300000263,000000000090000031,0001000007,false
5300000264,000000000030000124,0001000029,false
5300000265,000000000080000124,0001000032,false
5300000266,000000000010000565,0001000022,false
5300000267,000000000080000129,0001000004,false
5300000268,000000000010000572,0001000007,false
5300000269,000000000010000574,0001000045,false
5300000270,000000000010000578,0001000055,false
5300000271,000000000010000579,0001000001,false
5300000272,000000000010000585,0001000005,false
5300000273,000000000010000586,0001000023,false
5300000274,000000000080000131,0001000040,false
5300000275,000000000010000587,0001000049,false
5300000276,000000000090000032,0001000027,false
5300000277,000000000010000588,0001000042,false
5300000278,000000000030000128,0001000031,false
5300000279,000000000010000591,0001000010,false
5300000280,000000000010000592,0001000041,false
5300000281,000000000010000594,0001000006,false
5300000282,000000000030000131,0001000050,false
5300000283,000000000030000133,0001000010,false
5300000284,000000000010000601,0001000037,false
5300000285,000000000010000603,0001000027,false
5300000286,000000000010000606,0001000041,false
5300000287,000000000010000607,0001000051,false
5300000288,000000000080000137,0001000020,false
5300000289,000000000010000609,0001000030,false
5300000290,000000000030000136,0001000019,false
5300000291,000000000010000612,0001000009,false
5300000292,000000000010000615,0001000035,false
5300000293,000000000090000034,0001000023,false
5300000294,000000000080000143,0001000032,false
5300000295,000000000010000622,0001000001,false
5300000296,000000000010000624,0001000025,false
5300000297,000000000010000625,0001000035,false
5300000298,000000000010000626,0001000049,false
5300000299,000000000010000627,0001000031,false
5300000300,000000000010000630,0001000054,false
5300000301,000000000030000141,0001000031,false
5300000302,000000000080000147,0001000016,false
5300000303,000000000010000633,0001000013,false
5300000304,000000000010000635,0001000015,false
5300000305,000000000090000037,0001000055,false
5300000306,000000000030000144,0001000022,false
5300000307,000000000010000638,0001000042,false
5300000308,000000000010000639,0001000010,false
5300000309,000000000080000151,0001000004,false
5300000310,000000000010000646,0001000043,false
5300000311,000000000010000653,0001000049,false
5300000312,000000000010000655,0001000006,false
5300000313,000000000010000656,0001000019,false
5300000314,000000000010000658,0001000038,false
5300000315,000000000010000659,0001000059,false
5300000316,000000000010000660,0001000022,false
5300000317,000000000030000150,0001000043,false
5300000318,000000000010000670,0001000037,false
5300000319,000000000080000155,0001000016,false
5300000320,000000000010000674,0001000017,false
5300000321,000000000010000676,0001000037,false
5300000322,000000000010000679,0001000009,false
5300000323,000000000090000039,0001000055,false
5300000324,000000000010000680,0001000003,false
5300000325,000000000010000683,0001000011,false
5300000326,000000000030000155,0001000029,false
5300000327,000000000010000687,0001000002,false
5300000328,000000000080000164,0001000036,false
5300000329,000000000010000693,0001000011,false
5300000330,000000000010000694,0001000023,false
5300000331,000000000010000697,0001000033,false
5300000332,000000000010000699,0001000025,false
5300000333,000000000010000700,0001000037,false
5300000334,000000000010000701,0001000037,false
5300000335,000000000080000168,0001000020,false
5300000336,000000000030000159,0001000026,false
5300000337,000000000010000709,0001000035,false
5300000338,000000000030000160,0001000026,false
5300000339,000000000010000716,0001000015,false
5300000340,000000000010000717,0001000030,false
5300000341,000000000080000169,0001000052,false
5300000342,000000000010000719,0001000005,false
5300000343,000000000010000720,0001000006,false
5300000344,000000000010000722,0001000021,false
5300000345,000000000010000724,0001000047,false
5300000346,000000000030000162,0001000030,false
5300000347,000000000030000163,0001000039,false
5300000348,000000000010000729,0001000030,false
5300000349,000000000010000737,0001000025,false
5300000350,000000000010000743,0001000010,false
5300000351,000000000010000748,0001000050,false
5300000352,000000000080000175,0001000052,false
5300000353,000000000030000171,0001000027,false
5300000354,000000000010000757,0001000046,false
5300000355,000000000010000760,0001000037,false
5300000356,000000000010000763,0001000014,false
5300000357,000000000010000764,0001000027,false
5300000358,000000000010000768,0001000025,false
5300000359,000000000030000175,0001000055,false
5300000360,000000000010000772,0001000025,false
5300000361,000000000010000773,0001000042,false
5300000362,000000000010000775,0001000019,false
5300000363,000000000010000776,0001000006,false
5300000364,000000000010000782,0001000025,false
5300000365,000000000010000783,0001000023,false
5300000366,000000000010000787,0001000043,false
5300000367,000000000010000796,0001000013,false
5300000368,000000000030000181,0001000003,false
5300000369,000000000010000799,0001000046,false
5300000370,000000000010000800,0001000058,false
5300000371,000000000010000804,0001000037,false
5300000372,000000000010000809,0001000038,false
5300000373,000000000080000186,0001000056,false
5300000374,000000000080000187,0001000012,false
5300000375,000000000010000816,0001000006,false
5300000376,000000000010000818,0001000001,false
5300000377,000000000010000821,0001000043,false
5300000378,000000000010000822,0001000041,false
5300000379,000000000010000823,0001000022,false
5300000380,000000000010000824,0001000026,false
5300000381,000000000010000825,0001000047,false
5300000382,000000000080000190,0001000048,false
5300000383,000000000010000828,0001000055,false
5300000384,000000000010000830,0001000011,false
5300000385,000000000080000191,0001000020,false
5300000386,000000000010000833,0001000025,false
5300000387,000000000010000834,0001000005,false
5300000388,000000000030000190,0001000011,false
5300000389,000000000030000191,0001000018,false
5300000390,000000000030000192,0001000038,false
5300000391,000000000010000837,0001000043,false
5300000392,000000000010000842,0001000009,false
5300000393,000000000030000195,0001000013,false
5300000394,000000000010000847,0001000010,false
5300000395,000000000080000197,0001000004,false
5300000396,000000000010000855,0001000049,false
5300000397,000000000010000861,0001000045,false
5300000398,000000000010000862,0001000057,false
5300000399,000000000010000863,0001000030,false
5300000400,000000000010000864,0001000019,false
5300000401,000000000080000198,0001000028,false
5300000402,000000000080000199,0001000004,false
5300000403,000000000010000866,0001000031,false
5300000404,000000000010000871,0001000021,false
5300000405,000000000010000873,0001000055,false
5300000406,000000000030000199,0001000014,false
5300000407,000000000090000051,0001000045,false
5300000408,000000000010000876,0001000030,false
5300000409,000000000010000877,0001000039,false
5300000410,000000000090000052,0001000026,false
5300000411,000000000010000886,0001000054,false
5300000412,000000000080000204,0001000008,false
5300000413,000000000010000889,0001000053,false
5300000414,000000000030000202,0001000054,false
5300000415,000000000010000891,0001000031,false
5300000416,000000000010000892,0001000046,false
5300000417,000000000080000205,0001000008,false
5300000418,000000000080000206,0001000024,false
5300000419,000000000010000898,0001000049,false
5300000420,000000000010000899,0001000019,false
5300000421,000000000010000902,0001000014,false
5300000422,000000000010000909,0001000017,false
5300000423,000000000010000911,0001000057,false
5300000424,000000000080000208,0001000032,false
5300000425,000000000080000209,0001000020,false
5300000426,000000000010000920,0001000031,false
5300000427,000000000010000924,0001000015,false
5300000428,000000000010000927,0001000054,false
5300000429,000000000030000213,0001000019,false
5300000430,000000000010000931,0001000039,false
5300000431,000000000010000932,0001000043,false
5300000432,000000000010000933,0001000043,false
5300000433,000000000030000214,0001000059,false
5300000434,000000000030000216,0001000026,false
5300000435,000000000080000212,0001000056,false
5300000436,000000000030000218,0001000038,false
5300000437,000000000010000943,0001000035,false
5300000438,000000000010000946,0001000023,false
5300000439,000000000030000219,0001000023,false
5300000440,000000000010000947,0001000041,false
5300000441,000000000030000220,0001000042,false
5300000442,000000000010000952,0001000007,false
5300000443,000000000010000954,0001000059,false
5300000444,000000000090000059,0001000019,false
5300000445,000000000030000222,0001000033,false
5300000446,000000000030000223,0001000031,false
5300000447,000000000030000224,0001000013,false
5300000448,000000000010000963,0001000041,false
5300000449,000000000010000965,0001000006,false
5300000450,000000000030000227,0001000001,false
5300000451,000000000010000974,0001000017,false
5300000452,000000000010000976,0001000017,false
5300000453,000000000030000232,0001000054,false
5300000454,000000000080000217,0001000044,false
5300000455,000000000010000980,0001000009,false
5300000456,000000000010000981,0001000059,false
5300000457,000000000090000062,0001000010,false
5300000458,000000000010000982,0001000011,false
5300000459,000000000010000984,0001000047,false
5300000460,000000000010000985,0001000018,false
5300000461,000000000010000987,0001000050,false
5300000462,000000000010000988,0001000051,false
5300000463,000000000010000989,0001000026,false
5300000464,000000000010000990,0001000017,false
5300000465,000000000010000995,0001000026,false
5300000466,000000000010001001,0001000006,false
5300000467,000000000010001002,0001000023,false
5300000468,000000000010001003,0001000041,false
5300000469,000000000030000241,0001000001,false
5300000470,000000000010001006,0001000047,false
5300000471,000000000010001010,0001000054,false
5300000472,000000000010001011,0001000021,false
5300000473,000000000010001015,0001000043,false
5300000474,000000000010001017,0001000006,false
5300000475,000000000010001027,0001000013,false
5300000476,000000000010001028,0001000030,false
5300000477,000000000030000244,0001000057,false
5300000478,000000000010001030,0001000047,false
5300000479,000000000080000223,0001000036,false
5300000480,000000000090000065,0001000007,false
5300000481,000000000010001040,0001000029,false
5300000482,000000000080000226,0001000028,false
5300000483,000000000010001041,0001000005,false
5300000484,000000000030000253,0001000049,false
5300000485,000000000010001044,0001000010,false
5300000486,000000000080000230,0001000000,false
5300000487,000000000010001048,0001000025,false
5300000488,000000000010001049,0001000042,false
5300000489,000000000010001050,0001000029,false
5300000490,000000000010001053,0001000021,false
5300000491,000000000080000231,0001000036,false
5300000492,000000000010001055,0001000003,false
5300000493,000000000010001058,0001000042,false
5300000494,000000000010001060,0001000035,false
5300000495,000000000010001062,0001000046,false
5300000496,000000000010001063,0001000017,false
5300000497,000000000010001065,0001000001,false
5300000498,000000000010001069,0001000017,false
5300000499,000000000080000233,0001000052,false
5300000500,000000000010001075,0001000011,false
5300000501,000000000080000234,0001000048,false
5300000502,000000000030000260,0001000005,false
5300000503,000000000080000235,0001000016,false
5300000504,000000000010001078,0001000059,false
5300000505,000000000010001082,0001000047,false
5300000506,000000000010001084,0001000019,false
5300000507,000000000010001088,0001000015,false
5300000508,000000000010001090,0001000001,false
5300000509,000000000010001094,0001000025,false
5300000510,000000000080000238,0001000020,false
5300000511,000000000010001099,0001000034,false
5300000512,000000000030000263,0001000011,false
5300000513,000000000030000264,0001000003,false
5300000514,000000000010001103,0001000055,false
5300000515,000000000010001104,0001000045,false
5300000516,000000000010001105,0001000054,false
5300000517,000000000010001106,0001000041,false
5300000518,000000000010001112,0001000021,false
5300000519,000000000030000266,0001000025,false
5300000520,000000000010001114,0001000030,false
5300000521,000000000090000067,0001000053,false
5300000522,000000000010001121,0001000046,false
5300000523,000000000010001131,0001000018,false
5300000524,000000000010001134,0001000034,false
5300000525,000000000010001136,0001000019,false
5300000526,000000000010001138,0001000051,false
5300000527,000000000010001140,0001000005,false
5300000528,000000000030000271,0001000047,false
5300000529,000000000010001146,0001000027,false
5300000530,000000000010001151,0001000030,false
5300000531,000000000030000273,0001000042,false
5300000532,000000000010001152,0001000034,false
5300000533,000000000030000276,0001000031,false
5300000534,000000000090000071,0001000014,false
5300000535,000000000090000072,0001000045,false
5300000536,000000000010001157,0001000046,false
5300000537,000000000010001159,0001000007,false
5300000538,000000000080000244,0001000016,false
5300000539,000000000080000245,0001000016,false
5300000540,000000000010001160,0001000009,false
5300000541,000000000030000278,0001000006,false
5300000542,000000000010001161,0001000003,false
5300000543,000000000090000074,0001000005,false
5300000544,000000000080000246,0001000016,false
5300000545,000000000010001167,0001000046,false
5300000546,000000000010001169,0001000034,false
5300000547,000000000010001170,0001000013,false
5300000548,000000000010001172,0001000005,false
5300000549,000000000030000281,0001000043,false
5300000550,000000000010001175,0001000053,false
5300000551,000000000010001176,0001000051,false
5300000552,000000000030000283,0001000055,false
5300000553,000000000010001177,0001000042,false
5300000554,000000000010001183,0001000009,false
5300000555,000000000010001186,0001000053,false
5300000556,000000000030000287,0001000009,false
5300000557,000000000080000248,0001000048,false
5300000558,000000000010001192,0001000018,false
5300000559,000000000010001193,0001000001,false
5300000560,000000000010001196,0001000023,false
5300000561,000000000080000249,0001000012,false
5300000562,000000000080000250,0001000016,false
5300000563,000000000010001204,0001000046,false
5300000564,000000000010001205,0001000015,false
5300000565,000000000010001206,0001000030,false
5300000566,000000000010001211,0001000002,false
5300000567,000000000010001213,0001000058,false
5300000568,000000000030000292,0001000051,false
5300000569,000000000030000293,0001000014,false
5300000570,000000000010001218,0001000002,false
5300000571,000000000010001222,0001000031,false
5300000572,000000000010001223,0001000017,false
5300000573,000000000010001225,0001000019,false
5300000574,000000000010001227,0001000055,false
5300000575,000000000080000254,0001000048,false
5300000576,000000000010001234,0001000013,false
5300000577,000000000010001239,0001000001,false
5300000578,000000000030000300,0001000041,false
5300000579,000000000010001242,0001000047,false
5300000580,000000000010001243,0001000015,false
5300000581,000000000080000258,0001000056,false
5300000582,000000000090000077,0001000009,false
5300000583,000000000010001249,0001000014,false
5300000584,000000000010001250,0001000053,false
5300000585,000000000080000259,0001000012,false
5300000586,000000000010001251,0001000049,false
5300000587,000000000010001253,0001000050,false
5300000588,000000000010001255,0001000021,false
5300000589,000000000010001256,0001000041,false
5300000590,000000000030000301,0001000053,false
5300000591,000000000010001259,0001000057,false
5300000592,000000000080000261,0001000024,false
5300000593,000000000010001263,0001000005,false
5300000594,000000000010001266,0001000050,false
5300000595,000000000010001267,0001000038,false
5300000596,000000000030000302,0001000006,false
5300000597,000000000090000079,0001000023,false
5300000598,000000000010001271,0001000049,false
5300000599,000000000010001273,0001000043,false
5300000600,000000000010001276,0001000010,false
5300000601,000000000010001278,0001000058,false
5300000602,000000000010001281,0001000037,false
5300000603,000000000080000263,0001000004,false
5300000604,000000000010001282,0001000001,false
5300000605,000000000010001283,0001000037,false
5300000606,000000000010001284,0001000035,false
5300000607,000000000030000305,0001000057,false
5300000608,000000000010001286,0001000035,false
5300000609,000000000030000306,0001000023,false
5300000610,000000000080000264,0001000004,false
5300000611,000000000010001289,0001000046,false
5300000612,000000000010001291,0001000049,false
5300000613,000000000010001292,0001000014,false
5300000614,000000000010001295,0001000023,false
5300000615,000000000030000307,0001000001,false
5300000616,000000000010001299,0001000026,false
5300000617,000000000030000310,0001000022,false
5300000618,000000000010001307,0001000025,false
5300000619,000000000080000266,0001000048,false
5300000620,000000000010001308,0001000021,false
5300000621,000000000010001309,0001000059,false
5300000622,000000000010001310,0001000059,false
5300000623,000000000030000312,0001000022,false
5300000624,000000000010001312,0001000029,false
5300000625,000000000010001313,0001000050,false
5300000626,000000000010001315,0001000013,false
5300000627,000000000090000083,0001000034,false
5300000628,000000000010001320,0001000023,false
5300000629,000000000030000313,0001000059,false
5300000630,000000000030000314,0001000049,false
5300000631,000000000010001326,0001000029,false
5300000632,000000000010001328,0001000006,false
