Matnr,Spras,Maktx
000000000080000004,EN,Conveyor Drive Motor 150MM SEW
000000000010000024,EN,Conveyor Drive Gearbox 250MM KSB
000000000010000025,EN,Slurry Density Transmitter 150MM SANDVIK
000000000010000026,EN,Hydraulic Power Pack 200MM SANDVIK
000000000080000005,EN,Centrifugal Pump Casing 150MM SANDVIK
000000000010000027,EN,Flow Meter Sensor Head 250KW KSB
000000000010000028,EN,Pressure Transmitter Assembly HD ABB
000000000010000029,EN,Thickener Rake Seal Kit 8/6 KSB
000000000030000004,EN,Hydraulic Power Pack 250MM SEW
000000000010000030,EN,Hydraulic Pump Assembly 200MM FLSM
000000000010000031,EN,Apron Feeder Gear Reducer 200MM SEW
000000000010000032,EN,Thickener Rake Drive Gearbox 200MM FLSM
000000000010000033,EN,Spherical Roller Bearing 10/8 SANDVIK
000000000010000034,EN,Hydraulic Power Pack 200MM METSO
000000000080000006,EN,Mill Lube Pump Motor HD SEW
000000000010000035,EN,Valve Assembly TYPE B FLSM
000000000010000036,EN,Screen Exciter Bearing 10/8 SIEMENS
000000000010000037,EN,Gearbox Bearing TYPE B SIEMENS
000000000090000001,EN,Vertical Sump Pump Column 200MM WEIR
000000000010000038,EN,Slurry Density Transmitter 8/6 FLSM
000000000080000007,EN,Ball Mill Shell Liner Plate 200MM KSB
000000000010000039,EN,Pressure Transmitter Assembly 8/6 SEW
000000000030000005,EN,Apron Feeder Gear Reducer 6/4 FLSM
000000000010000040,EN,Level Radar Transmitter 8/6 SEW
000000000010000041,EN,Slurry Pump Mechanical Seal 6/4 FLSM
000000000010000042,EN,Conveyor Idler Roller Set DN150 KSB
000000000030000006,EN,Hydraulic Power Pack 110KW SKF
000000000080000008,EN,PLC Digital Output Card DN150 SIEMENS
000000000080000009,EN,Ball Mill Gearbox Assembly 10/8 WEIR
000000000080000010,EN,Variable Speed Drive Unit HD FLSM
000000000030000007,EN,Thickener Rake Seal Kit 110KW SIEMENS
000000000030000008,EN,Slurry Density Transmitter 110KW WEIR
000000000010000043,EN,Crusher Main Shaft Bearing HD FLSM
000000000010000044,EN,Gland Packing Seal Ring TYPE A WEIR
000000000010000045,EN,Crusher Hydroset Cylinder 10/8 SKF
000000000080000011,EN,Cyclone Apex Liner TYPE A SANDVIK
000000000080000012,EN,Hydraulic Power Pack TYPE B ABB
000000000010000046,EN,Mill Lube Pump Motor TYPE B MULTOTEC
000000000010000047,EN,Cyclone Apex Liner 150MM SANDVIK
000000000010000048,EN,MCC Feeder Circuit Breaker 200MM METSO
000000000080000013,EN,Gearbox Bearing HD SANDVIK
000000000010000049,EN,PLC Digital Output Card 10/8 KSB
000000000010000050,EN,Crusher Hydroset Cylinder 55KW SIEMENS
000000000010000051,EN,Slurry Density Transmitter 8/6 FLSM
000000000010000052,EN,PLC Digital Output Card 6/4 METSO
000000000010000053,EN,Mill Lube Pump Motor 6/4 METSO
000000000010000054,EN,Apron Feeder Gear Reducer 8/6 MULTOTEC
000000000010000055,EN,Apron Feeder Gear Reducer TYPE A SKF
000000000010000056,EN,Pressure Transmitter Assembly DN150
000000000010000057,EN,Screen Exciter Bearing 8/6 KSB
000000000010000058,EN,Flow Meter Sensor Head HD METSO
000000000010000059,EN,Pump Impeller 150MM WEIR
000000000030000009,EN,Cyclone Apex Liner DN100 SIEMENS
000000000010000060,EN,Hydraulic Pump Assembly 55KW KSB
000000000010000061,EN,Vertical Sump Pump Column 6/4 KSB
000000000010000062,EN,Ball Mill Trunnion Bearing 55KW SIEMENS
000000000030000010,EN,Valve Assembly 110KW SKF
000000000030000011,EN,Flow Meter Sensor Head 200MM WEIR
000000000010000063,EN,Ball Mill Trunnion Bearing DN150
000000000010000064,EN,Level Radar Transmitter 8/6 SEW
000000000010000065,EN,Level Radar Transmitter 6/4 METSO
000000000080000014,EN,Crusher Hydroset Cylinder TYPE A SKF
000000000010000066,EN,Level Radar Transmitter 8/6 SIEMENS
000000000010000067,EN,Ball Mill Gearbox Assembly TYPE A
000000000080000015,EN,Thickener Rake Drive Gearbox HD ABB
000000000080000016,EN,Cyclone Apex Liner TYPE B ABB
000000000010000068,EN,Hydraulic Pump Assembly 6/4 SANDVIK
000000000010000069,EN,Hydraulic Power Pack DN100 SKF
000000000010000070,EN,Hydraulic Power Pack TYPE B MULTOTEC
000000000010000071,EN,MCC Feeder Circuit Breaker 10/8 KSB
000000000090000002,EN,Level Radar Transmitter HD KSB
000000000010000072,EN,Skirt Rubber Liner Section 10/8 SEW
000000000080000017,EN,Conveyor Pulley Bearing 200MM SANDVIK
000000000010000073,EN,Conveyor Take-Up Pulley 250KW SKF
000000000010000074,EN,Conveyor Pulley Bearing 110KW WEIR
000000000030000012,EN,Flow Meter Sensor Head TYPE B FLSM
000000000010000075,EN,Variable Speed Drive Unit DN100 SIEMENS
000000000010000076,EN,Crusher Main Shaft Bearing 10/8 SANDVIK
000000000010000077,EN,Slurry Pump Mechanical Seal 10/8 SEW
000000000010000078,EN,Ventilation Fan Motor DN150 WEIR
000000000010000079,EN,Crusher Hydroset Cylinder DN150 METSO
000000000010000080,EN,Pump Impeller TYPE A SANDVIK
000000000010000081,EN,Gland Packing Seal Ring 150MM FLSM
000000000080000018,EN,PLC Digital Output Card 250MM SIEMENS
000000000080000019,EN,Flotation Blower Motor 250KW ABB
000000000030000013,EN,Mill Liner 10/8 METSO
000000000010000082,EN,Thickener Rake Seal Kit 10/8 ABB
000000000030000014,EN,Flotation Blower Motor TYPE B SIEMENS
000000000010000083,EN,PLC Digital Output Card 110KW SIEMENS
000000000010000084,EN,Flotation Cell Impeller 250KW SANDVIK
000000000010000085,EN,Hydraulic Power Pack 250KW SKF
000000000080000020,EN,Level Radar Transmitter 200MM KSB
000000000010000086,EN,Belt Scraper Blade Cartridge 55KW KSB
000000000010000087,EN,Hydraulic Power Pack DN150 MULTOTEC
000000000030000015,EN,Crusher Main Shaft Bearing TYPE A KSB
000000000010000088,EN,Crusher Hydroset Cylinder 200MM SEW
000000000080000021,EN,Gland Packing Seal Ring 110KW ABB
000000000080000022,EN,Skirt Rubber Liner Section TYPE B WEIR
000000000080000023,EN,Ball Mill Trunnion Bearing 55KW MULTOTEC
000000000010000089,EN,Mill Lube Pump Motor TYPE A SIEMENS
000000000010000090,EN,Conveyor Idler Roller Set 6/4 SANDVIK
000000000010000091,EN,Flotation Blower Motor DN100 FLSM
000000000010000092,EN,Slurry Density Transmitter 110KW SANDVIK
000000000010000093,EN,Hydraulic Pump Assembly 10/8 WEIR
000000000010000094,EN,Mill Liner DN150 METSO
000000000030000016,EN,PLC Digital Output Card HD MULTOTEC
000000000010000095,EN,MCC Feeder Circuit Breaker HD ABB
000000000010000096,EN,Crusher Main Shaft Bearing 250MM SEW
000000000010000097,EN,Apron Feeder Gear Reducer 110KW SKF
000000000030000017,EN,Centrifugal Pump Casing TYPE A METSO
000000000010000098,EN,Apron Feeder Gear Reducer HD SKF
000000000010000099,EN,PLC Digital Output Card 8/6 MULTOTEC
000000000010000100,EN,Flotation Cell Impeller DN150 SKF
000000000090000003,EN,Mill Liner 6/4 METSO
000000000010000101,EN,Vertical Sump Pump Column 250KW KSB
000000000030000018,EN,Pump Impeller 150MM SIEMENS
000000000010000102,EN,Ball Mill Gearbox Assembly DN100 WEIR
000000000080000024,EN,Flow Meter Sensor Head TYPE A ABB
000000000010000103,EN,Crusher Hydroset Cylinder HD KSB
000000000030000019,EN,Vertical Sump Pump Column 110KW KSB
000000000010000104,EN,Variable Speed Drive Unit 250KW ABB
000000000010000105,EN,PLC Digital Output Card TYPE B SEW
000000000010000106,EN,Gearbox Bearing HD KSB
000000000010000107,EN,Conveyor Take-Up Pulley TYPE B SIEMENS
000000000010000108,EN,Skirt Rubber Liner Section DN150 FLSM
000000000010000109,EN,Ball Mill Shell Liner Plate 110KW
000000000080000025,EN,Crusher Main Shaft Bearing 200MM SANDVIK
000000000010000110,EN,Ball Mill Shell Liner Plate 250KW FLSM
000000000030000020,EN,Cyclone Apex Liner DN100 SANDVIK
000000000010000111,EN,Ball Mill Shell Liner Plate 8/6 METSO
000000000010000112,EN,Slurry Pump Mechanical Seal 250MM FLSM
000000000010000113,EN,Cyclone Apex Liner TYPE A SKF
000000000010000114,EN,Spherical Roller Bearing TYPE A ABB
000000000010000115,EN,Slurry Pump Wet End Assembly 250MM SKF
000000000010000116,EN,Ball Mill Shell Liner Plate DN150 WEIR
000000000030000021,EN,Belt Scraper Blade Cartridge DN150 ABB
000000000010000117,EN,Ball Mill Gearbox Assembly DN100 ABB
000000000010000118,EN,Slurry Pump Wet End Assembly 250KW WEIR
000000000010000119,EN,Screen Exciter Bearing DN150 METSO
000000000010000120,EN,Vertical Sump Pump Column DN150 ABB
000000000030000022,EN,Apron Feeder Gear Reducer 6/4 METSO
000000000090000004,EN,Slurry Density Transmitter 6/4 ABB
000000000010000121,EN,MCC Feeder Circuit Breaker 250MM KSB
000000000010000122,EN,Crusher Hydroset Cylinder 150MM SIEMENS
000000000010000123,EN,Ball Mill Shell Liner Plate TYPE B
000000000010000124,EN,Ball Mill Gearbox Assembly 6/4 FLSM
000000000080000026,EN,Ventilation Fan Motor DN150 MULTOTEC
000000000010000125,EN,Crusher Main Shaft Bearing 150MM SEW
000000000080000027,EN,Thickener Rake Drive Gearbox 8/6 KSB
000000000010000126,EN,Thickener Rake Seal Kit TYPE A SEW
000000000010000127,EN,Thickener Rake Seal Kit 250MM ABB
000000000010000128,EN,Conveyor Drive Motor TYPE B SEW
000000000010000129,EN,Hydraulic Power Pack 200MM FLSM
000000000010000130,EN,Belt Scraper Blade Cartridge DN100 FLSM
000000000010000131,EN,Ventilation Fan Motor 200MM MULTOTEC
000000000010000132,EN,Spherical Roller Bearing 250MM SKF
000000000010000133,EN,Flotation Blower Motor 8/6 ABB
000000000010000134,EN,Apron Feeder Gear Reducer 250KW WEIR
000000000010000135,EN,Ball Mill Shell Liner Plate 10/8 ABB
000000000010000136,EN,Variable Speed Drive Unit 250KW SEW
000000000090000005,EN,Spherical Roller Bearing HD ABB
000000000010000137,EN,Valve Assembly 250MM WEIR
000000000010000138,EN,Flotation Cell Impeller 6/4 SEW
000000000080000028,EN,Conveyor Idler Roller Set 250MM METSO
000000000080000029,EN,Thickener Rake Seal Kit DN150 KSB
000000000010000139,EN,Conveyor Take-Up Pulley 200MM METSO
000000000010000140,EN,Level Radar Transmitter TYPE A FLSM
000000000010000141,EN,Mill Lube Pump Motor HD SIEMENS
000000000080000030,EN,Thickener Rake Drive Gearbox TYPE B FLSM
000000000010000142,EN,Ball Mill Shell Liner Plate 8/6 WEIR
000000000010000143,EN,Soft Starter Power Module 6/4 KSB
000000000010000144,EN,Conveyor Idler Roller Set 150MM SEW
000000000010000145,EN,Ball Mill Trunnion Bearing 200MM WEIR
000000000080000031,EN,Screen Exciter Bearing 10/8 ABB
000000000010000146,EN,Hydraulic Power Pack HD WEIR
000000000010000147,EN,Screen Exciter Bearing 8/6 KSB
000000000030000023,EN,Crusher Main Shaft Bearing DN150 FLSM
000000000010000148,EN,Screen Exciter Bearing DN150 SIEMENS
000000000010000149,EN,Centrifugal Pump Casing 55KW SIEMENS
000000000080000032,EN,Flotation Cell Impeller 150MM METSO
000000000010000150,EN,Pressure Transmitter Assembly HD
000000000010000151,EN,Pump Impeller TYPE B SIEMENS
000000000010000152,EN,Conveyor Drive Gearbox 10/8 ABB
000000000010000153,EN,Slurry Pump Mechanical Seal 250MM SEW
000000000080000033,EN,Mill Lube Pump Motor 150MM SKF
000000000010000154,EN,Ball Mill Shell Liner Plate DN100 SEW
000000000010000155,EN,Flow Meter Sensor Head 150MM SEW
000000000010000156,EN,Vertical Sump Pump Column 250MM SKF
000000000080000034,EN,Belt Scraper Blade Cartridge 250MM ABB
000000000010000157,EN,Hydraulic Pump Assembly 8/6 MULTOTEC
000000000030000024,EN,Hydraulic Pump Assembly 6/4 ABB
000000000080000035,EN,Gearbox Bearing 8/6 MULTOTEC
000000000010000158,EN,Conveyor Idler Roller Set 200MM SANDVIK
000000000010000159,EN,Flotation Cell Impeller 10/8 KSB
000000000010000160,EN,Conveyor Drive Motor 250KW KSB
000000000080000036,EN,Cyclone Apex Liner 8/6 SEW
000000000010000161,EN,Hydraulic Pump Assembly TYPE A KSB
000000000010000162,EN,Vertical Sump Pump Column 150MM KSB
000000000010000163,EN,Level Radar Transmitter TYPE A ABB
000000000080000037,EN,Slurry Density Transmitter TYPE A ABB
000000000010000164,EN,Hydraulic Pump Assembly 6/4 WEIR
000000000010000165,EN,Hydraulic Power Pack DN150 SKF
000000000010000166,EN,Ventilation Fan Motor DN150 SANDVIK
000000000010000167,EN,Vertical Sump Pump Column 150MM METSO
000000000010000168,EN,Centrifugal Pump Casing 55KW SIEMENS
000000000080000038,EN,Centrifugal Pump Casing 6/4 MULTOTEC
000000000010000169,EN,Conveyor Pulley Bearing 250KW MULTOTEC
000000000010000170,EN,MCC Feeder Circuit Breaker 150MM
000000000080000039,EN,Slurry Density Transmitter 250KW
000000000010000171,EN,Skirt Rubber Liner Section 250MM FLSM
000000000030000025,EN,Hydraulic Power Pack 150MM SEW
000000000030000026,EN,Pressure Transmitter Assembly 10/8
000000000010000172,EN,MCC Feeder Circuit Breaker DN150 KSB
000000000030000027,EN,Skirt Rubber Liner Section 55KW WEIR
000000000030000028,EN,Skirt Rubber Liner Section 110KW FLSM
000000000010000173,EN,Belt Scraper Blade Cartridge 6/4 ABB
000000000010000174,EN,Hydraulic Pump Assembly 55KW SANDVIK
000000000030000029,EN,Pressure Transmitter Assembly 250KW KSB
000000000010000175,EN,Crusher Hydroset Cylinder TYPE B SIEMENS
000000000010000176,EN,Vertical Sump Pump Column 250MM SIEMENS
000000000010000177,EN,Flotation Cell Impeller 250KW FLSM
000000000010000178,EN,Soft Starter Power Module 250KW KSB
000000000030000030,EN,Crusher Hydroset Cylinder 150MM MULTOTEC
000000000010000179,EN,Ventilation Fan Motor 250MM FLSM
000000000010000180,EN,Cyclone Apex Liner 10/8 FLSM
000000000010000181,EN,Screen Exciter Bearing 8/6 FLSM
000000000010000182,EN,Thickener Rake Seal Kit TYPE A SANDVIK
000000000010000183,EN,Level Radar Transmitter 8/6 FLSM
000000000010000184,EN,Screen Exciter Bearing 55KW SIEMENS
000000000010000185,EN,Thickener Rake Drive Gearbox HD
000000000010000186,EN,Crusher Hydroset Cylinder 6/4 METSO
000000000010000187,EN,Vertical Sump Pump Column 8/6 METSO
000000000010000188,EN,MCC Feeder Circuit Breaker 8/6 MULTOTEC
000000000010000189,EN,Cyclone Apex Liner TYPE B METSO
000000000010000190,EN,Ball Mill Gearbox Assembly 110KW ABB
000000000010000191,EN,Hydraulic Pump Assembly DN150 SIEMENS
000000000080000040,EN,Slurry Density Transmitter 250KW SKF
000000000010000192,EN,Slurry Pump Wet End Assembly TYPE B SKF
000000000010000193,EN,Mill Lube Pump Motor 250KW WEIR
000000000080000041,EN,Centrifugal Pump Casing 8/6 WEIR
000000000090000006,EN,MCC Feeder Circuit Breaker 150MM WEIR
000000000080000042,EN,Gland Packing Seal Ring TYPE B SANDVIK
000000000010000194,EN,Flow Meter Sensor Head 110KW ABB
000000000030000031,EN,MCC Feeder Circuit Breaker DN150 WEIR
000000000080000043,EN,Gearbox Bearing 200MM ABB
000000000080000044,EN,Ball Mill Trunnion Bearing DN100 KSB
000000000010000195,EN,Ball Mill Shell Liner Plate 8/6 WEIR
000000000010000196,EN,PLC Digital Output Card 250KW MULTOTEC
000000000090000007,EN,Thickener Rake Seal Kit TYPE A MULTOTEC
000000000010000197,EN,PLC Digital Output Card 250KW METSO
000000000030000032,EN,Conveyor Drive Motor 8/6 SANDVIK
000000000080000045,EN,Ball Mill Shell Liner Plate 250MM
000000000010000198,EN,Pressure Transmitter Assembly HD
000000000030000033,EN,Skirt Rubber Liner Section 110KW SANDVIK
000000000080000046,EN,Ball Mill Gearbox Assembly 6/4 SIEMENS
000000000010000199,EN,Soft Starter Power Module DN150 WEIR
000000000080000047,EN,Flotation Cell Impeller 8/6 WEIR
000000000010000200,EN,Conveyor Idler Roller Set 55KW SKF
000000000010000201,EN,Conveyor Take-Up Pulley 250KW SIEMENS
000000000030000034,EN,PLC Digital Output Card 10/8 ABB
000000000010000202,EN,Slurry Density Transmitter 250KW SEW
000000000010000203,EN,Flow Meter Sensor Head TYPE B SANDVIK
000000000030000035,EN,Gearbox Bearing DN100 FLSM
000000000030000036,EN,Pressure Transmitter Assembly 250KW WEIR
000000000010000204,EN,Soft Starter Power Module 55KW WEIR
000000000010000205,EN,Pump Impeller HD SEW
000000000080000048,EN,Hydraulic Power Pack 110KW KSB
000000000030000037,EN,Flotation Blower Motor 55KW SEW
000000000010000206,EN,Hydraulic Pump Assembly 250MM SKF
000000000010000207,EN,Flow Meter Sensor Head 250MM METSO
000000000030000038,EN,Pressure Transmitter Assembly 110KW
000000000010000208,EN,Mill Lube Pump Motor 200MM KSB
000000000090000008,EN,Apron Feeder Gear Reducer 200MM SKF
000000000010000209,EN,Screen Exciter Bearing 6/4 SEW
000000000030000039,EN,Conveyor Idler Roller Set TYPE B SANDVIK
000000000010000210,EN,Conveyor Take-Up Pulley DN100 SIEMENS
000000000080000049,EN,Spherical Roller Bearing 250KW SIEMENS
000000000010000211,EN,Hydraulic Pump Assembly 250MM METSO
000000000080000050,EN,Conveyor Take-Up Pulley TYPE B SANDVIK
000000000010000212,EN,Gland Packing Seal Ring 6/4 FLSM
000000000010000213,EN,Hydraulic Pump Assembly 150MM WEIR
000000000080000051,EN,Ball Mill Trunnion Bearing HD SEW
000000000010000214,EN,Conveyor Idler Roller Set 6/4 WEIR
000000000010000215,EN,Crusher Hydroset Cylinder TYPE B METSO
000000000010000216,EN,Crusher Hydroset Cylinder TYPE A ABB
000000000090000009,EN,Level Radar Transmitter HD KSB
000000000010000217,EN,Conveyor Pulley Bearing 200MM SIEMENS
000000000010000218,EN,Ball Mill Shell Liner Plate 6/4 FLSM
000000000010000219,EN,Cyclone Apex Liner TYPE B ABB
000000000080000052,EN,Crusher Main Shaft Bearing 250MM SIEMENS
000000000080000053,EN,Level Radar Transmitter 55KW ABB
000000000080000054,EN,Vertical Sump Pump Column 200MM KSB
000000000010000220,EN,Variable Speed Drive Unit 55KW SANDVIK
000000000090000010,EN,Conveyor Drive Gearbox TYPE A SANDVIK
000000000090000011,EN,Mill Lube Pump Motor DN100 FLSM
000000000030000040,EN,Ball Mill Trunnion Bearing DN100
000000000030000041,EN,Crusher Hydroset Cylinder 250KW SKF
000000000090000012,EN,Valve Assembly 110KW KSB
000000000010000221,EN,Gearbox Bearing TYPE A WEIR
000000000080000055,EN,Slurry Pump Wet End Assembly 200MM ABB
000000000010000222,EN,Mill Liner 150MM WEIR
000000000010000223,EN,Slurry Pump Wet End Assembly DN100 METSO
000000000010000224,EN,Cyclone Apex Liner 150MM KSB
000000000010000225,EN,Conveyor Drive Gearbox TYPE A FLSM
000000000010000226,EN,Soft Starter Power Module HD SANDVIK
000000000010000227,EN,Belt Scraper Blade Cartridge TYPE B
000000000030000042,EN,Ventilation Fan Motor 150MM WEIR
000000000080000056,EN,Pressure Transmitter Assembly HD
000000000090000013,EN,Flow Meter Sensor Head 250MM WEIR
000000000080000057,EN,Slurry Pump Wet End Assembly DN100 WEIR
000000000010000228,EN,Conveyor Drive Gearbox DN150 KSB
000000000080000058,EN,Pump Impeller HD SANDVIK
000000000010000229,EN,Cyclone Apex Liner 10/8 METSO
000000000030000043,EN,Gland Packing Seal Ring HD WEIR
000000000030000044,EN,Ball Mill Trunnion Bearing 110KW SIEMENS
000000000010000230,EN,Vertical Sump Pump Column 250KW FLSM
000000000030000045,EN,Crusher Hydroset Cylinder 250MM METSO
000000000010000231,EN,Vertical Sump Pump Column DN100 SANDVIK
000000000010000232,EN,Skirt Rubber Liner Section DN100 SKF
000000000010000233,EN,Valve Assembly HD MULTOTEC
000000000010000234,EN,Level Radar Transmitter 6/4 ABB
000000000010000235,EN,Slurry Density Transmitter DN150 SEW
000000000030000046,EN,Hydraulic Pump Assembly 110KW MULTOTEC
000000000010000236,EN,Slurry Pump Wet End Assembly HD METSO
000000000030000047,EN,Thickener Rake Drive Gearbox TYPE B FLSM
000000000010000237,EN,Thickener Rake Drive Gearbox TYPE A SKF
000000000010000238,EN,Crusher Hydroset Cylinder 110KW SIEMENS
000000000030000048,EN,Cyclone Apex Liner DN150 ABB
000000000010000239,EN,MCC Feeder Circuit Breaker TYPE B KSB
000000000010000240,EN,Slurry Density Transmitter 250KW FLSM
000000000010000241,EN,Ball Mill Gearbox Assembly 110KW SIEMENS
000000000010000242,EN,Ball Mill Gearbox Assembly 55KW KSB
000000000030000049,EN,Slurry Pump Wet End Assembly 250MM WEIR
000000000010000243,EN,Conveyor Pulley Bearing DN150 SEW
000000000090000014,EN,Vertical Sump Pump Column 6/4 ABB
000000000010000244,EN,Hydraulic Power Pack TYPE B SEW
000000000010000245,EN,Flotation Cell Impeller 6/4 SEW
000000000010000246,EN,Thickener Rake Drive Gearbox TYPE B SKF
000000000010000247,EN,Soft Starter Power Module 8/6 SEW
000000000010000248,EN,Soft Starter Power Module HD SEW
000000000080000059,EN,Valve Assembly TYPE A SIEMENS
000000000030000050,EN,Gland Packing Seal Ring TYPE B SKF
000000000010000249,EN,Screen Exciter Bearing 250MM WEIR
000000000080000060,EN,Variable Speed Drive Unit 150MM METSO
000000000080000061,EN,Hydraulic Pump Assembly 150MM KSB
000000000080000062,EN,Agitator Shaft Seal 10/8 SKF
000000000010000250,EN,Conveyor Take-Up Pulley DN150 SKF
000000000080000063,EN,Ball Mill Trunnion Bearing 55KW SANDVIK
000000000010000251,EN,Slurry Pump Mechanical Seal 8/6 SANDVIK
000000000010000252,EN,Thickener Rake Seal Kit 110KW METSO
000000000010000253,EN,Flotation Blower Motor 200MM FLSM
000000000030000051,EN,Flotation Cell Impeller DN150 SIEMENS
000000000010000254,EN,Flotation Cell Impeller 10/8 WEIR
000000000010000255,EN,MCC Feeder Circuit Breaker TYPE B METSO
000000000010000256,EN,Level Radar Transmitter 8/6 WEIR
000000000090000015,EN,Mill Lube Pump Motor DN100 METSO
000000000030000052,EN,Pressure Transmitter Assembly 150MM
000000000010000257,EN,PLC Digital Output Card TYPE A SEW
000000000010000258,EN,Conveyor Drive Motor 55KW ABB
000000000010000259,EN,Flotation Cell Impeller 150MM SEW
000000000080000064,EN,Gland Packing Seal Ring TYPE B FLSM
000000000010000260,EN,Crusher Hydroset Cylinder 200MM MULTOTEC
000000000080000065,EN,Mill Liner 6/4 WEIR
000000000010000261,EN,Hydraulic Pump Assembly DN100 MULTOTEC
000000000010000262,EN,Ventilation Fan Motor HD FLSM
000000000010000263,EN,Flotation Cell Impeller HD SIEMENS
000000000010000264,EN,Flotation Cell Impeller 250KW ABB
000000000010000265,EN,Flotation Cell Impeller 110KW ABB
000000000010000266,EN,Conveyor Idler Roller Set DN100 SEW
000000000030000053,EN,Ball Mill Gearbox Assembly 8/6 WEIR
000000000080000066,EN,Thickener Rake Drive Gearbox 250MM
000000000030000054,EN,Pump Impeller 150MM ABB
000000000030000055,EN,Conveyor Idler Roller Set DN100 SIEMENS
000000000010000267,EN,Ventilation Fan Motor HD FLSM
000000000030000056,EN,Slurry Pump Mechanical Seal 250KW
000000000010000268,EN,Screen Exciter Bearing HD SANDVIK
000000000010000269,EN,Ball Mill Gearbox Assembly 150MM WEIR
000000000080000067,EN,Crusher Hydroset Cylinder 150MM WEIR
000000000080000068,EN,Thickener Rake Seal Kit 200MM FLSM
000000000010000270,EN,PLC Digital Output Card 6/4 METSO
000000000010000271,EN,MCC Feeder Circuit Breaker 250MM FLSM
000000000010000272,EN,Thickener Rake Drive Gearbox HD KSB
000000000010000273,EN,Ball Mill Shell Liner Plate 6/4 SANDVIK
000000000030000057,EN,Ball Mill Shell Liner Plate DN100 WEIR
000000000030000058,EN,Valve Assembly HD ABB
000000000010000274,EN,Slurry Pump Mechanical Seal HD KSB
000000000080000069,EN,Thickener Rake Seal Kit HD WEIR
000000000080000070,EN,Pump Impeller 250KW SEW
000000000010000275,EN,Mill Lube Pump Motor 110KW SIEMENS
000000000030000059,EN,Mill Lube Pump Motor TYPE A KSB
000000000030000060,EN,Crusher Hydroset Cylinder 8/6 KSB
000000000010000276,EN,Thickener Rake Drive Gearbox TYPE B SEW
000000000010000277,EN,Flow Meter Sensor Head 55KW SANDVIK
000000000010000278,EN,Slurry Density Transmitter HD METSO
000000000010000279,EN,Conveyor Take-Up Pulley TYPE B SIEMENS
000000000010000280,EN,Soft Starter Power Module 250KW SANDVIK
000000000010000281,EN,Centrifugal Pump Casing TYPE A SEW
000000000010000282,EN,Hydraulic Pump Assembly 250MM ABB
000000000030000061,EN,Ball Mill Trunnion Bearing 250KW FLSM
000000000010000283,EN,Conveyor Drive Motor 250MM SEW
000000000010000284,EN,Crusher Main Shaft Bearing TYPE A SKF
000000000010000285,EN,Conveyor Take-Up Pulley 200MM WEIR
000000000080000071,EN,Conveyor Drive Motor TYPE B SANDVIK
000000000010000286,EN,Thickener Rake Drive Gearbox 250KW
000000000010000287,EN,Slurry Pump Mechanical Seal 8/6 ABB
000000000010000288,EN,Mill Liner TYPE B WEIR
000000000010000289,EN,Ball Mill Shell Liner Plate 200MM ABB
000000000010000290,EN,Slurry Density Transmitter DN100
000000000010000291,EN,Valve Assembly 10/8 SEW
000000000010000292,EN,Cyclone Apex Liner 250KW SANDVIK
000000000010000293,EN,Ball Mill Shell Liner Plate HD SKF
000000000010000294,EN,Valve Assembly 55KW KSB
000000000080000072,EN,Pump Impeller TYPE B SKF
000000000010000295,EN,Slurry Pump Mechanical Seal 250MM FLSM
000000000010000296,EN,Crusher Main Shaft Bearing 200MM ABB
