Matnr,Bwkey,Lbkum,Salk3,Vprsv,Verpr,Stprs,Peinh,Bklas
000000000080000005,4000,2.000,519266.62,V,259633.31,0.00,1.000,3200
000000000080000005,2000,10.000,2596333.10,V,259633.31,0.00,1.000,3200
000000000010000027,3000,0.000,0.00,V,96499.93,0.00,1.000,3200
000000000010000028,2000,1.000,72346.01,V,72346.01,0.00,1.000,3200
000000000010000028,4000,9.000,651114.09,V,72346.01,0.00,1.000,3200
000000000010000029,3000,26.000,11292596.64,V,434330.64,0.00,1.000,3200
000000000010000029,2000,238.000,103370692.32,V,434330.64,0.00,1.000,3200
000000000030000004,4000,5.000,595356.70,V,119071.34,0.00,1.000,3200
000000000010000030,4000,64.000,561520.00,V,8773.75,0.00,1.000,3200
000000000010000031,3000,0.000,0.00,V,173916.08,0.00,1.000,3200
000000000010000032,4000,5.000,133662.50,V,26732.50,0.00,1.000,3200
000000000010000033,1000,0.000,0.00,V,178174.97,0.00,1.000,3200
000000000010000034,1000,4.000,2449407.16,V,612351.79,0.00,1.000,3200
000000000080000006,2000,14.000,2449820.94,V,174987.21,0.00,1.000,3200
000000000010000035,1000,0.000,0.00,V,116564.77,0.00,1.000,3200
000000000010000036,3000,1.000,90675.48,V,90675.48,0.00,1.000,3200
000000000010000036,2000,1.000,90675.48,V,90675.48,0.00,1.000,3200
000000000010000037,1000,6.000,274889.88,V,45814.98,0.00,1.000,3200
000000000090000001,1000,25.000,4041645.25,V,161665.81,0.00,1.000,3200
000000000010000038,3000,44.000,296845.12,V,6746.48,0.00,1.000,3200
000000000080000007,1000,27.000,9756131.13,V,361338.19,0.00,1.000,3200
000000000010000039,2000,0.000,0.00,V,58419.65,0.00,1.000,3200
000000000030000005,3000,3.000,321794.19,V,107264.73,0.00,1.000,3200
000000000010000040,1000,3.000,99662.79,V,33220.93,0.00,1.000,3200
000000000010000041,4000,7.000,925115.38,V,132159.34,0.00,1.000,3200
000000000010000042,1000,0.000,0.00,V,41884.25,0.00,1.000,3200
000000000030000006,2000,1.000,15593.48,V,15593.48,0.00,1.000,3200
000000000080000008,4000,0.000,0.00,V,281853.73,0.00,1.000,3200
000000000080000009,1000,8.000,844937.60,V,105617.20,0.00,1.000,3200
000000000080000009,4000,14.000,1478640.80,V,105617.20,0.00,1.000,3200
000000000080000010,3000,4.000,247877.28,V,61969.32,0.00,1.000,3200
000000000030000007,1000,1.000,78081.04,V,78081.04,0.00,1.000,3200
000000000030000008,3000,2.000,301494.84,V,150747.42,0.00,1.000,3200
000000000010000043,1000,9.000,592184.88,V,65798.32,0.00,1.000,3200
000000000010000043,4000,5.000,328991.60,V,65798.32,0.00,1.000,3200
000000000010000044,3000,3.000,225307.29,V,75102.43,0.00,1.000,3200
000000000010000045,4000,85.000,1615135.15,V,19001.59,0.00,1.000,3200
000000000080000011,2000,12.000,1322117.52,V,110176.46,0.00,1.000,3200
000000000080000012,3000,7.000,2378446.63,V,339778.09,0.00,1.000,3200
000000000010000046,2000,0.000,0.00,V,797473.31,0.00,1.000,3200
000000000010000047,1000,0.000,0.00,V,144802.79,0.00,1.000,3200
000000000010000047,4000,0.000,0.00,V,144802.79,0.00,1.000,3200
000000000010000048,4000,29.000,577596.19,V,19917.11,0.00,1.000,3200
000000000080000013,3000,4.000,151849.80,V,37962.45,0.00,1.000,3200
000000000010000049,3000,12.000,94141.80,V,7845.15,0.00,1.000,3200
000000000010000049,1000,116.000,910037.40,V,7845.15,0.00,1.000,3200
000000000010000050,2000,0.000,0.00,V,147376.76,0.00,1.000,3200
000000000010000050,4000,0.000,0.00,V,147376.76,0.00,1.000,3200
000000000010000051,2000,0.000,0.00,V,138205.81,0.00,1.000,3200
000000000010000052,3000,14.000,1649288.20,V,117806.30,0.00,1.000,3200
000000000010000053,1000,60.000,35602262.40,V,593371.04,0.00,1.000,3200
000000000010000054,1000,7.000,229205.97,V,32743.71,0.00,1.000,3200
000000000010000055,3000,1.000,44707.09,V,44707.09,0.00,1.000,3200
000000000010000056,3000,0.000,0.00,V,85635.15,0.00,1.000,3200
000000000010000056,2000,0.000,0.00,V,85635.15,0.00,1.000,3200
000000000010000057,1000,2.000,187571.50,V,93785.75,0.00,1.000,3200
000000000010000058,4000,0.000,0.00,V,62837.15,0.00,1.000,3200
000000000010000059,3000,12.000,8837451.48,V,736454.29,0.00,1.000,3200
000000000030000009,3000,5.000,1730320.30,V,346064.06,0.00,1.000,3200
000000000010000060,2000,99.000,2219952.24,V,22423.76,0.00,1.000,3200
000000000010000060,4000,38.000,852102.88,V,22423.76,0.00,1.000,3200
000000000010000061,3000,8.000,866914.96,V,108364.37,0.00,1.000,3200
000000000010000062,3000,2.000,255910.86,V,127955.43,0.00,1.000,3200
000000000030000010,4000,6.000,1262676.60,V,210446.10,0.00,1.000,3200
000000000030000011,1000,6.000,951257.76,V,158542.96,0.00,1.000,3200
000000000030000011,3000,0.000,0.00,V,158542.96,0.00,1.000,3200
000000000010000063,3000,8.000,946994.24,V,118374.28,0.00,1.000,3200
000000000010000064,2000,0.000,0.00,V,386876.89,0.00,1.000,3200
000000000010000065,4000,6.000,349147.02,V,58191.17,0.00,1.000,3200
000000000080000014,4000,0.000,0.00,V,96143.63,0.00,1.000,3200
000000000010000066,3000,14.000,83255.34,V,5946.81,0.00,1.000,3200
000000000010000066,4000,4.000,23787.24,V,5946.81,0.00,1.000,3200
000000000010000067,3000,0.000,0.00,V,95916.97,0.00,1.000,3200
000000000080000015,3000,4.000,1451277.56,V,362819.39,0.00,1.000,3200
000000000080000016,1000,7.000,2764114.92,V,394873.56,0.00,1.000,3200
000000000080000016,2000,7.000,2764114.92,V,394873.56,0.00,1.000,3200
000000000010000068,2000,0.000,0.00,V,14159.93,0.00,1.000,3200
000000000010000069,4000,0.000,0.00,V,158120.43,0.00,1.000,3200
000000000010000070,2000,120.000,568920.00,V,4741.00,0.00,1.000,3200
000000000010000071,3000,9.000,5403248.19,V,600360.91,0.00,1.000,3200
000000000090000002,2000,12.000,2146260.36,V,178855.03,0.00,1.000,3200
000000000010000072,4000,24.000,569323.68,V,23721.82,0.00,1.000,3200
000000000080000017,2000,22.000,4658613.30,V,211755.15,0.00,1.000,3200
000000000080000017,3000,9.000,1905796.35,V,211755.15,0.00,1.000,3200
000000000010000073,3000,35.000,44501.80,V,1271.48,0.00,1.000,3200
000000000010000074,1000,1.000,117308.38,V,117308.38,0.00,1.000,3200
000000000030000012,3000,0.000,0.00,V,15908.99,0.00,1.000,3200
000000000010000075,2000,101.000,1569079.44,V,15535.44,0.00,1.000,3200
000000000010000075,1000,121.000,1879788.24,V,15535.44,0.00,1.000,3200
000000000010000076,2000,0.000,0.00,V,96305.23,0.00,1.000,3200
000000000010000077,2000,17.000,1419193.83,V,83481.99,0.00,1.000,3200
000000000010000078,3000,0.000,0.00,V,63122.94,0.00,1.000,3200
000000000010000079,1000,55.000,391368.45,V,7115.79,0.00,1.000,3200
000000000010000080,2000,1.000,175217.29,V,175217.29,0.00,1.000,3200
000000000010000081,1000,0.000,0.00,V,281061.65,0.00,1.000,3200
000000000010000081,3000,0.000,0.00,V,281061.65,0.00,1.000,3200
000000000080000018,4000,3.000,540952.17,V,180317.39,0.00,1.000,3200
000000000080000018,3000,4.000,721269.56,V,180317.39,0.00,1.000,3200
000000000080000019,2000,12.000,3233040.72,V,269420.06,0.00,1.000,3200
000000000030000013,2000,0.000,0.00,V,13325.15,0.00,1.000,3200
000000000010000082,3000,0.000,0.00,V,18136.77,0.00,1.000,3200
000000000030000014,4000,9.000,1084516.65,V,120501.85,0.00,1.000,3200
000000000030000014,1000,1.000,120501.85,V,120501.85,0.00,1.000,3200
000000000010000083,3000,1.000,123294.25,V,123294.25,0.00,1.000,3200
000000000010000084,4000,4.000,454280.56,V,113570.14,0.00,1.000,3200
000000000010000084,2000,6.000,681420.84,V,113570.14,0.00,1.000,3200
000000000010000085,1000,14.000,2362493.70,V,168749.55,0.00,1.000,3200
000000000010000085,3000,6.000,1012497.30,V,168749.55,0.00,1.000,3200
000000000080000020,3000,12.000,3858507.60,V,321542.30,0.00,1.000,3200
000000000080000020,1000,4.000,1286169.20,V,321542.30,0.00,1.000,3200
000000000010000086,4000,1.000,28028.81,V,28028.81,0.00,1.000,3200
000000000010000086,2000,2.000,56057.62,V,28028.81,0.00,1.000,3200
000000000010000087,4000,2.000,235333.52,V,117666.76,0.00,1.000,3200
000000000030000015,3000,0.000,0.00,V,34024.15,0.00,1.000,3200
000000000010000088,4000,5.000,2027459.10,V,405491.82,0.00,1.000,3200
000000000080000021,2000,3.000,622736.70,V,207578.90,0.00,1.000,3200
000000000080000021,3000,2.000,415157.80,V,207578.90,0.00,1.000,3200
000000000080000022,3000,7.000,2575527.08,V,367932.44,0.00,1.000,3200
000000000080000023,3000,13.000,2518013.81,V,193693.37,0.00,1.000,3200
000000000010000089,1000,0.000,0.00,V,235725.00,0.00,1.000,3200
000000000010000090,4000,5.000,506379.35,V,101275.87,0.00,1.000,3200
000000000010000091,4000,110.000,365365.00,V,3321.50,0.00,1.000,3200
000000000010000092,1000,9.000,777930.03,V,86436.67,0.00,1.000,3200
000000000010000093,1000,3.000,129668.01,V,43222.67,0.00,1.000,3200
000000000010000094,2000,195.000,650818.35,V,3337.53,0.00,1.000,3200
000000000030000016,3000,0.000,0.00,V,33127.81,0.00,1.000,3200
000000000030000016,1000,5.000,165639.05,V,33127.81,0.00,1.000,3200
000000000010000095,4000,4.000,910231.00,V,227557.75,0.00,1.000,3200
000000000010000096,2000,19.000,8262041.70,V,434844.30,0.00,1.000,3200
000000000010000097,4000,7.000,928365.41,V,132623.63,0.00,1.000,3200
000000000030000017,3000,0.000,0.00,V,159066.08,0.00,1.000,3200
000000000010000098,1000,10.000,561208.30,V,56120.83,0.00,1.000,3200
000000000010000099,2000,3.000,354765.75,V,118255.25,0.00,1.000,3200
000000000010000099,4000,13.000,1537318.25,V,118255.25,0.00,1.000,3200
000000000010000100,4000,12.000,972757.08,V,81063.09,0.00,1.000,3200
000000000090000003,2000,7.000,141978.06,V,20282.58,0.00,1.000,3200
000000000090000003,3000,18.000,365086.44,V,20282.58,0.00,1.000,3200
000000000010000101,4000,5.000,68401.70,V,13680.34,0.00,1.000,3200
000000000030000018,4000,3.000,1985154.75,V,661718.25,0.00,1.000,3200
000000000010000102,1000,0.000,0.00,V,722584.57,0.00,1.000,3200
000000000080000024,2000,1.000,156541.62,V,156541.62,0.00,1.000,3200
000000000010000103,2000,0.000,0.00,V,137504.38,0.00,1.000,3200
000000000030000019,1000,0.000,0.00,V,45663.54,0.00,1.000,3200
000000000030000019,3000,1.000,45663.54,V,45663.54,0.00,1.000,3200
000000000010000104,3000,18.000,4134559.86,V,229697.77,0.00,1.000,3200
000000000010000104,2000,0.000,0.00,V,229697.77,0.00,1.000,3200
000000000010000105,4000,3.000,142460.07,V,47486.69,0.00,1.000,3200
000000000010000106,3000,32.000,654683.20,V,20458.85,0.00,1.000,3200
000000000010000107,4000,0.000,0.00,V,95720.23,0.00,1.000,3200
000000000010000108,1000,0.000,0.00,V,40437.36,0.00,1.000,3200
000000000010000109,4000,1.000,255293.61,V,255293.61,0.00,1.000,3200
000000000080000025,3000,10.000,4354987.50,V,435498.75,0.00,1.000,3200
000000000080000025,4000,16.000,6967980.00,V,435498.75,0.00,1.000,3200
000000000010000110,2000,7.000,719667.20,V,102809.60,0.00,1.000,3200
000000000030000020,2000,0.000,0.00,V,505530.16,0.00,1.000,3200
000000000010000111,3000,86.000,356390.02,V,4144.07,0.00,1.000,3200
000000000010000112,1000,33.000,21025.29,V,637.13,0.00,1.000,3200
000000000010000113,3000,0.000,0.00,V,77554.54,0.00,1.000,3200
000000000010000114,4000,9.000,107638.56,V,11959.84,0.00,1.000,3200
000000000010000115,4000,0.000,0.00,V,99763.48,0.00,1.000,3200
000000000010000116,2000,3.000,501041.28,V,167013.76,0.00,1.000,3200
000000000010000116,3000,3.000,501041.28,V,167013.76,0.00,1.000,3200
000000000030000021,1000,3.000,135059.64,V,45019.88,0.00,1.000,3200
000000000030000021,4000,5.000,225099.40,V,45019.88,0.00,1.000,3200
000000000010000117,1000,0.000,0.00,V,37785.42,0.00,1.000,3200
000000000010000118,4000,4.000,720740.60,V,180185.15,0.00,1.000,3200
000000000010000119,1000,21.000,3729372.57,V,177589.17,0.00,1.000,3200
000000000010000120,1000,5.000,3775529.25,V,755105.85,0.00,1.000,3200
000000000010000120,4000,4.000,3020423.40,V,755105.85,0.00,1.000,3200
000000000030000022,4000,1.000,179364.22,V,179364.22,0.00,1.000,3200
000000000030000022,1000,5.000,896821.10,V,179364.22,0.00,1.000,3200
000000000090000004,4000,19.000,1052544.71,V,55397.09,0.00,1.000,3200
000000000010000121,4000,0.000,0.00,V,68102.19,0.00,1.000,3200
000000000010000122,3000,4.000,24740.24,V,6185.06,0.00,1.000,3200
000000000010000123,1000,4.000,42948.68,V,10737.17,0.00,1.000,3200
000000000010000124,3000,68.000,1242718.36,V,18275.27,0.00,1.000,3200
000000000080000026,3000,0.000,0.00,V,32874.18,0.00,1.000,3200
000000000080000026,2000,3.000,98622.54,V,32874.18,0.00,1.000,3200
000000000010000125,4000,3.000,180855.66,V,60285.22,0.00,1.000,3200
000000000080000027,1000,1.000,192088.11,V,192088.11,0.00,1.000,3200
000000000010000126,1000,0.000,0.00,V,32028.70,0.00,1.000,3200
000000000010000127,3000,6.000,1039562.28,V,173260.38,0.00,1.000,3200
000000000010000127,1000,0.000,0.00,V,173260.38,0.00,1.000,3200
000000000010000128,4000,0.000,0.00,V,8810.13,0.00,1.000,3200
000000000010000129,4000,0.000,0.00,V,80379.39,0.00,1.000,3200
000000000010000130,2000,0.000,0.00,V,113640.74,0.00,1.000,3200
000000000010000131,1000,10.000,1051260.50,V,105126.05,0.00,1.000,3200
000000000010000132,2000,159.000,464858.76,V,2923.64,0.00,1.000,3200
000000000010000132,1000,42.000,122792.88,V,2923.64,0.00,1.000,3200
000000000010000133,3000,4.000,697233.96,V,174308.49,0.00,1.000,3200
000000000010000134,2000,132.000,11761900.92,V,89105.31,0.00,1.000,3200
000000000010000135,3000,2.000,257588.78,V,128794.39,0.00,1.000,3200
000000000010000135,2000,6.000,772766.34,V,128794.39,0.00,1.000,3200
000000000010000136,1000,11.000,619088.69,V,56280.79,0.00,1.000,3200
000000000090000005,1000,13.000,1686359.87,V,129719.99,0.00,1.000,3200
000000000010000137,3000,83.000,1640715.78,V,19767.66,0.00,1.000,3200
000000000010000138,2000,0.000,0.00,V,104181.01,0.00,1.000,3200
000000000080000028,1000,0.000,0.00,V,349169.11,0.00,1.000,3200
000000000080000029,4000,0.000,0.00,V,262576.48,0.00,1.000,3200
000000000010000139,1000,0.000,0.00,V,160165.04,0.00,1.000,3200
000000000010000140,4000,1.000,124304.73,V,124304.73,0.00,1.000,3200
000000000010000141,4000,35.000,677720.05,V,19363.43,0.00,1.000,3200
000000000080000030,1000,2.000,395519.94,V,197759.97,0.00,1.000,3200
000000000010000142,1000,2.000,143531.32,V,71765.66,0.00,1.000,3200
000000000010000143,1000,0.000,0.00,V,87714.85,0.00,1.000,3200
000000000010000144,2000,0.000,0.00,V,125387.06,0.00,1.000,3200
000000000010000145,1000,2.000,291182.68,V,145591.34,0.00,1.000,3200
000000000080000031,1000,10.000,2720610.20,V,272061.02,0.00,1.000,3200
000000000010000146,4000,0.000,0.00,V,35939.78,0.00,1.000,3200
000000000010000146,1000,0.000,0.00,V,35939.78,0.00,1.000,3200
000000000010000147,2000,10.000,5359109.90,V,535910.99,0.00,1.000,3200
000000000030000023,1000,1.000,72184.91,V,72184.91,0.00,1.000,3200
000000000010000148,4000,1.000,70055.88,V,70055.88,0.00,1.000,3200
000000000010000149,4000,98.000,46239.34,V,471.83,0.00,1.000,3200
000000000080000032,1000,6.000,218781.42,V,36463.57,0.00,1.000,3200
000000000010000150,1000,14.000,1072491.14,V,76606.51,0.00,1.000,3200
000000000010000151,3000,0.000,0.00,V,74420.14,0.00,1.000,3200
000000000010000152,1000,0.000,0.00,V,157625.06,0.00,1.000,3200
000000000010000153,2000,2.000,1287427.82,V,643713.91,0.00,1.000,3200
000000000080000033,4000,5.000,1356104.75,V,271220.95,0.00,1.000,3200
000000000010000154,1000,4.000,674542.08,V,168635.52,0.00,1.000,3200
000000000010000155,3000,4.000,1012229.60,V,253057.40,0.00,1.000,3200
000000000010000156,4000,0.000,0.00,V,72228.84,0.00,1.000,3200
000000000010000156,3000,0.000,0.00,V,72228.84,0.00,1.000,3200
000000000080000034,1000,1.000,218145.59,V,218145.59,0.00,1.000,3200
000000000010000157,2000,2.000,225657.24,V,112828.62,0.00,1.000,3200
000000000010000157,3000,1.000,112828.62,V,112828.62,0.00,1.000,3200
000000000030000024,1000,2.000,26314.10,V,13157.05,0.00,1.000,3200
000000000080000035,4000,11.000,693545.16,V,63049.56,0.00,1.000,3200
000000000080000035,2000,8.000,504396.48,V,63049.56,0.00,1.000,3200
000000000010000158,2000,86.000,1880878.48,V,21870.68,0.00,1.000,3200
000000000010000159,2000,5.000,651481.30,V,130296.26,0.00,1.000,3200
000000000010000160,1000,0.000,0.00,V,31569.40,0.00,1.000,3200
000000000010000160,4000,0.000,0.00,V,31569.40,0.00,1.000,3200
000000000080000036,3000,1.000,25558.23,V,25558.23,0.00,1.000,3200
000000000010000161,4000,158.000,3241164.60,V,20513.70,0.00,1.000,3200
000000000010000161,3000,90.000,1846233.00,V,20513.70,0.00,1.000,3200
000000000010000162,2000,0.000,0.00,V,125571.62,0.00,1.000,3200
000000000010000163,4000,60.000,47328468.60,V,788807.81,0.00,1.000,3200
000000000080000037,2000,3.000,1320786.48,V,440262.16,0.00,1.000,3200
000000000080000037,1000,41.000,18050748.56,V,440262.16,0.00,1.000,3200
000000000010000164,3000,24.000,3649988.16,V,152082.84,0.00,1.000,3200
000000000010000164,4000,2.000,304165.68,V,152082.84,0.00,1.000,3200
000000000010000165,2000,0.000,0.00,V,108623.14,0.00,1.000,3200
000000000010000166,2000,9.000,1387873.71,V,154208.19,0.00,1.000,3200
000000000010000167,3000,0.000,0.00,V,13125.95,0.00,1.000,3200
000000000010000167,2000,0.000,0.00,V,13125.95,0.00,1.000,3200
000000000010000168,2000,0.000,0.00,V,5754.62,0.00,1.000,3200
000000000080000038,3000,5.000,308688.90,V,61737.78,0.00,1.000,3200
000000000010000169,4000,5.000,889125.15,V,177825.03,0.00,1.000,3200
000000000010000170,3000,11.000,763947.69,V,69449.79,0.00,1.000,3200
000000000080000039,1000,2.000,791125.24,V,395562.62,0.00,1.000,3200
000000000080000039,4000,3.000,1186687.86,V,395562.62,0.00,1.000,3200
000000000010000171,2000,3.000,513029.07,V,171009.69,0.00,1.000,3200
000000000030000025,3000,2.000,228073.88,V,114036.94,0.00,1.000,3200
000000000030000026,3000,1.000,162226.85,V,162226.85,0.00,1.000,3200
000000000010000172,1000,6.000,3478335.30,V,579722.55,0.00,1.000,3200
000000000030000027,2000,3.000,1594092.09,V,531364.03,0.00,1.000,3200
000000000030000027,4000,0.000,0.00,V,531364.03,0.00,1.000,3200
000000000030000028,1000,0.000,0.00,V,101608.13,0.00,1.000,3200
000000000030000028,4000,5.000,508040.65,V,101608.13,0.00,1.000,3200
000000000010000173,3000,2.000,318543.54,V,159271.77,0.00,1.000,3200
000000000010000174,2000,63.000,180447.12,V,2864.24,0.00,1.000,3200
000000000010000174,3000,204.000,584304.96,V,2864.24,0.00,1.000,3200
000000000030000029,1000,2.000,16805.76,V,8402.88,0.00,1.000,3200
000000000010000175,4000,13.000,443403.87,V,34107.99,0.00,1.000,3200
000000000010000176,1000,2.000,24417.86,V,12208.93,0.00,1.000,3200
000000000010000177,1000,0.000,0.00,V,94544.64,0.00,1.000,3200
000000000010000177,3000,3.000,283633.92,V,94544.64,0.00,1.000,3200
000000000010000178,3000,0.000,0.00,V,343722.68,0.00,1.000,3200
000000000030000030,3000,7.000,149734.34,V,21390.62,0.00,1.000,3200
000000000030000030,4000,0.000,0.00,V,21390.62,0.00,1.000,3200
000000000010000179,3000,0.000,0.00,V,116634.10,0.00,1.000,3200
000000000010000180,1000,5.000,773711.50,V,154742.30,0.00,1.000,3200
000000000010000180,4000,5.000,773711.50,V,154742.30,0.00,1.000,3200
000000000010000181,2000,4.000,427566.96,V,106891.74,0.00,1.000,3200
000000000010000182,3000,0.000,0.00,V,909.68,0.00,1.000,3200
000000000010000183,1000,27.000,2778876.45,V,102921.35,0.00,1.000,3200
000000000010000183,2000,7.000,720449.45,V,102921.35,0.00,1.000,3200
000000000010000184,1000,254.000,655365.72,V,2580.18,0.00,1.000,3200
000000000010000185,3000,3.000,91682.88,V,30560.96,0.00,1.000,3200
000000000010000186,4000,0.000,0.00,V,151640.16,0.00,1.000,3200
000000000010000187,3000,443.000,10947730.53,V,24712.71,0.00,1.000,3200
000000000010000188,2000,113.000,2349264.35,V,20789.95,0.00,1.000,3200
000000000010000189,2000,0.000,0.00,V,43417.76,0.00,1.000,3200
000000000010000189,1000,0.000,0.00,V,43417.76,0.00,1.000,3200
000000000010000190,3000,22.000,514092.26,V,23367.83,0.00,1.000,3200
000000000010000190,2000,0.000,0.00,V,23367.83,0.00,1.000,3200
000000000010000191,4000,48.000,409520.64,V,8531.68,0.00,1.000,3200
000000000010000191,1000,2.000,17063.36,V,8531.68,0.00,1.000,3200
000000000080000040,1000,19.000,6068151.03,V,319376.37,0.00,1.000,3200
000000000010000192,3000,9.000,365119.29,V,40568.81,0.00,1.000,3200
000000000010000192,4000,17.000,689669.77,V,40568.81,0.00,1.000,3200
000000000010000193,3000,22.000,545792.50,V,24808.75,0.00,1.000,3200
000000000080000041,1000,4.000,140422.76,V,35105.69,0.00,1.000,3200
000000000080000041,4000,8.000,280845.52,V,35105.69,0.00,1.000,3200
000000000090000006,1000,16.000,102031.04,V,6376.94,0.00,1.000,3200
000000000080000042,1000,8.000,2868882.32,V,358610.29,0.00,1.000,3200
000000000010000194,1000,6.000,677730.42,V,112955.07,0.00,1.000,3200
000000000010000194,4000,9.000,1016595.63,V,112955.07,0.00,1.000,3200
000000000030000031,3000,4.000,152112.88,V,38028.22,0.00,1.000,3200
000000000080000043,4000,5.000,1281941.95,V,256388.39,0.00,1.000,3200
000000000080000044,1000,12.000,2486515.68,V,207209.64,0.00,1.000,3200
000000000010000195,1000,1.000,116656.70,V,116656.70,0.00,1.000,3200
000000000010000196,2000,8.000,483745.20,V,60468.15,0.00,1.000,3200
000000000090000007,2000,20.000,1579909.20,V,78995.46,0.00,1.000,3200
000000000010000197,2000,0.000,0.00,V,149514.82,0.00,1.000,3200
000000000010000197,1000,0.000,0.00,V,149514.82,0.00,1.000,3200
000000000030000032,2000,4.000,401474.28,V,100368.57,0.00,1.000,3200
000000000030000032,4000,0.000,0.00,V,100368.57,0.00,1.000,3200
000000000080000045,4000,3.000,97612.47,V,32537.49,0.00,1.000,3200
000000000010000198,2000,3.000,72441.06,V,24147.02,0.00,1.000,3200
000000000030000033,2000,0.000,0.00,V,98242.86,0.00,1.000,3200
000000000080000046,4000,3.000,162692.97,V,54230.99,0.00,1.000,3200
000000000010000199,3000,0.000,0.00,V,151183.46,0.00,1.000,3200
000000000080000047,2000,11.000,2980272.46,V,270933.86,0.00,1.000,3200
000000000010000200,4000,0.000,0.00,V,133260.69,0.00,1.000,3200
000000000010000201,3000,2.000,5272.44,V,2636.22,0.00,1.000,3200
000000000030000034,1000,0.000,0.00,V,175233.34,0.00,1.000,3200
000000000010000202,2000,12.000,1197511.44,V,99792.62,0.00,1.000,3200
000000000010000203,2000,0.000,0.00,V,21583.59,0.00,1.000,3200
000000000030000035,4000,5.000,244290.55,V,48858.11,0.00,1.000,3200
000000000030000036,1000,1.000,36992.85,V,36992.85,0.00,1.000,3200
000000000010000204,3000,2.000,235273.66,V,117636.83,0.00,1.000,3200
000000000010000204,1000,1.000,117636.83,V,117636.83,0.00,1.000,3200
000000000010000205,1000,0.000,0.00,V,758864.33,0.00,1.000,3200
000000000080000048,3000,4.000,1616033.16,V,404008.29,0.00,1.000,3200
000000000030000037,4000,0.000,0.00,V,37109.77,0.00,1.000,3200
000000000030000037,1000,0.000,0.00,V,37109.77,0.00,1.000,3200
000000000010000206,3000,78.000,1858576.20,V,23827.90,0.00,1.000,3200
