Matnr,Werks,Lgort,Charg,Clabs
000000000010000053,1000,SP01,6000000119,36.953
000000000010000054,1000,SP01,6000000120,7.000
000000000010000055,3000,SP03,6000000121,1.000
000000000010000057,1000,SP01,6000000122,2.000
000000000010000059,3000,SP03,6000000123,12.000
000000000030000009,3000,SP03,6000000124,5.000
000000000010000060,2000,SP02,6000000125,99.000
000000000010000060,4000,SP04,6000000126,21.281
000000000010000060,4000,SP04,6000000127,16.719
000000000010000061,3000,SP03,6000000128,2.234
000000000010000061,3000,SP03,6000000129,5.766
000000000010000062,3000,SP03,6000000130,2.000
000000000030000010,4000,SP04,6000000131,6.000
000000000030000011,1000,SP01,6000000132,1.065
000000000030000011,1000,SP01,6000000133,4.935
000000000010000063,3000,SP03,6000000134,1.843
000000000010000063,3000,SP03,6000000135,2.794
000000000010000063,3000,SP03,6000000136,3.363
000000000010000065,4000,SP04,6000000137,5.124
000000000010000065,4000,SP04,6000000138,0.876
000000000010000066,3000,SP03,6000000139,14.000
000000000010000066,4000,SP04,6000000140,4.000
000000000080000015,3000,SP03,6000000141,4.000
000000000080000016,1000,SP01,6000000142,7.000
000000000080000016,2000,SP02,6000000143,7.000
000000000010000070,2000,SP02,6000000144,120.000
000000000010000071,3000,SP03,6000000145,9.000
000000000090000002,2000,SP02,6000000146,3.174
000000000090000002,2000,SP02,6000000147,8.826
000000000010000072,4000,SP04,6000000148,24.000
000000000080000017,2000,SP02,6000000149,3.839
000000000080000017,2000,SP02,6000000150,9.768
000000000080000017,2000,SP02,6000000151,8.393
000000000080000017,3000,SP03,6000000152,3.555
000000000080000017,3000,SP03,6000000153,3.969
000000000080000017,3000,SP03,6000000154,1.476
000000000010000073,3000,SP03,6000000155,35.000
000000000010000074,1000,SP01,6000000156,1.000
000000000010000075,2000,SP02,6000000157,101.000
000000000010000075,1000,SP01,6000000158,121.000
000000000010000077,2000,SP02,6000000159,17.000
000000000010000079,1000,SP01,6000000160,55.000
000000000010000080,2000,SP02,6000000161,1.000
000000000080000018,4000,SP04,6000000162,3.000
000000000080000018,3000,SP03,6000000163,4.000
000000000080000019,2000,SP02,6000000164,6.537
000000000080000019,2000,SP02,6000000165,5.463
000000000030000014,4000,SP04,6000000166,9.000
000000000030000014,1000,SP01,6000000167,1.000
000000000010000083,3000,SP03,6000000168,1.000
000000000010000084,4000,SP04,6000000169,4.000
000000000010000084,2000,SP02,6000000170,6.000
000000000010000085,1000,SP01,6000000171,0.218
000000000010000085,1000,SP01,6000000172,13.782
000000000010000085,3000,SP03,6000000173,6.000
000000000080000020,3000,SP03,6000000174,6.004
000000000080000020,3000,SP03,6000000175,5.996
000000000080000020,1000,SP01,6000000176,4.000
000000000010000086,4000,SP04,6000000177,1.000
000000000010000086,2000,SP02,6000000178,2.000
000000000010000087,4000,SP04,6000000179,2.000
000000000010000088,4000,SP04,6000000180,1.927
000000000010000088,4000,SP04,6000000181,1.623
000000000010000088,4000,SP04,6000000182,1.450
000000000080000021,2000,SP02,6000000183,3.000
000000000080000021,3000,SP03,6000000184,2.000
000000000080000022,3000,SP03,6000000185,0.176
000000000080000022,3000,SP03,6000000186,5.311
000000000080000022,3000,SP03,6000000187,1.513
000000000080000023,3000,SP03,6000000188,13.000
000000000010000090,4000,SP04,6000000189,0.071
000000000010000090,4000,SP04,6000000190,1.009
000000000010000090,4000,SP04,6000000191,3.920
000000000010000091,4000,SP04,6000000192,34.752
000000000010000091,4000,SP04,6000000193,75.248
000000000010000092,1000,SP01,6000000194,3.375
000000000010000092,1000,SP01,6000000195,1.647
000000000010000092,1000,SP01,6000000196,3.978
000000000010000093,1000,SP01,6000000197,3.000
000000000010000094,2000,SP02,6000000198,195.000
000000000030000016,1000,SP01,6000000199,1.613
000000000030000016,1000,SP01,6000000200,3.062
000000000030000016,1000,SP01,6000000201,0.325
000000000010000095,4000,SP04,6000000202,4.000
000000000010000096,2000,SP02,6000000203,12.275
000000000010000096,2000,SP02,6000000204,6.725
000000000010000097,4000,SP04,6000000205,7.000
000000000010000098,1000,SP01,6000000206,0.851
000000000010000098,1000,SP01,6000000207,0.286
000000000010000098,1000,SP01,6000000208,5.948
000000000010000098,1000,SP01,6000000209,2.915
000000000010000099,2000,SP02,6000000210,3.000
000000000010000099,4000,SP04,6000000211,5.510
000000000010000099,4000,SP04,6000000212,7.428
000000000010000099,4000,SP04,6000000213,0.062
000000000010000100,4000,SP04,6000000214,6.263
000000000010000100,4000,SP04,6000000215,1.215
000000000010000100,4000,SP04,6000000216,4.522
000000000090000003,2000,SP02,6000000217,7.000
000000000090000003,3000,SP03,6000000218,0.705
000000000090000003,3000,SP03,6000000219,17.295
000000000010000101,4000,SP04,6000000220,5.000
000000000030000018,4000,SP04,6000000221,3.000
000000000080000024,2000,SP02,6000000222,1.000
000000000030000019,3000,SP03,6000000223,1.000
000000000010000104,3000,SP03,6000000224,18.000
000000000010000105,4000,SP04,6000000225,3.000
000000000010000106,3000,SP03,6000000226,32.000
000000000010000109,4000,SP04,6000000227,1.000
000000000080000025,3000,SP03,6000000228,2.171
000000000080000025,3000,SP03,6000000229,1.049
000000000080000025,3000,SP03,6000000230,1.873
000000000080000025,3000,SP03,6000000231,4.907
000000000080000025,4000,SP04,6000000232,16.000
000000000010000110,2000,SP02,6000000233,3.035
000000000010000110,2000,SP02,6000000234,3.965
000000000010000111,3000,SP03,6000000235,86.000
000000000010000112,1000,SP01,6000000236,24.970
000000000010000112,1000,SP01,6000000237,2.418
000000000010000112,1000,SP01,6000000238,5.612
000000000010000114,4000,SP04,6000000239,6.656
000000000010000114,4000,SP04,6000000240,2.344
000000000010000116,2000,SP02,6000000241,3.000
000000000010000116,3000,SP03,6000000242,3.000
000000000030000021,1000,SP01,6000000243,3.000
000000000030000021,4000,SP04,6000000244,0.621
000000000030000021,4000,SP04,6000000245,0.169
000000000030000021,4000,SP04,6000000246,4.210
000000000010000118,4000,SP04,6000000247,4.000
000000000010000119,1000,SP01,6000000248,21.000
000000000010000120,1000,SP01,6000000249,5.000
000000000010000120,4000,SP04,6000000250,4.000
000000000030000022,4000,SP04,6000000251,1.000
000000000030000022,1000,SP01,6000000252,2.869
000000000030000022,1000,SP01,6000000253,2.131
000000000090000004,4000,SP04,6000000254,6.164
000000000090000004,4000,SP04,6000000255,12.836
000000000010000122,3000,SP03,6000000256,4.000
000000000010000123,1000,SP01,6000000257,4.000
000000000010000124,3000,SP03,6000000258,22.168
000000000010000124,3000,SP03,6000000259,26.018
000000000010000124,3000,SP03,6000000260,6.784
000000000010000124,3000,SP03,6000000261,13.030
000000000080000026,2000,SP02,6000000262,3.000
000000000010000125,4000,SP04,6000000263,3.000
000000000010000127,3000,SP03,6000000264,6.000
000000000010000131,1000,SP01,6000000265,8.715
000000000010000131,1000,SP01,6000000266,1.285
000000000010000132,2000,SP02,6000000267,8.890
000000000010000132,2000,SP02,6000000268,19.926
000000000010000132,2000,SP02,6000000269,130.184
000000000010000132,1000,SP01,6000000270,7.101
000000000010000132,1000,SP01,6000000271,34.899
000000000010000133,3000,SP03,6000000272,4.000
000000000010000134,2000,SP02,6000000273,38.103
000000000010000134,2000,SP02,6000000274,93.897
000000000010000135,3000,SP03,6000000275,2.000
000000000010000135,2000,SP02,6000000276,0.868
000000000010000135,2000,SP02,6000000277,0.992
000000000010000135,2000,SP02,6000000278,0.424
000000000010000135,2000,SP02,6000000279,3.716
000000000010000136,1000,SP01,6000000280,11.000
000000000090000005,1000,SP01,6000000281,7.532
000000000090000005,1000,SP01,6000000282,3.725
000000000090000005,1000,SP01,6000000283,1.743
000000000010000137,3000,SP03,6000000284,14.162
000000000010000137,3000,SP03,6000000285,9.245
000000000010000137,3000,SP03,6000000286,38.032
000000000010000137,3000,SP03,6000000287,21.561
000000000010000140,4000,SP04,6000000288,1.000
000000000010000141,4000,SP04,6000000289,34.977
000000000010000141,4000,SP04,6000000290,0.023
000000000080000030,1000,SP01,6000000291,1.000
000000000010000142,1000,SP01,6000000292,2.000
000000000010000145,1000,SP01,6000000293,2.000
000000000080000031,1000,SP01,6000000294,10.000
000000000010000147,2000,SP02,6000000295,1.689
000000000010000147,2000,SP02,6000000296,7.389
000000000010000147,2000,SP02,6000000297,0.922
000000000030000023,1000,SP01,6000000298,1.000
000000000010000148,4000,SP04,6000000299,1.000
000000000010000149,4000,SP04,6000000300,98.000
000000000080000032,1000,SP01,6000000301,5.126
000000000080000032,1000,SP01,6000000302,0.067
000000000080000032,1000,SP01,6000000303,0.807
000000000010000150,1000,SP01,6000000304,12.204
000000000010000150,1000,SP01,6000000305,1.796
000000000010000153,2000,SP02,6000000306,2.000
000000000080000033,4000,SP04,6000000307,4.688
000000000080000033,4000,SP04,6000000308,0.312
000000000010000154,1000,SP01,6000000309,4.000
000000000010000155,3000,SP03,6000000310,4.000
000000000080000034,1000,SP01,6000000311,1.000
000000000010000157,2000,SP02,6000000312,2.000
000000000010000157,3000,SP03,6000000313,1.000
000000000030000024,1000,SP01,6000000314,2.000
000000000080000035,4000,SP04,6000000315,11.000
000000000080000035,2000,SP02,6000000316,7.000
000000000010000158,2000,SP02,6000000317,80.129
000000000010000158,2000,SP02,6000000318,0.281
000000000010000158,2000,SP02,6000000319,5.590
000000000010000159,2000,SP02,6000000320,5.000
000000000080000036,3000,SP03,6000000321,1.000
000000000010000161,4000,SP04,6000000322,32.443
000000000010000161,4000,SP04,6000000323,125.557
000000000010000161,3000,SP03,6000000324,8.004
000000000010000161,3000,SP03,6000000325,81.996
000000000010000163,4000,SP04,6000000326,60.000
000000000080000037,2000,SP02,6000000327,3.000
000000000080000037,1000,SP01,6000000328,1.732
000000000080000037,1000,SP01,6000000329,9.863
000000000080000037,1000,SP01,6000000330,19.259
000000000080000037,1000,SP01,6000000331,10.146
000000000010000164,3000,SP03,6000000332,12.259
000000000010000164,3000,SP03,6000000333,3.117
000000000010000164,3000,SP03,6000000334,8.624
000000000010000164,4000,SP04,6000000335,2.000
000000000010000166,2000,SP02,6000000336,9.000
000000000080000038,3000,SP03,6000000337,1.445
000000000080000038,3000,SP03,6000000338,0.586
000000000080000038,3000,SP03,6000000339,2.969
000000000010000169,4000,SP04,6000000340,4.732
000000000010000169,4000,SP04,6000000341,0.268
000000000010000170,3000,SP03,6000000342,4.272
000000000010000170,3000,SP03,6000000343,6.728
000000000080000039,1000,SP01,6000000344,2.000
000000000080000039,4000,SP04,6000000345,2.000
000000000010000171,2000,SP02,6000000346,3.000
000000000030000025,3000,SP03,6000000347,2.000
000000000030000026,3000,SP03,6000000348,1.000
000000000010000172,1000,SP01,6000000349,2.912
000000000010000172,1000,SP01,6000000350,0.531
000000000010000172,1000,SP01,6000000351,2.557
000000000030000027,2000,SP02,6000000352,3.000
000000000030000028,4000,SP04,6000000353,5.000
000000000010000173,3000,SP03,6000000354,2.000
000000000010000174,2000,SP02,6000000355,45.713
000000000010000174,2000,SP02,6000000356,16.100
000000000010000174,2000,SP02,6000000357,1.187
000000000010000174,3000,SP03,6000000358,204.000
000000000030000029,1000,SP01,6000000359,2.000
000000000010000175,4000,SP04,6000000360,13.000
000000000010000176,1000,SP01,6000000361,2.000
000000000010000177,3000,SP03,6000000362,3.000
000000000030000030,3000,SP03,6000000363,0.771
000000000030000030,3000,SP03,6000000364,6.229
000000000010000180,1000,SP01,6000000365,5.000
000000000010000180,4000,SP04,6000000366,5.000
000000000010000181,2000,SP02,6000000367,4.000
000000000010000183,1000,SP01,6000000368,0.592
000000000010000183,1000,SP01,6000000369,15.808
000000000010000183,1000,SP01,6000000370,9.077
000000000010000183,1000,SP01,6000000371,1.523
000000000010000183,2000,SP02,6000000372,7.000
000000000010000184,1000,SP01,6000000373,55.021
000000000010000184,1000,SP01,6000000374,198.979
000000000010000185,3000,SP03,6000000375,3.000
000000000010000187,3000,SP03,6000000376,346.032
000000000010000187,3000,SP03,6000000377,96.968
000000000010000188,2000,SP02,6000000378,12.449
000000000010000188,2000,SP02,6000000379,100.551
000000000010000190,3000,SP03,6000000380,16.166
000000000010000190,3000,SP03,6000000381,2.385
000000000010000190,3000,SP03,6000000382,3.449
000000000010000191,4000,SP04,6000000383,8.556
000000000010000191,4000,SP04,6000000384,39.444
000000000010000191,1000,SP01,6000000385,2.000
000000000080000040,1000,SP01,6000000386,13.470
000000000080000040,1000,SP01,6000000387,5.530
000000000010000192,3000,SP03,6000000388,9.000
000000000010000192,4000,SP04,6000000389,17.000
000000000010000193,3000,SP03,6000000390,0.106
000000000010000193,3000,SP03,6000000391,21.894
000000000080000041,1000,SP01,6000000392,4.000
000000000080000041,4000,SP04,6000000393,7.000
000000000090000006,1000,SP01,6000000394,16.000
000000000080000042,1000,SP01,6000000395,7.000
000000000010000194,1000,SP01,6000000396,5.869
000000000010000194,1000,SP01,6000000397,0.131
000000000010000194,4000,SP04,6000000398,0.914
000000000010000194,4000,SP04,6000000399,8.086
000000000030000031,3000,SP03,6000000400,4.000
000000000080000043,4000,SP04,6000000401,5.000
000000000080000044,1000,SP01,6000000402,11.974
000000000080000044,1000,SP01,6000000403,0.026
000000000010000195,1000,SP01,6000000404,1.000
000000000010000196,2000,SP02,6000000405,8.000
000000000090000007,2000,SP02,6000000406,20.000
000000000030000032,2000,SP02,6000000407,4.000
000000000080000045,4000,SP04,6000000408,3.000
000000000010000198,2000,SP02,6000000409,3.000
000000000080000046,4000,SP04,6000000410,3.000
000000000080000047,2000,SP02,6000000411,11.000
000000000010000201,3000,SP03,6000000412,2.000
000000000010000202,2000,SP02,6000000413,4.854
000000000010000202,2000,SP02,6000000414,4.574
000000000010000202,2000,SP02,6000000415,2.572
000000000030000035,4000,SP04,6000000416,1.100
000000000030000035,4000,SP04,6000000417,3.900
000000000030000036,1000,SP01,6000000418,1.000
000000000010000204,3000,SP03,6000000419,2.000
000000000010000204,1000,SP01,6000000420,1.000
000000000080000048,3000,SP03,6000000421,4.000
000000000010000206,3000,SP03,6000000422,78.000
000000000010000207,3000,SP03,6000000423,2.492
000000000010000207,3000,SP03,6000000424,1.504
000000000010000207,3000,SP03,6000000425,2.004
000000000030000038,4000,SP04,6000000426,1.000
000000000010000208,2000,SP02,6000000427,2.000
000000000090000008,1000,SP01,6000000428,10.912
000000000090000008,1000,SP01,6000000429,8.492
000000000090000008,1000,SP01,6000000430,17.596
000000000030000039,1000,SP01,6000000431,6.000
000000000010000210,4000,SP04,6000000432,84.076
000000000010000210,4000,SP04,6000000433,8.924
000000000010000210,1000,SP01,6000000434,26.066
000000000010000210,1000,SP01,6000000435,35.934
000000000080000049,4000,SP04,6000000436,10.000
000000000010000211,4000,SP04,6000000437,20.000
000000000080000050,2000,SP02,6000000438,2.965
000000000080000050,2000,SP02,6000000439,2.035
000000000010000213,4000,SP04,6000000440,1.623
000000000010000213,4000,SP04,6000000441,2.946
000000000010000213,4000,SP04,6000000442,0.431
000000000080000051,4000,SP04,6000000443,7.000
000000000010000214,4000,SP04,6000000444,3.000
000000000010000215,4000,SP04,6000000445,2.000
000000000010000216,4000,SP04,6000000446,127.000
000000000090000009,1000,SP01,6000000447,12.231
000000000090000009,1000,SP01,6000000448,18.769
000000000010000217,1000,SP01,6000000449,4.577
000000000010000217,1000,SP01,6000000450,4.830
000000000010000217,1000,SP01,6000000451,12.593
000000000010000218,4000,SP04,6000000452,2.000
000000000080000052,3000,SP03,6000000453,4.000
000000000080000053,1000,SP01,6000000454,6.000
000000000080000054,2000,SP02,6000000455,5.000
000000000080000054,4000,SP04,6000000456,1.000
000000000010000220,1000,SP01,6000000457,4.114
000000000010000220,1000,SP01,6000000458,0.886
000000000090000010,1000,SP01,6000000459,25.278
000000000090000010,1000,SP01,6000000460,3.722
000000000090000011,3000,SP03,6000000461,1.015
000000000090000011,3000,SP03,6000000462,10.985
000000000090000011,4000,SP04,6000000463,36.000
000000000030000040,1000,SP01,6000000464,1.549
000000000030000040,1000,SP01,6000000465,1.850
000000000030000040,1000,SP01,6000000466,2.601
000000000030000040,3000,SP03,6000000467,23.697
000000000030000040,3000,SP03,6000000468,0.303
000000000030000041,2000,SP02,6000000469,2.000
000000000090000012,1000,SP01,6000000470,3.738
000000000090000012,1000,SP01,6000000471,16.262
000000000010000221,2000,SP02,6000000472,13.000
000000000080000055,3000,SP03,6000000473,4.000
000000000010000223,1000,SP01,6000000474,1.000
000000000010000224,4000,SP04,6000000475,9.000
000000000010000225,2000,SP02,6000000476,58.156
000000000010000225,2000,SP02,6000000477,11.844
000000000010000226,4000,SP04,6000000478,9.505
000000000010000226,4000,SP04,6000000479,67.495
000000000010000226,1000,SP01,6000000480,2.377
000000000010000226,1000,SP01,6000000481,18.377
000000000010000226,1000,SP01,6000000482,20.246
000000000080000056,3000,SP03,6000000483,3.770
000000000080000056,3000,SP03,6000000484,4.251
000000000080000056,3000,SP03,6000000485,1.979
000000000090000013,3000,SP03,6000000486,7.750
000000000090000013,3000,SP03,6000000487,2.208
000000000090000013,3000,SP03,6000000488,2.042
000000000080000057,1000,SP01,6000000489,2.916
000000000080000057,1000,SP01,6000000490,11.084
000000000010000228,4000,SP04,6000000491,25.000
000000000080000058,2000,SP02,6000000492,4.000
000000000010000229,2000,SP02,6000000493,2.376
000000000010000229,2000,SP02,6000000494,243.397
000000000010000229,2000,SP02,6000000495,17.227
000000000010000229,3000,SP03,6000000496,32.000
000000000030000043,3000,SP03,6000000497,3.000
000000000010000230,3000,SP03,6000000498,1.664
000000000010000230,3000,SP03,6000000499,0.268
000000000010000230,3000,SP03,6000000500,3.068
000000000010000230,1000,SP01,6000000501,5.613
000000000010000230,1000,SP01,6000000502,3.387
000000000030000045,2000,SP02,6000000503,2.068
000000000030000045,2000,SP02,6000000504,0.511
000000000030000045,2000,SP02,6000000505,2.421
000000000010000232,2000,SP02,6000000506,2.000
000000000010000233,2000,SP02,6000000507,17.000
000000000010000234,2000,SP02,6000000508,6.000
000000000010000235,1000,SP01,6000000509,1.789
000000000010000235,1000,SP01,6000000510,2.293
000000000010000235,1000,SP01,6000000511,1.918
000000000030000046,3000,SP03,6000000512,3.091
000000000030000046,3000,SP03,6000000513,6.909
000000000030000046,4000,SP04,6000000514,1.000
000000000010000236,4000,SP04,6000000515,10.000
000000000010000238,3000,SP03,6000000516,2.781
000000000010000238,3000,SP03,6000000517,3.219
000000000010000238,2000,SP02,6000000518,3.000
000000000030000048,4000,SP04,6000000519,8.000
000000000010000239,1000,SP01,6000000520,30.000
000000000010000239,4000,SP04,6000000521,76.639
000000000010000239,4000,SP04,6000000522,57.361
000000000010000240,4000,SP04,6000000523,24.601
000000000010000240,4000,SP04,6000000524,10.399
000000000010000241,1000,SP01,6000000525,7.877
000000000010000241,1000,SP01,6000000526,0.420
000000000010000241,1000,SP01,6000000527,1.703
000000000010000242,2000,SP02,6000000528,0.438
000000000010000242,2000,SP02,6000000529,7.562
000000000010000242,1000,SP01,6000000530,8.000
000000000030000049,2000,SP02,6000000531,3.000
000000000090000014,1000,SP01,6000000532,16.000
000000000010000244,4000,SP04,6000000533,1.650
000000000010000244,4000,SP04,6000000534,1.041
000000000010000244,4000,SP04,6000000535,3.309
000000000010000245,4000,SP04,6000000536,15.000
000000000010000245,3000,SP03,6000000537,10.000
000000000010000246,3000,SP03,6000000538,65.000
000000000010000247,2000,SP02,6000000539,3.000
000000000010000248,4000,SP04,6000000540,1.000
000000000080000059,4000,SP04,6000000541,2.000
000000000030000050,3000,SP03,6000000542,3.000
000000000010000249,1000,SP01,6000000543,3.416
000000000010000249,1000,SP01,6000000544,9.471
000000000010000249,1000,SP01,6000000545,0.201
000000000010000249,1000,SP01,6000000546,7.912
000000000080000060,2000,SP02,6000000547,3.000
000000000080000060,3000,SP03,6000000548,18.000
000000000080000061,2000,SP02,6000000549,9.000
000000000080000062,1000,SP01,6000000550,5.000
000000000010000250,3000,SP03,6000000551,5.826
000000000010000250,3000,SP03,6000000552,1.174
000000000080000063,1000,SP01,6000000553,2.856
000000000080000063,1000,SP01,6000000554,3.144
000000000080000063,2000,SP02,6000000555,0.119
000000000080000063,2000,SP02,6000000556,1.121
000000000080000063,2000,SP02,6000000557,3.760
000000000010000251,1000,SP01,6000000558,4.000
000000000010000252,4000,SP04,6000000559,6.593
000000000010000252,4000,SP04,6000000560,8.407
000000000010000252,3000,SP03,6000000561,22.000
000000000010000253,2000,SP02,6000000562,46.270
000000000010000253,2000,SP02,6000000563,56.730
000000000030000051,1000,SP01,6000000564,4.000
000000000010000254,2000,SP02,6000000565,4.838
000000000010000254,2000,SP02,6000000566,4.648
000000000010000254,2000,SP02,6000000567,9.514
000000000010000255,3000,SP03,6000000568,4.000
000000000010000256,3000,SP03,6000000569,48.000
000000000090000015,2000,SP02,6000000570,0.794
000000000090000015,2000,SP02,6000000571,0.571
000000000090000015,2000,SP02,6000000572,14.109
000000000090000015,2000,SP02,6000000573,5.526
000000000090000015,4000,SP04,6000000574,36.000
000000000030000052,1000,SP01,6000000575,2.000
000000000010000257,1000,SP01,6000000576,1.366
000000000010000257,1000,SP01,6000000577,2.564
000000000010000257,1000,SP01,6000000578,3.449
000000000010000257,1000,SP01,6000000579,1.621
000000000010000259,2000,SP02,6000000580,3.000
000000000010000259,4000,SP04,6000000581,5.000
000000000080000064,1000,SP01,6000000582,9.000
000000000010000260,3000,SP03,6000000583,36.000
000000000080000065,1000,SP01,6000000584,2.000
000000000080000065,4000,SP04,6000000585,5.006
000000000080000065,4000,SP04,6000000586,0.701
000000000080000065,4000,SP04,6000000587,1.293
000000000010000264,2000,SP02,6000000588,6.000
000000000010000265,1000,SP01,6000000589,32.000
000000000010000266,1000,SP01,6000000590,10.813
000000000010000266,1000,SP01,6000000591,10.187
000000000080000066,1000,SP01,6000000592,0.284
000000000080000066,1000,SP01,6000000593,2.913
000000000080000066,1000,SP01,6000000594,1.624
000000000080000066,1000,SP01,6000000595,0.179
000000000030000055,4000,SP04,6000000596,4.000
000000000030000055,1000,SP01,6000000597,2.000
000000000010000267,3000,SP03,6000000598,4.000
000000000030000056,2000,SP02,6000000599,1.241
000000000030000056,2000,SP02,6000000600,3.759
000000000010000268,4000,SP04,6000000601,6.000
000000000010000269,2000,SP02,6000000602,45.000
000000000080000067,4000,SP04,6000000603,0.850
000000000080000067,4000,SP04,6000000604,4.040
000000000080000067,4000,SP04,6000000605,6.448
