Ebeln,Bsart,Aedat,Lifnr,Ekorg,Ekgrp,Waers
4500000118,WK,2026-07-09T00:00:00,0001000001,Z100,Z03,ZAR
4500000119,AN,2024-10-04T00:00:00,0001000001,Z100,Z03,ZAR
4500000120,WK,2025-01-03T00:00:00,0001000001,Z100,Z03,ZAR
4500000121,AN,2025-03-25T00:00:00,0001000001,Z100,Z03,ZAR
4500000122,AN,2025-06-29T00:00:00,0001000001,Z100,Z01,ZAR
4500000123,AN,2025-07-10T00:00:00,0001000001,Z100,Z02,ZAR
4500000124,WK,2025-10-23T00:00:00,0001000001,Z100,Z02,ZAR
4500000125,ZDOM,2025-11-18T00:00:00,0001000001,Z100,Z03,ZAR
4500000126,WK,2026-02-16T00:00:00,0001000001,Z100,Z01,ZAR
4500000127,ZDOM,2026-06-17T00:00:00,0001000001,Z100,Z03,ZAR
4500000128,AN,2024-10-28T00:00:00,0001000026,Z100,Z02,ZAR
4500000129,WK,2025-02-27T00:00:00,0001000026,Z100,Z03,ZAR
4500000130,AN,2025-03-15T00:00:00,0001000026,Z100,Z03,ZAR
4500000131,ZDOM,2025-08-04T00:00:00,0001000026,Z100,Z02,ZAR
4500000132,ZDOM,2026-01-26T00:00:00,0001000026,Z100,Z02,ZAR
4500000133,ZDOM,2026-04-09T00:00:00,0001000026,Z100,Z03,ZAR
4500000134,AN,2025-06-12T00:00:00,0001000019,Z100,Z03,ZAR
4500000135,ZDOM,2025-07-31T00:00:00,0001000019,Z100,Z03,ZAR
4500000136,ZDOM,2025-08-27T00:00:00,0001000019,Z100,Z03,ZAR
4500000137,WK,2026-01-21T00:00:00,0001000019,Z100,Z02,ZAR
4500000138,WK,2026-02-17T00:00:00,0001000019,Z100,Z02,ZAR
4500000139,WK,2026-03-14T00:00:00,0001000019,Z100,Z01,ZAR
4500000140,ZDOM,2024-09-11T00:00:00,0001000013,Z100,Z03,ZAR
4500000141,AN,2025-01-12T00:00:00,0001000013,Z100,Z01,ZAR
4500000142,ZDOM,2025-10-08T00:00:00,0001000013,Z100,Z01,ZAR
4500000143,AN,2025-11-13T00:00:00,0001000013,Z100,Z03,ZAR
4500000144,WK,2024-10-16T00:00:00,0001000047,Z100,Z02,ZAR
4500000145,AN,2025-01-23T00:00:00,0001000047,Z100,Z02,ZAR
4500000146,WK,2025-06-13T00:00:00,0001000047,Z100,Z02,ZAR
4500000147,ZDOM,2025-11-10T00:00:00,0001000047,Z100,Z02,ZAR
4500000148,ZDOM,2026-04-08T00:00:00,0001000047,Z100,Z02,ZAR
4500000149,AN,2024-11-03T00:00:00,0001000035,Z100,Z01,ZAR
4500000150,WK,2025-06-08T00:00:00,0001000035,Z100,Z01,ZAR
4500000151,ZDOM,2026-02-09T00:00:00,0001000035,Z100,Z02,ZAR
4500000152,AN,2026-07-10T00:00:00,0001000035,Z100,Z02,ZAR
4500000153,WK,2024-09-14T00:00:00,0001000007,Z100,Z02,ZAR
4500000154,ZDOM,2025-04-12T00:00:00,0001000007,Z100,Z02,ZAR
4500000155,AN,2026-02-25T00:00:00,0001000007,Z100,Z03,ZAR
4500000156,AN,2026-08-01T00:00:00,0001000007,Z100,Z03,ZAR
4500000157,WK,2024-10-31T00:00:00,0001000032,Z100,Z01,ZAR
4500000158,WK,2025-09-23T00:00:00,0001000032,Z100,Z01,ZAR
4500000159,ZDOM,2026-04-10T00:00:00,0001000032,Z100,Z01,ZAR
4500000160,WK,2026-05-10T00:00:00,0001000032,Z100,Z01,ZAR
4500000161,WK,2024-12-05T00:00:00,0001000027,Z100,Z02,ZAR
4500000162,AN,2025-08-03T00:00:00,0001000027,Z100,Z02,ZAR
4500000163,WK,2025-08-05T00:00:00,0001000027,Z100,Z01,ZAR
4500000164,WK,2026-03-11T00:00:00,0001000027,Z100,Z02,ZAR
4500000165,AN,2026-09-07T00:00:00,0001000046,Z100,Z01,ZAR
4500000166,WK,2026-02-09T00:00:00,0001000046,Z100,Z03,ZAR
4500000167,ZDOM,2026-03-24T00:00:00,0001000046,Z100,Z02,ZAR
4500000168,WK,2024-10-19T00:00:00,0001000012,Z100,Z03,ZAR
4500000169,ZDOM,2025-07-22T00:00:00,0001000012,Z100,Z03,ZAR
4500000170,WK,2025-10-17T00:00:00,0001000012,Z100,Z02,ZAR
4500000171,ZDOM,2025-11-16T00:00:00,0001000012,Z100,Z01,ZAR
4500000172,AN,2026-04-09T00:00:00,0001000012,Z100,Z01,ZAR
4500000173,AN,2024-09-11T00:00:00,0001000012,Z100,Z01,ZAR
4500000174,AN,2025-01-27T00:00:00,0001000012,Z100,Z02,ZAR
4500000175,ZDOM,2025-03-09T00:00:00,0001000012,Z100,Z02,ZAR
4500000176,AN,2025-10-29T00:00:00,0001000012,Z100,Z01,ZAR
4500000177,WK,2025-11-15T00:00:00,0001000012,Z100,Z01,ZAR
4500000178,WK,2025-01-20T00:00:00,0001000034,Z100,Z03,ZAR
4500000179,WK,2025-03-04T00:00:00,0001000034,Z100,Z03,ZAR
4500000180,ZDOM,2025-04-28T00:00:00,0001000034,Z100,Z01,ZAR
4500000181,WK,2025-05-19T00:00:00,0001000034,Z100,Z01,ZAR
4500000182,ZDOM,2025-11-04T00:00:00,0001000034,Z100,Z01,ZAR
4500000183,WK,2026-06-13T00:00:00,0001000034,Z100,Z02,ZAR
4500000184,WK,2026-07-31T00:00:00,0001000034,Z100,Z02,ZAR
4500000185,WK,2024-09-12T00:00:00,0001000034,Z100,Z03,ZAR
4500000186,WK,2024-10-09T00:00:00,0001000034,Z100,Z03,ZAR
4500000187,AN,2025-01-03T00:00:00,0001000034,Z100,Z01,ZAR
4500000188,WK,2025-03-26T00:00:00,0001000034,Z100,Z03,ZAR
4500000189,AN,2025-05-21T00:00:00,0001000034,Z100,Z01,ZAR
4500000190,ZDOM,2026-01-18T00:00:00,0001000034,Z100,Z03,ZAR
4500000191,ZDOM,2026-05-03T00:00:00,0001000034,Z100,Z03,ZAR
4500000192,ZDOM,2026-07-01T00:00:00,0001000034,Z100,Z03,ZAR
4500000193,WK,2024-09-15T00:00:00,0001000007,Z100,Z02,ZAR
4500000194,AN,2025-06-25T00:00:00,0001000007,Z100,Z02,ZAR
4500000195,ZDOM,2026-02-15T00:00:00,0001000007,Z100,Z02,ZAR
4500000196,WK,2026-08-15T00:00:00,0001000007,Z100,Z03,ZAR
4500000197,AN,2024-09-25T00:00:00,0001000007,Z100,Z03,ZAR
4500000198,WK,2024-12-12T00:00:00,0001000007,Z100,Z03,ZAR
4500000199,WK,2025-10-07T00:00:00,0001000007,Z100,Z03,ZAR
4500000200,AN,2025-11-18T00:00:00,0001000007,Z100,Z03,ZAR
4500000201,AN,2026-04-23T00:00:00,0001000007,Z100,Z01,ZAR
4500000202,ZDOM,2024-10-25T00:00:00,0001000045,Z100,Z03,ZAR
4500000203,AN,2024-12-25T00:00:00,0001000045,Z100,Z02,ZAR
4500000204,WK,2025-04-04T00:00:00,0001000045,Z100,Z02,ZAR
4500000205,WK,2025-10-13T00:00:00,0001000045,Z100,Z01,ZAR
4500000206,WK,2025-11-11T00:00:00,0001000045,Z100,Z03,ZAR
4500000207,AN,2026-03-23T00:00:00,0001000045,Z100,Z01,ZAR
4500000208,ZDOM,2026-04-14T00:00:00,0001000045,Z100,Z03,ZAR
4500000209,ZDOM,2026-05-30T00:00:00,0001000045,Z100,Z02,ZAR
4500000210,ZDOM,2024-10-02T00:00:00,0001000051,Z100,Z03,ZAR
4500000211,AN,2025-02-21T00:00:00,0001000051,Z100,Z03,ZAR
4500000212,AN,2025-05-01T00:00:00,0001000051,Z100,Z02,ZAR
4500000213,WK,2025-05-13T00:00:00,0001000051,Z100,Z02,ZAR
4500000214,ZDOM,2026-04-09T00:00:00,0001000051,Z100,Z03,ZAR
4500000215,ZDOM,2026-06-22T00:00:00,0001000051,Z100,Z01,ZAR
4500000216,ZDOM,2024-10-31T00:00:00,0001000031,Z100,Z02,ZAR
4500000217,WK,2025-10-06T00:00:00,0001000031,Z100,Z01,ZAR
4500000218,ZDOM,2026-07-28T00:00:00,0001000031,Z100,Z03,ZAR
4500000219,ZDOM,2024-09-16T00:00:00,0001000040,Z100,Z02,ZAR
4500000220,AN,2026-02-20T00:00:00,0001000040,Z100,Z03,ZAR
4500000221,ZDOM,2024-11-17T00:00:00,0001000045,Z100,Z01,ZAR
4500000222,WK,2025-05-17T00:00:00,0001000045,Z100,Z03,ZAR
4500000223,AN,2026-03-23T00:00:00,0001000045,Z100,Z01,ZAR
4500000224,ZDOM,2026-09-07T00:00:00,0001000045,Z100,Z03,ZAR
4500000225,AN,2024-10-08T00:00:00,0001000045,Z100,Z02,ZAR
4500000226,AN,2025-06-19T00:00:00,0001000045,Z100,Z01,ZAR
4500000227,ZDOM,2026-02-05T00:00:00,0001000045,Z100,Z01,ZAR
4500000228,WK,2026-08-18T00:00:00,0001000045,Z100,Z03,ZAR
4500000229,ZDOM,2024-09-26T00:00:00,0001000027,Z100,Z02,ZAR
4500000230,AN,2024-10-15T00:00:00,0001000027,Z100,Z03,ZAR
4500000231,ZDOM,2025-01-27T00:00:00,0001000027,Z100,Z02,ZAR
4500000232,ZDOM,2025-03-03T00:00:00,0001000027,Z100,Z02,ZAR
4500000233,ZDOM,2025-05-03T00:00:00,0001000027,Z100,Z02,ZAR
4500000234,AN,2025-06-17T00:00:00,0001000027,Z100,Z02,ZAR
4500000235,WK,2025-08-04T00:00:00,0001000027,Z100,Z01,ZAR
4500000236,WK,2025-11-21T00:00:00,0001000027,Z100,Z02,ZAR
4500000237,AN,2026-03-20T00:00:00,0001000027,Z100,Z01,ZAR
4500000238,ZDOM,2026-05-03T00:00:00,0001000027,Z100,Z02,ZAR
4500000239,AN,2026-07-14T00:00:00,0001000027,Z100,Z02,ZAR
4500000240,WK,2026-08-13T00:00:00,0001000027,Z100,Z01,ZAR
4500000241,WK,2024-10-17T00:00:00,0001000034,Z100,Z02,ZAR
4500000242,AN,2024-12-13T00:00:00,0001000034,Z100,Z02,ZAR
4500000243,ZDOM,2025-01-31T00:00:00,0001000034,Z100,Z03,ZAR
4500000244,ZDOM,2025-04-26T00:00:00,0001000034,Z100,Z03,ZAR
4500000245,WK,2025-07-17T00:00:00,0001000034,Z100,Z03,ZAR
4500000246,AN,2025-08-20T00:00:00,0001000034,Z100,Z02,ZAR
4500000247,AN,2025-10-06T00:00:00,0001000034,Z100,Z02,ZAR
4500000248,ZDOM,2025-12-24T00:00:00,0001000034,Z100,Z01,ZAR
4500000249,AN,2026-03-07T00:00:00,0001000034,Z100,Z01,ZAR
4500000250,WK,2026-06-27T00:00:00,0001000034,Z100,Z03,ZAR
4500000251,AN,2024-09-10T00:00:00,0001000008,Z100,Z01,ZAR
4500000252,WK,2024-10-18T00:00:00,0001000008,Z100,Z01,ZAR
4500000253,WK,2025-05-21T00:00:00,0001000008,Z100,Z03,ZAR
4500000254,WK,2026-01-29T00:00:00,0001000008,Z100,Z01,ZAR
4500000255,AN,2024-09-29T00:00:00,0001000059,Z100,Z02,ZAR
4500000256,WK,2025-03-05T00:00:00,0001000059,Z100,Z03,ZAR
4500000257,WK,2025-03-25T00:00:00,0001000059,Z100,Z01,ZAR
4500000258,WK,2025-10-14T00:00:00,0001000059,Z100,Z01,ZAR
4500000259,WK,2026-03-02T00:00:00,0001000059,Z100,Z01,ZAR
4500000260,ZDOM,2024-09-27T00:00:00,0001000007,Z100,Z02,ZAR
4500000261,WK,2024-11-06T00:00:00,0001000007,Z100,Z02,ZAR
4500000262,AN,2025-08-15T00:00:00,0001000007,Z100,Z01,ZAR
4500000263,ZDOM,2025-09-10T00:00:00,0001000007,Z100,Z01,ZAR
4500000264,AN,2025-12-29T00:00:00,0001000007,Z100,Z03,ZAR
4500000265,ZDOM,2026-01-30T00:00:00,0001000007,Z100,Z02,ZAR
4500000266,AN,2026-08-03T00:00:00,0001000007,Z100,Z02,ZAR
4500000267,ZDOM,2025-02-27T00:00:00,0001000008,Z100,Z03,ZAR
4500000268,AN,2025-03-13T00:00:00,0001000008,Z100,Z02,ZAR
4500000269,WK,2025-08-05T00:00:00,0001000008,Z100,Z01,ZAR
4500000270,ZDOM,2026-07-26T00:00:00,0001000008,Z100,Z03,ZAR
4500000271,AN,2026-08-07T00:00:00,0001000008,Z100,Z01,ZAR
4500000272,ZDOM,2024-11-11T00:00:00,0001000024,Z100,Z01,ZAR
4500000273,AN,2025-04-29T00:00:00,0001000024,Z100,Z03,ZAR
4500000274,AN,2025-11-02T00:00:00,0001000024,Z100,Z01,ZAR
4500000275,ZDOM,2026-01-11T00:00:00,0001000024,Z100,Z01,ZAR
4500000276,AN,2026-02-27T00:00:00,0001000024,Z100,Z02,ZAR
4500000277,WK,2026-06-13T00:00:00,0001000024,Z100,Z02,ZAR
4500000278,ZDOM,2024-09-15T00:00:00,0001000024,Z100,Z01,ZAR
4500000279,ZDOM,2025-04-21T00:00:00,0001000024,Z100,Z01,ZAR
4500000280,ZDOM,2025-05-24T00:00:00,0001000024,Z100,Z02,ZAR
4500000281,ZDOM,2025-10-16T00:00:00,0001000024,Z100,Z03,ZAR
4500000282,WK,2026-04-06T00:00:00,0001000024,Z100,Z01,ZAR
4500000283,AN,2026-04-28T00:00:00,0001000024,Z100,Z01,ZAR
4500000284,WK,2024-09-16T00:00:00,0001000048,Z100,Z02,ZAR
4500000285,WK,2025-04-02T00:00:00,0001000048,Z100,Z02,ZAR
4500000286,ZDOM,2025-04-10T00:00:00,0001000048,Z100,Z03,ZAR
4500000287,AN,2026-02-06T00:00:00,0001000048,Z100,Z02,ZAR
4500000288,WK,2026-05-12T00:00:00,0001000048,Z100,Z02,ZAR
4500000289,AN,2026-06-08T00:00:00,0001000048,Z100,Z03,ZAR
4500000290,WK,2026-08-18T00:00:00,0001000048,Z100,Z01,ZAR
4500000291,ZDOM,2024-11-12T00:00:00,0001000037,Z100,Z01,ZAR
4500000292,WK,2025-06-05T00:00:00,0001000037,Z100,Z03,ZAR
4500000293,WK,2025-12-15T00:00:00,0001000037,Z100,Z01,ZAR
4500000294,ZDOM,2024-09-19T00:00:00,0001000037,Z100,Z03,ZAR
4500000295,WK,2025-06-16T00:00:00,0001000037,Z100,Z01,ZAR
4500000296,AN,2025-07-31T00:00:00,0001000037,Z100,Z03,ZAR
4500000297,ZDOM,2025-12-29T00:00:00,0001000037,Z100,Z01,ZAR
4500000298,ZDOM,2026-01-29T00:00:00,0001000037,Z100,Z01,ZAR
4500000299,AN,2026-05-06T00:00:00,0001000037,Z100,Z01,ZAR
4500000300,WK,2025-12-27T00:00:00,0001000001,Z100,Z02,ZAR
4500000301,WK,2026-06-10T00:00:00,0001000001,Z100,Z01,ZAR
4500000302,WK,2024-12-13T00:00:00,0001000054,Z100,Z02,ZAR
4500000303,AN,2025-04-22T00:00:00,0001000054,Z100,Z03,ZAR
4500000304,WK,2025-05-18T00:00:00,0001000054,Z100,Z01,ZAR
4500000305,AN,2025-07-15T00:00:00,0001000054,Z100,Z03,ZAR
4500000306,WK,2025-10-14T00:00:00,0001000054,Z100,Z02,ZAR
4500000307,ZDOM,2025-12-02T00:00:00,0001000054,Z100,Z01,ZAR
4500000308,AN,2026-04-26T00:00:00,0001000054,Z100,Z01,ZAR
4500000309,WK,2026-08-16T00:00:00,0001000054,Z100,Z01,ZAR
4500000310,ZDOM,2024-11-26T00:00:00,0001000056,Z100,Z01,ZAR
4500000311,WK,2025-05-17T00:00:00,0001000056,Z100,Z01,ZAR
4500000312,AN,2025-12-16T00:00:00,0001000056,Z100,Z01,ZAR
4500000313,WK,2026-05-03T00:00:00,0001000056,Z100,Z03,ZAR
4500000314,WK,2025-02-01T00:00:00,0001000052,Z100,Z01,ZAR
4500000315,ZDOM,2025-07-08T00:00:00,0001000052,Z100,Z03,ZAR
4500000316,WK,2025-08-23T00:00:00,0001000052,Z100,Z03,ZAR
4500000317,ZDOM,2026-05-25T00:00:00,0001000052,Z100,Z03,ZAR
4500000318,WK,2024-11-09T00:00:00,0001000049,Z100,Z03,ZAR
4500000319,WK,2025-04-08T00:00:00,0001000049,Z100,Z02,ZAR
4500000320,ZDOM,2025-09-05T00:00:00,0001000049,Z100,Z03,ZAR
4500000321,WK,2025-12-25T00:00:00,0001000049,Z100,Z02,ZAR
4500000322,ZDOM,2026-01-21T00:00:00,0001000049,Z100,Z01,ZAR
4500000323,WK,2026-07-20T00:00:00,0001000049,Z100,Z02,ZAR
4500000324,AN,2025-02-06T00:00:00,0001000032,Z100,Z03,ZAR
4500000325,ZDOM,2025-08-29T00:00:00,0001000032,Z100,Z01,ZAR
4500000326,ZDOM,2026-02-02T00:00:00,0001000032,Z100,Z01,ZAR
4500000327,ZDOM,2026-06-27T00:00:00,0001000032,Z100,Z03,ZAR
4500000328,AN,2024-09-07T00:00:00,0001000015,Z100,Z02,ZAR
4500000329,ZDOM,2024-11-11T00:00:00,0001000015,Z100,Z03,ZAR
4500000330,ZDOM,2025-01-27T00:00:00,0001000015,Z100,Z03,ZAR
4500000331,ZDOM,2025-05-05T00:00:00,0001000015,Z100,Z02,ZAR
4500000332,ZDOM,2025-07-11T00:00:00,0001000015,Z100,Z01,ZAR
4500000333,AN,2025-11-13T00:00:00,0001000015,Z100,Z02,ZAR
4500000334,ZDOM,2025-12-07T00:00:00,0001000015,Z100,Z01,ZAR
4500000335,WK,2026-02-26T00:00:00,0001000015,Z100,Z03,ZAR
4500000336,AN,2026-03-30T00:00:00,0001000015,Z100,Z03,ZAR
4500000337,AN,2026-07-10T00:00:00,0001000015,Z100,Z01,ZAR
4500000338,WK,2024-09-14T00:00:00,0001000015,Z100,Z01,ZAR
4500000339,ZDOM,2025-01-28T00:00:00,0001000015,Z100,Z03,ZAR
4500000340,WK,2025-07-19T00:00:00,0001000015,Z100,Z01,ZAR
4500000341,ZDOM,2025-12-25T00:00:00,0001000015,Z100,Z01,ZAR
4500000342,AN,2026-06-19T00:00:00,0001000015,Z100,Z02,ZAR
4500000343,AN,2024-09-19T00:00:00,0001000046,Z100,Z01,ZAR
4500000344,WK,2025-08-19T00:00:00,0001000046,Z100,Z02,ZAR
4500000345,AN,2025-09-15T00:00:00,0001000046,Z100,Z03,ZAR
4500000346,AN,2024-12-24T00:00:00,0001000034,Z100,Z01,ZAR
4500000347,WK,2025-06-19T00:00:00,0001000034,Z100,Z01,ZAR
