Rsnum,Rspos,Xloek,Kzear,Matnr,Werks,Lgort,Bdter,Bdmng,Meins,Enmng,Enwrt,Banfn,Bnfpo,Aufnr,Bwart,Umwrk,Umlgo,Wempf,Zzaisession
1000000022,0001,false,false,000000000030000008,3000,SP03,2025-11-26T00:00:00,1.000,EA,0.000,0.00,2000007784,00010,437348849,261,,,VZIREQ05,SESS-000023
1000000023,0001,false,false,000000000030000008,3000,SP03,2026-04-15T00:00:00,4.000,EA,2.000,301494.84,2000007785,00010,432974158,261,,,VZIREQ02,SESS-000024
1000000024,0001,false,true,000000000030000009,3000,SP03,2026-01-26T00:00:00,2.000,EA,2.000,692128.12,2000007786,00010,437158743,261,,,VZIREQ05,SESS-000025
1000000025,0001,false,false,000000000030000009,3000,SP03,2025-10-05T00:00:00,2.000,EA,0.000,0.00,2000007787,00010,439779288,261,,,VZIREQ02,SESS-000026
1000000026,0001,false,false,000000000030000009,3000,SP03,2026-07-01T00:00:00,3.000,EA,0.000,0.00,2000007788,00010,435628481,261,,,VZIREQ05,SESS-000027
1000000027,0001,false,false,000000000030000010,4000,SP04,2025-11-21T00:00:00,2.000,EA,0.000,0.00,2000007789,00010,447574878,261,,,VZIREQ03,SESS-000028
1000000028,0001,false,false,000000000030000010,4000,SP04,2025-08-22T00:00:00,4.000,EA,0.000,0.00,2000007790,00010,442342981,261,,,VZIREQ02,SESS-000029
1000000029,0001,false,false,000000000030000011,1000,SP01,2026-04-20T00:00:00,1.000,EA,0.000,0.00,2000007791,00010,412526156,261,,,VZIREQ01,SESS-000030
1000000030,0001,false,false,000000000030000011,1000,SP01,2026-02-10T00:00:00,2.000,EA,1.000,158542.96,2000007792,00010,411724842,261,,,VZIREQ01,SESS-000031
1000000031,0001,false,false,000000000030000011,1000,SP01,2026-07-12T00:00:00,4.000,EA,0.000,0.00,2000007793,00010,418942671,261,,,VZIREQ01,SESS-000032
1000000032,0001,false,true,000000000030000011,3000,SP03,2026-02-15T00:00:00,3.000,EA,3.000,475628.88,2000007794,00010,437274961,261,,,VZIREQ03,SESS-000033
1000000033,0001,false,true,000000000030000011,3000,SP03,2026-01-11T00:00:00,4.000,EA,4.000,634171.84,2000007795,00010,434780259,261,,,VZIREQ01,SESS-000034
1000000034,0001,false,true,000000000030000011,3000,SP03,2026-06-06T00:00:00,2.000,EA,1.000,158542.96,2000007796,00010,436295616,261,,,VZIREQ02,SESS-000035
1000000035,0001,false,true,000000000030000012,3000,SP03,2026-06-26T00:00:00,1.000,EA,1.000,15908.99,2000007797,00010,435457191,261,,,VZIREQ02,SESS-000036
1000000036,0001,false,true,000000000030000012,3000,SP03,2026-01-13T00:00:00,4.000,EA,4.000,63635.96,2000007798,00010,432863444,261,,,VZIREQ05,SESS-000037
1000000037,0001,false,true,000000000030000013,2000,SP02,2026-02-22T00:00:00,2.000,EA,2.000,26650.30,2000007799,00010,421222726,261,,,VZIREQ03,SESS-000038
1000000038,0001,false,true,000000000030000014,1000,SP01,2025-11-19T00:00:00,1.000,EA,1.000,120501.85,2000007800,00010,414075353,261,,,VZIREQ01,SESS-000039
1000000039,0001,false,false,000000000030000014,1000,SP01,2026-04-19T00:00:00,1.000,EA,0.000,0.00,2000007801,00010,417609294,261,,,VZIREQ04,SESS-000040
1000000040,0001,false,true,000000000030000014,1000,SP01,2026-01-30T00:00:00,4.000,EA,4.000,482007.40,2000007802,00010,416994803,261,,,VZIREQ02,
1000000041,0001,false,true,000000000030000015,3000,SP03,2026-02-28T00:00:00,1.000,EA,1.000,34024.15,2000007803,00010,434288968,261,,,VZIREQ02,SESS-000041
1000000042,0001,false,true,000000000030000015,3000,SP03,2026-01-17T00:00:00,3.000,EA,3.000,102072.45,2000007804,00010,435872783,261,,,VZIREQ03,SESS-000042
1000000043,0001,false,true,000000000030000016,3000,SP03,2026-06-04T00:00:00,3.000,EA,3.000,99383.43,2000007805,00010,433101023,261,,,VZIREQ05,SESS-000043
1000000044,0001,false,true,000000000030000016,1000,SP01,2025-12-16T00:00:00,3.000,EA,3.000,99383.43,2000007806,00010,417048473,261,,,VZIREQ02,
1000000045,0001,false,false,000000000030000016,1000,SP01,2026-03-11T00:00:00,2.000,EA,0.000,0.00,2000007807,00010,414858480,261,,,VZIREQ04,SESS-000044
1000000046,0001,false,false,000000000030000016,1000,SP01,2026-04-13T00:00:00,3.000,EA,0.000,0.00,2000007808,00010,417426970,261,,,VZIREQ05,SESS-000045
1000000047,0001,false,true,000000000030000017,3000,SP03,2026-08-09T00:00:00,2.000,EA,2.000,318132.16,2000007809,00010,434516659,261,,,VZIREQ01,SESS-000046
1000000048,0001,false,false,000000000030000018,4000,SP04,2026-03-12T00:00:00,3.000,EA,0.000,0.00,2000007810,00010,443368148,261,,,VZIREQ01,SESS-000047
1000000049,0001,false,true,000000000030000019,1000,SP01,2026-03-05T00:00:00,1.000,EA,1.000,45663.54,2000007811,00010,415376568,261,,,VZIREQ05,SESS-000048
1000000050,0001,false,false,000000000030000019,3000,SP03,2026-04-06T00:00:00,2.000,EA,1.000,45663.54,2000007812,00010,431855586,261,,,VZIREQ02,SESS-000049
1000000051,0001,false,true,000000000030000020,2000,SP02,2026-06-10T00:00:00,1.000,EA,1.000,505530.16,2000007813,00010,427595274,261,,,VZIREQ02,SESS-000050
1000000052,0001,false,true,000000000030000021,1000,SP01,2026-05-22T00:00:00,4.000,EA,4.000,180079.52,2000007814,00010,416435661,261,,,VZIREQ05,SESS-000051
1000000053,0001,false,false,000000000030000021,1000,SP01,2026-07-26T00:00:00,2.000,EA,1.000,45019.88,2000007815,00010,414822141,261,,,VZIREQ02,SESS-000052
1000000054,0001,false,false,000000000030000021,1000,SP01,2026-02-20T00:00:00,2.000,EA,0.000,0.00,2000007816,00010,415394216,261,,,VZIREQ01,SESS-000053
1000000055,0001,false,false,000000000030000021,4000,SP04,2026-01-12T00:00:00,1.000,EA,0.000,0.00,2000007817,00010,443424489,261,,,VZIREQ05,SESS-000054
1000000056,0001,false,false,000000000030000021,4000,SP04,2026-05-29T00:00:00,4.000,EA,0.000,0.00,2000007818,00010,444420157,261,,,VZIREQ02,SESS-000055
1000000057,0001,false,false,000000000030000022,4000,SP04,2026-04-10T00:00:00,1.000,EA,0.000,0.00,2000007819,00010,444858058,261,,,VZIREQ05,SESS-000056
1000000058,0001,false,false,000000000030000022,1000,SP01,2026-04-07T00:00:00,4.000,EA,0.000,0.00,2000007820,00010,417677247,261,,,VZIREQ01,SESS-000057
1000000059,0001,false,false,000000000030000022,1000,SP01,2026-07-02T00:00:00,3.000,EA,2.000,358728.44,2000007821,00010,416138034,261,,,VZIREQ05,SESS-000058
1000000060,0001,false,true,000000000030000022,1000,SP01,2026-01-01T00:00:00,4.000,EA,4.000,717456.88,2000007822,00010,412760238,261,,,VZIREQ03,SESS-000059
1000000061,0001,false,true,000000000030000023,1000,SP01,2026-05-05T00:00:00,2.000,EA,1.000,72184.91,2000007823,00010,413299738,261,,,VZIREQ05,SESS-000060
1000000062,0001,false,false,000000000030000023,1000,SP01,2025-11-11T00:00:00,1.000,EA,0.000,0.00,2000007824,00010,415403149,261,,,VZIREQ04,SESS-000061
1000000063,0001,false,false,000000000030000024,1000,SP01,2025-11-14T00:00:00,4.000,EA,2.000,26314.10,2000007825,00010,417778418,261,,,VZIREQ05,SESS-000062
1000000064,0001,false,false,000000000030000025,3000,SP03,2025-12-26T00:00:00,3.000,EA,0.000,0.00,2000007826,00010,438226498,261,,,VZIREQ03,SESS-000063
1000000065,0001,false,false,000000000030000025,3000,SP03,2026-06-27T00:00:00,2.000,EA,0.000,0.00,2000007827,00010,438198113,261,,,VZIREQ04,SESS-000064
1000000066,0001,false,false,000000000030000025,3000,SP03,2026-03-21T00:00:00,2.000,EA,0.000,0.00,2000007828,00010,435334999,261,,,VZIREQ02,SESS-000065
1000000067,0001,false,false,000000000030000026,3000,SP03,2026-03-04T00:00:00,1.000,EA,0.000,0.00,2000007829,00010,435307842,261,,,VZIREQ02,SESS-000066
1000000068,0001,false,false,000000000030000027,2000,SP02,2025-10-27T00:00:00,3.000,EA,0.000,0.00,2000007830,00010,422003229,261,,,VZIREQ02,SESS-000067
1000000069,0001,false,true,000000000030000027,4000,SP04,2026-04-20T00:00:00,1.000,EA,1.000,531364.03,2000007831,00010,442677517,261,,,VZIREQ03,SESS-000068
1000000070,0001,false,true,000000000030000027,4000,SP04,2026-04-23T00:00:00,1.000,EA,1.000,531364.03,2000007832,00010,442265061,261,,,VZIREQ05,SESS-000069
1000000071,0001,false,true,000000000030000028,1000,SP01,2025-12-13T00:00:00,4.000,EA,4.000,406432.52,2000007833,00010,412117326,261,,,VZIREQ03,SESS-000070
1000000072,0001,false,false,000000000030000028,4000,SP04,2025-09-19T00:00:00,1.000,EA,0.000,0.00,2000007834,00010,445356609,261,,,VZIREQ01,SESS-000071
1000000073,0001,false,true,000000000030000028,4000,SP04,2026-01-24T00:00:00,2.000,EA,2.000,203216.26,2000007835,00010,449380795,261,,,VZIREQ05,SESS-000072
1000000074,0001,false,false,000000000030000028,4000,SP04,2026-04-10T00:00:00,4.000,EA,0.000,0.00,2000007836,00010,442998628,261,,,VZIREQ04,SESS-000073
1000000075,0001,false,true,000000000030000029,1000,SP01,2025-11-14T00:00:00,1.000,EA,1.000,8402.88,2000007837,00010,412306601,261,,,VZIREQ04,SESS-000074
1000000076,0001,false,false,000000000030000029,1000,SP01,2025-12-09T00:00:00,2.000,EA,0.000,0.00,2000007838,00010,416238396,261,,,VZIREQ05,SESS-000075
1000000077,0001,false,false,000000000030000030,3000,SP03,2025-12-06T00:00:00,1.000,EA,0.000,0.00,2000007839,00010,433655579,261,,,VZIREQ01,SESS-000076
1000000078,0001,false,false,000000000030000030,3000,SP03,2026-08-23T00:00:00,2.000,EA,0.000,0.00,2000007840,00010,439590054,261,,,VZIREQ03,SESS-000077
1000000079,0001,false,false,000000000030000030,3000,SP03,2026-01-13T00:00:00,4.000,EA,0.000,0.00,2000007841,00010,437644663,261,,,VZIREQ03,SESS-000078
1000000080,0001,false,false,000000000030000030,4000,SP04,2026-06-07T00:00:00,1.000,EA,0.000,0.00,2000007842,00010,442207710,261,,,VZIREQ05,SESS-000079
1000000081,0001,false,false,000000000030000031,3000,SP03,2025-11-07T00:00:00,1.000,EA,0.000,0.00,2000007843,00010,438196034,261,,,VZIREQ02,SESS-000080
1000000082,0001,false,false,000000000030000031,3000,SP03,2026-01-20T00:00:00,3.000,EA,0.000,0.00,2000007844,00010,435794920,261,,,VZIREQ04,SESS-000081
1000000083,0001,false,false,000000000030000032,2000,SP02,2025-11-27T00:00:00,3.000,EA,0.000,0.00,2000007845,00010,428612951,261,,,VZIREQ01,SESS-000082
1000000084,0001,false,false,000000000030000032,2000,SP02,2026-01-23T00:00:00,3.000,EA,0.000,0.00,2000007846,00010,428602294,261,,,VZIREQ04,SESS-000083
1000000085,0001,false,false,000000000030000032,2000,SP02,2026-01-16T00:00:00,1.000,EA,0.000,0.00,2000007847,00010,421637384,261,,,VZIREQ04,SESS-000084
1000000086,0001,false,true,000000000030000032,4000,SP04,2026-02-18T00:00:00,4.000,EA,4.000,401474.28,2000007848,00010,444101909,261,,,VZIREQ04,SESS-000085
1000000087,0001,false,true,000000000030000032,4000,SP04,2025-12-16T00:00:00,4.000,EA,4.000,401474.28,2000007849,00010,448340069,261,,,VZIREQ04,SESS-000086
1000000088,0001,false,true,000000000030000033,2000,SP02,2026-01-30T00:00:00,1.000,EA,1.000,98242.86,2000007850,00010,424623100,261,,,VZIREQ03,SESS-000087
1000000089,0001,false,true,000000000030000033,2000,SP02,2025-11-05T00:00:00,4.000,EA,4.000,392971.44,2000007851,00010,424417631,261,,,VZIREQ01,SESS-000088
1000000090,0001,false,true,000000000030000033,2000,SP02,2025-10-16T00:00:00,1.000,EA,1.000,98242.86,2000007852,00010,427911437,261,,,VZIREQ05,SESS-000089
1000000091,0001,false,true,000000000030000034,1000,SP01,2026-06-26T00:00:00,2.000,EA,2.000,350466.68,2000007853,00010,415215118,261,,,VZIREQ03,SESS-000090
1000000092,0001,false,true,000000000030000035,4000,SP04,2026-01-15T00:00:00,4.000,EA,4.000,195432.44,2000007854,00010,447860276,261,,,VZIREQ01,SESS-000091
1000000093,0001,false,false,000000000030000035,4000,SP04,2026-06-14T00:00:00,3.000,EA,0.000,0.00,2000007855,00010,444844676,261,,,VZIREQ02,SESS-000092
1000000094,0001,false,false,000000000030000035,4000,SP04,2026-07-09T00:00:00,4.000,EA,2.000,97716.22,2000007856,00010,444258064,261,,,VZIREQ03,SESS-000093
1000000095,0001,false,true,000000000030000036,1000,SP01,2026-02-10T00:00:00,1.000,EA,1.000,36992.85,2000007857,00010,418879604,261,,,VZIREQ05,SESS-000094
1000000096,0001,false,true,000000000030000036,1000,SP01,2025-11-28T00:00:00,4.000,EA,2.000,73985.70,2000007858,00010,418203758,261,,,VZIREQ02,SESS-000095
1000000097,0001,false,false,000000000030000036,1000,SP01,2026-02-18T00:00:00,1.000,EA,0.000,0.00,2000007859,00010,411149269,261,,,VZIREQ02,SESS-000096
1000000098,0001,false,true,000000000030000037,4000,SP04,2026-01-22T00:00:00,2.000,EA,2.000,74219.54,2000007860,00010,443369841,261,,,VZIREQ01,
1000000099,0001,false,true,000000000030000037,4000,SP04,2026-03-24T00:00:00,4.000,EA,2.000,74219.54,2000007861,00010,442538575,261,,,VZIREQ01,SESS-000097
1000000100,0001,false,true,000000000030000037,1000,SP01,2026-03-21T00:00:00,4.000,EA,4.000,148439.08,2000007862,00010,411978338,261,,,VZIREQ04,SESS-000098
1000000101,0001,false,false,000000000030000038,4000,SP04,2026-05-12T00:00:00,1.000,EA,1.000,162830.37,2000007863,00010,449639607,261,,,VZIREQ03,SESS-000099
1000000102,0001,false,false,000000000030000038,4000,SP04,2026-04-09T00:00:00,3.000,EA,2.000,325660.74,2000007864,00010,444472470,261,,,VZIREQ05,SESS-000100
1000000103,0001,false,false,000000000030000039,1000,SP01,2026-06-07T00:00:00,3.000,EA,0.000,0.00,2000007865,00010,419460454,261,,,VZIREQ04,SESS-000101
1000000104,0001,false,false,000000000030000039,1000,SP01,2026-06-16T00:00:00,3.000,EA,0.000,0.00,2000007866,00010,412745405,261,,,VZIREQ01,SESS-000102
1000000105,0001,false,true,000000000030000039,1000,SP01,2026-03-22T00:00:00,4.000,EA,4.000,190706.00,2000007867,00010,414428903,261,,,VZIREQ02,
1000000106,0001,false,false,000000000030000040,1000,SP01,2025-11-03T00:00:00,2.000,EA,0.000,0.00,2000007868,00010,415478167,261,,,VZIREQ05,SESS-000103
1000000107,0001,false,true,000000000030000040,1000,SP01,2025-10-03T00:00:00,2.000,EA,2.000,167076.80,2000007869,00010,414740796,261,,,VZIREQ03,SESS-000104
1000000108,0001,false,false,000000000030000040,1000,SP01,2026-05-06T00:00:00,4.000,EA,0.000,0.00,2000007870,00010,415610643,261,,,VZIREQ02,SESS-000105
1000000109,0001,false,false,000000000030000041,2000,SP02,2026-05-14T00:00:00,2.000,EA,0.000,0.00,2000007871,00010,425332924,261,,,VZIREQ01,SESS-000106
1000000110,0001,false,true,000000000030000042,4000,SP04,2026-05-30T00:00:00,2.000,EA,2.000,153248.76,2000007872,00010,443114938,261,,,VZIREQ02,SESS-000107
1000000111,0001,false,true,000000000030000042,4000,SP04,2025-12-20T00:00:00,2.000,EA,2.000,153248.76,2000007873,00010,446610034,261,,,VZIREQ02,SESS-000108
1000000112,0001,false,false,000000000030000043,3000,SP03,2026-04-15T00:00:00,2.000,EA,0.000,0.00,2000007874,00010,432855388,261,,,VZIREQ03,SESS-000109
1000000113,0001,false,false,000000000030000043,3000,SP03,2025-10-11T00:00:00,1.000,EA,0.000,0.00,2000007875,00010,431702729,261,,,VZIREQ02,SESS-000110
1000000114,0001,false,true,000000000030000044,3000,SP03,2026-03-16T00:00:00,3.000,EA,2.000,624041.30,2000007876,00010,436131362,261,,,VZIREQ04,SESS-000111
1000000115,0001,false,false,000000000030000044,3000,SP03,2026-02-18T00:00:00,1.000,EA,1.000,312020.65,2000007877,00010,436447591,261,,,VZIREQ05,SESS-000112
1000000116,0001,false,false,000000000030000045,2000,SP02,2025-10-26T00:00:00,1.000,EA,0.000,0.00,2000007878,00010,421974994,261,,,VZIREQ01,SESS-000113
1000000117,0001,false,false,000000000030000045,2000,SP02,2026-06-21T00:00:00,4.000,EA,0.000,0.00,2000007879,00010,423633646,261,,,VZIREQ01,SESS-000114
1000000118,0001,false,false,000000000030000046,3000,SP03,2025-11-25T00:00:00,2.000,EA,0.000,0.00,2000007880,00010,435001667,261,,,VZIREQ01,SESS-000115
1000000119,0001,false,false,000000000030000046,3000,SP03,2026-05-25T00:00:00,4.000,EA,0.000,0.00,2000007881,00010,437563947,261,,,VZIREQ02,SESS-000116
1000000120,0001,false,false,000000000030000046,3000,SP03,2026-06-29T00:00:00,4.000,EA,0.000,0.00,2000007882,00010,435907327,261,,,VZIREQ05,SESS-000117
1000000121,0001,false,false,000000000030000046,4000,SP04,2026-05-03T00:00:00,1.000,EA,0.000,0.00,2000007883,00010,446992520,261,,,VZIREQ03,SESS-000118
1000000122,0001,false,true,000000000030000046,4000,SP04,2025-10-27T00:00:00,4.000,EA,4.000,151160.32,2000007884,00010,447137773,261,,,VZIREQ01,SESS-000119
1000000123,0001,false,true,000000000030000047,1000,SP01,2025-11-18T00:00:00,1.000,EA,1.000,157481.34,2000007885,00010,414964540,261,,,VZIREQ02,SESS-000120
1000000124,0001,false,true,000000000030000047,1000,SP01,2025-12-18T00:00:00,1.000,EA,1.000,157481.34,2000007886,00010,417027186,261,,,VZIREQ04,SESS-000121
1000000125,0001,false,true,000000000030000047,1000,SP01,2026-03-17T00:00:00,4.000,EA,4.000,629925.36,2000007887,00010,418850482,261,,,VZIREQ01,SESS-000122
1000000126,0001,false,false,000000000030000048,4000,SP04,2026-01-24T00:00:00,4.000,EA,0.000,0.00,2000007888,00010,449885479,261,,,VZIREQ05,SESS-000123
1000000127,0001,false,false,000000000030000048,4000,SP04,2025-12-29T00:00:00,4.000,EA,0.000,0.00,2000007889,00010,449338973,261,,,VZIREQ03,SESS-000124
1000000128,0001,false,false,000000000030000049,2000,SP02,2026-01-02T00:00:00,1.000,EA,0.000,0.00,2000007890,00010,422995128,261,,,VZIREQ04,SESS-000125
1000000129,0001,false,false,000000000030000049,2000,SP02,2026-01-25T00:00:00,4.000,EA,2.000,122673.96,2000007891,00010,424940257,261,,,VZIREQ03,SESS-000126
1000000130,0001,false,false,000000000030000050,3000,SP03,2026-03-12T00:00:00,3.000,EA,0.000,0.00,2000007892,00010,433066318,261,,,VZIREQ01,SESS-000127
1000000131,0001,false,true,000000000030000050,3000,SP03,2025-09-21T00:00:00,4.000,EA,4.000,440923.56,2000007893,00010,433682484,261,,,VZIREQ02,SESS-000128
1000000132,0001,false,true,000000000030000050,3000,SP03,2025-10-05T00:00:00,3.000,EA,2.000,220461.78,2000007894,00010,439623494,261,,,VZIREQ01,SESS-000129
1000000133,0001,false,true,000000000030000051,1000,SP01,2026-03-01T00:00:00,4.000,EA,4.000,506670.72,2000007895,00010,412397644,261,,,VZIREQ04,SESS-000130
1000000134,0001,false,false,000000000030000051,1000,SP01,2026-04-26T00:00:00,4.000,EA,0.000,0.00,2000007896,00010,411660475,261,,,VZIREQ03,SESS-000131
1000000135,0001,false,true,000000000030000051,1000,SP01,2026-07-24T00:00:00,2.000,EA,2.000,253335.36,2000007897,00010,411547617,261,,,VZIREQ04,SESS-000132
1000000136,0001,false,false,000000000030000052,1000,SP01,2026-04-28T00:00:00,2.000,EA,0.000,0.00,2000007898,00010,411311390,261,,,VZIREQ04,SESS-000133
1000000137,0001,false,true,000000000030000052,1000,SP01,2026-08-10T00:00:00,3.000,EA,3.000,437640.24,2000007899,00010,412983400,261,,,VZIREQ01,SESS-000134
1000000138,0001,false,true,000000000030000052,1000,SP01,2025-12-24T00:00:00,3.000,EA,3.000,437640.24,2000007900,00010,416878052,261,,,VZIREQ04,SESS-000135
1000000139,0001,false,false,000000000030000053,1000,SP01,2026-03-29T00:00:00,3.000,EA,0.000,0.00,2000007901,00010,415045327,261,,,VZIREQ03,SESS-000136
1000000140,0001,false,false,000000000030000054,3000,SP03,2026-03-05T00:00:00,1.000,EA,0.000,0.00,2000007902,00010,433198717,261,,,VZIREQ04,SESS-000137
1000000141,0001,false,false,000000000030000054,3000,SP03,2025-11-18T00:00:00,1.000,EA,0.000,0.00,2000007903,00010,438357386,261,,,VZIREQ05,SESS-000138
1000000142,0001,false,false,000000000030000055,4000,SP04,2026-01-27T00:00:00,4.000,EA,0.000,0.00,2000007904,00010,445134381,261,,,VZIREQ05,SESS-000139
1000000143,0001,false,true,000000000030000055,1000,SP01,2026-02-09T00:00:00,1.000,EA,1.000,86314.02,2000007905,00010,412214622,261,,,VZIREQ05,SESS-000140
1000000144,0001,false,false,000000000030000055,1000,SP01,2025-11-24T00:00:00,2.000,EA,0.000,0.00,2000007906,00010,413043786,261,,,VZIREQ01,SESS-000141
1000000145,0001,false,true,000000000030000055,1000,SP01,2026-05-14T00:00:00,2.000,EA,2.000,172628.04,2000007907,00010,415103634,261,,,VZIREQ05,SESS-000142
1000000146,0001,false,false,000000000030000056,2000,SP02,2026-05-15T00:00:00,3.000,EA,2.000,696789.44,2000007908,00010,424190429,261,,,VZIREQ03,SESS-000143
1000000147,0001,false,true,000000000030000056,2000,SP02,2025-12-05T00:00:00,2.000,EA,2.000,696789.44,2000007909,00010,427416618,261,,,VZIREQ03,
1000000148,0001,false,false,000000000030000056,2000,SP02,2025-08-14T00:00:00,4.000,EA,0.000,0.00,2000007910,00010,429455023,261,,,VZIREQ01,SESS-000144
1000000149,0001,false,false,000000000030000057,4000,SP04,2026-04-20T00:00:00,3.000,EA,0.000,0.00,2000007911,00010,441200703,261,,,VZIREQ02,SESS-000145
1000000150,0001,false,false,000000000030000057,4000,SP04,2026-02-25T00:00:00,2.000,EA,0.000,0.00,2000007912,00010,448983848,261,,,VZIREQ04,SESS-000146
1000000151,0001,false,true,000000000030000057,4000,SP04,2025-12-30T00:00:00,2.000,EA,2.000,1231921.92,2000007913,00010,449768424,261,,,VZIREQ04,SESS-000147
1000000152,0001,false,true,000000000030000058,2000,SP02,2025-11-12T00:00:00,1.000,EA,1.000,360739.60,2000007914,00010,426546572,261,,,VZIREQ01,SESS-000148
1000000153,0001,false,false,000000000030000058,2000,SP02,2025-10-22T00:00:00,1.000,EA,0.000,0.00,2000007915,00010,429840120,261,,,VZIREQ03,SESS-000149
1000000154,0001,false,true,000000000030000059,4000,SP04,2026-06-10T00:00:00,1.000,EA,1.000,6110.74,2000007916,00010,441893774,261,,,VZIREQ05,SESS-000150
1000000155,0001,false,true,000000000030000059,4000,SP04,2026-03-22T00:00:00,2.000,EA,2.000,12221.48,2000007917,00010,443468471,261,,,VZIREQ02,SESS-000151
1000000156,0001,false,false,000000000030000060,3000,SP03,2026-01-25T00:00:00,1.000,EA,0.000,0.00,2000007918,00010,433330836,261,,,VZIREQ05,SESS-000152
1000000157,0001,false,false,000000000030000060,3000,SP03,2025-10-22T00:00:00,2.000,EA,0.000,0.00,2000007919,00010,431972202,261,,,VZIREQ03,SESS-000153
1000000158,0001,false,false,000000000030000060,3000,SP03,2026-04-10T00:00:00,4.000,EA,0.000,0.00,2000007920,00010,432775245,261,,,VZIREQ02,SESS-000154
1000000159,0001,false,false,000000000030000061,4000,SP04,2025-12-17T00:00:00,4.000,EA,0.000,0.00,2000007921,00010,446204507,261,,,VZIREQ01,SESS-000155
1000000160,0001,false,false,000000000030000061,4000,SP04,2025-11-21T00:00:00,4.000,EA,0.000,0.00,2000007922,00010,449370421,261,,,VZIREQ04,SESS-000156
