Matnr,Werks,Lgort,Labst,Insme,Speme,Lgpbe
000000000010000160,4000,SP04,0.000,0.000,0.000,E-18-3
000000000080000036,3000,SP03,1.000,0.000,0.000,B-12-1
000000000010000161,4000,SP04,158.000,0.000,0.000,B-13-1
000000000010000161,3000,SP03,90.000,0.000,0.000,A-22-4
000000000010000162,2000,SP02,0.000,0.000,0.000,C-09-6
000000000010000163,4000,SP04,60.000,0.000,0.000,A-07-2
000000000080000037,2000,SP02,3.000,0.000,0.000,E-14-6
000000000080000037,1000,SP01,41.000,0.000,0.000,D-22-5
000000000010000164,3000,SP03,24.000,0.000,0.000,C-06-3
000000000010000164,4000,SP04,2.000,0.000,0.000,B-24-3
000000000010000165,2000,SP02,0.000,0.000,0.000,C-05-5
000000000010000166,2000,SP02,9.000,0.000,0.000,A-01-4
000000000010000167,3000,SP03,0.000,0.000,0.000,E-11-6
000000000010000167,2000,SP02,0.000,0.000,0.000,A-14-1
000000000010000168,2000,SP02,0.000,0.000,0.000,E-02-4
000000000080000038,3000,SP03,5.000,0.000,0.000,E-13-5
000000000010000169,4000,SP04,5.000,0.000,0.000,E-11-4
000000000010000170,3000,SP03,11.000,0.000,0.000,D-04-6
000000000080000039,1000,SP01,2.000,0.000,0.000,D-17-4
000000000080000039,4000,SP04,2.000,1.000,0.000,D-11-1
000000000010000171,2000,SP02,3.000,0.000,0.000,C-16-4
000000000030000025,3000,SP03,2.000,0.000,0.000,A-16-1
000000000030000026,3000,SP03,1.000,0.000,0.000,E-13-6
000000000010000172,1000,SP01,6.000,0.000,0.000,C-19-4
000000000030000027,2000,SP02,3.000,0.000,0.000,B-06-5
000000000030000027,4000,SP04,0.000,0.000,0.000,B-04-3
000000000030000028,1000,SP01,0.000,0.000,0.000,B-18-1
000000000030000028,4000,SP04,5.000,0.000,0.000,B-12-3
000000000010000173,3000,SP03,2.000,0.000,0.000,B-22-6
000000000010000174,2000,SP02,63.000,0.000,0.000,E-08-4
000000000010000174,3000,SP03,204.000,0.000,0.000,A-21-4
000000000030000029,1000,SP01,2.000,0.000,0.000,B-17-6
000000000010000175,4000,SP04,13.000,0.000,0.000,B-21-6
000000000010000176,1000,SP01,2.000,0.000,0.000,B-14-6
000000000010000177,1000,SP01,0.000,0.000,0.000,A-02-3
000000000010000177,3000,SP03,3.000,0.000,0.000,E-05-4
000000000010000178,3000,SP03,0.000,0.000,0.000,D-22-5
000000000030000030,3000,SP03,7.000,0.000,0.000,D-12-6
000000000030000030,4000,SP04,0.000,0.000,0.000,D-17-1
000000000010000179,3000,SP03,0.000,0.000,0.000,B-02-4
000000000010000180,1000,SP01,5.000,0.000,0.000,A-24-1
000000000010000180,4000,SP04,5.000,0.000,0.000,E-24-4
000000000010000181,2000,SP02,4.000,0.000,0.000,C-07-2
000000000010000182,3000,SP03,0.000,0.000,0.000,E-23-2
000000000010000183,1000,SP01,27.000,0.000,0.000,E-21-2
000000000010000183,2000,SP02,7.000,0.000,0.000,D-23-3
000000000010000184,1000,SP01,254.000,0.000,0.000,E-18-4
000000000010000185,3000,SP03,3.000,0.000,0.000,E-10-4
000000000010000186,4000,SP04,0.000,0.000,0.000,D-12-6
000000000010000187,3000,SP03,443.000,0.000,0.000,B-01-3
000000000010000188,2000,SP02,113.000,0.000,0.000,D-12-6
000000000010000189,2000,SP02,0.000,0.000,0.000,A-16-2
000000000010000189,1000,SP01,0.000,0.000,0.000,D-15-4
000000000010000190,3000,SP03,22.000,0.000,0.000,D-23-2
000000000010000190,2000,SP02,0.000,0.000,0.000,A-24-2
000000000010000191,4000,SP04,48.000,0.000,0.000,A-04-5
000000000010000191,1000,SP01,2.000,0.000,0.000,C-23-2
000000000080000040,1000,SP01,19.000,0.000,0.000,C-24-4
000000000010000192,3000,SP03,9.000,0.000,0.000,A-06-2
000000000010000192,4000,SP04,17.000,0.000,0.000,E-22-4
000000000010000193,3000,SP03,22.000,0.000,0.000,B-11-2
000000000080000041,1000,SP01,4.000,0.000,0.000,D-01-5
000000000080000041,4000,SP04,7.000,1.000,0.000,D-06-3
000000000090000006,1000,SP01,16.000,0.000,0.000,E-18-5
000000000080000042,1000,SP01,7.000,1.000,0.000,A-15-6
000000000010000194,1000,SP01,6.000,0.000,0.000,D-11-1
000000000010000194,4000,SP04,9.000,0.000,0.000,B-04-2
000000000030000031,3000,SP03,4.000,0.000,0.000,E-18-2
000000000080000043,4000,SP04,5.000,0.000,0.000,B-01-2
000000000080000044,1000,SP01,12.000,0.000,0.000,D-01-3
000000000010000195,1000,SP01,1.000,0.000,0.000,A-07-4
000000000010000196,2000,SP02,8.000,0.000,0.000,E-02-6
000000000090000007,2000,SP02,20.000,0.000,0.000,D-22-5
000000000010000197,2000,SP02,0.000,0.000,0.000,D-13-1
000000000010000197,1000,SP01,0.000,0.000,0.000,A-14-4
000000000030000032,2000,SP02,4.000,0.000,0.000,D-10-4
000000000030000032,4000,SP04,0.000,0.000,0.000,B-24-5
000000000080000045,4000,SP04,3.000,0.000,0.000,C-06-4
000000000010000198,2000,SP02,3.000,0.000,0.000,D-07-3
000000000030000033,2000,SP02,0.000,0.000,0.000,A-02-2
000000000080000046,4000,SP04,3.000,0.000,0.000,B-02-6
000000000010000199,3000,SP03,0.000,0.000,0.000,C-11-5
000000000080000047,2000,SP02,11.000,0.000,0.000,C-14-5
000000000010000200,4000,SP04,0.000,0.000,0.000,E-01-2
000000000010000201,3000,SP03,2.000,0.000,0.000,E-23-3
000000000030000034,1000,SP01,0.000,0.000,0.000,E-15-5
000000000010000202,2000,SP02,12.000,0.000,0.000,C-23-6
000000000010000203,2000,SP02,0.000,0.000,0.000,C-14-4
000000000030000035,4000,SP04,5.000,0.000,0.000,B-05-5
000000000030000036,1000,SP01,1.000,0.000,0.000,C-09-5
000000000010000204,3000,SP03,2.000,0.000,0.000,A-13-1
000000000010000204,1000,SP01,1.000,0.000,0.000,B-22-1
000000000010000205,1000,SP01,0.000,0.000,0.000,B-23-6
000000000080000048,3000,SP03,4.000,0.000,0.000,A-02-6
000000000030000037,4000,SP04,0.000,0.000,0.000,E-07-2
000000000030000037,1000,SP01,0.000,0.000,0.000,C-24-5
000000000010000206,3000,SP03,78.000,0.000,0.000,C-03-3
000000000010000207,3000,SP03,6.000,0.000,0.000,E-05-5
000000000030000038,4000,SP04,1.000,0.000,0.000,B-24-5
000000000010000208,2000,SP02,2.000,0.000,0.000,E-12-1
000000000090000008,1000,SP01,37.000,0.000,0.000,D-09-1
000000000010000209,2000,SP02,0.000,0.000,0.000,E-22-3
000000000030000039,1000,SP01,6.000,0.000,0.000,C-09-3
000000000010000210,4000,SP04,93.000,0.000,0.000,A-24-5
000000000010000210,1000,SP01,62.000,0.000,0.000,E-07-1
000000000080000049,4000,SP04,10.000,0.000,0.000,B-08-2
000000000010000211,4000,SP04,20.000,0.000,0.000,B-05-6
000000000080000050,2000,SP02,5.000,0.000,0.000,A-16-1
000000000010000212,2000,SP02,0.000,0.000,0.000,B-12-3
000000000010000212,3000,SP03,0.000,0.000,0.000,A-15-4
000000000010000213,4000,SP04,5.000,0.000,0.000,A-14-3
000000000080000051,4000,SP04,7.000,0.000,0.000,C-17-3
000000000010000214,4000,SP04,3.000,0.000,0.000,E-15-2
000000000010000215,4000,SP04,2.000,0.000,0.000,A-18-1
000000000010000216,4000,SP04,127.000,0.000,0.000,A-01-2
000000000090000009,1000,SP01,31.000,0.000,0.000,C-16-3
000000000010000217,1000,SP01,22.000,0.000,0.000,C-16-5
000000000010000218,4000,SP04,2.000,0.000,0.000,E-22-4
000000000010000219,2000,SP02,0.000,0.000,0.000,E-04-1
000000000080000052,3000,SP03,4.000,0.000,0.000,B-10-2
000000000080000053,1000,SP01,6.000,0.000,0.000,A-07-5
000000000080000054,2000,SP02,5.000,1.000,0.000,B-17-1
000000000080000054,4000,SP04,1.000,0.000,0.000,D-01-2
000000000010000220,1000,SP01,5.000,0.000,0.000,E-14-2
000000000090000010,1000,SP01,29.000,0.000,0.000,C-03-1
000000000090000011,3000,SP03,12.000,0.000,0.000,D-24-2
000000000090000011,4000,SP04,36.000,0.000,0.000,A-14-3
000000000030000040,1000,SP01,6.000,0.000,0.000,A-19-4
000000000030000040,3000,SP03,24.000,0.000,0.000,D-12-4
000000000030000041,2000,SP02,2.000,0.000,0.000,D-03-4
000000000090000012,1000,SP01,20.000,0.000,0.000,C-10-2
000000000010000221,2000,SP02,13.000,0.000,0.000,B-08-1
000000000080000055,3000,SP03,4.000,0.000,0.000,B-02-6
000000000010000222,2000,SP02,0.000,0.000,0.000,D-22-1
000000000010000223,1000,SP01,1.000,0.000,0.000,A-08-3
000000000010000224,4000,SP04,9.000,0.000,0.000,C-02-2
000000000010000225,2000,SP02,70.000,0.000,0.000,C-14-3
000000000010000226,4000,SP04,77.000,0.000,0.000,D-13-3
000000000010000226,1000,SP01,41.000,0.000,0.000,E-19-6
000000000010000227,4000,SP04,0.000,0.000,0.000,A-20-2
000000000030000042,4000,SP04,0.000,0.000,0.000,D-14-5
000000000080000056,3000,SP03,10.000,0.000,0.000,A-23-6
000000000090000013,3000,SP03,12.000,0.000,0.000,D-14-3
000000000080000057,1000,SP01,14.000,0.000,0.000,C-03-2
000000000010000228,4000,SP04,25.000,0.000,0.000,D-15-2
000000000080000058,2000,SP02,4.000,0.000,0.000,E-20-6
000000000010000229,2000,SP02,263.000,0.000,0.000,E-22-6
000000000010000229,3000,SP03,32.000,0.000,0.000,A-20-4
000000000030000043,3000,SP03,3.000,0.000,0.000,D-15-4
000000000030000044,3000,SP03,0.000,0.000,0.000,A-08-6
000000000010000230,3000,SP03,5.000,0.000,0.000,A-16-3
000000000010000230,1000,SP01,9.000,0.000,0.000,A-15-6
000000000030000045,2000,SP02,5.000,0.000,0.000,E-02-4
000000000010000231,2000,SP02,0.000,0.000,0.000,D-03-1
000000000010000232,2000,SP02,2.000,0.000,0.000,D-08-2
000000000010000233,2000,SP02,17.000,0.000,0.000,A-05-5
