Ebeln,Ebelp,Loekz,Txz01,Matnr,Werks,Lgort,Bednr,Menge,Meins,Netpr,Peinh,Netwr,Elikz,Pstyp,Knttp,Plifz,Banfn,Bnfpo
4500000070,00010,,SPARE FOR ML-202,000000000010000008,4000,SP04,,18.000,EA,13713.10,1.000,246835.80,true,0,,199.000,2000000070,00010
4500000071,00010,,SPARE FOR CV-502,000000000080000002,3000,SP03,,10.000,EA,383480.69,1.000,3834806.90,true,0,,36.000,2000000071,00010
4500000072,00010,,SPARE FOR CV-501,000000000080000002,3000,SP03,,6.000,EA,383480.69,1.000,2300884.14,true,0,,36.000,2000000072,00010
4500000073,00010,,SPARE FOR FA-810,000000000080000002,3000,SP03,,7.000,EA,383480.69,1.000,2684364.83,true,0,,36.000,2000000073,00010
4500000074,00010,,SPARE FOR CR-101,000000000080000002,3000,SP03,,8.000,EA,383480.69,1.000,3067845.52,false,0,,36.000,2000000074,00010
4500000075,00010,,SPARE FOR CV-501,000000000080000002,3000,SP03,,8.000,EA,383480.69,1.000,3067845.52,true,0,,36.000,2000000075,00010
4500000076,00010,,SPARE FOR SC-701,000000000080000003,4000,SP04,,16.000,EA,69522.97,1.000,1112367.52,false,0,,58.000,2000000076,00010
4500000077,00010,,SPARE FOR FA-810,000000000080000003,4000,SP04,,23.000,EA,69522.97,1.000,1599028.31,true,0,,58.000,2000000077,00010
4500000078,00010,,SPARE FOR TH-401,000000000080000003,4000,SP04,,19.000,EA,69522.97,1.000,1320936.43,true,0,,58.000,2000000078,00010
4500000079,00010,,SPARE FOR FL-310,000000000080000003,4000,SP04,,19.000,EA,69522.97,1.000,1320936.43,false,0,,58.000,2000000079,00010
4500000080,00010,,SPARE FOR CV-501,000000000080000003,4000,SP04,,24.000,EA,69522.97,1.000,1668551.28,true,0,,58.000,2000000080,00010
4500000081,00010,,SPARE FOR TH-401,000000000010000009,3000,SP03,,4.000,EA,80878.21,1.000,323512.84,false,0,,176.000,2000000081,00010
4500000082,00010,,SPARE FOR PU-610,000000000010000009,3000,SP03,,4.000,EA,80878.21,1.000,323512.84,false,0,,176.000,2000000082,00010
4500000083,00010,,SPARE FOR FL-310,000000000010000009,3000,SP03,,4.000,EA,80878.21,1.000,323512.84,false,0,,176.000,2000000083,00010
4500000084,00010,,SPARE FOR CR-101,000000000010000009,3000,SP03,,4.000,EA,80878.21,1.000,323512.84,true,0,,176.000,2000000084,00010
4500000085,00010,,SPARE FOR ML-201,000000000010000009,3000,SP03,,4.000,EA,80878.21,1.000,323512.84,false,0,,176.000,2000000085,00010
4500000086,00010,,SPARE FOR ML-202,000000000010000011,4000,SP04,,175.000,EA,11086.78,1.000,1940186.50,true,0,,12.000,2000000086,00010
4500000087,00010,,SPARE FOR SC-701,000000000010000011,4000,SP04,,147.000,EA,11086.78,1.000,1629756.66,false,0,,12.000,2000000087,00010
4500000088,00010,,SPARE FOR PU-610,000000000010000011,4000,SP04,,148.000,EA,11086.78,1.000,1640843.44,true,0,,12.000,2000000088,00010
4500000089,00010,,SPARE FOR CV-501,000000000010000011,4000,SP04,,151.000,EA,11086.78,1.000,1674103.78,true,0,,12.000,2000000089,00010
4500000090,00010,,SPARE FOR FL-310,000000000010000011,4000,SP04,,156.000,EA,11086.78,1.000,1729537.68,true,0,,12.000,2000000090,00010
4500000091,00010,,SPARE FOR FA-810,000000000010000011,4000,SP04,,148.000,EA,11086.78,1.000,1640843.44,false,0,,12.000,2000000091,00010
4500000092,00010,,SPARE FOR PU-611,000000000010000012,3000,SP03,,2.000,EA,11526.72,1.000,23053.44,true,0,,44.000,2000000092,00010
4500000093,00010,,SPARE FOR CR-101,000000000010000012,3000,SP03,,3.000,EA,11526.72,1.000,34580.16,false,0,,44.000,2000000093,00010
4500000094,00010,,SPARE FOR PU-610,000000000010000012,3000,SP03,,4.000,EA,11526.72,1.000,46106.88,true,0,,44.000,2000000094,00010
4500000095,00010,,SPARE FOR TH-401,000000000010000012,3000,SP03,,2.000,EA,11526.72,1.000,23053.44,true,0,,44.000,2000000095,00010
4500000096,00010,,SPARE FOR PU-610,000000000010000012,3000,SP03,,3.000,EA,11526.72,1.000,34580.16,false,0,,44.000,2000000096,00010
4500000097,00010,,SPARE FOR TH-401,000000000010000012,3000,SP03,,3.000,EA,11526.72,1.000,34580.16,false,0,,44.000,2000000097,00010
4500000098,00010,,SPARE FOR PU-611,000000000010000012,2000,SP02,,5.000,EA,11526.72,1.000,57633.60,true,0,,44.000,2000000098,00010
4500000099,00010,,SPARE FOR CR-101,000000000010000012,2000,SP02,,5.000,EA,11526.72,1.000,57633.60,true,0,,44.000,2000000099,00010
4500000100,00010,,SPARE FOR SC-701,000000000010000012,2000,SP02,,4.000,EA,11526.72,1.000,46106.88,true,0,,44.000,2000000100,00010
4500000101,00010,,SPARE FOR CV-502,000000000010000012,2000,SP02,,5.000,EA,11526.72,1.000,57633.60,false,0,,44.000,2000000101,00010
4500000102,00010,,SPARE FOR FA-810,000000000010000012,2000,SP02,,8.000,EA,11526.72,1.000,92213.76,true,0,,44.000,2000000102,00010
4500000103,00010,,SPARE FOR TH-401,000000000010000013,4000,SP04,,4.000,EA,66527.45,1.000,266109.80,true,0,,33.000,2000000103,00010
4500000104,00010,,SPARE FOR PU-610,000000000010000013,4000,SP04,,3.000,EA,66527.45,1.000,199582.35,true,0,,33.000,2000000104,00010
4500000105,00010,,SPARE FOR FA-810,000000000010000013,4000,SP04,,3.000,EA,66527.45,1.000,199582.35,true,0,,33.000,2000000105,00010
4500000106,00010,,SPARE FOR FL-310,000000000010000013,4000,SP04,,3.000,EA,66527.45,1.000,199582.35,false,0,,33.000,2000000106,00010
4500000107,00010,,SPARE FOR FA-810,000000000010000013,4000,SP04,,3.000,EA,66527.45,1.000,199582.35,false,0,,33.000,2000000107,00010
4500000108,00010,,SPARE FOR ML-202,000000000010000013,4000,SP04,,3.000,EA,66527.45,1.000,199582.35,false,0,,33.000,2000000108,00010
4500000109,00010,,SPARE FOR ML-201,000000000010000013,4000,SP04,,4.000,EA,66527.45,1.000,266109.80,true,0,,33.000,2000000109,00010
4500000110,00010,,SPARE FOR PU-611,000000000010000013,4000,SP04,,4.000,EA,66527.45,1.000,266109.80,true,0,,33.000,2000000110,00010
4500000111,00010,,SPARE FOR CR-102,000000000010000015,4000,SP04,,132.000,EA,588908.25,1.000,77735889.00,true,0,,60.000,2000000111,00010
4500000112,00010,,SPARE FOR SC-701,000000000010000015,4000,SP04,,97.000,EA,588908.25,1.000,57124100.25,true,0,,60.000,2000000112,00010
4500000113,00010,,SPARE FOR ML-202,000000000010000015,4000,SP04,,103.000,EA,588908.25,1.000,60657549.75,true,0,,60.000,2000000113,00010
4500000114,00010,,SPARE FOR CR-101,000000000010000015,4000,SP04,,95.000,EA,588908.25,1.000,55946283.75,true,0,,60.000,2000000114,00010
4500000115,00010,,SPARE FOR PU-611,000000000010000015,4000,SP04,,96.000,EA,588908.25,1.000,56535192.00,false,0,,60.000,2000000115,00010
4500000116,00010,,SPARE FOR ML-201,000000000010000015,4000,SP04,,135.000,EA,588908.25,1.000,79502613.75,true,0,,60.000,2000000116,00010
4500000117,00010,,SPARE FOR TH-401,000000000010000015,4000,SP04,,93.000,EA,588908.25,1.000,54768467.25,true,0,,60.000,2000000117,00010
4500000118,00010,,SPARE FOR FL-310,000000000010000015,4000,SP04,,101.000,EA,588908.25,1.000,59479733.25,true,0,,60.000,2000000118,00010
4500000119,00010,,SPARE FOR FA-810,000000000010000015,1000,SP01,,115.000,EA,588908.25,1.000,67724448.75,true,0,,60.000,2000000119,00010
4500000120,00010,,SPARE FOR ML-202,000000000010000015,1000,SP01,,109.000,EA,588908.25,1.000,64190999.25,true,0,,60.000,2000000120,00010
4500000121,00010,,SPARE FOR SC-701,000000000010000015,1000,SP01,,90.000,EA,588908.25,1.000,53001742.50,true,0,,60.000,2000000121,00010
4500000122,00010,,SPARE FOR PU-610,000000000010000015,1000,SP01,,95.000,EA,588908.25,1.000,55946283.75,false,0,,60.000,2000000122,00010
4500000123,00010,,SPARE FOR FA-810,000000000010000015,1000,SP01,,137.000,EA,588908.25,1.000,80680430.25,true,0,,60.000,2000000123,00010
4500000124,00010,,SPARE FOR TH-401,000000000010000015,1000,SP01,,106.000,EA,588908.25,1.000,62424274.50,false,0,,60.000,2000000124,00010
4500000125,00010,,SPARE FOR ML-201,000000000010000015,1000,SP01,,148.000,EA,588908.25,1.000,87158421.00,true,0,,60.000,2000000125,00010
4500000126,00010,,SPARE FOR FL-310,000000000010000015,1000,SP01,,95.000,EA,588908.25,1.000,55946283.75,true,0,,60.000,2000000126,00010
4500000127,00010,,SPARE FOR PU-610,000000000010000015,1000,SP01,,109.000,EA,588908.25,1.000,64190999.25,true,0,,60.000,2000000127,00010
4500000128,00010,,SPARE FOR PU-611,000000000010000016,2000,SP02,,187.000,EA,2277.70,1.000,425929.90,false,0,,13.000,2000000128,00010
4500000129,00010,,SPARE FOR CV-501,000000000010000016,2000,SP02,,183.000,EA,2277.70,1.000,416819.10,false,0,,13.000,2000000129,00010
4500000130,00010,,SPARE FOR TH-401,000000000010000016,2000,SP02,,202.000,EA,2277.70,1.000,460095.40,false,0,,13.000,2000000130,00010
4500000131,00010,,SPARE FOR CV-502,000000000010000016,2000,SP02,,186.000,EA,2277.70,1.000,423652.20,true,0,,13.000,2000000131,00010
4500000132,00010,,SPARE FOR SC-701,000000000010000016,2000,SP02,,179.000,EA,2277.70,1.000,407708.30,true,0,,13.000,2000000132,00010
4500000133,00010,,SPARE FOR ML-201,000000000010000018,2000,SP02,,2.000,EA,13091.63,1.000,26183.26,true,0,,52.000,2000000133,00010
4500000134,00010,,SPARE FOR CR-102,000000000010000019,3000,SP03,,3.000,EA,30411.10,1.000,91233.30,false,0,,17.000,2000000134,00010
4500000135,00010,,SPARE FOR FA-810,000000000010000019,3000,SP03,,3.000,EA,30411.10,1.000,91233.30,false,0,,17.000,2000000135,00010
4500000136,00010,,SPARE FOR TH-401,000000000010000019,3000,SP03,,3.000,EA,30411.10,1.000,91233.30,true,0,,17.000,2000000136,00010
4500000137,00010,,SPARE FOR ML-202,000000000010000019,3000,SP03,,2.000,EA,30411.10,1.000,60822.20,false,0,,17.000,2000000137,00010
4500000138,00010,,SPARE FOR CR-102,000000000010000019,3000,SP03,,3.000,EA,30411.10,1.000,91233.30,false,0,,17.000,2000000138,00010
4500000139,00010,,SPARE FOR CR-101,000000000010000019,3000,SP03,,3.000,EA,30411.10,1.000,91233.30,true,0,,17.000,2000000139,00010
4500000140,00010,,SPARE FOR PU-610,000000000010000020,3000,SP03,,25.000,EA,84402.93,1.000,2110073.25,false,0,,91.000,2000000140,00010
4500000141,00010,,SPARE FOR ML-201,000000000010000020,3000,SP03,,23.000,EA,84402.93,1.000,1941267.39,true,0,,91.000,2000000141,00010
4500000142,00010,,SPARE FOR FL-310,000000000010000020,3000,SP03,,21.000,EA,84402.93,1.000,1772461.53,false,0,,91.000,2000000142,00010
4500000143,00010,,SPARE FOR FL-310,000000000010000020,3000,SP03,,21.000,EA,84402.93,1.000,1772461.53,true,0,,91.000,2000000143,00010
4500000144,00010,,SPARE FOR PU-611,000000000010000021,1000,SP01,,52.000,EA,9842.82,1.000,511826.64,false,0,,11.000,2000000144,00010
4500000145,00010,,SPARE FOR SC-701,000000000010000021,1000,SP01,,55.000,EA,9842.82,1.000,541355.10,true,0,,11.000,2000000145,00010
4500000146,00010,,SPARE FOR CR-101,000000000010000021,1000,SP01,,55.000,EA,9842.82,1.000,541355.10,true,0,,11.000,2000000146,00010
4500000147,00010,,SPARE FOR ML-201,000000000010000021,1000,SP01,,53.000,EA,9842.82,1.000,521669.46,true,0,,11.000,2000000147,00010
4500000148,00010,,SPARE FOR CV-502,000000000010000021,1000,SP01,,55.000,EA,9842.82,1.000,541355.10,true,0,,11.000,2000000148,00010
4500000149,00010,,SPARE FOR CV-502,000000000010000022,4000,SP04,,231.000,EA,4040.35,1.000,933320.85,true,0,,33.000,2000000149,00010
4500000150,00010,,SPARE FOR FA-810,000000000010000022,4000,SP04,,248.000,EA,4040.35,1.000,1002006.80,true,0,,33.000,2000000150,00010
4500000151,00010,,SPARE FOR FL-310,000000000010000022,4000,SP04,,218.000,EA,4040.35,1.000,880796.30,true,0,,33.000,2000000151,00010
4500000152,00010,,SPARE FOR CR-101,000000000010000022,4000,SP04,,211.000,EA,4040.35,1.000,852513.85,true,0,,33.000,2000000152,00010
4500000153,00010,,SPARE FOR CV-502,000000000010000023,3000,SP03,,18.000,EA,9008.87,1.000,162159.66,true,0,,25.000,2000000153,00010
4500000154,00010,,SPARE FOR FL-310,000000000010000023,3000,SP03,,14.000,EA,9008.87,1.000,126124.18,true,0,,25.000,2000000154,00010
4500000155,00010,,SPARE FOR ML-201,000000000010000023,3000,SP03,,14.000,EA,9008.87,1.000,126124.18,true,0,,25.000,2000000155,00010
4500000156,00010,,SPARE FOR FA-810,000000000010000023,3000,SP03,,16.000,EA,9008.87,1.000,144141.92,true,0,,25.000,2000000156,00010
4500000157,00010,,SPARE FOR CV-501,000000000080000004,2000,SP02,,18.000,EA,442687.37,1.000,7968372.66,true,0,,148.000,2000000157,00010
4500000158,00010,,SPARE FOR CR-101,000000000080000004,2000,SP02,,18.000,EA,442687.37,1.000,7968372.66,true,0,,148.000,2000000158,00010
4500000159,00010,,SPARE FOR PU-610,000000000080000004,2000,SP02,,20.000,EA,442687.37,1.000,8853747.40,false,0,,148.000,2000000159,00010
4500000160,00010,,SPARE FOR CR-102,000000000080000004,2000,SP02,,20.000,EA,442687.37,1.000,8853747.40,false,0,,148.000,2000000160,00010
4500000161,00010,,SPARE FOR CV-502,000000000010000025,2000,SP02,,199.000,EA,479526.26,1.000,95425725.74,true,0,,55.000,2000000161,00010
4500000162,00010,,SPARE FOR CV-502,000000000010000025,2000,SP02,,207.000,EA,479526.26,1.000,99261935.82,false,0,,55.000,2000000162,00010
4500000163,00010,,SPARE FOR PU-610,000000000010000025,2000,SP02,,230.000,EA,479526.26,1.000,110291039.80,true,0,,55.000,2000000163,00010
4500000164,00010,,SPARE FOR FL-310,000000000010000025,2000,SP02,,200.000,EA,479526.26,1.000,95905252.00,true,0,,55.000,2000000164,00010
4500000165,00010,,SPARE FOR CV-502,000000000010000026,2000,SP02,,4.000,EA,155061.15,1.000,620244.60,false,0,,48.000,2000000165,00010
4500000166,00010,,SPARE FOR CV-502,000000000010000026,1000,SP01,,1.000,EA,155061.15,1.000,155061.15,false,0,,48.000,2000000166,00010
4500000167,00010,,SPARE FOR CR-101,000000000010000026,1000,SP01,,1.000,EA,155061.15,1.000,155061.15,true,0,,48.000,2000000167,00010
4500000168,00010,,SPARE FOR FL-310,000000000080000005,4000,SP04,,5.000,EA,259633.31,1.000,1298166.55,false,0,,33.000,2000000168,00010
4500000169,00010,,SPARE FOR FA-810,000000000080000005,4000,SP04,,6.000,EA,259633.31,1.000,1557799.86,true,0,,33.000,2000000169,00010
4500000170,00010,,SPARE FOR FL-310,000000000080000005,4000,SP04,,5.000,EA,259633.31,1.000,1298166.55,false,0,,33.000,2000000170,00010
4500000171,00010,,SPARE FOR CV-502,000000000080000005,4000,SP04,,5.000,EA,259633.31,1.000,1298166.55,true,0,,33.000,2000000171,00010
4500000172,00010,,SPARE FOR SC-701,000000000080000005,4000,SP04,,6.000,EA,259633.31,1.000,1557799.86,true,0,,33.000,2000000172,00010
4500000173,00010,,SPARE FOR CR-102,000000000080000005,2000,SP02,,11.000,EA,259633.31,1.000,2855966.41,false,0,,33.000,2000000173,00010
4500000174,00010,,SPARE FOR PU-610,000000000080000005,2000,SP02,,10.000,EA,259633.31,1.000,2596333.10,false,0,,33.000,2000000174,00010
4500000175,00010,,SPARE FOR PU-611,000000000080000005,2000,SP02,,12.000,EA,259633.31,1.000,3115599.72,true,0,,33.000,2000000175,00010
4500000176,00010,,SPARE FOR FA-810,000000000080000005,2000,SP02,,10.000,EA,259633.31,1.000,2596333.10,false,0,,33.000,2000000176,00010
4500000177,00010,,SPARE FOR FA-810,000000000080000005,2000,SP02,,12.000,EA,259633.31,1.000,3115599.72,true,0,,33.000,2000000177,00010
4500000178,00010,,SPARE FOR FL-310,000000000010000028,2000,SP02,,8.000,EA,72346.01,1.000,578768.08,false,0,,57.000,2000000178,00010
4500000179,00010,,SPARE FOR FL-310,000000000010000028,2000,SP02,,8.000,EA,72346.01,1.000,578768.08,true,0,,57.000,2000000179,00010
4500000180,00010,,SPARE FOR FA-810,000000000010000028,2000,SP02,,14.000,EA,72346.01,1.000,1012844.14,false,0,,57.000,2000000180,00010
4500000181,00010,,SPARE FOR CV-501,000000000010000028,2000,SP02,,6.000,EA,72346.01,1.000,434076.06,true,0,,57.000,2000000181,00010
4500000182,00010,,SPARE FOR FA-810,000000000010000028,2000,SP02,,6.000,EA,72346.01,1.000,434076.06,true,0,,57.000,2000000182,00010
4500000183,00010,,SPARE FOR FA-810,000000000010000028,2000,SP02,,8.000,EA,72346.01,1.000,578768.08,false,0,,57.000,2000000183,00010
4500000184,00010,,SPARE FOR PU-611,000000000010000028,2000,SP02,,14.000,EA,72346.01,1.000,1012844.14,false,0,,57.000,2000000184,00010
