Ebeln,Ebelp,Zekkn,Vgabe,Gjahr,Belnr,Buzei,Bewtp,Bwart,Budat,Menge,Dmbtr,Shkzg,Cpudt,Matnr,Werks
4500000010,00010,01,1,2025,4900000060,0001,E,101,2025-05-19T00:00:00,54.000,663948.36,S,2025-05-19T00:00:00,000000000010000001,2000
4500000010,00010,01,2,2025,5100000005,0001,Q,,2025-05-28T00:00:00,54.000,663948.36,S,2025-05-24T00:00:00,000000000010000001,2000
4500000011,00010,01,1,2025,4900000063,0001,E,101,2025-07-20T00:00:00,92.000,1131171.28,S,2025-07-20T00:00:00,000000000010000001,2000
4500000011,00010,01,2,2025,5100000006,0001,Q,,2025-08-08T00:00:00,92.000,1131171.28,S,2025-08-02T00:00:00,000000000010000001,2000
4500000012,00010,01,1,2025,4900000068,0001,E,101,2025-12-18T00:00:00,93.000,1143466.62,S,2025-12-18T00:00:00,000000000010000001,2000
4500000013,00010,01,1,2026,4900000075,0001,E,101,2026-05-07T00:00:00,101.000,1241829.34,S,2026-05-07T00:00:00,000000000010000001,2000
4500000013,00010,01,2,2026,5100000007,0001,Q,,2026-06-04T00:00:00,101.000,1241829.34,S,2026-05-27T00:00:00,000000000010000001,2000
4500000017,00010,01,1,2025,4900000082,0001,E,101,2025-03-19T00:00:00,15.000,3868292.55,S,2025-03-19T00:00:00,000000000080000000,3000
4500000018,00010,01,1,2025,4900000086,0001,E,101,2025-09-21T00:00:00,4.000,1031544.68,S,2025-09-21T00:00:00,000000000080000000,3000
4500000018,00010,01,2,2025,5100000008,0001,Q,,2025-10-19T00:00:00,4.000,1031544.68,S,2025-09-27T00:00:00,000000000080000000,3000
4500000020,00010,01,1,2026,4900000088,0001,E,101,2026-01-14T00:00:00,11.000,2836747.87,S,2026-01-14T00:00:00,000000000080000000,3000
4500000020,00010,01,2,2026,5100000009,0001,Q,,2026-01-27T00:00:00,11.000,2836747.87,S,2026-02-07T00:00:00,000000000080000000,3000
4500000021,00010,01,1,2024,4900000092,0001,E,101,2024-11-05T00:00:00,4.000,568185.40,S,2024-11-05T00:00:00,000000000010000002,4000
4500000021,00010,01,2,2024,5100000010,0001,Q,,2024-11-28T00:00:00,4.000,568185.40,S,2024-11-19T00:00:00,000000000010000002,4000
4500000022,00010,01,1,2025,4900000095,0001,E,101,2025-02-28T00:00:00,5.000,710231.75,S,2025-02-28T00:00:00,000000000010000002,4000
4500000022,00010,01,2,2025,5100000011,0001,Q,,2025-03-09T00:00:00,5.000,710231.75,S,2025-03-15T00:00:00,000000000010000002,4000
4500000023,00010,01,1,2025,4900000097,0001,E,101,2025-05-13T00:00:00,4.000,568185.40,S,2025-05-13T00:00:00,000000000010000002,4000
4500000025,00010,01,1,2025,4900000100,0001,E,101,2025-09-19T00:00:00,7.000,994324.45,S,2025-09-19T00:00:00,000000000010000002,4000
4500000026,00010,01,1,2026,4900000104,0001,E,101,2026-02-18T00:00:00,6.000,852278.10,S,2026-02-18T00:00:00,000000000010000002,4000
4500000026,00010,01,2,2026,5100000012,0001,Q,,2026-02-26T00:00:00,6.000,852278.10,S,2026-03-19T00:00:00,000000000010000002,4000
4500000027,00010,01,1,2026,4900000106,0001,E,101,2026-04-15T00:00:00,5.000,710231.75,S,2026-04-15T00:00:00,000000000010000002,4000
4500000027,00010,01,2,2026,5100000013,0001,Q,,2026-04-26T00:00:00,5.000,710231.75,S,2026-05-03T00:00:00,000000000010000002,4000
4500000029,00010,01,1,2024,4900000109,0001,E,101,2024-11-20T00:00:00,9.000,1278417.15,S,2024-11-20T00:00:00,000000000010000002,2000
4500000029,00010,01,2,2024,5100000014,0001,Q,,2024-12-19T00:00:00,9.000,1278417.15,S,2024-12-02T00:00:00,000000000010000002,2000
4500000030,00010,01,1,2025,4900000112,0001,E,101,2025-02-15T00:00:00,8.000,1136370.80,S,2025-02-15T00:00:00,000000000010000002,2000
4500000031,00010,01,1,2025,4900000115,0001,E,101,2025-05-29T00:00:00,3.000,426139.05,S,2025-05-29T00:00:00,000000000010000002,2000
4500000031,00010,01,2,2025,5100000015,0001,Q,,2025-06-01T00:00:00,3.000,426139.05,S,2025-06-07T00:00:00,000000000010000002,2000
4500000032,00010,01,1,2025,4900000117,0001,E,101,2025-09-08T00:00:00,5.000,710231.75,S,2025-09-08T00:00:00,000000000010000002,2000
4500000032,00010,01,2,2025,5100000016,0001,Q,,2025-09-17T00:00:00,5.000,710231.75,S,2025-09-16T00:00:00,000000000010000002,2000
4500000033,00010,01,1,2026,4900000120,0001,E,101,2026-05-29T00:00:00,9.000,1278417.15,S,2026-05-29T00:00:00,000000000010000002,2000
4500000035,00010,01,1,2024,4900000126,0001,E,101,2024-12-18T00:00:00,19.000,1314561.74,S,2024-12-18T00:00:00,000000000080000001,1000
4500000036,00010,01,1,2025,4900000129,0001,E,101,2025-05-15T00:00:00,7.000,484312.22,S,2025-05-15T00:00:00,000000000080000001,1000
4500000037,00010,01,1,2025,4900000131,0001,E,101,2025-08-22T00:00:00,14.000,968624.44,S,2025-08-22T00:00:00,000000000080000001,1000
4500000037,00010,01,2,2025,5100000017,0001,Q,,2025-08-28T00:00:00,14.000,968624.44,S,2025-08-28T00:00:00,000000000080000001,1000
4500000038,00010,01,1,2025,4900000135,0001,E,101,2025-12-19T00:00:00,16.000,1106999.36,S,2025-12-19T00:00:00,000000000080000001,1000
4500000040,00010,01,1,2024,4900000140,0001,E,101,2024-10-29T00:00:00,10.000,691874.60,S,2024-10-29T00:00:00,000000000080000001,4000
4500000041,00010,01,1,2025,4900000143,0001,E,101,2025-04-08T00:00:00,7.000,484312.22,S,2025-04-08T00:00:00,000000000080000001,4000
4500000041,00010,01,2,2025,5100000018,0001,Q,,2025-04-12T00:00:00,7.000,484312.22,S,2025-04-26T00:00:00,000000000080000001,4000
4500000042,00010,01,1,2025,4900000146,0001,E,101,2025-07-21T00:00:00,6.000,415124.76,S,2025-07-21T00:00:00,000000000080000001,4000
4500000042,00010,01,2,2025,5100000019,0001,Q,,2025-07-26T00:00:00,6.000,415124.76,S,2025-08-16T00:00:00,000000000080000001,4000
4500000043,00010,01,1,2025,4900000148,0001,E,101,2025-10-21T00:00:00,8.000,553499.68,S,2025-10-21T00:00:00,000000000080000001,4000
4500000043,00010,01,2,2025,5100000020,0001,Q,,2025-11-15T00:00:00,8.000,553499.68,S,2025-11-16T00:00:00,000000000080000001,4000
4500000044,00010,01,1,2026,4900000151,0001,E,101,2026-07-20T00:00:00,8.000,553499.68,S,2026-07-20T00:00:00,000000000080000001,4000
4500000044,00010,01,2,2026,5100000021,0001,Q,,2026-08-15T00:00:00,8.000,553499.68,S,2026-08-04T00:00:00,000000000080000001,4000
4500000045,00010,01,1,2024,4900000156,0001,E,101,2024-12-22T00:00:00,100.000,564470.00,S,2024-12-22T00:00:00,000000000010000004,3000
4500000045,00010,01,2,2024,5100000022,0001,Q,,2024-12-25T00:00:00,100.000,564470.00,S,2025-01-03T00:00:00,000000000010000004,3000
4500000046,00010,01,1,2025,4900000159,0001,E,101,2025-03-17T00:00:00,105.000,592693.50,S,2025-03-17T00:00:00,000000000010000004,3000
4500000047,00010,01,1,2025,4900000163,0001,E,101,2025-05-24T00:00:00,116.000,654785.20,S,2025-05-24T00:00:00,000000000010000004,3000
4500000047,00010,01,2,2025,5100000023,0001,Q,,2025-06-03T00:00:00,116.000,654785.20,S,2025-06-09T00:00:00,000000000010000004,3000
4500000048,00010,01,1,2025,4900000166,0001,E,101,2025-08-13T00:00:00,91.000,513667.70,S,2025-08-13T00:00:00,000000000010000004,3000
4500000049,00010,01,1,2025,4900000170,0001,E,101,2025-10-22T00:00:00,108.000,609627.60,S,2025-10-22T00:00:00,000000000010000004,3000
4500000050,00010,01,1,2026,4900000174,0001,E,101,2026-02-03T00:00:00,113.000,637851.10,S,2026-02-03T00:00:00,000000000010000004,3000
4500000051,00010,01,1,2026,4900000178,0001,E,101,2026-05-19T00:00:00,100.000,564470.00,S,2026-05-19T00:00:00,000000000010000004,3000
4500000052,00010,01,1,2026,4900000181,0001,E,101,2026-08-17T00:00:00,101.000,570114.70,S,2026-08-17T00:00:00,000000000010000004,3000
4500000052,00010,01,2,2026,5100000024,0001,Q,,2026-09-04T00:00:00,101.000,570114.70,S,2026-09-07T00:00:00,000000000010000004,3000
4500000054,00010,01,1,2025,4900000188,0001,E,101,2025-01-22T00:00:00,200.000,4548012.00,S,2025-01-22T00:00:00,000000000010000005,1000
4500000054,00010,01,2,2025,5100000025,0001,Q,,2025-02-18T00:00:00,200.000,4548012.00,S,2025-02-09T00:00:00,000000000010000005,1000
4500000055,00010,01,1,2025,4900000196,0001,E,101,2025-08-23T00:00:00,169.000,3843070.14,S,2025-08-23T00:00:00,000000000010000005,1000
4500000056,00010,01,1,2026,4900000203,0001,E,101,2026-02-19T00:00:00,177.000,4024990.62,S,2026-02-19T00:00:00,000000000010000005,1000
4500000058,00010,01,1,2025,4900000213,0001,E,101,2025-07-07T00:00:00,7.000,1946478.73,S,2025-07-07T00:00:00,000000000010000006,1000
4500000058,00010,01,2,2025,5100000026,0001,Q,,2025-08-02T00:00:00,7.000,1946478.73,S,2025-07-26T00:00:00,000000000010000006,1000
4500000059,00010,01,1,2026,4900000218,0001,E,101,2026-06-28T00:00:00,7.000,1946478.73,S,2026-06-28T00:00:00,000000000010000006,1000
4500000059,00010,01,2,2026,5100000027,0001,Q,,2026-07-12T00:00:00,7.000,1946478.73,S,2026-07-14T00:00:00,000000000010000006,1000
4500000062,00010,01,1,2025,4900000223,0001,E,101,2025-04-30T00:00:00,22.000,3135354.20,S,2025-04-30T00:00:00,000000000010000007,3000
4500000063,00010,01,1,2026,4900000228,0001,E,101,2026-02-19T00:00:00,15.000,2137741.50,S,2026-02-19T00:00:00,000000000010000007,3000
4500000063,00010,01,2,2026,5100000028,0001,Q,,2026-03-20T00:00:00,15.000,2137741.50,S,2026-03-05T00:00:00,000000000010000007,3000
4500000065,00010,01,1,2026,4900000233,0001,E,101,2026-07-11T00:00:00,16.000,2280257.60,S,2026-07-11T00:00:00,000000000010000007,3000
4500000065,00010,01,2,2026,5100000029,0001,Q,,2026-07-15T00:00:00,16.000,2280257.60,S,2026-08-04T00:00:00,000000000010000007,3000
4500000067,00010,01,1,2025,4900000239,0001,E,101,2025-04-17T00:00:00,17.000,233122.70,S,2025-04-17T00:00:00,000000000010000008,4000
4500000067,00010,01,2,2025,5100000030,0001,Q,,2025-04-20T00:00:00,17.000,233122.70,S,2025-05-10T00:00:00,000000000010000008,4000
4500000069,00010,01,1,2025,4900000247,0001,E,101,2025-12-22T00:00:00,21.000,287975.10,S,2025-12-22T00:00:00,000000000010000008,4000
4500000069,00010,01,2,2025,5100000031,0001,Q,,2026-01-18T00:00:00,21.000,287975.10,S,2025-12-29T00:00:00,000000000010000008,4000
4500000070,00010,01,1,2026,4900000252,0001,E,101,2026-08-06T00:00:00,18.000,246835.80,S,2026-08-06T00:00:00,000000000010000008,4000
4500000070,00010,01,2,2026,5100000032,0001,Q,,2026-08-09T00:00:00,18.000,246835.80,S,2026-09-01T00:00:00,000000000010000008,4000
4500000071,00010,01,1,2024,4900000254,0001,E,101,2024-12-12T00:00:00,10.000,3834806.90,S,2024-12-12T00:00:00,000000000080000002,3000
4500000072,00010,01,1,2025,4900000256,0001,E,101,2025-04-05T00:00:00,6.000,2300884.14,S,2025-04-05T00:00:00,000000000080000002,3000
4500000072,00010,01,2,2025,5100000033,0001,Q,,2025-04-21T00:00:00,6.000,2300884.14,S,2025-04-12T00:00:00,000000000080000002,3000
4500000073,00010,01,1,2025,4900000259,0001,E,101,2025-07-21T00:00:00,7.000,2684364.83,S,2025-07-21T00:00:00,000000000080000002,3000
4500000073,00010,01,2,2025,5100000034,0001,Q,,2025-08-03T00:00:00,7.000,2684364.83,S,2025-08-19T00:00:00,000000000080000002,3000
4500000075,00010,01,1,2026,4900000261,0001,E,101,2026-06-26T00:00:00,8.000,3067845.52,S,2026-06-26T00:00:00,000000000080000002,3000
4500000075,00010,01,2,2026,5100000035,0001,Q,,2026-07-21T00:00:00,8.000,3067845.52,S,2026-07-15T00:00:00,000000000080000002,3000
4500000077,00010,01,1,2025,4900000265,0001,E,101,2025-01-02T00:00:00,23.000,1599028.31,S,2025-01-02T00:00:00,000000000080000003,4000
4500000077,00010,01,2,2025,5100000036,0001,Q,,2025-01-23T00:00:00,23.000,1599028.31,S,2025-01-29T00:00:00,000000000080000003,4000
4500000078,00010,01,1,2026,4900000271,0001,E,101,2026-03-01T00:00:00,19.000,1320936.43,S,2026-03-01T00:00:00,000000000080000003,4000
4500000080,00010,01,1,2026,4900000275,0001,E,101,2026-07-16T00:00:00,24.000,1668551.28,S,2026-07-16T00:00:00,000000000080000003,4000
4500000080,00010,01,2,2026,5100000037,0001,Q,,2026-08-07T00:00:00,24.000,1668551.28,S,2026-08-14T00:00:00,000000000080000003,4000
4500000083,00010,01,1,2025,4900000279,0001,E,101,2025-05-09T00:00:00,3.000,242634.63,S,2025-05-09T00:00:00,000000000010000009,3000
4500000084,00010,01,1,2025,4900000283,0001,E,101,2025-11-06T00:00:00,4.000,323512.84,S,2025-11-06T00:00:00,000000000010000009,3000
4500000086,00010,01,1,2024,4900000290,0001,E,101,2024-12-18T00:00:00,175.000,1940186.50,S,2024-12-18T00:00:00,000000000010000011,4000
4500000086,00010,01,2,2024,5100000038,0001,Q,,2025-01-10T00:00:00,175.000,1940186.50,S,2025-01-06T00:00:00,000000000010000011,4000
4500000087,00010,01,1,2025,4900000295,0001,E,101,2025-05-02T00:00:00,108.000,1197372.24,S,2025-05-02T00:00:00,000000000010000011,4000
4500000088,00010,01,1,2025,4900000299,0001,E,101,2025-08-04T00:00:00,148.000,1640843.44,S,2025-08-04T00:00:00,000000000010000011,4000
4500000089,00010,01,1,2025,4900000304,0001,E,101,2025-11-20T00:00:00,151.000,1674103.78,S,2025-11-20T00:00:00,000000000010000011,4000
4500000089,00010,01,2,2025,5100000039,0001,Q,,2025-11-24T00:00:00,151.000,1674103.78,S,2025-12-02T00:00:00,000000000010000011,4000
4500000090,00010,01,1,2026,4900000309,0001,E,101,2026-03-23T00:00:00,156.000,1729537.68,S,2026-03-23T00:00:00,000000000010000011,4000
4500000090,00010,01,2,2026,5100000040,0001,Q,,2026-04-13T00:00:00,156.000,1729537.68,S,2026-04-14T00:00:00,000000000010000011,4000
4500000092,00010,01,1,2025,4900000317,0001,E,101,2025-10-10T00:00:00,2.000,23053.44,S,2025-10-10T00:00:00,000000000010000012,3000
4500000094,00010,01,1,2025,4900000320,0001,E,101,2025-12-27T00:00:00,4.000,46106.88,S,2025-12-27T00:00:00,000000000010000012,3000
4500000094,00010,01,2,2025,5100000041,0001,Q,,2026-01-13T00:00:00,4.000,46106.88,S,2026-01-09T00:00:00,000000000010000012,3000
4500000095,00010,01,1,2026,4900000324,0001,E,101,2026-06-26T00:00:00,2.000,23053.44,S,2026-06-26T00:00:00,000000000010000012,3000
4500000095,00010,01,2,2026,5100000042,0001,Q,,2026-07-21T00:00:00,2.000,23053.44,S,2026-07-14T00:00:00,000000000010000012,3000
4500000098,00010,01,1,2024,4900000327,0001,E,101,2024-12-25T00:00:00,5.000,57633.60,S,2024-12-25T00:00:00,000000000010000012,2000
4500000098,00010,01,2,2024,5100000043,0001,Q,,2025-01-19T00:00:00,5.000,57633.60,S,2025-01-18T00:00:00,000000000010000012,2000
4500000099,00010,01,1,2025,4900000330,0001,E,101,2025-04-18T00:00:00,5.000,57633.60,S,2025-04-18T00:00:00,000000000010000012,2000
4500000099,00010,01,2,2025,5100000044,0001,Q,,2025-05-13T00:00:00,5.000,57633.60,S,2025-05-06T00:00:00,000000000010000012,2000
4500000100,00010,01,1,2026,4900000333,0001,E,101,2026-03-26T00:00:00,4.000,46106.88,S,2026-03-26T00:00:00,000000000010000012,2000
4500000102,00010,01,1,2026,4900000337,0001,E,101,2026-09-06T00:00:00,8.000,92213.76,S,2026-09-06T00:00:00,000000000010000012,2000
4500000102,00010,01,2,2026,5100000045,0001,Q,,2026-09-07T00:00:00,8.000,92213.76,S,2026-09-07T00:00:00,000000000010000012,2000
4500000103,00010,01,1,2024,4900000339,0001,E,101,2024-10-26T00:00:00,4.000,266109.80,S,2024-10-26T00:00:00,000000000010000013,4000
4500000103,00010,01,2,2024,5100000046,0001,Q,,2024-11-08T00:00:00,4.000,266109.80,S,2024-11-24T00:00:00,000000000010000013,4000
4500000104,00010,01,1,2025,4900000341,0001,E,101,2025-02-06T00:00:00,3.000,199582.35,S,2025-02-06T00:00:00,000000000010000013,4000
4500000104,00010,01,2,2025,5100000047,0001,Q,,2025-02-19T00:00:00,3.000,199582.35,S,2025-02-24T00:00:00,000000000010000013,4000
4500000105,00010,01,1,2025,4900000344,0001,E,101,2025-11-21T00:00:00,3.000,199582.35,S,2025-11-21T00:00:00,000000000010000013,4000
4500000109,00010,01,1,2026,4900000348,0001,E,101,2026-03-21T00:00:00,4.000,266109.80,S,2026-03-21T00:00:00,000000000010000013,4000
4500000109,00010,01,2,2026,5100000048,0001,Q,,2026-03-27T00:00:00,4.000,266109.80,S,2026-03-26T00:00:00,000000000010000013,4000
4500000110,00010,01,1,2026,4900000350,0001,E,101,2026-07-07T00:00:00,4.000,266109.80,S,2026-07-07T00:00:00,000000000010000013,4000
4500000110,00010,01,2,2026,5100000049,0001,Q,,2026-07-19T00:00:00,4.000,266109.80,S,2026-07-14T00:00:00,000000000010000013,4000
4500000111,00010,01,1,2024,4900000354,0001,E,101,2024-11-30T00:00:00,132.000,77735889.00,S,2024-11-30T00:00:00,000000000010000015,4000
4500000111,00010,01,2,2024,5100000050,0001,Q,,2024-12-06T00:00:00,132.000,77735889.00,S,2024-12-28T00:00:00,000000000010000015,4000
4500000112,00010,01,1,2025,4900000359,0001,E,101,2025-03-25T00:00:00,97.000,57124100.25,S,2025-03-25T00:00:00,000000000010000015,4000
4500000112,00010,01,2,2025,5100000051,0001,Q,,2025-04-19T00:00:00,97.000,57124100.25,S,2025-03-29T00:00:00,000000000010000015,4000
4500000113,00010,01,1,2025,4900000364,0001,E,101,2025-08-02T00:00:00,103.000,60657549.75,S,2025-08-02T00:00:00,000000000010000015,4000
4500000114,00010,01,1,2025,4900000368,0001,E,101,2025-11-08T00:00:00,95.000,55946283.75,S,2025-11-08T00:00:00,000000000010000015,4000
4500000114,00010,01,2,2025,5100000052,0001,Q,,2025-11-29T00:00:00,95.000,55946283.75,S,2025-11-22T00:00:00,000000000010000015,4000
4500000116,00010,01,1,2026,4900000373,0001,E,101,2026-02-21T00:00:00,135.000,79502613.75,S,2026-02-21T00:00:00,000000000010000015,4000
4500000117,00010,01,1,2026,4900000377,0001,E,101,2026-06-18T00:00:00,93.000,54768467.25,S,2026-06-18T00:00:00,000000000010000015,4000
4500000118,00010,01,1,2026,4900000380,0001,E,101,2026-09-03T00:00:00,101.000,59479733.25,S,2026-09-03T00:00:00,000000000010000015,4000
4500000119,00010,01,1,2024,4900000385,0001,E,101,2024-12-02T00:00:00,115.000,67724448.75,S,2024-12-02T00:00:00,000000000010000015,1000
4500000120,00010,01,1,2025,4900000389,0001,E,101,2025-03-04T00:00:00,109.000,64190999.25,S,2025-03-04T00:00:00,000000000010000015,1000
4500000120,00010,01,2,2025,5100000053,0001,Q,,2025-03-12T00:00:00,109.000,64190999.25,S,2025-03-08T00:00:00,000000000010000015,1000
4500000121,00010,01,1,2025,4900000393,0001,E,101,2025-05-22T00:00:00,90.000,53001742.50,S,2025-05-22T00:00:00,000000000010000015,1000
4500000121,00010,01,2,2025,5100000054,0001,Q,,2025-06-17T00:00:00,90.000,53001742.50,S,2025-06-17T00:00:00,000000000010000015,1000
4500000123,00010,01,1,2025,4900000398,0001,E,101,2025-09-08T00:00:00,137.000,80680430.25,S,2025-09-08T00:00:00,000000000010000015,1000
4500000125,00010,01,1,2026,4900000403,0001,E,101,2026-01-13T00:00:00,148.000,87158421.00,S,2026-01-13T00:00:00,000000000010000015,1000
4500000126,00010,01,1,2026,4900000407,0001,E,101,2026-04-21T00:00:00,95.000,55946283.75,S,2026-04-21T00:00:00,000000000010000015,1000
4500000127,00010,01,1,2026,4900000411,0001,E,101,2026-08-16T00:00:00,109.000,64190999.25,S,2026-08-16T00:00:00,000000000010000015,1000
4500000127,00010,01,2,2026,5100000055,0001,Q,,2026-09-05T00:00:00,109.000,64190999.25,S,2026-08-31T00:00:00,000000000010000015,1000
4500000128,00010,01,1,2024,4900000415,0001,E,101,2024-11-08T00:00:00,130.000,296101.00,S,2024-11-08T00:00:00,000000000010000016,2000
4500000130,00010,01,1,2025,4900000421,0001,E,101,2025-04-27T00:00:00,112.000,255102.40,S,2025-04-27T00:00:00,000000000010000016,2000
4500000131,00010,01,1,2025,4900000425,0001,E,101,2025-08-13T00:00:00,186.000,423652.20,S,2025-08-13T00:00:00,000000000010000016,2000
4500000131,00010,01,2,2025,5100000056,0001,Q,,2025-08-25T00:00:00,186.000,423652.20,S,2025-09-04T00:00:00,000000000010000016,2000
4500000132,00010,01,1,2026,4900000433,0001,E,101,2026-03-09T00:00:00,179.000,407708.30,S,2026-03-09T00:00:00,000000000010000016,2000
4500000132,00010,01,2,2026,5100000057,0001,Q,,2026-03-13T00:00:00,179.000,407708.30,S,2026-03-31T00:00:00,000000000010000016,2000
4500000133,00010,01,1,2026,4900000444,0001,E,101,2026-06-09T00:00:00,2.000,26183.26,S,2026-06-09T00:00:00,000000000010000018,2000
4500000133,00010,01,2,2026,5100000058,0001,Q,,2026-07-01T00:00:00,2.000,26183.26,S,2026-06-16T00:00:00,000000000010000018,2000
4500000136,00010,01,1,2025,4900000448,0001,E,101,2025-09-09T00:00:00,3.000,91233.30,S,2025-09-09T00:00:00,000000000010000019,3000
4500000136,00010,01,2,2025,5100000059,0001,Q,,2025-10-06T00:00:00,3.000,91233.30,S,2025-09-15T00:00:00,000000000010000019,3000
4500000139,00010,01,1,2026,4900000451,0001,E,101,2026-03-28T00:00:00,3.000,91233.30,S,2026-03-28T00:00:00,000000000010000019,3000
4500000139,00010,01,2,2026,5100000060,0001,Q,,2026-04-09T00:00:00,3.000,91233.30,S,2026-04-08T00:00:00,000000000010000019,3000
4500000140,00010,01,1,2024,4900000455,0001,E,101,2024-12-08T00:00:00,14.000,1181641.02,S,2024-12-08T00:00:00,000000000010000020,3000
4500000140,00010,01,2,2024,5100000061,0001,Q,,2024-12-31T00:00:00,14.000,1181641.02,S,2025-01-05T00:00:00,000000000010000020,3000
4500000141,00010,01,1,2025,4900000459,0001,E,101,2025-05-23T00:00:00,23.000,1941267.39,S,2025-05-23T00:00:00,000000000010000020,3000
4500000141,00010,01,2,2025,5100000062,0001,Q,,2025-06-14T00:00:00,23.000,1941267.39,S,2025-06-10T00:00:00,000000000010000020,3000
4500000143,00010,01,1,2026,4900000462,0001,E,101,2026-02-09T00:00:00,21.000,1772461.53,S,2026-02-09T00:00:00,000000000010000020,3000
4500000144,00010,01,1,2024,4900000467,0001,E,101,2024-10-23T00:00:00,35.000,344498.70,S,2024-10-23T00:00:00,000000000010000021,1000
4500000145,00010,01,1,2025,4900000471,0001,E,101,2025-01-30T00:00:00,55.000,541355.10,S,2025-01-30T00:00:00,000000000010000021,1000
4500000145,00010,01,2,2025,5100000063,0001,Q,,2025-02-20T00:00:00,55.000,541355.10,S,2025-02-16T00:00:00,000000000010000021,1000
4500000146,00010,01,1,2025,4900000477,0001,E,101,2025-06-23T00:00:00,55.000,541355.10,S,2025-06-23T00:00:00,000000000010000021,1000
4500000146,00010,01,2,2025,5100000064,0001,Q,,2025-07-02T00:00:00,55.000,541355.10,S,2025-07-07T00:00:00,000000000010000021,1000
4500000147,00010,01,1,2025,4900000483,0001,E,101,2025-11-20T00:00:00,53.000,521669.46,S,2025-11-20T00:00:00,000000000010000021,1000
4500000147,00010,01,2,2025,5100000065,0001,Q,,2025-12-02T00:00:00,53.000,521669.46,S,2025-12-20T00:00:00,000000000010000021,1000
4500000148,00010,01,1,2026,4900000489,0001,E,101,2026-04-17T00:00:00,55.000,541355.10,S,2026-04-17T00:00:00,000000000010000021,1000
4500000148,00010,01,2,2026,5100000066,0001,Q,,2026-04-24T00:00:00,55.000,541355.10,S,2026-04-24T00:00:00,000000000010000021,1000
4500000149,00010,01,1,2025,4900000497,0001,E,101,2025-01-01T00:00:00,231.000,933320.85,S,2025-01-01T00:00:00,000000000010000022,4000
4500000149,00010,01,2,2025,5100000067,0001,Q,,2025-01-12T00:00:00,231.000,933320.85,S,2025-01-23T00:00:00,000000000010000022,4000
4500000150,00010,01,1,2025,4900000504,0001,E,101,2025-07-09T00:00:00,248.000,1002006.80,S,2025-07-09T00:00:00,000000000010000022,4000
4500000150,00010,01,2,2025,5100000068,0001,Q,,2025-07-24T00:00:00,248.000,1002006.80,S,2025-07-14T00:00:00,000000000010000022,4000
4500000151,00010,01,1,2026,4900000513,0001,E,101,2026-03-24T00:00:00,218.000,880796.30,S,2026-03-24T00:00:00,000000000010000022,4000
4500000151,00010,01,2,2026,5100000069,0001,Q,,2026-03-30T00:00:00,218.000,880796.30,S,2026-04-10T00:00:00,000000000010000022,4000
4500000152,00010,01,1,2026,4900000518,0001,E,101,2026-08-09T00:00:00,211.000,852513.85,S,2026-08-09T00:00:00,000000000010000022,4000
4500000152,00010,01,2,2026,5100000070,0001,Q,,2026-08-30T00:00:00,211.000,852513.85,S,2026-09-02T00:00:00,000000000010000022,4000
4500000153,00010,01,1,2024,4900000521,0001,E,101,2024-10-06T00:00:00,18.000,162159.66,S,2024-10-06T00:00:00,000000000010000023,3000
