Mblnr,Mjahr,Zeile,Bwart,Matnr,Werks,Lgort,Lifnr,Shkzg,Dmbtr,Menge,Meins,Ebeln,Ebelp,Sgtxt,Wempf,Kostl,Aufnr,Rsnum,Rspos,Umwrk,Umlgo,Grund,BudatMkpf,CpudtMkpf
4900000025,2026,0001,261,000000000010000000,1000,SP01,,H,1329435.12,24.000,EA,,,ISSUED TO SC-701,VZIREQ02,,413247045,,,,,,2026-09-06T00:00:00,2026-09-06T00:00:00
4900000026,2024,0001,261,000000000010000001,1000,SP01,,H,209020.78,17.000,EA,,,CHANGEOUT FL-310,VZIREQ01,,414825492,,,,,,2024-09-29T00:00:00,2024-09-29T00:00:00
4900000027,2024,0001,201,000000000010000001,1000,SP01,,H,147544.08,12.000,EA,,,BREAKDOWN REPL PU-610,VZIREQ01,1000-MECH,,,,,,,2024-10-27T00:00:00,2024-10-27T00:00:00
4900000028,2024,0001,201,000000000010000001,1000,SP01,,H,61476.70,5.000,EA,,,BREAKDOWN REPL FL-310,VZIREQ01,1000-MECH,,,,,,,2024-11-28T00:00:00,2024-11-28T00:00:00
4900000029,2024,0001,101,000000000010000001,1000,SP01,0001000034,S,1389373.42,113.000,EA,4500000004,00010,GR AGAINST PO,,,,,,,,,2024-12-04T00:00:00,2024-12-04T00:00:00
4900000030,2024,0001,261,000000000010000001,1000,SP01,,H,258202.14,21.000,EA,,,BREAKDOWN REPL FA-810,VZIREQ05,,412279796,,,,,,2024-12-11T00:00:00,2024-12-11T00:00:00
4900000031,2025,0001,261,000000000010000001,1000,SP01,,H,270497.48,22.000,EA,,,BREAKDOWN REPL SC-701,VZIREQ03,,414415138,,,,,,2025-01-17T00:00:00,2025-01-17T00:00:00
4900000032,2025,0001,261,000000000010000001,1000,SP01,,H,196725.44,16.000,EA,,,ISSUED TO CV-502,VZIREQ03,,414876007,,,,,,2025-02-12T00:00:00,2025-02-12T00:00:00
4900000033,2025,0001,261,000000000010000001,1000,SP01,,H,196725.44,16.000,EA,,,BREAKDOWN REPL ML-201,VZIREQ02,,413818228,,,,,,2025-03-05T00:00:00,2025-03-05T00:00:00
4900000034,2025,0001,261,000000000010000001,1000,SP01,,H,172134.76,14.000,EA,,,ISSUED TO CV-501,VZIREQ05,,413157945,,,,,,2025-04-30T00:00:00,2025-04-30T00:00:00
4900000035,2025,0001,261,000000000010000001,1000,SP01,,H,159839.42,13.000,EA,,,ISSUED TO CR-101,VZIREQ05,,418162240,,,,,,2025-05-02T00:00:00,2025-05-02T00:00:00
4900000036,2025,0001,201,000000000010000001,1000,SP01,,H,135248.74,11.000,EA,,,CHANGEOUT ML-201,VZIREQ01,1000-MECH,,,,,,,2025-06-18T00:00:00,2025-06-18T00:00:00
4900000037,2025,0001,101,000000000010000001,1000,SP01,0001000034,S,909855.16,74.000,EA,4500000006,00010,GR AGAINST PO,,,,,,,,,2025-07-19T00:00:00,2025-07-19T00:00:00
4900000038,2025,0001,261,000000000010000001,1000,SP01,,H,172134.76,14.000,EA,,,ISSUED TO CV-501,VZIREQ03,,418609666,,,,,,2025-08-05T00:00:00,2025-08-05T00:00:00
4900000039,2025,0001,201,000000000010000001,1000,SP01,,H,196725.44,16.000,EA,,,ISSUED TO PU-610,VZIREQ05,1000-MECH,,,,,,,2025-09-19T00:00:00,2025-09-19T00:00:00
4900000040,2025,0001,261,000000000010000001,1000,SP01,,H,184430.10,15.000,EA,,,BREAKDOWN REPL ML-202,VZIREQ02,,416267540,,,,,,2025-10-07T00:00:00,2025-10-07T00:00:00
4900000041,2025,0001,261,000000000010000001,1000,SP01,,H,147544.08,12.000,EA,,,BREAKDOWN REPL CR-102,VZIREQ01,,415644200,,,,,,2025-11-16T00:00:00,2025-11-16T00:00:00
4900000042,2025,0001,201,000000000010000001,1000,SP01,,H,172134.76,14.000,EA,,,CHANGEOUT TH-401,VZIREQ04,1000-MECH,,,,,,,2025-12-23T00:00:00,2025-12-23T00:00:00
4900000043,2026,0001,201,000000000010000001,1000,SP01,,H,36886.02,3.000,EA,,,ISSUED TO ML-202,VZIREQ05,1000-MECH,,,,,,,2026-01-30T00:00:00,2026-01-30T00:00:00
4900000044,2026,0001,101,000000000010000001,1000,SP01,0001000034,S,1450850.12,118.000,EA,4500000008,00010,GR AGAINST PO,,,,,,,,,2026-03-11T00:00:00,2026-03-11T00:00:00
4900000045,2026,0001,201,000000000010000001,1000,SP01,,H,196725.44,16.000,EA,,,BREAKDOWN REPL CV-502,VZIREQ04,1000-MECH,,,,,,,2026-04-29T00:00:00,2026-04-29T00:00:00
4900000046,2026,0001,261,000000000010000001,1000,SP01,,H,233611.46,19.000,EA,,,BREAKDOWN REPL PU-610,VZIREQ04,,411756760,,,,,,2026-05-10T00:00:00,2026-05-10T00:00:00
4900000047,2026,0001,261,000000000010000001,1000,SP01,,H,270497.48,22.000,EA,,,BREAKDOWN REPL CV-502,VZIREQ04,,418635672,,,,,,2026-06-09T00:00:00,2026-06-09T00:00:00
4900000048,2026,0001,201,000000000010000001,1000,SP01,,H,184430.10,15.000,EA,,,BREAKDOWN REPL CR-102,VZIREQ03,1000-MECH,,,,,,,2026-07-15T00:00:00,2026-07-15T00:00:00
4900000049,2026,0001,261,000000000010000001,1000,SP01,,H,172134.76,14.000,EA,,,BREAKDOWN REPL FL-310,VZIREQ05,,413731812,,,,,,2026-08-12T00:00:00,2026-08-12T00:00:00
4900000050,2024,0001,261,000000000010000001,2000,SP02,,H,196725.44,16.000,EA,,,BREAKDOWN REPL ML-201,VZIREQ02,,423654068,,,,,,2024-09-04T00:00:00,2024-09-04T00:00:00
4900000051,2024,0001,261,000000000010000001,2000,SP02,,H,221316.12,18.000,EA,,,BREAKDOWN REPL TH-401,VZIREQ05,,425153594,,,,,,2024-10-01T00:00:00,2024-10-01T00:00:00
4900000052,2024,0001,261,000000000010000001,2000,SP02,,H,307383.50,25.000,EA,,,CHANGEOUT TH-401,VZIREQ04,,428715905,,,,,,2024-11-10T00:00:00,2024-11-10T00:00:00
4900000053,2024,0001,261,000000000010000001,2000,SP02,,H,245906.80,20.000,EA,,,CHANGEOUT CV-502,VZIREQ01,,422655599,,,,,,2024-12-11T00:00:00,2024-12-11T00:00:00
4900000054,2024,0001,101,000000000010000001,2000,SP02,0001000034,S,1266420.02,103.000,EA,4500000009,00010,GR AGAINST PO,,,,,,,,,2024-12-14T00:00:00,2024-12-14T00:00:00
4900000055,2025,0001,201,000000000010000001,2000,SP02,,H,258202.14,21.000,EA,,,ISSUED TO ML-202,VZIREQ02,2000-MECH,,,,,,,2025-01-14T00:00:00,2025-01-14T00:00:00
4900000056,2025,0001,261,000000000010000001,2000,SP02,,H,221316.12,18.000,EA,,,BREAKDOWN REPL PU-611,VZIREQ01,,422021345,,,,,,2025-02-10T00:00:00,2025-02-10T00:00:00
4900000057,2025,0001,201,000000000010000001,2000,SP02,,H,184430.10,15.000,EA,,,CHANGEOUT CR-101,VZIREQ02,2000-MECH,,,,,,,2025-03-16T00:00:00,2025-03-16T00:00:00
4900000058,2025,0001,201,000000000010000001,2000,SP02,,H,319678.84,26.000,EA,,,CHANGEOUT FL-310,VZIREQ03,2000-MECH,,,,,,,2025-04-09T00:00:00,2025-04-09T00:00:00
4900000059,2025,0001,201,000000000010000001,2000,SP02,,H,245906.80,20.000,EA,,,CHANGEOUT TH-401,VZIREQ02,2000-MECH,,,,,,,2025-05-13T00:00:00,2025-05-13T00:00:00
4900000060,2025,0001,101,000000000010000001,2000,SP02,0001000034,S,663948.36,54.000,EA,4500000010,00010,GR AGAINST PO,,,,,,,,,2025-05-19T00:00:00,2025-05-19T00:00:00
4900000061,2025,0001,201,000000000010000001,2000,SP02,,H,319678.84,26.000,EA,,,ISSUED TO CV-501,VZIREQ03,2000-MECH,,,,,,,2025-06-06T00:00:00,2025-06-06T00:00:00
4900000062,2025,0001,261,000000000010000001,2000,SP02,,H,258202.14,21.000,EA,,,ISSUED TO CR-102,VZIREQ02,,425819292,,,,,,2025-07-13T00:00:00,2025-07-13T00:00:00
4900000063,2025,0001,101,000000000010000001,2000,SP02,0001000034,S,1131171.28,92.000,EA,4500000011,00010,GR AGAINST PO,,,,,,,,,2025-07-20T00:00:00,2025-07-20T00:00:00
4900000064,2025,0001,261,000000000010000001,2000,SP02,,H,233611.46,19.000,EA,,,CHANGEOUT CR-101,VZIREQ02,,424641134,,,,,,2025-08-29T00:00:00,2025-08-29T00:00:00
4900000065,2025,0001,201,000000000010000001,2000,SP02,,H,36886.02,3.000,EA,,,CHANGEOUT PU-611,VZIREQ02,2000-MECH,,,,,,,2025-09-28T00:00:00,2025-09-28T00:00:00
4900000066,2025,0001,201,000000000010000001,2000,SP02,,H,319678.84,26.000,EA,,,CHANGEOUT ML-201,VZIREQ03,2000-MECH,,,,,,,2025-10-09T00:00:00,2025-10-09T00:00:00
4900000067,2025,0001,201,000000000010000001,2000,SP02,,H,295088.16,24.000,EA,,,CHANGEOUT CV-501,VZIREQ04,2000-MECH,,,,,,,2025-11-10T00:00:00,2025-11-10T00:00:00
4900000068,2025,0001,101,000000000010000001,2000,SP02,0001000034,S,1143466.62,93.000,EA,4500000012,00010,GR AGAINST PO,,,,,,,,,2025-12-18T00:00:00,2025-12-18T00:00:00
4900000069,2025,0001,261,000000000010000001,2000,SP02,,H,258202.14,21.000,EA,,,BREAKDOWN REPL TH-401,VZIREQ05,,423912608,,,,,,2025-12-31T00:00:00,2025-12-31T00:00:00
4900000070,2026,0001,261,000000000010000001,2000,SP02,,H,270497.48,22.000,EA,,,BREAKDOWN REPL PU-610,VZIREQ05,,421084541,,,,,,2026-01-24T00:00:00,2026-01-24T00:00:00
4900000071,2026,0001,201,000000000010000001,2000,SP02,,H,319678.84,26.000,EA,,,BREAKDOWN REPL PU-610,VZIREQ03,2000-MECH,,,,,,,2026-02-11T00:00:00,2026-02-11T00:00:00
4900000072,2026,0001,261,000000000010000001,2000,SP02,,H,393450.88,32.000,EA,,,BREAKDOWN REPL ML-202,VZIREQ03,,429408668,,,,,,2026-03-28T00:00:00,2026-03-28T00:00:00
4900000073,2026,0001,261,000000000010000001,2000,SP02,,H,209020.78,17.000,EA,,,CHANGEOUT PU-611,VZIREQ02,,429293924,,,,,,2026-04-12T00:00:00,2026-04-12T00:00:00
4900000074,2026,0001,201,000000000010000001,2000,SP02,,H,135248.74,11.000,EA,,,CHANGEOUT CR-101,VZIREQ05,2000-MECH,,,,,,,2026-05-05T00:00:00,2026-05-05T00:00:00
4900000075,2026,0001,101,000000000010000001,2000,SP02,0001000034,S,1241829.34,101.000,EA,4500000013,00010,GR AGAINST PO,,,,,,,,,2026-05-07T00:00:00,2026-05-07T00:00:00
4900000076,2026,0001,201,000000000010000001,2000,SP02,,H,221316.12,18.000,EA,,,BREAKDOWN REPL CR-101,VZIREQ01,2000-MECH,,,,,,,2026-06-21T00:00:00,2026-06-21T00:00:00
4900000077,2026,0001,201,000000000010000001,2000,SP02,,H,331974.18,27.000,EA,,,ISSUED TO CV-502,VZIREQ03,2000-MECH,,,,,,,2026-07-12T00:00:00,2026-07-12T00:00:00
4900000078,2026,0001,261,000000000010000001,2000,SP02,,H,368860.20,30.000,EA,,,BREAKDOWN REPL PU-611,VZIREQ04,,424112843,,,,,,2026-08-29T00:00:00,2026-08-29T00:00:00
4900000079,2024,0001,261,000000000080000000,3000,SP03,,H,1289430.85,5.000,EA,,,BREAKDOWN REPL ML-201,VZIREQ05,,439371614,,,,,,2024-09-06T00:00:00,2024-09-06T00:00:00
4900000080,2024,0001,201,000000000080000000,3000,SP03,,H,1031544.68,4.000,EA,,,BREAKDOWN REPL CV-501,VZIREQ04,3000-MECH,,,,,,,2024-10-22T00:00:00,2024-10-22T00:00:00
4900000081,2024,0001,261,000000000080000000,3000,SP03,,H,515772.34,2.000,EA,,,BREAKDOWN REPL CR-102,VZIREQ03,,433886196,,,,,,2024-12-10T00:00:00,2024-12-10T00:00:00
4900000082,2025,0001,101,000000000080000000,3000,SP03,0001000044,S,3868292.55,15.000,EA,4500000017,00010,GR AGAINST PO,,,,,,,,,2025-03-19T00:00:00,2025-03-19T00:00:00
4900000083,2025,0001,201,000000000080000000,3000,SP03,,H,1289430.85,5.000,EA,,,CHANGEOUT CR-101,VZIREQ03,3000-MECH,,,,,,,2025-05-15T00:00:00,2025-05-15T00:00:00
4900000084,2025,0001,261,000000000080000000,3000,SP03,,H,257886.17,1.000,EA,,,CHANGEOUT CV-501,VZIREQ04,,432963149,,,,,,2025-07-10T00:00:00,2025-07-10T00:00:00
4900000085,2025,0001,201,000000000080000000,3000,SP03,,H,773658.51,3.000,EA,,,CHANGEOUT ML-201,VZIREQ04,3000-MECH,,,,,,,2025-08-05T00:00:00,2025-08-05T00:00:00
4900000086,2025,0001,101,000000000080000000,3000,SP03,0001000044,S,1031544.68,4.000,EA,4500000018,00010,GR AGAINST PO,,,,,,,,,2025-09-21T00:00:00,2025-09-21T00:00:00
4900000087,2025,0001,201,000000000080000000,3000,SP03,,H,773658.51,3.000,EA,,,BREAKDOWN REPL CV-502,VZIREQ05,3000-MECH,,,,,,,2025-10-13T00:00:00,2025-10-13T00:00:00
4900000088,2026,0001,101,000000000080000000,3000,SP03,0001000044,S,2836747.87,11.000,EA,4500000020,00010,GR AGAINST PO,,,,,,,,,2026-01-14T00:00:00,2026-01-14T00:00:00
4900000089,2026,0001,261,000000000080000000,3000,SP03,,H,773658.51,3.000,EA,,,ISSUED TO FA-810,VZIREQ01,,435678794,,,,,,2026-01-17T00:00:00,2026-01-17T00:00:00
4900000090,2026,0001,261,000000000080000000,3000,SP03,,H,773658.51,3.000,EA,,,BREAKDOWN REPL PU-610,VZIREQ03,,434703738,,,,,,2026-04-08T00:00:00,2026-04-08T00:00:00
4900000091,2024,0001,201,000000000010000002,4000,SP04,,H,142046.35,1.000,EA,,,CHANGEOUT FL-310,VZIREQ05,4000-MECH,,,,,,,2024-10-14T00:00:00,2024-10-14T00:00:00
4900000092,2024,0001,101,000000000010000002,4000,SP04,0001000003,S,568185.40,4.000,EA,4500000021,00010,GR AGAINST PO,,,,,,,,,2024-11-05T00:00:00,2024-11-05T00:00:00
4900000093,2024,0001,201,000000000010000002,4000,SP04,,H,284092.70,2.000,EA,,,BREAKDOWN REPL FA-810,VZIREQ01,4000-MECH,,,,,,,2024-11-06T00:00:00,2024-11-06T00:00:00
4900000094,2025,0001,201,000000000010000002,4000,SP04,,H,426139.05,3.000,EA,,,BREAKDOWN REPL CV-501,VZIREQ02,4000-MECH,,,,,,,2025-02-07T00:00:00,2025-02-07T00:00:00
4900000095,2025,0001,101,000000000010000002,4000,SP04,0001000003,S,710231.75,5.000,EA,4500000022,00010,GR AGAINST PO,,,,,,,,,2025-02-28T00:00:00,2025-02-28T00:00:00
4900000096,2025,0001,261,000000000010000002,4000,SP04,,H,568185.40,4.000,EA,,,ISSUED TO FL-310,VZIREQ02,,444929497,,,,,,2025-03-30T00:00:00,2025-03-30T00:00:00
4900000097,2025,0001,101,000000000010000002,4000,SP04,0001000003,S,568185.40,4.000,EA,4500000023,00010,GR AGAINST PO,,,,,,,,,2025-05-13T00:00:00,2025-05-13T00:00:00
4900000098,2025,0001,201,000000000010000002,4000,SP04,,H,568185.40,4.000,EA,,,BREAKDOWN REPL ML-201,VZIREQ04,4000-MECH,,,,,,,2025-06-06T00:00:00,2025-06-06T00:00:00
4900000099,2025,0001,201,000000000010000002,4000,SP04,,H,426139.05,3.000,EA,,,BREAKDOWN REPL PU-611,VZIREQ02,4000-MECH,,,,,,,2025-07-22T00:00:00,2025-07-22T00:00:00
4900000100,2025,0001,101,000000000010000002,4000,SP04,0001000003,S,994324.45,7.000,EA,4500000025,00010,GR AGAINST PO,,,,,,,,,2025-09-19T00:00:00,2025-09-19T00:00:00
4900000101,2025,0001,261,000000000010000002,4000,SP04,,H,426139.05,3.000,EA,,,ISSUED TO PU-610,VZIREQ02,,445192022,,,,,,2025-11-04T00:00:00,2025-11-04T00:00:00
4900000102,2026,0001,201,000000000010000002,4000,SP04,,H,426139.05,3.000,EA,,,CHANGEOUT FL-310,VZIREQ03,4000-MECH,,,,,,,2026-01-24T00:00:00,2026-01-24T00:00:00
4900000103,2026,0001,201,000000000010000002,4000,SP04,,H,142046.35,1.000,EA,,,BREAKDOWN REPL ML-202,VZIREQ04,4000-MECH,,,,,,,2026-02-13T00:00:00,2026-02-13T00:00:00
4900000104,2026,0001,101,000000000010000002,4000,SP04,0001000003,S,852278.10,6.000,EA,4500000026,00010,GR AGAINST PO,,,,,,,,,2026-02-18T00:00:00,2026-02-18T00:00:00
4900000105,2026,0001,201,000000000010000002,4000,SP04,,H,568185.40,4.000,EA,,,CHANGEOUT CR-102,VZIREQ02,4000-MECH,,,,,,,2026-03-21T00:00:00,2026-03-21T00:00:00
4900000106,2026,0001,101,000000000010000002,4000,SP04,0001000003,S,710231.75,5.000,EA,4500000027,00010,GR AGAINST PO,,,,,,,,,2026-04-15T00:00:00,2026-04-15T00:00:00
4900000107,2026,0001,261,000000000010000002,4000,SP04,,H,142046.35,1.000,EA,,,CHANGEOUT ML-201,VZIREQ02,,446503599,,,,,,2026-09-05T00:00:00,2026-09-05T00:00:00
4900000108,2024,0001,201,000000000010000002,2000,SP02,,H,568185.40,4.000,EA,,,ISSUED TO CR-101,VZIREQ01,2000-MECH,,,,,,,2024-10-26T00:00:00,2024-10-26T00:00:00
4900000109,2024,0001,101,000000000010000002,2000,SP02,0001000003,S,1278417.15,9.000,EA,4500000029,00010,GR AGAINST PO,,,,,,,,,2024-11-20T00:00:00,2024-11-20T00:00:00
4900000110,2024,0001,201,000000000010000002,2000,SP02,,H,568185.40,4.000,EA,,,BREAKDOWN REPL CR-101,VZIREQ01,2000-MECH,,,,,,,2024-12-05T00:00:00,2024-12-05T00:00:00
4900000111,2025,0001,261,000000000010000002,2000,SP02,,H,568185.40,4.000,EA,,,ISSUED TO TH-401,VZIREQ01,,423238747,,,,,,2025-01-03T00:00:00,2025-01-03T00:00:00
4900000112,2025,0001,101,000000000010000002,2000,SP02,0001000003,S,1136370.80,8.000,EA,4500000030,00010,GR AGAINST PO,,,,,,,,,2025-02-15T00:00:00,2025-02-15T00:00:00
4900000113,2025,0001,201,000000000010000002,2000,SP02,,H,426139.05,3.000,EA,,,ISSUED TO CV-502,VZIREQ02,2000-MECH,,,,,,,2025-02-20T00:00:00,2025-02-20T00:00:00
4900000114,2025,0001,261,000000000010000002,2000,SP02,,H,284092.70,2.000,EA,,,ISSUED TO PU-610,VZIREQ04,,429346308,,,,,,2025-05-15T00:00:00,2025-05-15T00:00:00
4900000115,2025,0001,101,000000000010000002,2000,SP02,0001000003,S,426139.05,3.000,EA,4500000031,00010,GR AGAINST PO,,,,,,,,,2025-05-29T00:00:00,2025-05-29T00:00:00
4900000116,2025,0001,261,000000000010000002,2000,SP02,,H,426139.05,3.000,EA,,,ISSUED TO PU-611,VZIREQ02,,426620494,,,,,,2025-08-24T00:00:00,2025-08-24T00:00:00
4900000117,2025,0001,101,000000000010000002,2000,SP02,0001000003,S,710231.75,5.000,EA,4500000032,00010,GR AGAINST PO,,,,,,,,,2025-09-08T00:00:00,2025-09-08T00:00:00
4900000118,2026,0001,201,000000000010000002,2000,SP02,,H,568185.40,4.000,EA,,,BREAKDOWN REPL PU-611,VZIREQ03,2000-MECH,,,,,,,2026-03-09T00:00:00,2026-03-09T00:00:00
4900000119,2026,0001,261,000000000010000002,2000,SP02,,H,710231.75,5.000,EA,,,BREAKDOWN REPL CR-101,VZIREQ01,,421080718,,,,,,2026-05-02T00:00:00,2026-05-02T00:00:00
4900000120,2026,0001,101,000000000010000002,2000,SP02,0001000003,S,1278417.15,9.000,EA,4500000033,00010,GR AGAINST PO,,,,,,,,,2026-05-29T00:00:00,2026-05-29T00:00:00
4900000121,2026,0001,261,000000000010000002,2000,SP02,,H,284092.70,2.000,EA,,,ISSUED TO ML-202,VZIREQ04,,425330596,,,,,,2026-06-29T00:00:00,2026-06-29T00:00:00
4900000122,2026,0001,261,000000000010000002,2000,SP02,,H,142046.35,1.000,EA,,,BREAKDOWN REPL FL-310,VZIREQ01,,429047291,,,,,,2026-09-06T00:00:00,2026-09-06T00:00:00
4900000123,2024,0001,201,000000000080000001,1000,SP01,,H,138374.92,2.000,EA,,,ISSUED TO FL-310,VZIREQ02,1000-MECH,,,,,,,2024-09-09T00:00:00,2024-09-09T00:00:00
4900000124,2024,0001,201,000000000080000001,1000,SP01,,H,415124.76,6.000,EA,,,ISSUED TO TH-401,VZIREQ04,1000-MECH,,,,,,,2024-10-29T00:00:00,2024-10-29T00:00:00
4900000125,2024,0001,261,000000000080000001,1000,SP01,,H,69187.46,1.000,EA,,,ISSUED TO ML-202,VZIREQ01,,414456564,,,,,,2024-12-02T00:00:00,2024-12-02T00:00:00
4900000126,2024,0001,101,000000000080000001,1000,SP01,0001000016,S,1314561.74,19.000,EA,4500000035,00010,GR AGAINST PO,,,,,,,,,2024-12-18T00:00:00,2024-12-18T00:00:00
4900000127,2025,0001,261,000000000080000001,1000,SP01,,H,415124.76,6.000,EA,,,CHANGEOUT CR-102,VZIREQ01,,417080469,,,,,,2025-01-29T00:00:00,2025-01-29T00:00:00
4900000128,2025,0001,261,000000000080000001,1000,SP01,,H,415124.76,6.000,EA,,,ISSUED TO PU-610,VZIREQ03,,417483598,,,,,,2025-03-20T00:00:00,2025-03-20T00:00:00
4900000129,2025,0001,101,000000000080000001,1000,SP01,0001000016,S,484312.22,7.000,EA,4500000036,00010,GR AGAINST PO,,,,,,,,,2025-05-15T00:00:00,2025-05-15T00:00:00
4900000130,2025,0001,261,000000000080000001,1000,SP01,,H,553499.68,8.000,EA,,,BREAKDOWN REPL SC-701,VZIREQ04,,417170586,,,,,,2025-06-26T00:00:00,2025-06-26T00:00:00
4900000131,2025,0001,101,000000000080000001,1000,SP01,0001000016,S,968624.44,14.000,EA,4500000037,00010,GR AGAINST PO,,,,,,,,,2025-08-22T00:00:00,2025-08-22T00:00:00
4900000132,2025,0001,201,000000000080000001,1000,SP01,,H,276749.84,4.000,EA,,,BREAKDOWN REPL CR-101,VZIREQ05,1000-MECH,,,,,,,2025-08-30T00:00:00,2025-08-30T00:00:00
