Ebeln,Ebelp,Etenr,Eindt,Menge,Wemng
4500000186,00010,0001,2024-12-05T00:00:00,3.000,3.000
4500000187,00010,0001,2025-03-01T00:00:00,4.000,4.000
4500000188,00010,0001,2025-05-22T00:00:00,4.000,4.000
4500000189,00010,0001,2025-07-17T00:00:00,8.000,8.000
4500000190,00010,0001,2026-03-16T00:00:00,4.000,4.000
4500000191,00010,0001,2026-06-29T00:00:00,6.000,6.000
4500000192,00010,0001,2026-08-27T00:00:00,9.000,9.000
4500000193,00010,0001,2024-12-25T00:00:00,66.000,66.000
4500000194,00010,0001,2025-10-04T00:00:00,66.000,66.000
4500000195,00010,0001,2026-05-27T00:00:00,72.000,51.000
4500000196,00010,0001,2026-11-24T00:00:00,66.000,0.000
4500000197,00010,0001,2025-01-04T00:00:00,246.000,129.000
4500000198,00010,0001,2025-03-23T00:00:00,332.000,332.000
4500000199,00010,0001,2026-01-16T00:00:00,210.000,0.000
4500000200,00010,0001,2026-02-27T00:00:00,233.000,178.000
4500000201,00010,0001,2026-08-02T00:00:00,208.000,208.000
4500000202,00010,0001,2024-11-20T00:00:00,114.000,48.000
4500000203,00010,0001,2025-01-20T00:00:00,107.000,107.000
4500000204,00010,0001,2025-04-30T00:00:00,121.000,121.000
4500000205,00010,0001,2025-11-08T00:00:00,121.000,0.000
4500000206,00010,0001,2025-12-07T00:00:00,121.000,121.000
4500000207,00010,0001,2026-04-18T00:00:00,116.000,0.000
4500000208,00010,0001,2026-05-10T00:00:00,121.000,0.000
4500000209,00010,0001,2026-06-25T00:00:00,121.000,121.000
4500000210,00010,0001,2024-11-22T00:00:00,2.000,2.000
4500000211,00010,0001,2025-04-13T00:00:00,3.000,3.000
4500000212,00010,0001,2025-06-21T00:00:00,3.000,3.000
4500000213,00010,0001,2025-07-03T00:00:00,5.000,5.000
4500000214,00010,0001,2026-05-30T00:00:00,2.000,2.000
4500000215,00010,0001,2026-08-12T00:00:00,3.000,2.000
4500000216,00010,0001,2025-05-04T00:00:00,12.000,12.000
4500000217,00010,0001,2026-04-09T00:00:00,12.000,9.000
4500000218,00010,0001,2027-01-29T00:00:00,12.000,0.000
4500000219,00010,0001,2025-01-07T00:00:00,14.000,14.000
4500000220,00010,0001,2026-06-13T00:00:00,15.000,15.000
4500000221,00010,0001,2024-12-09T00:00:00,5.000,5.000
4500000222,00010,0001,2025-06-08T00:00:00,4.000,4.000
4500000223,00010,0001,2026-04-14T00:00:00,5.000,5.000
4500000224,00010,0001,2026-09-29T00:00:00,4.000,0.000
4500000225,00010,0001,2024-10-30T00:00:00,12.000,12.000
4500000226,00010,0001,2025-07-11T00:00:00,11.000,11.000
4500000227,00010,0001,2026-02-27T00:00:00,12.000,12.000
4500000228,00010,0001,2026-09-09T00:00:00,11.000,0.000
4500000229,00010,0001,2024-10-23T00:00:00,2.000,2.000
4500000230,00010,0001,2024-11-11T00:00:00,6.000,4.000
4500000231,00010,0001,2025-02-23T00:00:00,3.000,0.000
4500000232,00010,0001,2025-03-30T00:00:00,6.000,6.000
4500000233,00010,0001,2025-05-30T00:00:00,2.000,1.000
4500000234,00010,0001,2025-07-14T00:00:00,5.000,0.000
4500000235,00010,0001,2025-08-31T00:00:00,5.000,5.000
4500000236,00010,0001,2025-12-18T00:00:00,5.000,5.000
4500000237,00010,0001,2026-04-16T00:00:00,4.000,0.000
4500000238,00010,0001,2026-05-30T00:00:00,4.000,3.000
4500000239,00010,0001,2026-08-10T00:00:00,5.000,0.000
4500000240,00010,0001,2026-09-09T00:00:00,5.000,5.000
4500000241,00010,0001,2024-11-11T00:00:00,71.000,71.000
4500000242,00010,0001,2025-01-07T00:00:00,59.000,0.000
4500000243,00010,0001,2025-02-25T00:00:00,71.000,71.000
4500000244,00010,0001,2025-05-21T00:00:00,66.000,66.000
4500000245,00010,0001,2025-08-11T00:00:00,54.000,0.000
4500000246,00010,0001,2025-09-14T00:00:00,70.000,35.000
4500000247,00010,0001,2025-10-31T00:00:00,71.000,71.000
4500000248,00010,0001,2026-01-18T00:00:00,59.000,59.000
4500000249,00010,0001,2026-04-01T00:00:00,62.000,62.000
4500000250,00010,0001,2026-07-22T00:00:00,64.000,64.000
4500000251,00010,0001,2025-01-20T00:00:00,16.000,0.000
4500000252,00010,0001,2025-02-27T00:00:00,18.000,18.000
4500000253,00010,0001,2025-09-30T00:00:00,11.000,11.000
4500000254,00010,0001,2026-06-10T00:00:00,13.000,13.000
4500000255,00010,0001,2024-10-14T00:00:00,5.000,5.000
4500000256,00010,0001,2025-03-20T00:00:00,5.000,0.000
4500000257,00010,0001,2025-04-09T00:00:00,5.000,5.000
4500000258,00010,0001,2025-10-29T00:00:00,5.000,5.000
4500000259,00010,0001,2026-03-17T00:00:00,4.000,4.000
4500000260,00010,0001,2024-11-16T00:00:00,5.000,0.000
4500000261,00010,0001,2024-12-26T00:00:00,5.000,5.000
4500000262,00010,0001,2025-10-04T00:00:00,5.000,0.000
4500000263,00010,0001,2025-10-30T00:00:00,9.000,7.000
4500000264,00010,0001,2026-02-17T00:00:00,9.000,0.000
4500000265,00010,0001,2026-03-21T00:00:00,9.000,9.000
4500000266,00010,0001,2026-09-22T00:00:00,8.000,0.000
4500000267,00010,0001,2025-04-11T00:00:00,5.000,0.000
4500000268,00010,0001,2025-04-25T00:00:00,5.000,3.000
4500000269,00010,0001,2025-09-17T00:00:00,5.000,3.000
4500000270,00010,0001,2026-09-07T00:00:00,5.000,0.000
4500000271,00010,0001,2026-09-19T00:00:00,5.000,0.000
4500000272,00010,0001,2025-01-02T00:00:00,8.000,5.000
4500000273,00010,0001,2025-06-20T00:00:00,6.000,6.000
4500000274,00010,0001,2025-12-24T00:00:00,5.000,5.000
4500000275,00010,0001,2026-03-04T00:00:00,8.000,0.000
4500000276,00010,0001,2026-04-20T00:00:00,8.000,8.000
4500000277,00010,0001,2026-08-04T00:00:00,6.000,6.000
4500000278,00010,0001,2024-11-06T00:00:00,11.000,11.000
4500000279,00010,0001,2025-06-12T00:00:00,7.000,0.000
4500000280,00010,0001,2025-07-15T00:00:00,10.000,10.000
4500000281,00010,0001,2025-12-07T00:00:00,6.000,3.000
4500000282,00010,0001,2026-05-28T00:00:00,8.000,0.000
4500000283,00010,0001,2026-06-19T00:00:00,13.000,13.000
4500000284,00010,0001,2024-10-11T00:00:00,6.000,6.000
4500000285,00010,0001,2025-04-27T00:00:00,6.000,0.000
4500000286,00010,0001,2025-05-05T00:00:00,6.000,6.000
4500000287,00010,0001,2026-03-03T00:00:00,8.000,8.000
4500000288,00010,0001,2026-06-06T00:00:00,6.000,0.000
4500000289,00010,0001,2026-07-03T00:00:00,8.000,6.000
4500000290,00010,0001,2026-09-12T00:00:00,5.000,0.000
4500000291,00010,0001,2024-12-07T00:00:00,15.000,15.000
4500000292,00010,0001,2025-06-30T00:00:00,14.000,14.000
4500000293,00010,0001,2026-01-09T00:00:00,15.000,15.000
4500000294,00010,0001,2024-10-14T00:00:00,5.000,5.000
4500000295,00010,0001,2025-07-11T00:00:00,5.000,0.000
4500000296,00010,0001,2025-08-25T00:00:00,6.000,6.000
4500000297,00010,0001,2026-01-23T00:00:00,6.000,0.000
4500000298,00010,0001,2026-02-23T00:00:00,6.000,6.000
4500000299,00010,0001,2026-05-31T00:00:00,5.000,5.000
4500000300,00010,0001,2026-01-28T00:00:00,2.000,1.000
4500000301,00010,0001,2026-07-12T00:00:00,3.000,3.000
4500000302,00010,0001,2024-12-26T00:00:00,85.000,85.000
4500000303,00010,0001,2025-05-05T00:00:00,79.000,0.000
4500000304,00010,0001,2025-05-31T00:00:00,85.000,57.000
4500000305,00010,0001,2025-07-28T00:00:00,76.000,76.000
4500000306,00010,0001,2025-10-27T00:00:00,77.000,0.000
4500000307,00010,0001,2025-12-15T00:00:00,85.000,85.000
4500000308,00010,0001,2026-05-09T00:00:00,85.000,85.000
4500000309,00010,0001,2026-08-29T00:00:00,84.000,84.000
4500000310,00010,0001,2024-12-15T00:00:00,12.000,5.000
4500000311,00010,0001,2025-06-05T00:00:00,11.000,11.000
4500000312,00010,0001,2026-01-04T00:00:00,12.000,12.000
4500000313,00010,0001,2026-05-22T00:00:00,12.000,12.000
4500000314,00010,0001,2025-03-04T00:00:00,9.000,9.000
4500000315,00010,0001,2025-08-08T00:00:00,10.000,0.000
4500000316,00010,0001,2025-09-23T00:00:00,11.000,11.000
4500000317,00010,0001,2026-06-25T00:00:00,9.000,9.000
4500000318,00010,0001,2024-11-27T00:00:00,83.000,83.000
4500000319,00010,0001,2025-04-26T00:00:00,82.000,82.000
4500000320,00010,0001,2025-09-23T00:00:00,87.000,87.000
4500000321,00010,0001,2026-01-12T00:00:00,81.000,0.000
4500000322,00010,0001,2026-02-08T00:00:00,100.000,100.000
4500000323,00010,0001,2026-08-07T00:00:00,98.000,51.000
4500000324,00010,0001,2025-02-20T00:00:00,4.000,4.000
4500000325,00010,0001,2025-09-12T00:00:00,4.000,4.000
4500000326,00010,0001,2026-02-16T00:00:00,4.000,4.000
4500000327,00010,0001,2026-07-11T00:00:00,4.000,4.000
4500000328,00010,0001,2024-11-02T00:00:00,100.000,100.000
4500000329,00010,0001,2025-01-06T00:00:00,63.000,63.000
4500000330,00010,0001,2025-03-24T00:00:00,76.000,76.000
4500000331,00010,0001,2025-06-30T00:00:00,74.000,74.000
4500000332,00010,0001,2025-09-05T00:00:00,137.000,137.000
4500000333,00010,0001,2026-01-08T00:00:00,80.000,0.000
4500000334,00010,0001,2026-02-01T00:00:00,113.000,113.000
4500000335,00010,0001,2026-04-23T00:00:00,68.000,0.000
4500000336,00010,0001,2026-05-25T00:00:00,114.000,114.000
4500000337,00010,0001,2026-09-04T00:00:00,89.000,0.000
4500000338,00010,0001,2024-11-09T00:00:00,141.000,86.000
4500000339,00010,0001,2025-03-25T00:00:00,116.000,116.000
4500000340,00010,0001,2025-09-13T00:00:00,124.000,124.000
4500000341,00010,0001,2026-02-19T00:00:00,128.000,128.000
4500000342,00010,0001,2026-08-14T00:00:00,129.000,129.000
4500000343,00010,0001,2025-03-12T00:00:00,15.000,15.000
4500000344,00010,0001,2026-02-09T00:00:00,15.000,0.000
4500000345,00010,0001,2026-03-08T00:00:00,15.000,15.000
4500000346,00010,0001,2025-01-27T00:00:00,165.000,165.000
4500000347,00010,0001,2025-07-23T00:00:00,164.000,0.000
4500000348,00010,0001,2025-08-16T00:00:00,165.000,165.000
4500000349,00010,0001,2026-02-01T00:00:00,165.000,105.000
4500000350,00010,0001,2026-06-01T00:00:00,165.000,165.000
4500000351,00010,0001,2025-11-27T00:00:00,7.000,5.000
4500000352,00010,0001,2026-06-28T00:00:00,7.000,7.000
4500000353,00010,0001,2024-11-06T00:00:00,6.000,6.000
4500000354,00010,0001,2026-04-16T00:00:00,5.000,5.000
4500000355,00010,0001,2026-09-20T00:00:00,5.000,0.000
4500000356,00010,0001,2026-10-31T00:00:00,5.000,0.000
4500000357,00010,0001,2025-10-09T00:00:00,1.000,1.000
4500000358,00010,0001,2025-11-07T00:00:00,2.000,2.000
4500000359,00010,0001,2026-05-14T00:00:00,1.000,1.000
4500000360,00010,0001,2025-12-22T00:00:00,3.000,3.000
4500000361,00010,0001,2026-09-06T00:00:00,3.000,0.000
4500000362,00010,0001,2025-05-17T00:00:00,12.000,0.000
4500000363,00010,0001,2025-06-01T00:00:00,12.000,12.000
4500000364,00010,0001,2026-05-26T00:00:00,10.000,0.000
4500000365,00010,0001,2026-07-22T00:00:00,12.000,12.000
4500000366,00010,0001,2027-01-30T00:00:00,22.000,0.000
4500000367,00010,0001,2027-03-20T00:00:00,10.000,0.000
4500000368,00010,0001,2027-03-28T00:00:00,10.000,0.000
4500000369,00010,0001,2024-10-31T00:00:00,124.000,0.000
4500000370,00010,0001,2024-12-29T00:00:00,126.000,0.000
4500000371,00010,0001,2025-01-02T00:00:00,126.000,126.000
4500000372,00010,0001,2025-05-06T00:00:00,126.000,126.000
4500000373,00010,0001,2025-10-09T00:00:00,126.000,0.000
4500000374,00010,0001,2025-11-15T00:00:00,126.000,126.000
4500000375,00010,0001,2026-02-25T00:00:00,116.000,116.000
4500000376,00010,0001,2026-07-18T00:00:00,126.000,126.000
4500000377,00010,0001,2024-09-28T00:00:00,83.000,83.000
4500000378,00010,0001,2025-01-04T00:00:00,86.000,86.000
4500000379,00010,0001,2025-04-23T00:00:00,85.000,85.000
4500000380,00010,0001,2025-07-13T00:00:00,82.000,0.000
4500000381,00010,0001,2025-08-10T00:00:00,105.000,105.000
4500000382,00010,0001,2025-11-06T00:00:00,93.000,93.000
4500000383,00010,0001,2026-02-24T00:00:00,87.000,87.000
4500000384,00010,0001,2026-06-06T00:00:00,98.000,98.000
4500000385,00010,0001,2025-06-04T00:00:00,8.000,6.000
4500000386,00010,0001,2025-10-01T00:00:00,8.000,8.000
4500000387,00010,0001,2026-03-09T00:00:00,9.000,9.000
4500000388,00010,0001,2026-06-11T00:00:00,7.000,7.000
4500000389,00010,0001,2026-11-06T00:00:00,5.000,0.000
4500000390,00010,0001,2024-11-08T00:00:00,14.000,14.000
4500000391,00010,0001,2025-05-26T00:00:00,9.000,0.000
4500000392,00010,0001,2025-06-27T00:00:00,9.000,9.000
4500000393,00010,0001,2025-12-03T00:00:00,11.000,11.000
4500000394,00010,0001,2026-02-11T00:00:00,12.000,12.000
4500000395,00010,0001,2026-09-27T00:00:00,8.000,0.000
4500000396,00010,0001,2025-02-21T00:00:00,10.000,10.000
4500000397,00010,0001,2025-09-17T00:00:00,9.000,9.000
4500000398,00010,0001,2026-05-24T00:00:00,9.000,0.000
4500000399,00010,0001,2026-06-29T00:00:00,12.000,8.000
4500000400,00010,0001,2026-10-05T00:00:00,18.000,0.000
4500000401,00010,0001,2025-02-24T00:00:00,12.000,12.000
4500000402,00010,0001,2026-01-26T00:00:00,11.000,11.000
4500000403,00010,0001,2026-08-31T00:00:00,12.000,0.000
4500000404,00010,0001,2024-10-18T00:00:00,7.000,7.000
4500000405,00010,0001,2025-01-04T00:00:00,10.000,10.000
4500000406,00010,0001,2025-07-07T00:00:00,9.000,5.000
4500000407,00010,0001,2025-08-29T00:00:00,11.000,11.000
4500000408,00010,0001,2026-04-05T00:00:00,7.000,7.000
4500000409,00010,0001,2026-07-25T00:00:00,9.000,9.000
4500000410,00010,0001,2024-12-02T00:00:00,3.000,3.000
4500000411,00010,0001,2025-05-25T00:00:00,3.000,3.000
4500000412,00010,0001,2025-09-12T00:00:00,2.000,2.000
4500000413,00010,0001,2025-11-10T00:00:00,3.000,0.000
4500000414,00010,0001,2025-11-28T00:00:00,3.000,0.000
4500000415,00010,0001,2025-12-14T00:00:00,3.000,3.000
4500000416,00010,0001,2026-07-06T00:00:00,2.000,1.000
4500000417,00010,0001,2026-07-23T00:00:00,3.000,3.000
4500000418,00010,0001,2025-05-05T00:00:00,11.000,11.000
4500000419,00010,0001,2026-01-02T00:00:00,10.000,10.000
4500000420,00010,0001,2026-07-08T00:00:00,10.000,10.000
4500000421,00010,0001,2025-01-28T00:00:00,8.000,5.000
4500000422,00010,0001,2025-04-16T00:00:00,7.000,7.000
4500000423,00010,0001,2025-08-07T00:00:00,6.000,6.000
4500000424,00010,0001,2026-01-22T00:00:00,8.000,0.000
4500000425,00010,0001,2026-02-12T00:00:00,8.000,8.000
4500000426,00010,0001,2026-08-16T00:00:00,6.000,6.000
4500000427,00010,0001,2024-11-17T00:00:00,8.000,8.000
4500000428,00010,0001,2025-10-11T00:00:00,7.000,0.000
4500000429,00010,0001,2025-11-28T00:00:00,7.000,7.000
4500000430,00010,0001,2026-08-05T00:00:00,8.000,8.000
4500000431,00010,0001,2024-12-31T00:00:00,106.000,52.000
4500000432,00010,0001,2025-05-20T00:00:00,102.000,0.000
4500000433,00010,0001,2025-06-11T00:00:00,116.000,116.000
4500000434,00010,0001,2026-02-21T00:00:00,104.000,104.000
