Matnr,Werks,Lvorm,Dismm,Dispo,Plifz,Webaz,Minbe,Eisbe,Bstmi,Bstma,Mabst
000000000010000012,3000,false,VB,007,44.000,1.000,2.728,1.863,1.000,2.750,2.728
000000000010000012,2000,false,VB,010,44.000,3.000,5.922,4.049,1.000,4.750,5.922
000000000010000013,4000,false,VB,006,33.000,0.000,3.568,2.183,1.000,4.500,5.025
000000000010000014,4000,false,VB,003,15.000,3.000,0.000,0.000,1.000,1.000,0.000
000000000010000014,2000,false,VB,004,15.000,3.000,0.000,0.000,1.000,1.000,0.000
000000000010000015,4000,false,VB,003,60.000,0.000,109.923,23.353,29.458,176.750,196.328
000000000010000015,1000,false,VB,005,60.000,3.000,108.875,19.264,33.208,199.250,197.807
000000000010000016,2000,false,VB,002,13.000,2.000,29.656,11.605,31.292,187.750,201.976
000000000010000017,2000,false,VB,004,38.000,0.000,0.000,0.000,1.000,1.000,0.000
000000000010000018,2000,false,VB,003,52.000,1.000,4.066,2.906,1.000,2.500,5.837
000000000010000019,3000,false,VB,005,17.000,3.000,1.375,1.119,1.000,2.500,3.479
000000000010000020,3000,false,VB,007,91.000,3.000,15.160,8.911,2.083,12.500,35.686
000000000010000021,1000,false,VB,001,11.000,0.000,7.110,2.466,11.833,71.000,55.470
000000000090000000,4000,false,ND,003,37.000,1.000,0.000,0.000,1.000,1.000,1.000
000000000010000022,4000,false,VB,006,33.000,2.000,38.743,10.744,37.417,224.500,248.448
000000000010000023,3000,false,VB,007,25.000,1.000,6.199,3.508,2.083,12.500,17.605
000000000080000004,2000,false,VB,002,148.000,2.000,31.769,16.362,1.917,11.500,36.800
000000000010000024,2000,false,VB,009,36.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000010000025,2000,false,VB,007,55.000,3.000,40.655,6.961,31.625,189.750,230.289
000000000010000026,2000,false,VB,001,48.000,2.000,1.762,1.095,1.000,2.500,3.864
000000000010000026,1000,false,VB,004,48.000,2.000,0.409,0.301,1.000,1.000,0.676
000000000080000005,4000,false,VB,006,33.000,0.000,2.199,1.243,1.000,5.000,7.436
000000000080000005,2000,false,VB,003,33.000,3.000,3.439,2.114,1.250,7.500,11.824
000000000010000027,3000,false,VB,002,7.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000010000028,2000,false,VB,002,57.000,1.000,9.758,6.469,1.208,7.250,15.344
000000000010000028,4000,false,VB,008,57.000,2.000,6.333,3.650,1.583,9.500,9.407
000000000010000029,3000,false,VB,006,101.000,3.000,30.583,4.468,8.250,49.500,92.359
000000000010000029,2000,false,VB,005,101.000,0.000,134.725,23.771,31.958,191.750,332.290
000000000030000004,4000,false,ND,006,0.000,3.000,0.000,0.000,1.000,6.000,0.000
000000000010000030,4000,false,VB,002,26.000,1.000,15.326,4.699,30.625,183.750,121.345
000000000010000031,3000,false,VB,010,97.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000010000032,4000,false,VB,009,51.000,2.000,4.305,2.998,1.000,4.000,4.684
000000000010000033,1000,false,VB,008,57.000,2.000,13.012,8.143,1.667,10.000,20.514
000000000010000034,1000,false,VB,007,185.000,1.000,6.612,2.836,1.000,6.000,16.402
000000000080000006,2000,false,VB,002,113.000,3.000,6.064,3.667,1.000,5.500,19.158
000000000010000035,1000,false,VB,010,24.000,3.000,0.000,0.000,1.000,1.000,0.000
000000000010000036,3000,false,VB,002,22.000,0.000,1.739,1.096,1.000,3.750,5.053
000000000010000036,2000,false,VB,008,22.000,1.000,1.257,0.729,1.583,9.500,12.324
000000000010000037,1000,false,VB,004,27.000,0.000,4.239,2.509,1.375,8.250,5.793
000000000090000001,1000,false,ND,003,21.000,3.000,0.000,0.000,1.000,1.000,1.000
000000000010000038,3000,false,VB,003,25.000,3.000,23.885,5.652,23.250,139.500,71.440
000000000080000007,1000,false,VB,006,132.000,3.000,21.434,11.526,1.500,9.000,29.240
000000000010000039,2000,false,VB,009,8.000,0.000,0.000,0.000,1.000,1.000,0.000
000000000030000005,3000,false,PD,006,22.000,2.000,0.000,0.000,2.208,13.250,0.000
000000000010000040,1000,false,VB,001,15.000,2.000,1.195,0.901,1.000,5.000,4.989
000000000010000041,4000,false,VB,007,50.000,3.000,10.197,7.482,1.000,6.000,10.197
000000000010000042,1000,false,VB,009,63.000,3.000,0.000,0.000,1.000,1.000,0.000
000000000030000006,2000,false,ND,010,68.000,2.000,0.000,0.000,1.000,3.500,0.000
000000000080000008,4000,false,VB,001,43.000,1.000,0.906,0.524,1.000,2.750,4.763
000000000080000009,1000,false,VB,008,52.000,3.000,4.964,3.182,1.125,6.750,9.459
000000000080000009,4000,false,VB,009,52.000,3.000,9.901,6.388,1.333,8.000,11.227
000000000080000010,3000,false,VB,010,25.000,3.000,4.705,3.397,1.542,9.250,8.541
000000000030000007,1000,false,ND,007,81.000,2.000,0.000,0.000,1.875,11.250,0.000
000000000030000008,3000,false,ND,008,0.000,2.000,0.000,0.000,1.667,10.000,0.000
000000000010000043,1000,false,VB,007,25.000,0.000,2.086,1.288,1.667,10.000,14.689
000000000010000043,4000,false,VB,008,25.000,3.000,1.537,0.913,1.042,6.250,6.306
000000000010000044,3000,false,VB,005,32.000,1.000,1.520,1.113,1.000,1.500,2.625
000000000010000045,4000,false,VB,003,13.000,2.000,13.570,5.066,22.625,135.750,85.261
000000000080000011,2000,false,VB,005,19.000,0.000,2.400,1.752,1.417,8.500,11.760
000000000080000012,3000,false,VB,004,31.000,2.000,4.607,3.357,1.250,7.500,10.894
000000000010000046,2000,false,VB,006,90.000,0.000,0.000,0.000,1.000,1.000,0.000
000000000010000047,1000,false,VB,002,39.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000010000047,4000,false,VB,002,39.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000010000048,4000,false,VB,003,18.000,2.000,24.494,6.446,20.125,120.750,99.508
000000000080000013,3000,false,VB,007,14.000,2.000,0.885,0.677,1.000,4.250,3.672
000000000010000049,3000,false,VB,010,56.000,1.000,78.369,19.320,35.292,211.750,136.673
000000000010000049,1000,false,VB,007,56.000,0.000,41.606,10.376,22.083,132.500,156.346
000000000010000050,2000,false,VB,010,75.000,1.000,3.165,1.919,1.000,4.750,11.825
000000000010000050,4000,false,VB,008,75.000,3.000,11.157,7.906,1.000,5.750,12.866
000000000010000051,2000,false,VB,002,37.000,3.000,0.000,0.000,1.000,1.000,0.000
000000000010000052,3000,false,VB,003,174.000,3.000,13.761,7.010,1.250,7.500,25.632
000000000010000053,1000,false,VB,010,34.000,2.000,27.092,5.294,37.083,222.500,164.840
000000000010000054,1000,false,VB,006,23.000,2.000,1.051,0.764,1.000,4.500,7.458
000000000010000055,3000,false,VB,004,54.000,0.000,2.474,1.470,1.000,3.250,5.824
000000000010000056,3000,false,VB,010,24.000,0.000,0.000,0.000,1.000,1.000,0.000
000000000010000056,2000,false,VB,004,24.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000010000057,1000,false,VB,003,47.000,2.000,1.408,0.879,1.000,1.250,1.657
000000000010000058,4000,false,VB,004,17.000,3.000,0.780,0.504,1.000,2.250,2.875
000000000010000059,3000,false,VB,007,230.000,1.000,12.146,3.919,1.000,6.000,21.674
000000000030000009,3000,false,ND,006,85.000,1.000,0.000,0.000,1.000,3.250,0.000
000000000010000060,2000,false,VB,004,19.000,0.000,17.080,4.063,32.875,197.250,126.018
000000000010000060,4000,false,VB,008,19.000,3.000,31.923,6.801,28.458,170.750,105.333
000000000010000061,3000,false,VB,008,60.000,0.000,8.946,5.369,1.292,7.750,8.946
000000000010000062,3000,false,VB,006,57.000,3.000,1.698,1.298,1.000,1.000,2.318
000000000030000010,4000,false,ND,010,99.000,0.000,0.000,0.000,1.000,2.750,0.000
000000000030000011,1000,false,PD,006,29.000,2.000,0.000,0.000,1.333,8.000,0.000
000000000030000011,3000,false,PD,010,29.000,0.000,0.000,0.000,1.167,7.000,0.000
000000000010000063,3000,false,VB,007,36.000,1.000,8.353,4.436,2.000,12.000,15.712
000000000010000064,2000,false,VB,003,72.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000010000065,4000,false,VB,007,143.000,0.000,14.748,7.254,1.500,9.000,16.168
000000000080000014,4000,false,VB,008,11.000,0.000,3.811,3.153,1.333,8.000,11.503
000000000010000066,3000,false,VB,008,35.000,3.000,7.222,4.704,1.750,10.500,13.699
000000000010000066,4000,false,VB,005,35.000,3.000,1.651,1.108,1.000,3.500,3.213
000000000010000067,3000,false,VB,010,110.000,0.000,4.254,2.654,1.000,4.750,10.645
000000000080000015,3000,false,VB,009,37.000,2.000,1.979,0.959,1.583,9.500,10.663
000000000080000016,1000,false,VB,001,56.000,0.000,3.203,1.831,1.583,9.500,8.454
000000000080000016,2000,false,VB,006,56.000,1.000,3.830,2.189,1.000,5.000,9.911
000000000010000068,2000,false,VB,003,113.000,3.000,19.438,12.486,1.125,6.750,21.070
000000000010000069,4000,false,VB,007,117.000,1.000,18.419,11.088,1.458,8.750,18.419
000000000010000070,2000,false,VB,009,109.000,2.000,93.906,20.291,14.292,85.750,189.982
000000000010000071,3000,false,VB,001,193.000,0.000,15.356,4.410,1.250,7.500,18.340
000000000090000002,2000,false,ND,001,55.000,0.000,0.000,0.000,1.000,1.000,1.000
000000000010000072,4000,false,VB,006,125.000,0.000,89.867,19.612,15.167,91.000,180.937
000000000080000017,2000,false,VB,002,117.000,2.000,8.656,4.995,1.583,9.500,29.585
000000000080000017,3000,false,VB,009,117.000,2.000,7.733,5.057,1.000,3.250,13.409
000000000010000073,3000,false,VB,002,42.000,1.000,48.597,10.804,23.792,142.750,172.107
000000000010000074,1000,false,VB,010,51.000,0.000,1.245,0.765,1.000,1.250,2.003
000000000030000012,3000,false,PD,008,38.000,0.000,0.000,0.000,1.000,4.000,0.000
000000000010000075,2000,false,VB,004,28.000,0.000,58.189,15.777,32.750,196.500,194.752
000000000010000075,1000,false,VB,010,28.000,0.000,35.716,12.196,29.792,178.750,175.190
000000000010000076,2000,false,VB,004,34.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000010000077,2000,false,VB,004,52.000,1.000,8.530,4.265,2.333,14.000,25.949
000000000010000078,3000,false,VB,004,30.000,3.000,0.000,0.000,1.000,1.000,0.000
000000000010000079,1000,false,VB,001,17.000,2.000,9.237,1.929,17.125,102.750,78.231
000000000010000080,2000,false,VB,010,18.000,3.000,0.808,0.625,1.000,1.750,1.666
000000000010000081,1000,false,VB,004,44.000,3.000,0.000,0.000,1.000,1.000,0.000
000000000010000081,3000,false,VB,004,44.000,0.000,0.000,0.000,1.000,1.000,0.000
000000000080000018,4000,false,VB,008,31.000,2.000,2.899,2.026,1.958,11.750,8.784
000000000080000018,3000,false,VB,009,31.000,2.000,2.350,1.654,1.042,6.250,5.391
000000000080000019,2000,false,VB,001,98.000,0.000,2.911,1.682,1.000,4.500,12.371
000000000030000013,2000,false,ND,007,9.000,2.000,0.000,0.000,1.583,9.500,0.000
000000000010000082,3000,false,VB,007,42.000,3.000,38.435,12.056,28.167,169.000,129.879
000000000030000014,4000,false,VB,008,37.000,3.000,5.224,3.240,1.500,9.000,7.887
000000000030000014,1000,false,PD,005,37.000,3.000,0.000,0.000,2.042,12.250,0.000
000000000010000083,3000,false,VB,006,193.000,3.000,4.722,1.799,1.000,2.500,5.683
000000000010000084,4000,false,VB,009,8.000,0.000,1.042,0.777,1.708,10.250,6.780
000000000010000084,2000,false,VB,008,8.000,0.000,2.137,1.514,2.333,14.000,8.920
000000000010000085,1000,false,VB,002,57.000,2.000,13.713,8.666,1.708,10.250,20.576
000000000010000085,3000,false,VB,010,57.000,0.000,3.368,2.194,1.000,5.750,13.346
000000000080000020,3000,false,VB,002,23.000,0.000,8.512,5.839,2.542,15.250,20.745
000000000080000020,1000,false,VB,006,23.000,1.000,3.536,2.625,1.000,5.750,8.743
000000000010000086,4000,false,VB,005,19.000,0.000,2.048,1.252,1.000,5.500,5.185
000000000010000086,2000,false,VB,006,19.000,3.000,1.980,1.333,1.000,5.000,4.479
000000000010000087,4000,false,VB,006,84.000,0.000,0.873,0.632,1.000,1.000,1.614
000000000030000015,3000,false,ND,001,57.000,1.000,0.000,0.000,1.042,6.250,0.000
000000000010000088,4000,false,VB,002,138.000,3.000,9.661,4.494,1.000,6.000,13.362
000000000080000021,2000,false,VB,007,51.000,1.000,7.757,4.297,1.250,7.500,7.757
000000000080000021,3000,false,VB,006,51.000,0.000,1.876,1.079,1.000,2.000,1.876
000000000080000022,3000,false,VB,009,60.000,2.000,7.861,5.590,1.000,4.250,12.317
000000000080000023,3000,false,VB,010,51.000,1.000,12.583,8.119,1.500,9.000,18.372
000000000010000089,1000,false,VB,001,124.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000010000090,4000,false,VB,003,105.000,3.000,4.713,3.119,1.000,3.000,6.754
000000000010000091,4000,false,VB,002,30.000,0.000,76.800,28.966,32.042,192.250,217.036
000000000010000092,1000,false,VB,002,55.000,2.000,3.282,1.465,1.375,8.250,10.849
000000000010000093,1000,false,VB,004,111.000,2.000,2.806,2.087,1.000,1.000,2.806
000000000010000094,2000,false,VB,001,119.000,3.000,196.685,38.354,26.958,161.750,299.493
000000000030000016,3000,false,ND,001,0.000,2.000,0.000,0.000,1.000,4.500,0.000
000000000030000016,1000,false,PD,005,31.000,3.000,0.000,0.000,2.167,13.000,0.000
000000000010000095,4000,false,VB,010,131.000,1.000,17.961,6.606,2.042,12.250,19.662
000000000010000096,2000,false,VB,001,85.000,0.000,42.001,6.543,12.875,77.250,71.348
000000000010000097,4000,false,VB,005,181.000,2.000,9.305,3.721,1.000,3.750,9.305
000000000030000017,3000,false,PD,010,16.000,0.000,0.000,0.000,1.000,4.250,0.000
000000000010000098,1000,false,VB,005,57.000,2.000,6.269,4.165,1.000,3.750,8.191
000000000010000099,2000,false,VB,010,37.000,3.000,2.360,1.554,1.000,2.250,4.412
000000000010000099,4000,false,VB,010,37.000,2.000,5.045,2.805,1.833,11.000,15.576
000000000010000100,4000,false,VB,004,138.000,3.000,6.617,3.562,1.000,5.000,18.246
000000000090000003,2000,false,ND,002,55.000,3.000,0.000,0.000,1.000,1.000,1.000
000000000090000003,3000,false,ND,004,55.000,0.000,0.000,0.000,1.000,1.000,1.000
000000000010000101,4000,false,VB,004,89.000,0.000,8.236,5.049,1.250,7.500,12.025
000000000030000018,4000,false,PD,002,43.000,3.000,0.000,0.000,2.000,12.000,0.000
000000000010000102,1000,false,VB,004,127.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000080000024,2000,false,VB,003,24.000,3.000,2.516,1.708,2.000,12.000,19.315
000000000010000103,2000,false,VB,006,32.000,0.000,4.895,3.197,2.167,13.000,16.012
000000000030000019,1000,false,PD,005,23.000,1.000,0.000,0.000,1.000,4.250,0.000
000000000030000019,3000,false,PD,008,23.000,2.000,0.000,0.000,1.000,4.000,0.000
000000000010000104,3000,false,VB,010,224.000,2.000,16.707,6.778,1.000,6.000,16.707
000000000010000104,2000,false,VB,002,224.000,0.000,6.238,2.395,1.000,4.500,17.134
000000000010000105,4000,false,VB,003,53.000,1.000,2.571,1.543,1.000,2.000,2.578
000000000010000106,3000,false,VB,003,0.000,3.000,11.921,4.927,12.292,73.750,54.161
000000000010000107,4000,false,VB,005,39.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000010000108,1000,false,VB,002,56.000,0.000,5.648,4.324,1.000,5.500,14.104
000000000010000109,4000,false,VB,003,91.000,2.000,1.127,0.709,1.000,1.000,1.369
000000000080000025,3000,false,VB,009,30.000,3.000,6.152,4.255,1.375,8.250,11.245
000000000080000025,4000,false,VB,007,30.000,1.000,9.093,5.880,2.417,14.500,21.932
000000000010000110,2000,false,VB,004,31.000,0.000,4.369,2.570,1.542,9.250,7.065
000000000030000020,2000,false,ND,002,35.000,1.000,0.000,0.000,1.000,4.250,0.000
000000000010000111,3000,false,VB,007,30.000,3.000,46.054,15.408,22.208,133.250,105.230
000000000010000112,1000,false,VB,010,39.000,0.000,72.428,19.110,23.292,139.750,190.136
000000000010000113,3000,false,VB,006,28.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000010000114,4000,false,VB,008,0.000,1.000,9.645,2.043,18.333,110.000,96.429
000000000010000115,4000,false,VB,005,83.000,1.000,8.825,5.706,1.500,9.000,26.327
000000000010000116,2000,false,VB,007,24.000,3.000,2.326,1.484,1.000,4.000,3.918
000000000010000116,3000,false,VB,002,24.000,3.000,0.659,0.389,1.000,3.750,4.644
000000000030000021,1000,false,PD,008,49.000,2.000,0.000,0.000,1.000,3.250,0.000
000000000030000021,4000,false,PD,002,49.000,3.000,0.000,0.000,1.500,9.000,0.000
000000000010000117,1000,false,VB,006,30.000,0.000,2.971,2.179,1.000,3.500,4.021
000000000010000118,4000,false,VB,005,126.000,1.000,10.458,5.264,1.083,6.500,10.458
000000000010000119,1000,false,VB,003,0.000,2.000,11.617,5.529,1.375,8.250,29.971
000000000010000120,1000,false,VB,005,139.000,1.000,3.676,2.001,1.000,1.250,3.676
000000000010000120,4000,false,VB,003,139.000,3.000,2.399,1.306,1.000,1.250,4.341
000000000030000022,4000,false,ND,007,28.000,3.000,0.000,0.000,1.875,11.250,0.000
000000000030000022,1000,false,PD,004,28.000,1.000,0.000,0.000,1.583,9.500,0.000
000000000090000004,4000,false,ND,006,8.000,3.000,0.000,0.000,1.000,1.000,1.000
000000000010000121,4000,false,VB,009,84.000,2.000,8.855,6.222,1.000,6.000,21.290
000000000010000122,3000,false,VB,006,7.000,1.000,0.279,0.204,1.000,4.500,4.359
000000000010000123,1000,false,VB,003,49.000,2.000,3.537,2.281,1.000,3.750,6.072
000000000010000124,3000,false,VB,002,12.000,0.000,11.159,2.931,30.708,184.250,118.119
000000000080000026,3000,false,VB,001,32.000,2.000,0.676,0.472,1.000,2.750,4.633
000000000080000026,2000,false,VB,009,0.000,0.000,2.539,1.858,1.000,2.750,5.053
000000000010000125,4000,false,VB,003,23.000,0.000,1.240,0.738,1.000,4.750,6.700
000000000080000027,1000,false,VB,010,56.000,3.000,1.813,1.133,1.000,4.500,4.812
000000000010000126,1000,false,VB,005,56.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000010000127,3000,false,VB,004,48.000,1.000,5.346,3.643,1.000,5.000,5.716
000000000010000127,1000,false,VB,005,48.000,1.000,3.322,2.327,1.042,6.250,12.472
000000000010000128,4000,false,VB,005,36.000,3.000,1.481,0.926,1.000,3.750,4.457
000000000010000129,4000,false,VB,001,97.000,1.000,4.863,3.198,1.000,5.500,15.151
000000000010000130,2000,false,VB,002,68.000,3.000,4.009,2.791,1.000,3.000,7.427
000000000010000131,1000,false,VB,010,31.000,3.000,5.117,3.984,1.458,8.750,16.264
000000000010000132,2000,false,VB,010,49.000,0.000,115.998,17.595,39.708,238.250,309.133
000000000010000132,1000,false,VB,010,49.000,0.000,23.166,3.809,14.708,88.250,60.124
000000000010000133,3000,false,VB,004,17.000,0.000,2.370,1.516,1.167,7.000,6.235
000000000010000134,2000,false,VB,002,91.000,0.000,75.285,11.922,11.792,70.750,75.285
000000000010000135,3000,false,VB,010,35.000,2.000,5.687,2.912,2.083,12.500,12.082
000000000010000135,2000,false,VB,006,35.000,0.000,1.714,1.166,1.000,5.500,5.896
000000000010000136,1000,false,VB,001,135.000,2.000,11.551,5.280,1.167,7.000,11.551
000000000090000005,1000,false,ND,010,41.000,3.000,0.000,0.000,1.000,1.000,1.000
000000000010000137,3000,false,VB,009,45.000,3.000,68.750,18.764,28.958,173.750,169.065
000000000010000138,2000,false,VB,010,227.000,1.000,6.780,2.946,1.000,6.000,18.828
000000000080000028,1000,false,VB,008,23.000,2.000,2.960,1.919,1.500,9.000,10.925
000000000080000029,4000,false,VB,010,10.000,3.000,0.698,0.573,1.000,5.250,3.902
000000000010000139,1000,false,VB,004,86.000,0.000,6.569,4.162,1.625,9.750,22.070
000000000010000140,4000,false,VB,010,33.000,1.000,0.646,0.498,1.000,1.000,1.047
000000000010000141,4000,false,VB,003,42.000,3.000,36.566,6.525,19.333,116.000,99.366
000000000080000030,1000,false,VB,004,28.000,2.000,5.124,3.505,1.458,8.750,9.606
000000000010000142,1000,false,VB,004,123.000,3.000,2.675,1.873,1.000,1.000,3.149
000000000010000143,1000,false,VB,008,120.000,3.000,17.544,9.953,1.208,7.250,17.544
000000000010000144,2000,false,VB,010,19.000,1.000,0.756,0.492,1.000,3.500,2.620
000000000010000145,1000,false,VB,004,39.000,1.000,0.666,0.430,1.000,1.250,1.608
000000000080000031,1000,false,VB,003,7.000,2.000,1.972,1.607,1.833,11.000,11.194
000000000010000146,4000,false,VB,004,38.000,2.000,3.550,2.411,1.083,6.500,7.083
000000000010000146,1000,false,VB,001,38.000,0.000,3.050,2.252,1.000,4.500,7.695
000000000010000147,2000,false,VB,010,163.000,1.000,10.900,3.731,1.083,6.500,17.714
000000000030000023,1000,false,PD,002,36.000,1.000,0.000,0.000,1.125,6.750,0.000
000000000010000148,4000,false,VB,008,28.000,2.000,0.810,0.576,1.000,1.000,1.233
000000000010000149,4000,false,VB,006,16.000,1.000,8.606,1.770,21.583,129.500,98.222
000000000080000032,1000,false,VB,004,30.000,2.000,5.501,3.645,1.250,7.500,10.350
000000000010000150,1000,false,VB,007,105.000,0.000,9.075,5.467,1.125,6.750,22.904
000000000010000151,3000,false,VB,006,100.000,3.000,7.985,4.865,1.500,9.000,23.754
000000000010000152,1000,false,VB,009,122.000,3.000,12.566,7.142,1.000,5.500,12.566
000000000010000153,2000,false,VB,003,126.000,2.000,3.586,2.116,1.000,2.000,5.169
000000000080000033,4000,false,VB,002,16.000,0.000,3.663,2.634,1.667,10.000,10.459
000000000010000154,1000,false,VB,008,51.000,1.000,0.749,0.460,1.000,2.500,3.590
000000000010000155,3000,false,VB,005,196.000,1.000,4.039,1.375,1.000,3.000,9.847
000000000010000156,4000,false,VB,008,128.000,3.000,11.996,6.504,1.667,10.000,15.880
000000000010000156,3000,false,VB,006,128.000,2.000,11.393,7.211,1.667,10.000,37.271
000000000080000034,1000,false,VB,006,21.000,2.000,1.866,1.251,1.000,3.250,4.949
000000000010000157,2000,false,VB,006,7.000,3.000,0.460,0.415,1.000,1.500,2.319
000000000010000157,3000,false,VB,008,7.000,3.000,0.451,0.387,1.000,1.500,1.418
000000000030000024,1000,false,ND,008,60.000,1.000,0.000,0.000,2.250,13.500,0.000
000000000080000035,4000,false,VB,003,17.000,0.000,7.244,5.302,2.375,14.250,10.200
000000000080000035,2000,false,VB,007,17.000,1.000,5.588,4.290,1.583,9.500,8.462
000000000010000158,2000,false,VB,004,15.000,3.000,10.668,4.275,21.167,127.000,140.488
000000000010000159,2000,false,VB,006,15.000,0.000,6.050,4.512,2.167,13.000,12.839
000000000010000160,1000,false,VB,004,104.000,3.000,0.000,0.000,1.000,1.000,0.000
000000000010000160,4000,false,VB,005,104.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000080000036,3000,false,VB,001,12.000,2.000,1.485,1.221,1.000,3.000,1.901
000000000010000161,4000,false,VB,008,29.000,1.000,40.092,11.338,39.167,235.000,250.589
000000000010000161,3000,false,VB,004,29.000,0.000,41.993,14.514,35.542,213.250,210.181
000000000010000162,2000,false,VB,009,60.000,2.000,0.735,0.449,1.000,1.500,3.587
000000000010000163,4000,false,VB,007,135.000,2.000,109.394,18.195,23.833,143.000,263.110
000000000080000037,2000,false,VB,010,129.000,1.000,4.979,2.530,1.000,3.750,5.636
000000000080000037,1000,false,VB,003,129.000,3.000,23.223,14.021,1.625,9.750,23.223
000000000010000164,3000,false,VB,009,133.000,1.000,20.597,11.265,1.375,8.250,25.254
000000000010000164,4000,false,VB,005,133.000,0.000,9.622,5.676,1.083,6.500,25.654
000000000010000165,2000,false,VB,002,62.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000010000166,2000,false,VB,004,25.000,2.000,6.219,4.136,2.500,15.000,22.605
000000000010000167,3000,false,VB,005,117.000,3.000,3.350,1.950,1.000,3.500,10.773
000000000010000167,2000,false,VB,007,117.000,1.000,15.729,9.590,1.000,5.750,21.564
000000000010000168,2000,false,VB,007,35.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000080000038,3000,false,VB,008,116.000,1.000,2.545,1.593,1.000,3.500,11.214
000000000010000169,4000,false,VB,005,28.000,3.000,1.159,0.923,1.000,2.000,4.504
000000000010000170,3000,false,VB,001,158.000,2.000,15.177,7.276,1.000,6.000,20.193
000000000080000039,1000,false,VB,004,47.000,2.000,1.857,0.983,1.000,4.250,5.200
000000000080000039,4000,false,VB,006,47.000,3.000,2.777,1.721,1.000,3.000,4.063
000000000010000171,2000,false,VB,005,83.000,3.000,1.255,0.806,1.000,2.000,3.739
000000000030000025,3000,false,PD,009,28.000,3.000,0.000,0.000,1.000,4.250,0.000
000000000030000026,3000,false,ND,008,107.000,1.000,0.000,0.000,1.792,10.750,0.000
000000000010000172,1000,false,VB,006,145.000,2.000,2.630,1.038,1.000,2.750,7.624
000000000030000027,2000,false,PD,005,83.000,3.000,0.000,0.000,1.708,10.250,0.000
000000000030000027,4000,false,ND,006,83.000,3.000,0.000,0.000,1.000,3.000,0.000
000000000030000028,1000,false,PD,005,91.000,3.000,0.000,0.000,1.458,8.750,0.000
000000000030000028,4000,false,ND,005,91.000,2.000,0.000,0.000,1.000,2.000,0.000
000000000010000173,3000,false,VB,004,99.000,3.000,1.803,1.186,1.000,1.000,1.803
