Werks,Lgort,Matnr,Dispo,Mtart,Matkl,Dismm,Mbwbest,Wbwbest,Letztzug,Letztabg,Letztver,Letztbew,Eisbe
3000,SP03,000000000010000031,010,ERSA,MECH-GBOX,VB,0.000,0.00,,2023-12-03T00:00:00,2023-12-03T00:00:00,2023-12-03T00:00:00,0.000
4000,SP04,000000000010000032,009,ERSA,MECH-GBOX,VB,5.000,133662.50,2026-08-12T00:00:00,2026-06-19T00:00:00,2026-06-19T00:00:00,2026-08-12T00:00:00,2.998
1000,SP01,000000000010000033,008,ERSA,MECH-BRG,VB,0.000,0.00,,2025-01-25T00:00:00,2025-01-25T00:00:00,2025-01-25T00:00:00,8.143
1000,SP01,000000000010000034,007,ERSA,HYDR-ASSY,VB,4.000,2449407.16,2026-04-08T00:00:00,2026-07-21T00:00:00,2026-07-21T00:00:00,2026-07-21T00:00:00,2.836
2000,SP02,000000000080000006,002,ERSA,ELEC-MOTR,VB,14.000,2449820.94,2026-07-19T00:00:00,2026-06-08T00:00:00,2026-06-08T00:00:00,2026-07-19T00:00:00,3.667
1000,SP01,000000000010000035,010,ERSA,HYDR-ASSY,VB,0.000,0.00,,2022-09-08T00:00:00,2022-09-08T00:00:00,2022-09-08T00:00:00,0.000
3000,SP03,000000000010000036,002,ERSA,MECH-BRG,VB,1.000,90675.48,2026-04-10T00:00:00,2026-09-05T00:00:00,2026-09-05T00:00:00,2026-09-05T00:00:00,1.096
2000,SP02,000000000010000036,008,ERSA,MECH-BRG,VB,1.000,90675.48,2026-02-23T00:00:00,2026-08-08T00:00:00,2026-08-08T00:00:00,2026-08-08T00:00:00,0.729
1000,SP01,000000000010000037,004,HIBE,MECH-BRG,VB,6.000,274889.88,2026-09-06T00:00:00,2026-07-06T00:00:00,2026-07-06T00:00:00,2026-09-06T00:00:00,2.509
1000,SP01,000000000090000001,003,ERSA,MECH-PUMP,ND,25.000,4041645.25,,2022-10-03T00:00:00,2022-10-03T00:00:00,2022-10-03T00:00:00,0.000
3000,SP03,000000000010000038,003,ERSA,INST-XMTR,VB,44.000,296845.12,2026-07-21T00:00:00,2026-08-16T00:00:00,2026-08-16T00:00:00,2026-08-16T00:00:00,5.652
1000,SP01,000000000080000007,006,ERSA,MILL-LINR,VB,27.000,9756131.13,2026-08-02T00:00:00,2026-05-26T00:00:00,2026-05-26T00:00:00,2026-08-02T00:00:00,11.526
2000,SP02,000000000010000039,009,ERSA,INST-XMTR,VB,0.000,0.00,,2024-02-05T00:00:00,2024-02-05T00:00:00,2024-02-05T00:00:00,0.000
3000,SP03,000000000030000005,006,ERSA,MECH-GBOX,PD,3.000,321794.19,2026-05-11T00:00:00,,,2026-05-11T00:00:00,0.000
1000,SP01,000000000010000040,001,ERSA,INST-XMTR,VB,3.000,99662.79,2026-03-16T00:00:00,2026-04-28T00:00:00,2026-04-28T00:00:00,2026-04-28T00:00:00,0.901
4000,SP04,000000000010000041,007,ERSA,MECH-SEAL,VB,7.000,925115.38,2026-03-20T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00,7.482
1000,SP01,000000000010000042,009,ERSA,CONV-COMP,VB,0.000,0.00,,2024-04-25T00:00:00,2024-04-25T00:00:00,2024-04-25T00:00:00,0.000
2000,SP02,000000000030000006,010,HIBE,HYDR-ASSY,ND,1.000,15593.48,2026-07-13T00:00:00,,,2026-07-13T00:00:00,0.000
4000,SP04,000000000080000008,001,ERSA,ELEC-CTRL,VB,0.000,0.00,2025-09-13T00:00:00,2026-07-20T00:00:00,2026-07-20T00:00:00,2026-07-20T00:00:00,0.524
1000,SP01,000000000080000009,008,ERSA,MECH-GBOX,VB,8.000,844937.60,2026-08-02T00:00:00,2026-07-15T00:00:00,2026-07-15T00:00:00,2026-08-02T00:00:00,3.182
4000,SP04,000000000080000009,009,ERSA,MECH-GBOX,VB,14.000,1478640.80,2026-07-18T00:00:00,2026-06-26T00:00:00,2026-06-26T00:00:00,2026-07-18T00:00:00,6.388
3000,SP03,000000000080000010,010,ERSA,ELEC-CTRL,VB,4.000,247877.28,2026-07-29T00:00:00,2026-08-16T00:00:00,2026-08-16T00:00:00,2026-08-16T00:00:00,3.397
1000,SP01,000000000030000007,007,ERSA,MECH-SEAL,ND,1.000,78081.04,2026-06-19T00:00:00,2026-07-16T00:00:00,2026-07-16T00:00:00,2026-07-16T00:00:00,0.000
3000,SP03,000000000030000008,008,ERSA,INST-XMTR,ND,2.000,301494.84,2026-05-17T00:00:00,2026-06-13T00:00:00,2026-06-13T00:00:00,2026-06-13T00:00:00,0.000
1000,SP01,000000000010000043,007,ERSA,MECH-BRG,VB,9.000,592184.88,2026-01-05T00:00:00,2026-05-21T00:00:00,2026-05-21T00:00:00,2026-05-21T00:00:00,1.288
4000,SP04,000000000010000043,008,ERSA,MECH-BRG,VB,5.000,328991.60,2026-06-27T00:00:00,2026-06-08T00:00:00,2026-06-08T00:00:00,2026-06-27T00:00:00,0.913
3000,SP03,000000000010000044,005,ERSA,MECH-SEAL,VB,3.000,225307.29,2026-07-18T00:00:00,2026-06-08T00:00:00,2026-06-08T00:00:00,2026-07-18T00:00:00,1.113
4000,SP04,000000000010000045,003,ERSA,HYDR-ASSY,VB,85.000,1615135.15,2026-08-26T00:00:00,2026-08-11T00:00:00,2026-08-11T00:00:00,2026-08-26T00:00:00,5.066
2000,SP02,000000000080000011,005,ERSA,MILL-LINR,VB,12.000,1322117.52,2026-05-22T00:00:00,2026-04-24T00:00:00,2026-04-24T00:00:00,2026-05-22T00:00:00,1.752
3000,SP03,000000000080000012,004,ERSA,HYDR-ASSY,VB,7.000,2378446.63,2026-06-23T00:00:00,2026-07-18T00:00:00,2026-07-18T00:00:00,2026-07-18T00:00:00,3.357
2000,SP02,000000000010000046,006,ERSA,ELEC-MOTR,VB,0.000,0.00,,2025-05-14T00:00:00,2025-05-14T00:00:00,2025-05-14T00:00:00,0.000
1000,SP01,000000000010000047,002,ERSA,MILL-LINR,VB,0.000,0.00,,2025-07-19T00:00:00,2025-07-19T00:00:00,2025-07-19T00:00:00,0.000
4000,SP04,000000000010000047,002,ERSA,MILL-LINR,VB,0.000,0.00,,2023-02-24T00:00:00,2023-02-24T00:00:00,2023-02-24T00:00:00,0.000
4000,SP04,000000000010000048,003,ERSA,ELEC-CTRL,VB,29.000,577596.19,2026-08-06T00:00:00,2026-09-03T00:00:00,2026-09-03T00:00:00,2026-09-03T00:00:00,6.446
3000,SP03,000000000080000013,007,ERSA,MECH-BRG,VB,4.000,151849.80,2026-07-10T00:00:00,2026-06-22T00:00:00,2026-06-22T00:00:00,2026-07-10T00:00:00,0.677
3000,SP03,000000000010000049,010,ERSA,ELEC-CTRL,VB,12.000,94141.80,2026-05-23T00:00:00,2026-09-01T00:00:00,2026-09-01T00:00:00,2026-09-01T00:00:00,19.320
1000,SP01,000000000010000049,007,ERSA,ELEC-CTRL,VB,116.000,910037.40,2026-08-13T00:00:00,2026-09-05T00:00:00,2026-09-05T00:00:00,2026-09-05T00:00:00,10.376
2000,SP02,000000000010000050,010,ERSA,HYDR-ASSY,VB,0.000,0.00,,2024-09-19T00:00:00,2024-09-19T00:00:00,2024-09-19T00:00:00,1.919
4000,SP04,000000000010000050,008,ERSA,HYDR-ASSY,VB,0.000,0.00,,2025-01-03T00:00:00,2025-01-03T00:00:00,2025-01-03T00:00:00,7.906
2000,SP02,000000000010000051,002,HIBE,INST-XMTR,VB,0.000,0.00,,2022-08-29T00:00:00,2022-08-29T00:00:00,2022-08-29T00:00:00,0.000
3000,SP03,000000000010000052,003,ERSA,ELEC-CTRL,VB,14.000,1649288.20,2026-03-06T00:00:00,2026-08-18T00:00:00,2026-08-18T00:00:00,2026-08-18T00:00:00,7.010
1000,SP01,000000000010000053,010,HIBE,ELEC-MOTR,VB,60.000,35602262.40,2026-06-01T00:00:00,2026-08-23T00:00:00,2026-08-23T00:00:00,2026-08-23T00:00:00,5.294
1000,SP01,000000000010000054,006,ERSA,MECH-GBOX,VB,7.000,229205.97,2026-06-24T00:00:00,2026-05-25T00:00:00,2026-05-25T00:00:00,2026-06-24T00:00:00,0.764
3000,SP03,000000000010000055,004,ERSA,MECH-GBOX,VB,1.000,44707.09,2026-04-15T00:00:00,2026-07-19T00:00:00,2026-07-19T00:00:00,2026-07-19T00:00:00,1.470
3000,SP03,000000000010000056,010,ERSA,INST-XMTR,VB,0.000,0.00,,2024-11-08T00:00:00,2024-11-08T00:00:00,2024-11-08T00:00:00,0.000
2000,SP02,000000000010000056,004,ERSA,INST-XMTR,VB,0.000,0.00,,2023-06-15T00:00:00,2023-06-15T00:00:00,2023-06-15T00:00:00,0.000
1000,SP01,000000000010000057,003,ERSA,MECH-BRG,VB,2.000,187571.50,2026-05-29T00:00:00,2026-03-21T00:00:00,2026-03-21T00:00:00,2026-05-29T00:00:00,0.879
4000,SP04,000000000010000058,004,ERSA,INST-XMTR,VB,0.000,0.00,2026-01-05T00:00:00,2026-08-08T00:00:00,2026-08-08T00:00:00,2026-08-08T00:00:00,0.504
3000,SP03,000000000010000059,007,HIBE,MECH-PUMP,VB,12.000,8837451.48,2026-07-22T00:00:00,2026-06-10T00:00:00,2026-06-10T00:00:00,2026-07-22T00:00:00,3.919
3000,SP03,000000000030000009,006,ERSA,MILL-LINR,ND,5.000,1730320.30,2026-09-07T00:00:00,2026-03-08T00:00:00,2026-03-08T00:00:00,2026-09-07T00:00:00,0.000
2000,SP02,000000000010000060,004,ERSA,HYDR-ASSY,VB,99.000,2219952.24,2026-07-15T00:00:00,2026-08-03T00:00:00,2026-08-03T00:00:00,2026-08-03T00:00:00,4.063
4000,SP04,000000000010000060,008,ERSA,HYDR-ASSY,VB,38.000,852102.88,2026-06-18T00:00:00,2026-08-15T00:00:00,2026-08-15T00:00:00,2026-08-15T00:00:00,6.801
3000,SP03,000000000010000061,008,HIBE,MECH-PUMP,VB,8.000,866914.96,2026-06-11T00:00:00,2026-09-06T00:00:00,2026-09-06T00:00:00,2026-09-06T00:00:00,5.369
3000,SP03,000000000010000062,006,ERSA,MECH-BRG,VB,2.000,255910.86,,2026-02-04T00:00:00,2026-02-04T00:00:00,2026-02-04T00:00:00,1.298
4000,SP04,000000000030000010,010,ERSA,HYDR-ASSY,ND,6.000,1262676.60,2026-01-27T00:00:00,,,2026-01-27T00:00:00,0.000
1000,SP01,000000000030000011,006,ERSA,INST-XMTR,PD,6.000,951257.76,2026-07-19T00:00:00,2026-03-28T00:00:00,2026-03-28T00:00:00,2026-07-19T00:00:00,0.000
3000,SP03,000000000030000011,010,ERSA,INST-XMTR,PD,0.000,0.00,2026-06-24T00:00:00,2026-07-25T00:00:00,2026-07-25T00:00:00,2026-07-25T00:00:00,0.000
3000,SP03,000000000010000063,007,ERSA,MECH-BRG,VB,8.000,946994.24,2026-02-11T00:00:00,2026-08-13T00:00:00,2026-08-13T00:00:00,2026-08-13T00:00:00,4.436
2000,SP02,000000000010000064,003,ERSA,INST-XMTR,VB,0.000,0.00,,2022-08-27T00:00:00,2022-08-27T00:00:00,2022-08-27T00:00:00,0.000
4000,SP04,000000000010000065,007,HIBE,INST-XMTR,VB,6.000,349147.02,2026-07-29T00:00:00,2026-08-03T00:00:00,2026-08-03T00:00:00,2026-08-03T00:00:00,7.254
4000,SP04,000000000080000014,008,HIBE,HYDR-ASSY,VB,0.000,0.00,2026-01-23T00:00:00,2026-08-18T00:00:00,2026-08-18T00:00:00,2026-08-18T00:00:00,3.153
3000,SP03,000000000010000066,008,ERSA,INST-XMTR,VB,14.000,83255.34,2026-07-24T00:00:00,2026-06-10T00:00:00,2026-06-10T00:00:00,2026-07-24T00:00:00,4.704
4000,SP04,000000000010000066,005,ERSA,INST-XMTR,VB,4.000,23787.24,2026-07-22T00:00:00,2026-06-16T00:00:00,2026-06-16T00:00:00,2026-07-22T00:00:00,1.108
3000,SP03,000000000010000067,010,ERSA,MECH-GBOX,VB,0.000,0.00,,2024-10-24T00:00:00,2024-10-24T00:00:00,2024-10-24T00:00:00,2.654
3000,SP03,000000000080000015,009,ERSA,MECH-GBOX,VB,4.000,1451277.56,2026-07-08T00:00:00,2026-08-22T00:00:00,2026-08-22T00:00:00,2026-08-22T00:00:00,0.959
1000,SP01,000000000080000016,001,ERSA,MILL-LINR,VB,7.000,2764114.92,2026-08-12T00:00:00,2026-07-18T00:00:00,2026-07-18T00:00:00,2026-08-12T00:00:00,1.831
2000,SP02,000000000080000016,006,ERSA,MILL-LINR,VB,7.000,2764114.92,2026-08-04T00:00:00,2026-09-01T00:00:00,2026-09-01T00:00:00,2026-09-01T00:00:00,2.189
2000,SP02,000000000010000068,003,ERSA,HYDR-ASSY,VB,0.000,0.00,,2024-10-13T00:00:00,2024-10-13T00:00:00,2024-10-13T00:00:00,12.486
4000,SP04,000000000010000069,007,ERSA,HYDR-ASSY,VB,0.000,0.00,,2025-06-30T00:00:00,2025-06-30T00:00:00,2025-06-30T00:00:00,11.088
2000,SP02,000000000010000070,009,ERSA,HYDR-ASSY,VB,120.000,568920.00,2026-08-13T00:00:00,2026-08-08T00:00:00,2026-08-08T00:00:00,2026-08-13T00:00:00,20.291
3000,SP03,000000000010000071,001,ERSA,ELEC-CTRL,VB,9.000,5403248.19,2025-07-17T00:00:00,2026-08-28T00:00:00,2026-08-28T00:00:00,2026-08-28T00:00:00,4.410
2000,SP02,000000000090000002,001,ERSA,INST-XMTR,ND,12.000,2146260.36,,2023-08-28T00:00:00,2023-08-28T00:00:00,2023-08-28T00:00:00,0.000
4000,SP04,000000000010000072,006,HIBE,CONV-COMP,VB,24.000,569323.68,2026-01-23T00:00:00,2026-08-23T00:00:00,2026-08-23T00:00:00,2026-08-23T00:00:00,19.612
2000,SP02,000000000080000017,002,ERSA,MECH-BRG,VB,22.000,4658613.30,2026-07-02T00:00:00,2026-08-26T00:00:00,2026-08-26T00:00:00,2026-08-26T00:00:00,4.995
3000,SP03,000000000080000017,009,ERSA,MECH-BRG,VB,9.000,1905796.35,2025-05-02T00:00:00,2026-08-13T00:00:00,2026-08-13T00:00:00,2026-08-13T00:00:00,5.057
3000,SP03,000000000010000073,002,ERSA,CONV-COMP,VB,35.000,44501.80,2026-03-16T00:00:00,2026-08-09T00:00:00,2026-08-09T00:00:00,2026-08-09T00:00:00,10.804
1000,SP01,000000000010000074,010,ERSA,MECH-BRG,VB,1.000,117308.38,2026-08-14T00:00:00,2026-07-11T00:00:00,2026-07-11T00:00:00,2026-08-14T00:00:00,0.765
3000,SP03,000000000030000012,008,ERSA,INST-XMTR,PD,0.000,0.00,2026-06-14T00:00:00,2026-07-06T00:00:00,2026-07-06T00:00:00,2026-07-06T00:00:00,0.000
2000,SP02,000000000010000075,004,HIBE,ELEC-CTRL,VB,101.000,1569079.44,2026-06-22T00:00:00,2026-08-28T00:00:00,2026-08-28T00:00:00,2026-08-28T00:00:00,15.777
1000,SP01,000000000010000075,010,HIBE,ELEC-CTRL,VB,121.000,1879788.24,2026-07-03T00:00:00,2026-08-09T00:00:00,2026-08-09T00:00:00,2026-08-09T00:00:00,12.196
2000,SP02,000000000010000076,004,ERSA,MECH-BRG,VB,0.000,0.00,,2023-04-24T00:00:00,2023-04-24T00:00:00,2023-04-24T00:00:00,0.000
2000,SP02,000000000010000077,004,ERSA,MECH-SEAL,VB,17.000,1419193.83,2026-08-02T00:00:00,2026-08-24T00:00:00,2026-08-24T00:00:00,2026-08-24T00:00:00,4.265
3000,SP03,000000000010000078,004,ERSA,ELEC-MOTR,VB,0.000,0.00,,2025-03-22T00:00:00,2025-03-22T00:00:00,2025-03-22T00:00:00,0.000
1000,SP01,000000000010000079,001,ERSA,HYDR-ASSY,VB,55.000,391368.45,2026-08-09T00:00:00,2026-08-12T00:00:00,2026-08-12T00:00:00,2026-08-12T00:00:00,1.929
2000,SP02,000000000010000080,010,ERSA,MECH-PUMP,VB,1.000,175217.29,2026-05-03T00:00:00,2026-04-05T00:00:00,2026-04-05T00:00:00,2026-05-03T00:00:00,0.625
1000,SP01,000000000010000081,004,ERSA,MECH-SEAL,VB,0.000,0.00,,2024-01-12T00:00:00,2024-01-12T00:00:00,2024-01-12T00:00:00,0.000
3000,SP03,000000000010000081,004,ERSA,MECH-SEAL,VB,0.000,0.00,,2023-05-19T00:00:00,2023-05-19T00:00:00,2023-05-19T00:00:00,0.000
4000,SP04,000000000080000018,008,ERSA,ELEC-CTRL,VB,3.000,540952.17,2026-06-20T00:00:00,2026-07-09T00:00:00,2026-07-09T00:00:00,2026-07-09T00:00:00,2.026
3000,SP03,000000000080000018,009,ERSA,ELEC-CTRL,VB,4.000,721269.56,2026-04-19T00:00:00,2026-06-19T00:00:00,2026-06-19T00:00:00,2026-06-19T00:00:00,1.654
2000,SP02,000000000080000019,001,ERSA,ELEC-MOTR,VB,12.000,3233040.72,2026-08-31T00:00:00,2026-05-20T00:00:00,2026-05-20T00:00:00,2026-08-31T00:00:00,1.682
2000,SP02,000000000030000013,007,ERSA,MILL-LINR,ND,0.000,0.00,2026-02-24T00:00:00,2026-03-07T00:00:00,2026-03-07T00:00:00,2026-03-07T00:00:00,0.000
