Matnr,Lvorm,Mtart,Matkl,Bismt,Meins,Mstae,Sernp
000000000010000024,false,ERSA,MECH-GBOX,,EA,,
000000000010000025,false,ERSA,INST-XMTR,,EA,,
000000000010000026,false,ERSA,HYDR-ASSY,,EA,,
000000000080000005,false,ERSA,MECH-PUMP,,EA,,
000000000010000027,false,ERSA,INST-XMTR,,EA,,
000000000010000028,false,ERSA,INST-XMTR,,EA,,
000000000010000029,false,ERSA,MECH-SEAL,,EA,,
000000000030000004,false,ERSA,HYDR-ASSY,ELL726979,EA,,
000000000010000030,false,ERSA,HYDR-ASSY,,EA,,
000000000010000031,false,ERSA,MECH-GBOX,,EA,,
000000000010000032,false,ERSA,MECH-GBOX,ELL502349,EA,,
000000000010000033,false,ERSA,MECH-BRG,,EA,,
000000000010000034,false,ERSA,HYDR-ASSY,,EA,,
000000000080000006,false,ERSA,ELEC-MOTR,ELL515594,EA,,
000000000010000035,false,ERSA,HYDR-ASSY,,EA,,
000000000010000036,false,ERSA,MECH-BRG,,EA,,
000000000010000037,false,HIBE,MECH-BRG,ELL181670,EA,,
000000000090000001,false,ERSA,MECH-PUMP,,EA,01,
000000000010000038,false,ERSA,INST-XMTR,,EA,,
000000000080000007,false,ERSA,MILL-LINR,ELL520040,EA,,Z00R
000000000010000039,false,ERSA,INST-XMTR,ELL594596,EA,,
000000000030000005,false,ERSA,MECH-GBOX,,EA,,
000000000010000040,false,ERSA,INST-XMTR,,EA,,
000000000010000041,false,ERSA,MECH-SEAL,,EA,,
000000000010000042,false,ERSA,CONV-COMP,ELL830302,EA,,
000000000030000006,false,HIBE,HYDR-ASSY,,EA,,
000000000080000008,false,ERSA,ELEC-CTRL,,EA,,
000000000080000009,false,ERSA,MECH-GBOX,,EA,,
000000000080000010,false,ERSA,ELEC-CTRL,,EA,,
000000000030000007,false,ERSA,MECH-SEAL,ELL309100,EA,,
000000000030000008,false,ERSA,INST-XMTR,,EA,,
000000000010000043,false,ERSA,MECH-BRG,,EA,,
000000000010000044,false,ERSA,MECH-SEAL,,EA,,
000000000010000045,false,ERSA,HYDR-ASSY,,EA,,
000000000080000011,false,ERSA,MILL-LINR,,EA,,
000000000080000012,false,ERSA,HYDR-ASSY,,EA,,
000000000010000046,false,ERSA,ELEC-MOTR,ELL801432,EA,,
000000000010000047,false,ERSA,MILL-LINR,ELL783176,EA,,
000000000010000048,false,ERSA,ELEC-CTRL,,EA,,
000000000080000013,false,ERSA,MECH-BRG,,EA,,
000000000010000049,false,ERSA,ELEC-CTRL,,EA,,
000000000010000050,false,ERSA,HYDR-ASSY,,EA,,
000000000010000051,false,HIBE,INST-XMTR,ELL670143,EA,,
000000000010000052,false,ERSA,ELEC-CTRL,,EA,,
000000000010000053,false,HIBE,ELEC-MOTR,,EA,,
000000000010000054,false,ERSA,MECH-GBOX,ELL408545,EA,,
000000000010000055,false,ERSA,MECH-GBOX,ELL361824,EA,,
000000000010000056,false,ERSA,INST-XMTR,ELL544536,EA,,
000000000010000057,false,ERSA,MECH-BRG,,EA,,
000000000010000058,false,ERSA,INST-XMTR,ELL380465,EA,,
000000000010000059,false,HIBE,MECH-PUMP,,EA,,
000000000030000009,false,ERSA,MILL-LINR,,EA,,
000000000010000060,false,ERSA,HYDR-ASSY,,EA,,
000000000010000061,false,HIBE,MECH-PUMP,ELL262555,EA,,
000000000010000062,false,ERSA,MECH-BRG,,EA,,
000000000030000010,false,ERSA,HYDR-ASSY,,EA,,
000000000030000011,false,ERSA,INST-XMTR,,EA,,
000000000010000063,false,ERSA,MECH-BRG,,EA,,
000000000010000064,false,ERSA,INST-XMTR,ELL667650,EA,,
000000000010000065,false,HIBE,INST-XMTR,,EA,,
000000000080000014,false,HIBE,HYDR-ASSY,,EA,,
000000000010000066,false,ERSA,INST-XMTR,,EA,,
000000000010000067,false,ERSA,MECH-GBOX,,EA,,
000000000080000015,false,ERSA,MECH-GBOX,,EA,,
000000000080000016,false,ERSA,MILL-LINR,,EA,,
000000000010000068,false,ERSA,HYDR-ASSY,,EA,,
000000000010000069,false,ERSA,HYDR-ASSY,,EA,,
000000000010000070,false,ERSA,HYDR-ASSY,,EA,,
000000000010000071,false,ERSA,ELEC-CTRL,ELL137042,EA,,
000000000090000002,false,ERSA,INST-XMTR,,EA,01,
000000000010000072,false,HIBE,CONV-COMP,,EA,,
000000000080000017,false,ERSA,MECH-BRG,ELL749485,EA,,
000000000010000073,false,ERSA,CONV-COMP,ELL509054,EA,,
000000000010000074,false,ERSA,MECH-BRG,ELL422266,EA,,
000000000030000012,false,ERSA,INST-XMTR,,EA,,
000000000010000075,false,HIBE,ELEC-CTRL,ELL876383,EA,,
000000000010000076,false,ERSA,MECH-BRG,,EA,,
000000000010000077,false,ERSA,MECH-SEAL,ELL576935,EA,,
000000000010000078,false,ERSA,ELEC-MOTR,,EA,,
000000000010000079,false,ERSA,HYDR-ASSY,ELL314178,EA,,
000000000010000080,false,ERSA,MECH-PUMP,,EA,,
000000000010000081,false,ERSA,MECH-SEAL,,EA,,
000000000080000018,false,ERSA,ELEC-CTRL,,EA,,
000000000080000019,false,ERSA,ELEC-MOTR,,EA,,0001
000000000030000013,false,ERSA,MILL-LINR,,EA,,
000000000010000082,false,ERSA,MECH-SEAL,ELL397388,EA,,
000000000030000014,false,HIBE,ELEC-MOTR,,EA,,
000000000010000083,false,ERSA,ELEC-CTRL,,EA,,
000000000010000084,false,ERSA,MILL-LINR,,EA,,
000000000010000085,false,ERSA,HYDR-ASSY,,EA,,
000000000080000020,false,ERSA,INST-XMTR,,EA,,
000000000010000086,false,ERSA,CONV-COMP,,EA,,
000000000010000087,false,ERSA,HYDR-ASSY,,EA,,
000000000030000015,false,ERSA,MECH-BRG,,EA,,
000000000010000088,false,ERSA,HYDR-ASSY,,EA,,
000000000080000021,false,ERSA,MECH-SEAL,,EA,,
000000000080000022,false,ERSA,CONV-COMP,ELL849941,EA,,
000000000080000023,false,ERSA,MECH-BRG,,EA,,
000000000010000089,false,ERSA,ELEC-MOTR,ELL916368,EA,,
000000000010000090,false,ERSA,CONV-COMP,,EA,,
000000000010000091,false,ERSA,ELEC-MOTR,,EA,,
000000000010000092,false,HIBE,INST-XMTR,,EA,,
000000000010000093,false,HIBE,HYDR-ASSY,,EA,,
000000000010000094,false,ERSA,MILL-LINR,,EA,,
000000000030000016,false,ERSA,ELEC-CTRL,,EA,,
000000000010000095,false,ERSA,ELEC-CTRL,,EA,,
000000000010000096,false,ERSA,MECH-BRG,,EA,,
000000000010000097,false,HIBE,MECH-GBOX,,EA,,
000000000030000017,false,ERSA,MECH-PUMP,ELL496566,EA,,
000000000010000098,false,HIBE,MECH-GBOX,ELL983353,EA,,
000000000010000099,false,HIBE,ELEC-CTRL,,EA,,
000000000010000100,false,ERSA,MILL-LINR,,EA,,
000000000090000003,false,ERSA,MILL-LINR,,EA,01,
000000000010000101,false,ERSA,MECH-PUMP,,EA,,
000000000030000018,false,ERSA,MECH-PUMP,ELL317180,EA,,
000000000010000102,false,ERSA,MECH-GBOX,,EA,,
000000000080000024,false,ERSA,INST-XMTR,,EA,,0001
000000000010000103,false,ERSA,HYDR-ASSY,,EA,,
000000000030000019,false,ERSA,MECH-PUMP,,EA,,
000000000010000104,false,ERSA,ELEC-CTRL,,EA,,
000000000010000105,false,ERSA,ELEC-CTRL,ELL242350,EA,,
000000000010000106,false,ERSA,MECH-BRG,,EA,,
000000000010000107,false,ERSA,CONV-COMP,,EA,,
000000000010000108,false,ERSA,CONV-COMP,ELL861221,EA,,
000000000010000109,false,ERSA,MILL-LINR,ELL607711,EA,,
000000000080000025,false,ERSA,MECH-BRG,ELL415201,EA,,
000000000010000110,false,ERSA,MILL-LINR,,EA,,
000000000030000020,false,HIBE,MILL-LINR,,EA,,
000000000010000111,false,ERSA,MILL-LINR,,EA,,
000000000010000112,false,ERSA,MECH-SEAL,,EA,,
000000000010000113,false,ERSA,MILL-LINR,,EA,,
000000000010000114,false,HIBE,MECH-BRG,,EA,,
000000000010000115,false,ERSA,MECH-PUMP,,EA,,
000000000010000116,false,ERSA,MILL-LINR,,EA,,
000000000030000021,false,ERSA,CONV-COMP,,EA,,
000000000010000117,false,HIBE,MECH-GBOX,,EA,,
000000000010000118,false,ERSA,MECH-PUMP,,EA,,
000000000010000119,false,ERSA,MECH-BRG,,EA,,
000000000010000120,false,ERSA,MECH-PUMP,,EA,,
000000000030000022,false,ERSA,MECH-GBOX,,EA,,
000000000090000004,false,ERSA,INST-XMTR,,EA,01,
000000000010000121,false,ERSA,ELEC-CTRL,,EA,,
000000000010000122,false,ERSA,HYDR-ASSY,,EA,,
000000000010000123,false,ERSA,MILL-LINR,,EA,,
000000000010000124,false,HIBE,MECH-GBOX,ELL308915,EA,,
000000000080000026,false,ERSA,ELEC-MOTR,ELL357234,EA,,
000000000010000125,false,ERSA,MECH-BRG,ELL278612,EA,,
000000000080000027,false,ERSA,MECH-GBOX,,EA,,
000000000010000126,false,ERSA,MECH-SEAL,ELL725279,EA,,
000000000010000127,false,ERSA,MECH-SEAL,,EA,,
000000000010000128,false,ERSA,ELEC-MOTR,ELL612089,EA,,
000000000010000129,false,ERSA,HYDR-ASSY,,EA,,
000000000010000130,false,ERSA,CONV-COMP,,EA,,
000000000010000131,false,ERSA,ELEC-MOTR,,EA,,
000000000010000132,false,HIBE,MECH-BRG,,EA,,
000000000010000133,false,ERSA,ELEC-MOTR,ELL642910,EA,,
000000000010000134,false,ERSA,MECH-GBOX,ELL835405,EA,,
000000000010000135,false,HIBE,MILL-LINR,ELL785395,EA,,
000000000010000136,false,ERSA,ELEC-CTRL,,EA,,
000000000090000005,false,ERSA,MECH-BRG,ELL631562,EA,01,
000000000010000137,false,ERSA,HYDR-ASSY,,EA,,
000000000010000138,false,HIBE,MILL-LINR,ELL904932,EA,,
000000000080000028,false,ERSA,CONV-COMP,ELL135730,EA,,
000000000080000029,false,HIBE,MECH-SEAL,,EA,,
000000000010000139,false,ERSA,CONV-COMP,,EA,,
000000000010000140,false,ERSA,INST-XMTR,,EA,,
000000000010000141,false,ERSA,ELEC-MOTR,,EA,,
000000000080000030,false,ERSA,MECH-GBOX,ELL121001,EA,,
000000000010000142,false,ERSA,MILL-LINR,,EA,,
000000000010000143,false,ERSA,ELEC-CTRL,,EA,,
000000000010000144,false,ERSA,CONV-COMP,ELL755331,EA,,
000000000010000145,false,ERSA,MECH-BRG,,EA,,
000000000080000031,false,ERSA,MECH-BRG,ELL113625,EA,,
000000000010000146,false,ERSA,HYDR-ASSY,,EA,,
000000000010000147,false,ERSA,MECH-BRG,,EA,,
000000000030000023,false,ERSA,MECH-BRG,ELL280426,EA,,
000000000010000148,false,ERSA,MECH-BRG,ELL505605,EA,,
000000000010000149,false,HIBE,MECH-PUMP,ELL639907,EA,,
000000000080000032,false,ERSA,MILL-LINR,,EA,,
000000000010000150,false,ERSA,INST-XMTR,,EA,,
000000000010000151,false,ERSA,MECH-PUMP,,EA,,
000000000010000152,false,ERSA,MECH-GBOX,,EA,,
000000000010000153,false,ERSA,MECH-SEAL,,EA,,
000000000080000033,false,ERSA,ELEC-MOTR,,EA,,
000000000010000154,false,HIBE,MILL-LINR,,EA,,
000000000010000155,false,ERSA,INST-XMTR,,EA,,
000000000010000156,false,ERSA,MECH-PUMP,,EA,,
000000000080000034,false,ERSA,CONV-COMP,ELL732938,EA,,
000000000010000157,false,ERSA,HYDR-ASSY,ELL547898,EA,,
000000000030000024,false,HIBE,HYDR-ASSY,,EA,,
000000000080000035,false,ERSA,MECH-BRG,,EA,,
000000000010000158,false,ERSA,CONV-COMP,,EA,,
000000000010000159,false,ERSA,MILL-LINR,ELL682753,EA,,
000000000010000160,false,ERSA,ELEC-MOTR,,EA,,
000000000080000036,false,ERSA,MILL-LINR,,EA,,
000000000010000161,false,ERSA,HYDR-ASSY,ELL921779,EA,,
000000000010000162,false,ERSA,MECH-PUMP,,EA,,
000000000010000163,false,ERSA,INST-XMTR,,EA,,
000000000080000037,false,ERSA,INST-XMTR,ELL304072,EA,,
000000000010000164,false,ERSA,HYDR-ASSY,ELL645095,EA,,
000000000010000165,false,ERSA,HYDR-ASSY,ELL904390,EA,,
000000000010000166,false,ERSA,ELEC-MOTR,,EA,,
000000000010000167,false,ERSA,MECH-PUMP,,EA,,
000000000010000168,false,ERSA,MECH-PUMP,,EA,,
000000000080000038,false,ERSA,MECH-PUMP,,EA,,Z00R
000000000010000169,false,HIBE,MECH-BRG,ELL754344,EA,,
000000000010000170,false,HIBE,ELEC-CTRL,,EA,,
000000000080000039,false,ERSA,INST-XMTR,,EA,,Z00R
000000000010000171,false,HIBE,CONV-COMP,,EA,,
000000000030000025,false,ERSA,HYDR-ASSY,,EA,,
000000000030000026,false,HIBE,INST-XMTR,ELL508500,EA,,
000000000010000172,false,ERSA,ELEC-CTRL,,EA,,
000000000030000027,false,ERSA,CONV-COMP,,EA,,
000000000030000028,false,ERSA,CONV-COMP,,EA,,
000000000010000173,false,ERSA,CONV-COMP,,EA,,
000000000010000174,false,ERSA,HYDR-ASSY,,EA,,
000000000030000029,false,ERSA,INST-XMTR,,EA,,
000000000010000175,false,ERSA,HYDR-ASSY,,EA,,
000000000010000176,false,ERSA,MECH-PUMP,,EA,,
000000000010000177,false,ERSA,MILL-LINR,,EA,,
000000000010000178,false,ERSA,ELEC-CTRL,,EA,,
000000000030000030,false,HIBE,HYDR-ASSY,ELL352371,EA,,
000000000010000179,false,ERSA,ELEC-MOTR,,EA,,
000000000010000180,false,ERSA,MILL-LINR,ELL426734,EA,,
000000000010000181,false,ERSA,MECH-BRG,,EA,,
000000000010000182,false,ERSA,MECH-SEAL,,EA,,
000000000010000183,false,HIBE,INST-XMTR,ELL169445,EA,,
000000000010000184,false,HIBE,MECH-BRG,,EA,,
000000000010000185,false,ERSA,MECH-GBOX,,EA,,
000000000010000186,false,ERSA,HYDR-ASSY,ELL621789,EA,,
000000000010000187,false,ERSA,MECH-PUMP,ELL733257,EA,,
000000000010000188,false,ERSA,ELEC-CTRL,,EA,,
000000000010000189,false,HIBE,MILL-LINR,,EA,,
000000000010000190,false,ERSA,MECH-GBOX,,EA,,
000000000010000191,false,ERSA,HYDR-ASSY,ELL716881,EA,,
000000000080000040,false,ERSA,INST-XMTR,ELL859498,EA,,
000000000010000192,false,HIBE,MECH-PUMP,,EA,,
000000000010000193,false,ERSA,ELEC-MOTR,ELL628168,EA,,
000000000080000041,false,ERSA,MECH-PUMP,ELL901549,EA,,
000000000090000006,false,ERSA,ELEC-CTRL,,EA,01,
000000000080000042,false,ERSA,MECH-SEAL,ELL470500,EA,,
000000000010000194,false,ERSA,INST-XMTR,ELL167648,EA,,
000000000030000031,false,ERSA,ELEC-CTRL,ELL651773,EA,,
000000000080000043,false,ERSA,MECH-BRG,ELL495618,EA,,
000000000080000044,false,ERSA,MECH-BRG,,EA,,Z00R
000000000010000195,false,ERSA,MILL-LINR,ELL799427,EA,,
000000000010000196,false,ERSA,ELEC-CTRL,,EA,,
000000000090000007,false,ERSA,MECH-SEAL,,EA,01,
000000000010000197,false,ERSA,ELEC-CTRL,,EA,,
000000000030000032,false,ERSA,ELEC-MOTR,,EA,,
000000000080000045,false,ERSA,MILL-LINR,ELL923769,EA,,
000000000010000198,false,HIBE,INST-XMTR,,EA,,
000000000030000033,false,HIBE,CONV-COMP,,EA,,
000000000080000046,false,ERSA,MECH-GBOX,,EA,,
000000000010000199,false,ERSA,ELEC-CTRL,ELL407914,EA,,
000000000080000047,false,ERSA,MILL-LINR,,EA,,
000000000010000200,false,ERSA,CONV-COMP,,EA,,
000000000010000201,false,ERSA,CONV-COMP,,EA,,
000000000030000034,false,ERSA,ELEC-CTRL,,EA,,
000000000010000202,false,ERSA,INST-XMTR,,EA,,
000000000010000203,false,ERSA,INST-XMTR,ELL685432,EA,,
000000000030000035,false,ERSA,MECH-BRG,,EA,,
000000000030000036,false,ERSA,INST-XMTR,ELL741812,EA,,
000000000010000204,false,ERSA,ELEC-CTRL,,EA,,
000000000010000205,false,ERSA,MECH-PUMP,ELL266302,EA,,
000000000080000048,false,ERSA,HYDR-ASSY,,EA,,0001
000000000030000037,false,ERSA,ELEC-MOTR,,EA,,
000000000010000206,false,ERSA,HYDR-ASSY,ELL344631,EA,,
000000000010000207,false,ERSA,INST-XMTR,,EA,,
000000000030000038,false,ERSA,INST-XMTR,,EA,,
000000000010000208,false,ERSA,ELEC-MOTR,ELL472843,EA,,
000000000090000008,false,ERSA,MECH-GBOX,,EA,01,
000000000010000209,false,ERSA,MECH-BRG,,EA,,
000000000030000039,false,ERSA,CONV-COMP,,EA,,
000000000010000210,false,ERSA,CONV-COMP,,EA,,
000000000080000049,false,ERSA,MECH-BRG,,EA,,
000000000010000211,false,ERSA,HYDR-ASSY,,EA,,
000000000080000050,false,ERSA,CONV-COMP,,EA,,
000000000010000212,false,HIBE,MECH-SEAL,ELL548263,EA,,
000000000010000213,false,ERSA,HYDR-ASSY,,EA,,
000000000080000051,false,ERSA,MECH-BRG,,EA,,Z00R
000000000010000214,false,ERSA,CONV-COMP,,EA,,
000000000010000215,false,ERSA,HYDR-ASSY,ELL196366,EA,,
000000000010000216,false,ERSA,HYDR-ASSY,,EA,,
000000000090000009,false,ERSA,INST-XMTR,,EA,01,
000000000010000217,false,ERSA,MECH-BRG,ELL834696,EA,,
000000000010000218,false,HIBE,MILL-LINR,,EA,,
000000000010000219,false,ERSA,MILL-LINR,,EA,,
000000000080000052,false,ERSA,MECH-BRG,ELL463881,EA,,
000000000080000053,false,HIBE,INST-XMTR,ELL478898,EA,,
000000000080000054,false,ERSA,MECH-PUMP,,EA,,
000000000010000220,false,ERSA,ELEC-CTRL,,EA,,
000000000090000010,false,ERSA,MECH-GBOX,,EA,01,
000000000090000011,false,ERSA,ELEC-MOTR,,EA,01,
000000000030000040,false,ERSA,MECH-BRG,ELL663367,EA,,
000000000030000041,false,ERSA,HYDR-ASSY,,EA,,
000000000090000012,false,HIBE,HYDR-ASSY,,EA,01,
000000000010000221,false,HIBE,MECH-BRG,,EA,,
000000000080000055,false,ERSA,MECH-PUMP,,EA,,
000000000010000222,false,ERSA,MILL-LINR,ELL295358,EA,,
000000000010000223,false,ERSA,MECH-PUMP,,EA,,
000000000010000224,false,ERSA,MILL-LINR,ELL296542,EA,,
000000000010000225,false,ERSA,MECH-GBOX,ELL736934,EA,,
000000000010000226,false,ERSA,ELEC-CTRL,ELL792051,EA,,
000000000010000227,false,ERSA,CONV-COMP,,EA,,
000000000030000042,false,ERSA,ELEC-MOTR,,EA,,
000000000080000056,false,HIBE,INST-XMTR,ELL446457,EA,,
000000000090000013,false,HIBE,INST-XMTR,,EA,01,
000000000080000057,false,ERSA,MECH-PUMP,ELL858680,EA,,
000000000010000228,false,ERSA,MECH-GBOX,ELL343259,EA,,
000000000080000058,false,ERSA,MECH-PUMP,,EA,,
000000000010000229,false,HIBE,MILL-LINR,ELL852562,EA,,
000000000030000043,false,ERSA,MECH-SEAL,,EA,,
000000000030000044,false,ERSA,MECH-BRG,ELL814993,EA,,
000000000010000230,false,ERSA,MECH-PUMP,,EA,,
000000000030000045,false,ERSA,HYDR-ASSY,ELL741449,EA,,
000000000010000231,false,HIBE,MECH-PUMP,,EA,,
000000000010000232,false,ERSA,CONV-COMP,,EA,,
000000000010000233,false,HIBE,HYDR-ASSY,ELL785967,EA,,
000000000010000234,false,ERSA,INST-XMTR,ELL565921,EA,,
000000000010000235,false,ERSA,INST-XMTR,,EA,,
000000000030000046,false,HIBE,HYDR-ASSY,,EA,,
000000000010000236,false,ERSA,MECH-PUMP,,EA,,
000000000030000047,false,ERSA,MECH-GBOX,ELL927820,EA,,
000000000010000237,false,ERSA,MECH-GBOX,,EA,,
000000000010000238,false,ERSA,HYDR-ASSY,,EA,,
000000000030000048,false,HIBE,MILL-LINR,,EA,,
000000000010000239,false,ERSA,ELEC-CTRL,,EA,,
000000000010000240,false,ERSA,INST-XMTR,ELL266102,EA,,
000000000010000241,false,ERSA,MECH-GBOX,,EA,,
000000000010000242,false,ERSA,MECH-GBOX,,EA,,
000000000030000049,false,ERSA,MECH-PUMP,,EA,,
000000000010000243,false,HIBE,MECH-BRG,,EA,,
000000000090000014,false,ERSA,MECH-PUMP,ELL211464,EA,01,
000000000010000244,false,ERSA,HYDR-ASSY,,EA,,
000000000010000245,false,HIBE,MILL-LINR,ELL274587,EA,,
000000000010000246,false,ERSA,MECH-GBOX,,EA,,
000000000010000247,false,ERSA,ELEC-CTRL,ELL267216,EA,,
000000000010000248,false,HIBE,ELEC-CTRL,,EA,,
000000000080000059,false,ERSA,HYDR-ASSY,,EA,,
000000000030000050,false,ERSA,MECH-SEAL,ELL801172,EA,,
000000000010000249,false,ERSA,MECH-BRG,,EA,,
000000000080000060,false,ERSA,ELEC-CTRL,,EA,,
000000000080000061,false,ERSA,HYDR-ASSY,,EA,,
000000000080000062,false,HIBE,MECH-SEAL,,EA,,Z00R
000000000010000250,false,HIBE,CONV-COMP,,EA,,
000000000080000063,false,ERSA,MECH-BRG,,EA,,
000000000010000251,false,HIBE,MECH-SEAL,,EA,,
000000000010000252,false,ERSA,MECH-SEAL,,EA,,
000000000010000253,false,ERSA,ELEC-MOTR,,EA,,
000000000030000051,false,HIBE,MILL-LINR,ELL947932,EA,,
000000000010000254,false,ERSA,MILL-LINR,,EA,,
000000000010000255,false,ERSA,ELEC-CTRL,,EA,,
000000000010000256,false,HIBE,INST-XMTR,,EA,,
000000000090000015,false,HIBE,ELEC-MOTR,ELL885242,EA,01,
000000000030000052,false,ERSA,INST-XMTR,ELL677219,EA,,
000000000010000257,false,ERSA,ELEC-CTRL,,EA,,
000000000010000258,false,ERSA,ELEC-MOTR,ELL598469,EA,,
000000000010000259,false,HIBE,MILL-LINR,,EA,,
000000000080000064,false,ERSA,MECH-SEAL,,EA,,
000000000010000260,false,ERSA,HYDR-ASSY,ELL736756,EA,,
000000000080000065,false,ERSA,MILL-LINR,,EA,,Z00R
000000000010000261,false,ERSA,HYDR-ASSY,,EA,,
000000000010000262,false,ERSA,ELEC-MOTR,,EA,,
000000000010000263,false,ERSA,MILL-LINR,ELL918926,EA,,
000000000010000264,false,ERSA,MILL-LINR,ELL111908,EA,,
000000000010000265,false,ERSA,MILL-LINR,,EA,,
000000000010000266,false,HIBE,CONV-COMP,,EA,,
000000000030000053,false,ERSA,MECH-GBOX,,EA,,
000000000080000066,false,ERSA,MECH-GBOX,,EA,,
000000000030000054,false,ERSA,MECH-PUMP,,EA,,
000000000030000055,false,HIBE,CONV-COMP,,EA,,
000000000010000267,false,ERSA,ELEC-MOTR,,EA,,
000000000030000056,false,HIBE,MECH-SEAL,,EA,,
000000000010000268,false,ERSA,MECH-BRG,,EA,,
000000000010000269,false,ERSA,MECH-GBOX,ELL911028,EA,,
000000000080000067,false,ERSA,HYDR-ASSY,,EA,,
000000000080000068,false,ERSA,MECH-SEAL,,EA,,
000000000010000270,false,ERSA,ELEC-CTRL,ELL649217,EA,,
000000000010000271,false,ERSA,ELEC-CTRL,,EA,,
000000000010000272,false,ERSA,MECH-GBOX,,EA,,
000000000010000273,false,ERSA,MILL-LINR,,EA,,
000000000030000057,false,ERSA,MILL-LINR,,EA,,
000000000030000058,false,ERSA,HYDR-ASSY,,EA,,
000000000010000274,false,ERSA,MECH-SEAL,,EA,,
000000000080000069,false,ERSA,MECH-SEAL,ELL224174,EA,,
000000000080000070,false,ERSA,MECH-PUMP,,EA,,
000000000010000275,false,HIBE,ELEC-MOTR,ELL502968,EA,,
000000000030000059,false,HIBE,ELEC-MOTR,,EA,,
000000000030000060,false,ERSA,HYDR-ASSY,,EA,,
000000000010000276,false,ERSA,MECH-GBOX,,EA,,
000000000010000277,false,ERSA,INST-XMTR,,EA,,
000000000010000278,false,ERSA,INST-XMTR,ELL205936,EA,,
000000000010000279,false,ERSA,CONV-COMP,,EA,,
000000000010000280,false,ERSA,ELEC-CTRL,ELL584342,EA,,
000000000010000281,false,ERSA,MECH-PUMP,,EA,,
000000000010000282,false,ERSA,HYDR-ASSY,,EA,,
000000000030000061,false,ERSA,MECH-BRG,,EA,,
000000000010000283,false,ERSA,ELEC-MOTR,,EA,,
000000000010000284,false,ERSA,MECH-BRG,,EA,,
000000000010000285,false,ERSA,CONV-COMP,,EA,,
000000000080000071,false,HIBE,ELEC-MOTR,,EA,,0001
000000000010000286,false,ERSA,MECH-GBOX,,EA,,
000000000010000287,false,ERSA,MECH-SEAL,,EA,,
000000000010000288,false,ERSA,MILL-LINR,,EA,,
000000000010000289,false,ERSA,MILL-LINR,ELL974735,EA,,
000000000010000290,false,ERSA,INST-XMTR,,EA,,
000000000010000291,false,ERSA,HYDR-ASSY,ELL893705,EA,,
000000000010000292,false,ERSA,MILL-LINR,ELL259616,EA,,
000000000010000293,false,ERSA,MILL-LINR,,EA,,
000000000010000294,false,ERSA,HYDR-ASSY,ELL485465,EA,,
000000000080000072,false,HIBE,MECH-PUMP,,EA,,
000000000010000295,false,ERSA,MECH-SEAL,,EA,,
000000000010000296,false,ERSA,MECH-BRG,,EA,,
000000000010000297,false,HIBE,CONV-COMP,ELL585060,EA,,
000000000010000298,false,ERSA,ELEC-CTRL,,EA,,
000000000010000299,false,ERSA,ELEC-CTRL,ELL927004,EA,,
000000000080000073,false,ERSA,CONV-COMP,,EA,,
000000000010000300,false,ERSA,HYDR-ASSY,ELL964152,EA,,
000000000010000301,false,ERSA,MECH-PUMP,,EA,,
000000000010000302,false,ERSA,HYDR-ASSY,,EA,,
000000000010000303,false,HIBE,MECH-GBOX,,EA,,
000000000010000304,false,HIBE,MILL-LINR,ELL677028,EA,,
