Objectclas,Objectid,Changenr,Tabname,Tabkey,Fname,Chngind,Value_new,Value_old
MATERIAL,000000000010000183,0001000055,MARC,0000000000100001832000,MINBE,U,11.300,7.109
MATERIAL,000000000010000183,0001000055,MARC,0000000000100001832000,MABST,U,15.400,13.471
MATERIAL,000000000010000192,0001000056,MARC,0000000000100001924000,MINBE,U,8.800,4.685
MATERIAL,000000000010000192,0001000056,MARC,0000000000100001924000,MABST,U,12.400,21.362
MATERIAL,000000000010000197,0001000057,MARC,0000000000100001971000,MINBE,U,14.800,15.742
MATERIAL,000000000010000197,0001000057,MARC,0000000000100001971000,MABST,U,18.100,20.266
MATERIAL,000000000010000199,0001000058,MARC,0000000000100001993000,MINBE,U,8.500,6.198
MATERIAL,000000000010000199,0001000058,MARC,0000000000100001993000,MABST,U,14.200,18.038
MATERIAL,000000000030000034,0001000059,MARC,0000000000300000341000,MINBE,U,3.400,0.000
MATERIAL,000000000030000034,0001000059,MARC,0000000000300000341000,MABST,U,5.200,0.000
MATERIAL,000000000010000204,0001000060,MARC,0000000000100002043000,MINBE,U,0.700,0.952
MATERIAL,000000000010000204,0001000060,MARC,0000000000100002043000,MABST,U,1.300,1.815
MATERIAL,000000000010000207,0001000061,MARC,0000000000100002073000,MINBE,U,3.200,3.855
MATERIAL,000000000010000207,0001000061,MARC,0000000000100002073000,MABST,U,6.000,4.703
MATERIAL,000000000030000038,0001000062,MARC,0000000000300000384000,MINBE,U,12.700,0.000
MATERIAL,000000000030000038,0001000062,MARC,0000000000300000384000,MABST,U,17.300,0.000
MATERIAL,000000000010000213,0001000063,MARC,0000000000100002134000,MINBE,U,1.800,2.405
MATERIAL,000000000010000213,0001000063,MARC,0000000000100002134000,MABST,U,2.300,2.405
MATERIAL,000000000080000051,0001000064,MARC,0000000000800000514000,MINBE,U,4.500,6.724
MATERIAL,000000000080000051,0001000064,MARC,0000000000800000514000,MABST,U,7.000,8.947
MATERIAL,000000000010000219,0001000065,MARC,0000000000100002192000,MINBE,U,4.500,2.317
MATERIAL,000000000010000219,0001000065,MARC,0000000000100002192000,MABST,U,6.200,5.298
MATERIAL,000000000080000053,0001000066,MARC,0000000000800000531000,MINBE,U,3.200,4.958
MATERIAL,000000000080000053,0001000066,MARC,0000000000800000531000,MABST,U,5.300,4.958
MATERIAL,000000000080000054,0001000067,MARC,0000000000800000544000,MINBE,U,2.800,1.118
MATERIAL,000000000080000054,0001000067,MARC,0000000000800000544000,MABST,U,6.700,7.310
MATERIAL,000000000010000220,0001000068,MARC,0000000000100002201000,MINBE,U,4.100,2.433
MATERIAL,000000000010000220,0001000068,MARC,0000000000100002201000,MABST,U,7.300,12.838
MATERIAL,000000000010000224,0001000069,MARC,0000000000100002244000,MINBE,U,3.000,4.809
MATERIAL,000000000010000224,0001000069,MARC,0000000000100002244000,MABST,U,4.800,7.396
MATERIAL,000000000010000228,0001000070,MARC,0000000000100002284000,MINBE,U,23.000,18.898
MATERIAL,000000000010000228,0001000070,MARC,0000000000100002284000,MABST,U,92.500,150.311
MATERIAL,000000000010000230,0001000071,MARC,0000000000100002301000,MINBE,U,10.700,13.304
MATERIAL,000000000010000230,0001000071,MARC,0000000000100002301000,MABST,U,13.700,20.625
MATERIAL,000000000010000233,0001000072,MARC,0000000000100002332000,MINBE,U,8.500,5.383
MATERIAL,000000000010000233,0001000072,MARC,0000000000100002332000,MABST,U,11.800,19.340
MATERIAL,000000000030000046,0001000073,MARC,0000000000300000463000,MINBE,U,3.900,0.000
MATERIAL,000000000030000046,0001000073,MARC,0000000000300000463000,MABST,U,6.000,0.000
MATERIAL,000000000030000047,0001000074,MARC,0000000000300000471000,MINBE,U,4.200,0.000
MATERIAL,000000000030000047,0001000074,MARC,0000000000300000471000,MABST,U,7.800,0.000
MATERIAL,000000000010000240,0001000075,MARC,0000000000100002404000,MINBE,U,19.800,15.233
MATERIAL,000000000010000240,0001000075,MARC,0000000000100002404000,MABST,U,27.200,26.788
MATERIAL,000000000010000244,0001000076,MARC,0000000000100002444000,MINBE,U,5.000,5.622
MATERIAL,000000000010000244,0001000076,MARC,0000000000100002444000,MABST,U,6.900,6.905
MATERIAL,000000000010000246,0001000077,MARC,0000000000100002463000,MINBE,U,25.800,22.853
MATERIAL,000000000010000246,0001000077,MARC,0000000000100002463000,MABST,U,80.300,134.602
MATERIAL,000000000080000060,0001000078,MARC,0000000000800000603000,MINBE,U,10.000,16.272
MATERIAL,000000000080000060,0001000078,MARC,0000000000800000603000,MABST,U,15.900,16.272
MATERIAL,000000000010000259,0001000079,MARC,0000000000100002594000,MINBE,U,8.800,14.224
MATERIAL,000000000010000259,0001000079,MARC,0000000000100002594000,MABST,U,11.100,16.085
MATERIAL,000000000080000065,0001000080,MARC,0000000000800000651000,MINBE,U,2.100,2.879
MATERIAL,000000000080000065,0001000080,MARC,0000000000800000651000,MABST,U,3.600,5.933
MATERIAL,000000000010000263,0001000081,MARC,0000000000100002633000,MINBE,U,4.300,5.268
MATERIAL,000000000010000263,0001000081,MARC,0000000000100002633000,MABST,U,6.500,6.977
MATERIAL,000000000010000264,0001000082,MARC,0000000000100002642000,MINBE,U,3.700,4.806
MATERIAL,000000000010000264,0001000082,MARC,0000000000100002642000,MABST,U,5.000,4.806
MATERIAL,000000000030000053,0001000083,MARC,0000000000300000531000,MINBE,U,16.300,0.000
MATERIAL,000000000030000053,0001000083,MARC,0000000000300000531000,MABST,U,20.800,0.000
MATERIAL,000000000080000066,0001000084,MARC,0000000000800000661000,MINBE,U,1.800,1.346
MATERIAL,000000000080000066,0001000084,MARC,0000000000800000661000,MABST,U,4.000,5.803
MATERIAL,000000000010000274,0001000085,MARC,0000000000100002743000,MINBE,U,4.700,7.609
MATERIAL,000000000010000274,0001000085,MARC,0000000000100002743000,MABST,U,5.800,7.609
MATERIAL,000000000010000277,0001000086,MARC,0000000000100002773000,MINBE,U,10.900,13.369
MATERIAL,000000000010000277,0001000086,MARC,0000000000100002773000,MABST,U,15.500,14.050
MATERIAL,000000000010000285,0001000087,MARC,0000000000100002853000,MINBE,U,3.900,6.609
MATERIAL,000000000010000285,0001000087,MARC,0000000000100002853000,MABST,U,7.700,6.609
MATERIAL,000000000080000071,0001000088,MARC,0000000000800000711000,MINBE,U,5.800,6.776
MATERIAL,000000000080000071,0001000088,MARC,0000000000800000711000,MABST,U,10.100,8.961
MATERIAL,000000000010000295,0001000089,MARC,0000000000100002953000,MINBE,U,2.900,2.203
MATERIAL,000000000010000295,0001000089,MARC,0000000000100002953000,MABST,U,5.000,5.533
MATERIAL,000000000080000073,0001000090,MARC,0000000000800000734000,MINBE,U,4.700,4.708
MATERIAL,000000000080000073,0001000090,MARC,0000000000800000734000,MABST,U,5.700,8.782
MATERIAL,000000000010000301,0001000091,MARC,0000000000100003012000,MINBE,U,8.000,10.672
MATERIAL,000000000010000301,0001000091,MARC,0000000000100003012000,MABST,U,11.000,11.188
MATERIAL,000000000010000305,0001000092,MARC,0000000000100003052000,MINBE,U,10.700,15.304
MATERIAL,000000000010000305,0001000092,MARC,0000000000100003052000,MABST,U,14.400,15.304
MATERIAL,000000000010000308,0001000093,MARC,0000000000100003083000,MINBE,U,4.400,2.718
MATERIAL,000000000010000308,0001000093,MARC,0000000000100003083000,MABST,U,8.200,10.931
MATERIAL,000000000010000309,0001000094,MARC,0000000000100003093000,MINBE,U,5.300,5.158
MATERIAL,000000000010000309,0001000094,MARC,0000000000100003093000,MABST,U,7.300,8.125
MATERIAL,000000000010000317,0001000095,MARC,0000000000100003174000,MINBE,U,7.500,13.095
MATERIAL,000000000010000317,0001000095,MARC,0000000000100003174000,MABST,U,13.000,15.816
MATERIAL,000000000010000317,0001000096,MARC,0000000000100003171000,MINBE,U,2.800,2.042
MATERIAL,000000000010000317,0001000096,MARC,0000000000100003171000,MABST,U,4.900,7.900
MATERIAL,000000000010000319,0001000097,MARC,0000000000100003191000,MINBE,U,5.400,7.181
MATERIAL,000000000010000319,0001000097,MARC,0000000000100003191000,MABST,U,10.300,12.919
MATERIAL,000000000010000323,0001000098,MARC,0000000000100003231000,MINBE,U,3.900,2.012
MATERIAL,000000000010000323,0001000098,MARC,0000000000100003231000,MABST,U,7.400,12.648
MATERIAL,000000000010000327,0001000099,MARC,0000000000100003274000,MINBE,U,5.800,9.765
MATERIAL,000000000010000327,0001000099,MARC,0000000000100003274000,MABST,U,7.300,9.765
MATERIAL,000000000010000329,0001000100,MARC,0000000000100003291000,MINBE,U,59.000,40.930
MATERIAL,000000000010000329,0001000100,MARC,0000000000100003291000,MABST,U,152.100,179.599
MATERIAL,000000000010000331,0001000101,MARC,0000000000100003314000,MINBE,U,5.000,8.513
MATERIAL,000000000010000331,0001000101,MARC,0000000000100003314000,MABST,U,6.800,8.513
MATERIAL,000000000010000338,0001000102,MARC,0000000000100003384000,MINBE,U,63.300,58.791
MATERIAL,000000000010000338,0001000102,MARC,0000000000100003384000,MABST,U,187.800,334.897
MATERIAL,000000000080000078,0001000103,MARC,0000000000800000784000,MINBE,U,3.200,4.949
MATERIAL,000000000080000078,0001000103,MARC,0000000000800000784000,MABST,U,6.600,8.758
MATERIAL,000000000010000340,0001000104,MARC,0000000000100003403000,MINBE,U,3.100,3.338
MATERIAL,000000000010000340,0001000104,MARC,0000000000100003403000,MABST,U,5.200,4.417
MATERIAL,000000000010000351,0001000105,MARC,0000000000100003513000,MINBE,U,72.500,46.016
MATERIAL,000000000010000351,0001000105,MARC,0000000000100003513000,MABST,U,180.900,277.596
MATERIAL,000000000030000073,0001000106,MARC,0000000000300000733000,MINBE,U,4.100,0.000
MATERIAL,000000000030000073,0001000106,MARC,0000000000300000733000,MABST,U,7.500,0.000
MATERIAL,000000000010000356,0001000107,MARC,0000000000100003562000,MINBE,U,53.300,66.468
MATERIAL,000000000010000356,0001000107,MARC,0000000000100003562000,MABST,U,109.000,151.263
MATERIAL,000000000010000357,0001000108,MARC,0000000000100003574000,MINBE,U,5.500,5.736
MATERIAL,000000000010000357,0001000108,MARC,0000000000100003574000,MABST,U,11.400,9.364
MATERIAL,000000000010000364,0001000109,MARC,0000000000100003641000,MINBE,U,0.900,0.576
MATERIAL,000000000010000364,0001000109,MARC,0000000000100003641000,MABST,U,1.400,2.027
MATERIAL,000000000080000082,0001000110,MARC,0000000000800000824000,MINBE,U,1.800,3.046
MATERIAL,000000000080000082,0001000110,MARC,0000000000800000824000,MABST,U,3.400,3.703
MATERIAL,000000000080000084,0001000111,MARC,0000000000800000844000,MINBE,U,9.300,13.798
MATERIAL,000000000080000084,0001000111,MARC,0000000000800000844000,MABST,U,15.300,15.606
MATERIAL,000000000010000378,0001000112,MARC,0000000000100003782000,MINBE,U,1.300,0.940
MATERIAL,000000000010000378,0001000112,MARC,0000000000100003782000,MABST,U,1.900,2.370
MATERIAL,000000000080000087,0001000113,MARC,0000000000800000873000,MINBE,U,10.600,11.404
MATERIAL,000000000080000087,0001000113,MARC,0000000000800000873000,MABST,U,13.800,24.490
MATERIAL,000000000010000383,0001000114,MARC,0000000000100003833000,MINBE,U,33.100,47.326
MATERIAL,000000000010000383,0001000114,MARC,0000000000100003833000,MABST,U,145.300,206.747
MATERIAL,000000000010000384,0001000115,MARC,0000000000100003841000,MINBE,U,4.400,5.875
MATERIAL,000000000010000384,0001000115,MARC,0000000000100003841000,MABST,U,8.200,11.469
MATERIAL,000000000080000088,0001000116,MARC,0000000000800000881000,MINBE,U,1.800,2.227
MATERIAL,000000000080000088,0001000116,MARC,0000000000800000881000,MABST,U,3.300,2.421
MATERIAL,000000000010000386,0001000117,MARC,0000000000100003864000,MINBE,U,16.500,29.631
MATERIAL,000000000010000386,0001000117,MARC,0000000000100003864000,MABST,U,21.400,30.819
MATERIAL,000000000010000388,0001000118,MARC,0000000000100003884000,MINBE,U,0.800,1.327
MATERIAL,000000000010000388,0001000118,MARC,0000000000100003884000,MABST,U,1.600,1.327
MATERIAL,000000000010000398,0001000119,MARC,0000000000100003984000,MINBE,U,18.000,29.758
MATERIAL,000000000010000398,0001000119,MARC,0000000000100003984000,MABST,U,23.600,40.466
MATERIAL,000000000010000399,0001000120,MARC,0000000000100003992000,MINBE,U,5.300,9.307
MATERIAL,000000000010000399,0001000120,MARC,0000000000100003992000,MABST,U,8.700,9.307
MATERIAL,000000000030000086,0001000121,MARC,0000000000300000862000,MINBE,U,2.400,0.000
MATERIAL,000000000030000086,0001000121,MARC,0000000000300000862000,MABST,U,4.500,0.000
MATERIAL,000000000010000408,0001000122,MARC,0000000000100004082000,MINBE,U,6.600,7.106
MATERIAL,000000000010000408,0001000122,MARC,0000000000100004082000,MABST,U,8.800,12.365
MATERIAL,000000000010000409,0001000123,MARC,0000000000100004094000,MINBE,U,7.900,13.165
MATERIAL,000000000010000409,0001000123,MARC,0000000000100004094000,MABST,U,13.700,19.287
MATERIAL,000000000010000412,0001000124,MARC,0000000000100004121000,MINBE,U,19.300,27.110
MATERIAL,000000000010000412,0001000124,MARC,0000000000100004121000,MABST,U,74.200,125.938
MATERIAL,000000000010000415,0001000125,MARC,0000000000100004152000,MINBE,U,10.500,13.993
MATERIAL,000000000010000415,0001000125,MARC,0000000000100004152000,MABST,U,14.800,13.993
MATERIAL,000000000010000418,0001000126,MARC,0000000000100004181000,MINBE,U,0.800,1.079
MATERIAL,000000000010000418,0001000126,MARC,0000000000100004181000,MABST,U,1.600,2.153
MATERIAL,000000000010000419,0001000127,MARC,0000000000100004192000,MINBE,U,8.100,4.591
MATERIAL,000000000010000419,0001000127,MARC,0000000000100004192000,MABST,U,14.200,13.367
MATERIAL,000000000010000423,0001000128,MARC,0000000000100004233000,MINBE,U,2.600,2.752
MATERIAL,000000000010000423,0001000128,MARC,0000000000100004233000,MABST,U,3.700,5.406
MATERIAL,000000000010000425,0001000129,MARC,0000000000100004254000,MINBE,U,8.500,8.526
MATERIAL,000000000010000425,0001000129,MARC,0000000000100004254000,MABST,U,10.500,17.267
MATERIAL,000000000010000431,0001000130,MARC,0000000000100004311000,MINBE,U,6.600,8.088
MATERIAL,000000000010000431,0001000130,MARC,0000000000100004311000,MABST,U,33.500,28.684
MATERIAL,000000000010000435,0001000131,MARC,0000000000100004351000,MINBE,U,3.500,4.629
MATERIAL,000000000010000435,0001000131,MARC,0000000000100004351000,MABST,U,8.400,6.267
MATERIAL,000000000010000435,0001000132,MARC,0000000000100004353000,MINBE,U,2.600,1.814
MATERIAL,000000000010000435,0001000132,MARC,0000000000100004353000,MABST,U,6.200,10.261
MATERIAL,000000000010000437,0001000133,MARC,0000000000100004374000,MINBE,U,17.600,9.233
MATERIAL,000000000010000437,0001000133,MARC,0000000000100004374000,MABST,U,94.200,158.598
MATERIAL,000000000010000438,0001000134,MARC,0000000000100004384000,MINBE,U,0.200,0.136
MATERIAL,000000000010000438,0001000134,MARC,0000000000100004384000,MABST,U,0.600,0.901
MATERIAL,000000000010000441,0001000135,MARC,0000000000100004412000,MINBE,U,11.600,18.736
MATERIAL,000000000010000441,0001000135,MARC,0000000000100004412000,MABST,U,15.000,18.736
MATERIAL,000000000010000446,0001000136,MARC,0000000000100004463000,MINBE,U,47.400,82.064
MATERIAL,000000000010000446,0001000136,MARC,0000000000100004463000,MABST,U,109.800,123.190
MATERIAL,000000000010000446,0001000137,MARC,0000000000100004461000,MINBE,U,39.200,53.319
MATERIAL,000000000010000446,0001000137,MARC,0000000000100004461000,MABST,U,96.000,147.752
MATERIAL,000000000010000451,0001000138,MARC,0000000000100004512000,MINBE,U,43.400,55.727
MATERIAL,000000000010000451,0001000138,MARC,0000000000100004512000,MABST,U,126.500,103.028
MATERIAL,000000000010000452,0001000139,MARC,0000000000100004524000,MINBE,U,63.900,74.962
MATERIAL,000000000010000452,0001000139,MARC,0000000000100004524000,MABST,U,163.900,138.999
MATERIAL,000000000010000457,0001000140,MARC,0000000000100004573000,MINBE,U,8.500,11.660
MATERIAL,000000000010000457,0001000140,MARC,0000000000100004573000,MABST,U,11.100,11.660
MATERIAL,000000000010000458,0001000141,MARC,0000000000100004584000,MINBE,U,5.100,5.475
MATERIAL,000000000010000458,0001000141,MARC,0000000000100004584000,MABST,U,8.700,9.874
MATERIAL,000000000010000458,0001000142,MARC,0000000000100004582000,MINBE,U,2.900,1.446
MATERIAL,000000000010000458,0001000142,MARC,0000000000100004582000,MABST,U,5.200,4.304
MATERIAL,000000000010000463,0001000143,MARC,0000000000100004633000,MINBE,U,14.000,20.155
MATERIAL,000000000010000463,0001000143,MARC,0000000000100004633000,MABST,U,18.000,20.155
MATERIAL,000000000010000466,0001000144,MARC,0000000000100004661000,MINBE,U,9.700,15.587
MATERIAL,000000000010000466,0001000144,MARC,0000000000100004661000,MABST,U,13.300,19.958
MATERIAL,000000000010000473,0001000145,MARC,0000000000100004734000,MINBE,U,3.200,2.249
MATERIAL,000000000010000473,0001000145,MARC,0000000000100004734000,MABST,U,4.500,4.808
MATERIAL,000000000080000102,0001000146,MARC,0000000000800001021000,MINBE,U,5.000,3.336
MATERIAL,000000000080000102,0001000146,MARC,0000000000800001021000,MABST,U,9.000,10.067
MATERIAL,000000000010000481,0001000147,MARC,0000000000100004811000,MINBE,U,2.300,1.057
MATERIAL,000000000010000481,0001000147,MARC,0000000000100004811000,MABST,U,4.500,5.793
MATERIAL,000000000010000490,0001000148,MARC,0000000000100004902000,MINBE,U,7.500,9.317
MATERIAL,000000000010000490,0001000148,MARC,0000000000100004902000,MABST,U,10.200,12.264
MATERIAL,000000000010000491,0001000149,MARC,0000000000100004913000,MINBE,U,7.200,9.546
