Banfn,Bnfpo,Bsart,Loekz,Statu,Frgkz,Frgzu,Ekgrp,Ernam,Afnam,Txz01,Matnr,Werks,Lgort,Bednr,Matkl,Reswk,Menge,Meins,Badat,Lfdat,Preis,Peinh,Flief,Ebeln,Ebelp,Bsmng,Ebakz,Rsnum
2000000012,00010,NB,,B,2,X,Z03,VZIREQ05,VZIREQ05,SPARE FOR ML-201,000000000010000001,2000,SP02,,MILL-LINR,,93.000,EA,2025-11-10T00:00:00,2025-12-13T00:00:00,12295.34,1.000,,4500000012,00010,93.000,true,
2000000013,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ05,SPARE FOR CR-102,000000000010000001,2000,SP02,,MILL-LINR,,101.000,EA,2026-03-28T00:00:00,2026-04-30T00:00:00,12295.34,1.000,,4500000013,00010,101.000,true,
2000000014,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ02,SPARE FOR SC-701,000000000010000001,2000,SP02,,MILL-LINR,,103.000,EA,2026-08-29T00:00:00,2026-10-01T00:00:00,12295.34,1.000,,4500000014,00010,103.000,true,
2000000015,00010,NB,,B,2,X,Z02,VZIREQ04,VZIREQ04,SPARE FOR ML-201,000000000080000000,3000,SP03,,MECH-SEAL,,11.000,EA,2024-09-06T00:00:00,2025-01-09T00:00:00,257886.17,1.000,,4500000015,00010,11.000,true,
2000000016,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ03,SPARE FOR CV-502,000000000080000000,3000,SP03,,MECH-SEAL,,15.000,EA,2024-10-22T00:00:00,2025-02-24T00:00:00,257886.17,1.000,,4500000016,00010,15.000,true,
2000000017,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ05,SPARE FOR CR-101,000000000080000000,3000,SP03,,MECH-SEAL,,15.000,EA,2024-11-09T00:00:00,2025-03-14T00:00:00,257886.17,1.000,,4500000017,00010,15.000,true,
2000000018,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ04,SPARE FOR PU-611,000000000080000000,3000,SP03,,MECH-SEAL,,7.000,EA,2025-05-15T00:00:00,2025-09-17T00:00:00,257886.17,1.000,,4500000018,00010,7.000,true,
2000000019,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ01,SPARE FOR TH-401,000000000080000000,3000,SP03,,MECH-SEAL,,11.000,EA,2025-08-05T00:00:00,2025-12-08T00:00:00,257886.17,1.000,,4500000019,00010,11.000,true,
2000000020,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ03,SPARE FOR ML-201,000000000080000000,3000,SP03,,MECH-SEAL,,11.000,EA,2025-09-08T00:00:00,2026-01-11T00:00:00,257886.17,1.000,,4500000020,00010,11.000,true,
2000000021,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ05,SPARE FOR ML-201,000000000010000002,4000,SP04,,ELEC-CTRL,,4.000,EA,2024-10-14T00:00:00,2024-10-31T00:00:00,142046.35,1.000,,4500000021,00010,4.000,true,
2000000022,00010,NB,,B,2,X,Z03,VZIREQ02,VZIREQ03,SPARE FOR SC-701,000000000010000002,4000,SP04,,ELEC-CTRL,,5.000,EA,2025-02-07T00:00:00,2025-02-24T00:00:00,142046.35,1.000,,4500000022,00010,5.000,true,
2000000023,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ03,SPARE FOR CV-502,000000000010000002,4000,SP04,,ELEC-CTRL,,4.000,EA,2025-03-30T00:00:00,2025-04-16T00:00:00,142046.35,1.000,,4500000023,00010,4.000,true,
2000000024,00010,NB,,B,2,X,Z02,VZIREQ05,VZIREQ02,SPARE FOR SC-701,000000000010000002,4000,SP04,,ELEC-CTRL,,4.000,EA,2025-06-06T00:00:00,2025-06-23T00:00:00,142046.35,1.000,,4500000024,00010,4.000,true,
2000000025,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ02,SPARE FOR CR-102,000000000010000002,4000,SP04,,ELEC-CTRL,,7.000,EA,2025-07-22T00:00:00,2025-08-08T00:00:00,142046.35,1.000,,4500000025,00010,7.000,true,
2000000026,00010,NB,,B,2,X,Z01,VZIREQ03,VZIREQ03,SPARE FOR PU-611,000000000010000002,4000,SP04,,ELEC-CTRL,,6.000,EA,2026-01-24T00:00:00,2026-02-10T00:00:00,142046.35,1.000,,4500000026,00010,6.000,true,
2000000027,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ02,SPARE FOR CR-102,000000000010000002,4000,SP04,,ELEC-CTRL,,5.000,EA,2026-03-21T00:00:00,2026-04-07T00:00:00,142046.35,1.000,,4500000027,00010,5.000,true,
2000000028,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ02,SPARE FOR CV-502,000000000010000002,2000,SP02,,ELEC-CTRL,,5.000,EA,2024-09-18T00:00:00,2024-10-05T00:00:00,142046.35,1.000,,4500000028,00010,5.000,true,
2000000029,00010,NB,,B,2,X,Z02,VZIREQ04,VZIREQ05,SPARE FOR ML-202,000000000010000002,2000,SP02,,ELEC-CTRL,,9.000,EA,2024-10-26T00:00:00,2024-11-12T00:00:00,142046.35,1.000,,4500000029,00010,9.000,true,
2000000030,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ03,SPARE FOR ML-201,000000000010000002,2000,SP02,,ELEC-CTRL,,8.000,EA,2025-01-03T00:00:00,2025-01-20T00:00:00,142046.35,1.000,,4500000030,00010,8.000,true,
2000000031,00010,NB,,B,2,X,Z03,VZIREQ03,VZIREQ02,SPARE FOR PU-611,000000000010000002,2000,SP02,,ELEC-CTRL,,5.000,EA,2025-05-15T00:00:00,2025-06-01T00:00:00,142046.35,1.000,,4500000031,00010,5.000,true,
2000000032,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ02,SPARE FOR SC-701,000000000010000002,2000,SP02,,ELEC-CTRL,,5.000,EA,2025-08-24T00:00:00,2025-09-10T00:00:00,142046.35,1.000,,4500000032,00010,5.000,true,
2000000033,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ02,SPARE FOR CV-501,000000000010000002,2000,SP02,,ELEC-CTRL,,9.000,EA,2026-05-02T00:00:00,2026-05-19T00:00:00,142046.35,1.000,,4500000033,00010,9.000,true,
2000000034,00010,NB,,B,2,X,Z03,VZIREQ01,VZIREQ02,SPARE FOR CR-102,000000000080000001,1000,SP01,,INST-XMTR,,13.000,EA,2024-09-09T00:00:00,2024-10-28T00:00:00,69187.46,1.000,,4500000034,00010,13.000,true,
2000000035,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ02,SPARE FOR CV-501,000000000080000001,1000,SP01,,INST-XMTR,,19.000,EA,2024-10-29T00:00:00,2024-12-17T00:00:00,69187.46,1.000,,4500000035,00010,19.000,true,
2000000036,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ02,SPARE FOR PU-610,000000000080000001,1000,SP01,,INST-XMTR,,13.000,EA,2025-03-20T00:00:00,2025-05-08T00:00:00,69187.46,1.000,,4500000036,00010,13.000,true,
2000000037,00010,NB,,B,2,X,Z01,VZIREQ03,VZIREQ02,SPARE FOR ML-201,000000000080000001,1000,SP01,,INST-XMTR,,14.000,EA,2025-06-26T00:00:00,2025-08-14T00:00:00,69187.46,1.000,,4500000037,00010,14.000,true,
2000000038,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ03,SPARE FOR CR-102,000000000080000001,1000,SP01,,INST-XMTR,,16.000,EA,2025-10-30T00:00:00,2025-12-18T00:00:00,69187.46,1.000,,4500000038,00010,16.000,true,
2000000039,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ04,SPARE FOR SC-701,000000000080000001,1000,SP01,,INST-XMTR,,15.000,EA,2026-07-20T00:00:00,2026-09-07T00:00:00,69187.46,1.000,,4500000039,00010,15.000,true,
2000000040,00010,NB,,B,2,X,Z02,VZIREQ01,VZIREQ05,SPARE FOR CR-102,000000000080000001,4000,SP04,,INST-XMTR,,10.000,EA,2024-09-06T00:00:00,2024-10-25T00:00:00,69187.46,1.000,,4500000040,00010,10.000,true,
2000000041,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ02,SPARE FOR CV-502,000000000080000001,4000,SP04,,INST-XMTR,,7.000,EA,2025-02-15T00:00:00,2025-04-05T00:00:00,69187.46,1.000,,4500000041,00010,7.000,true,
2000000042,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ04,SPARE FOR PU-611,000000000080000001,4000,SP04,,INST-XMTR,,6.000,EA,2025-04-27T00:00:00,2025-06-15T00:00:00,69187.46,1.000,,4500000042,00010,6.000,true,
2000000043,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ03,SPARE FOR FA-810,000000000080000001,4000,SP04,,INST-XMTR,,8.000,EA,2025-08-25T00:00:00,2025-10-13T00:00:00,69187.46,1.000,,4500000043,00010,8.000,true,
2000000044,00010,NB,,B,2,X,Z02,VZIREQ04,VZIREQ05,SPARE FOR FA-810,000000000080000001,4000,SP04,,INST-XMTR,,8.000,EA,2026-05-05T00:00:00,2026-06-23T00:00:00,69187.46,1.000,,4500000044,00010,8.000,true,
2000000045,00010,NB,,B,2,X,Z03,VZIREQ02,VZIREQ03,SPARE FOR ML-202,000000000010000004,3000,SP03,,MECH-GBOX,,100.000,EA,2024-11-20T00:00:00,2024-12-09T00:00:00,5644.70,1.000,,4500000045,00010,100.000,true,
2000000046,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ05,SPARE FOR CR-102,000000000010000004,3000,SP03,,MECH-GBOX,,105.000,EA,2025-02-21T00:00:00,2025-03-12T00:00:00,5644.70,1.000,,4500000046,00010,105.000,true,
2000000047,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ05,SPARE FOR FL-310,000000000010000004,3000,SP03,,MECH-GBOX,,116.000,EA,2025-05-08T00:00:00,2025-05-27T00:00:00,5644.70,1.000,,4500000047,00010,116.000,true,
2000000048,00010,NB,,B,2,X,Z02,VZIREQ01,VZIREQ02,SPARE FOR ML-202,000000000010000004,3000,SP03,,MECH-GBOX,,91.000,EA,2025-07-10T00:00:00,2025-07-29T00:00:00,5644.70,1.000,,4500000048,00010,91.000,true,
2000000049,00010,NB,,B,2,X,Z03,VZIREQ05,VZIREQ02,SPARE FOR TH-401,000000000010000004,3000,SP03,,MECH-GBOX,,108.000,EA,2025-10-02T00:00:00,2025-10-21T00:00:00,5644.70,1.000,,4500000049,00010,108.000,true,
2000000050,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ05,SPARE FOR FL-310,000000000010000004,3000,SP03,,MECH-GBOX,,113.000,EA,2026-01-05T00:00:00,2026-01-24T00:00:00,5644.70,1.000,,4500000050,00010,113.000,true,
2000000051,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ01,SPARE FOR ML-202,000000000010000004,3000,SP03,,MECH-GBOX,,100.000,EA,2026-03-16T00:00:00,2026-04-04T00:00:00,5644.70,1.000,,4500000051,00010,100.000,true,
2000000052,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ04,SPARE FOR ML-202,000000000010000004,3000,SP03,,MECH-GBOX,,101.000,EA,2026-07-28T00:00:00,2026-08-16T00:00:00,5644.70,1.000,,4500000052,00010,101.000,true,
2000000053,00010,NB,,B,2,X,Z01,VZIREQ03,VZIREQ01,SPARE FOR CV-501,000000000010000005,1000,SP01,,HYDR-ASSY,,189.000,EA,2024-09-02T00:00:00,2024-11-28T00:00:00,22740.06,1.000,,4500000053,00010,189.000,true,
2000000054,00010,NB,,B,2,X,Z03,VZIREQ02,VZIREQ03,SPARE FOR SC-701,000000000010000005,1000,SP01,,HYDR-ASSY,,200.000,EA,2024-10-27T00:00:00,2025-01-22T00:00:00,22740.06,1.000,,4500000054,00010,200.000,true,
2000000055,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ05,SPARE FOR CR-102,000000000010000005,1000,SP01,,HYDR-ASSY,,169.000,EA,2025-04-20T00:00:00,2025-07-16T00:00:00,22740.06,1.000,,4500000055,00010,169.000,true,
2000000056,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ05,SPARE FOR SC-701,000000000010000005,1000,SP01,,HYDR-ASSY,,177.000,EA,2025-10-12T00:00:00,2026-01-07T00:00:00,22740.06,1.000,,4500000056,00010,177.000,true,
2000000057,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ05,SPARE FOR CR-102,000000000010000005,1000,SP01,,HYDR-ASSY,,181.000,EA,2026-07-10T00:00:00,2026-10-05T00:00:00,22740.06,1.000,,4500000057,00010,181.000,true,
2000000058,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ01,SPARE FOR CR-101,000000000010000006,1000,SP01,,INST-XMTR,,7.000,EA,2024-12-07T00:00:00,2025-07-03T00:00:00,278068.39,1.000,,4500000058,00010,7.000,true,
2000000059,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ03,SPARE FOR PU-611,000000000010000006,1000,SP01,,INST-XMTR,,7.000,EA,2025-12-04T00:00:00,2026-06-30T00:00:00,278068.39,1.000,,4500000059,00010,7.000,true,
2000000060,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ02,SPARE FOR SC-701,000000000010000006,1000,SP01,,INST-XMTR,,7.000,EA,2026-08-02T00:00:00,2027-02-26T00:00:00,278068.39,1.000,,4500000060,00010,7.000,true,
2000000061,00010,NB,,B,2,X,Z03,VZIREQ02,VZIREQ02,SPARE FOR CR-101,000000000010000007,3000,SP03,,INST-XMTR,,15.000,EA,2025-02-11T00:00:00,2025-04-08T00:00:00,142516.10,1.000,,4500000061,00010,15.000,true,
2000000062,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ03,SPARE FOR PU-610,000000000010000007,3000,SP03,,INST-XMTR,,22.000,EA,2025-03-05T00:00:00,2025-04-30T00:00:00,142516.10,1.000,,4500000062,00010,22.000,true,
2000000063,00010,NB,,B,2,X,Z03,VZIREQ03,VZIREQ05,SPARE FOR FA-810,000000000010000007,3000,SP03,,INST-XMTR,,15.000,EA,2025-11-13T00:00:00,2026-01-08T00:00:00,142516.10,1.000,,4500000063,00010,15.000,true,
2000000064,00010,NB,,B,2,X,Z02,VZIREQ04,VZIREQ01,SPARE FOR PU-611,000000000010000007,3000,SP03,,INST-XMTR,,14.000,EA,2026-03-09T00:00:00,2026-05-04T00:00:00,142516.10,1.000,,4500000064,00010,14.000,true,
2000000065,00010,NB,,B,2,X,Z01,VZIREQ03,VZIREQ01,SPARE FOR PU-611,000000000010000007,3000,SP03,,INST-XMTR,,16.000,EA,2026-04-18T00:00:00,2026-06-13T00:00:00,142516.10,1.000,,4500000065,00010,16.000,true,
2000000066,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ05,SPARE FOR FA-810,000000000010000007,3000,SP03,,INST-XMTR,,26.000,EA,2026-07-09T00:00:00,2026-09-03T00:00:00,142516.10,1.000,,4500000066,00010,26.000,true,
2000000067,00010,NB,,B,2,X,Z02,VZIREQ03,VZIREQ01,SPARE FOR TH-401,000000000010000008,4000,SP04,,ELEC-CTRL,,17.000,EA,2024-09-18T00:00:00,2025-04-05T00:00:00,13713.10,1.000,,4500000067,00010,17.000,true,
2000000068,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ01,SPARE FOR CV-501,000000000010000008,4000,SP04,,ELEC-CTRL,,18.000,EA,2025-04-29T00:00:00,2025-11-14T00:00:00,13713.10,1.000,,4500000068,00010,18.000,true,
2000000069,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ05,SPARE FOR CV-502,000000000010000008,4000,SP04,,ELEC-CTRL,,21.000,EA,2025-05-27T00:00:00,2025-12-12T00:00:00,13713.10,1.000,,4500000069,00010,21.000,true,
2000000070,00010,NB,,B,2,X,Z03,VZIREQ02,VZIREQ01,SPARE FOR ML-202,000000000010000008,4000,SP04,,ELEC-CTRL,,18.000,EA,2026-01-17T00:00:00,2026-08-04T00:00:00,13713.10,1.000,,4500000070,00010,18.000,true,
2000000071,00010,NB,,B,2,X,Z03,VZIREQ05,VZIREQ05,SPARE FOR CV-502,000000000080000002,3000,SP03,,INST-XMTR,,10.000,EA,2024-09-24T00:00:00,2024-10-30T00:00:00,383480.69,1.000,,4500000071,00010,10.000,true,
2000000072,00010,NB,,B,2,X,Z03,VZIREQ01,VZIREQ05,SPARE FOR CV-501,000000000080000002,3000,SP03,,INST-XMTR,,6.000,EA,2025-02-22T00:00:00,2025-03-30T00:00:00,383480.69,1.000,,4500000072,00010,6.000,true,
2000000073,00010,NB,,B,2,X,Z03,VZIREQ02,VZIREQ04,SPARE FOR FA-810,000000000080000002,3000,SP03,,INST-XMTR,,7.000,EA,2025-05-20T00:00:00,2025-06-25T00:00:00,383480.69,1.000,,4500000073,00010,7.000,true,
2000000074,00010,NB,,B,2,X,Z03,VZIREQ05,VZIREQ02,SPARE FOR CR-101,000000000080000002,3000,SP03,,INST-XMTR,,8.000,EA,2026-04-22T00:00:00,2026-05-28T00:00:00,383480.69,1.000,,4500000074,00010,8.000,true,
2000000075,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ05,SPARE FOR CV-501,000000000080000002,3000,SP03,,INST-XMTR,,8.000,EA,2026-05-21T00:00:00,2026-06-26T00:00:00,383480.69,1.000,,4500000075,00010,8.000,true,
2000000076,00010,NB,,B,2,X,Z03,VZIREQ02,VZIREQ04,SPARE FOR SC-701,000000000080000003,4000,SP04,,ELEC-MOTR,,16.000,EA,2024-09-01T00:00:00,2024-10-29T00:00:00,69522.97,1.000,,4500000076,00010,16.000,true,
2000000077,00010,NB,,B,2,X,Z02,VZIREQ04,VZIREQ03,SPARE FOR FA-810,000000000080000003,4000,SP04,,ELEC-MOTR,,23.000,EA,2024-10-30T00:00:00,2024-12-27T00:00:00,69522.97,1.000,,4500000077,00010,23.000,true,
2000000078,00010,NB,,B,2,X,Z03,VZIREQ03,VZIREQ03,SPARE FOR TH-401,000000000080000003,4000,SP04,,ELEC-MOTR,,19.000,EA,2026-01-03T00:00:00,2026-03-02T00:00:00,69522.97,1.000,,4500000078,00010,19.000,true,
2000000079,00010,NB,,B,2,X,Z02,VZIREQ03,VZIREQ02,SPARE FOR FL-310,000000000080000003,4000,SP04,,ELEC-MOTR,,19.000,EA,2026-04-17T00:00:00,2026-06-14T00:00:00,69522.97,1.000,,4500000079,00010,19.000,true,
2000000080,00010,NB,,B,2,X,Z02,VZIREQ04,VZIREQ04,SPARE FOR CV-501,000000000080000003,4000,SP04,,ELEC-MOTR,,24.000,EA,2026-05-18T00:00:00,2026-07-15T00:00:00,69522.97,1.000,,4500000080,00010,24.000,true,
2000000081,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ05,SPARE FOR TH-401,000000000010000009,3000,SP03,,ELEC-MOTR,,4.000,EA,2024-09-27T00:00:00,2025-03-22T00:00:00,80878.21,1.000,,4500000081,00010,4.000,true,
2000000082,00010,NB,,B,2,X,Z02,VZIREQ05,VZIREQ04,SPARE FOR PU-610,000000000010000009,3000,SP03,,ELEC-MOTR,,4.000,EA,2024-10-27T00:00:00,2025-04-21T00:00:00,80878.21,1.000,,4500000082,00010,4.000,true,
2000000083,00010,NB,,B,2,X,Z01,VZIREQ03,VZIREQ02,SPARE FOR FL-310,000000000010000009,3000,SP03,,ELEC-MOTR,,4.000,EA,2024-11-13T00:00:00,2025-05-08T00:00:00,80878.21,1.000,,4500000083,00010,4.000,true,
2000000084,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ02,SPARE FOR CR-101,000000000010000009,3000,SP03,,ELEC-MOTR,,4.000,EA,2025-05-10T00:00:00,2025-11-02T00:00:00,80878.21,1.000,,4500000084,00010,4.000,true,
2000000085,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ05,SPARE FOR ML-201,000000000010000009,3000,SP03,,ELEC-MOTR,,4.000,EA,2026-06-02T00:00:00,2026-11-25T00:00:00,80878.21,1.000,,4500000085,00010,4.000,true,
2000000086,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ03,SPARE FOR ML-202,000000000010000011,4000,SP04,,ELEC-CTRL,,175.000,EA,2024-12-06T00:00:00,2024-12-18T00:00:00,11086.78,1.000,,4500000086,00010,175.000,true,
2000000087,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ04,SPARE FOR SC-701,000000000010000011,4000,SP04,,ELEC-CTRL,,147.000,EA,2025-04-09T00:00:00,2025-04-21T00:00:00,11086.78,1.000,,4500000087,00010,147.000,true,
2000000088,00010,NB,,B,2,X,Z03,VZIREQ01,VZIREQ02,SPARE FOR PU-610,000000000010000011,4000,SP04,,ELEC-CTRL,,148.000,EA,2025-07-19T00:00:00,2025-07-31T00:00:00,11086.78,1.000,,4500000088,00010,148.000,true,
2000000089,00010,NB,,B,2,X,Z01,VZIREQ05,VZIREQ01,SPARE FOR CV-501,000000000010000011,4000,SP04,,ELEC-CTRL,,151.000,EA,2025-11-08T00:00:00,2025-11-20T00:00:00,11086.78,1.000,,4500000089,00010,151.000,true,
2000000090,00010,NB,,B,2,X,Z01,VZIREQ03,VZIREQ01,SPARE FOR FL-310,000000000010000011,4000,SP04,,ELEC-CTRL,,156.000,EA,2026-03-09T00:00:00,2026-03-21T00:00:00,11086.78,1.000,,4500000090,00010,156.000,true,
2000000091,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ04,SPARE FOR FA-810,000000000010000011,4000,SP04,,ELEC-CTRL,,148.000,EA,2026-08-26T00:00:00,2026-09-07T00:00:00,11086.78,1.000,,4500000091,00010,148.000,true,
2000000092,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ03,SPARE FOR PU-611,000000000010000012,3000,SP03,,MECH-SEAL,,2.000,EA,2025-08-24T00:00:00,2025-10-07T00:00:00,11526.72,1.000,,4500000092,00010,2.000,true,
2000000093,00010,NB,,B,2,X,Z01,VZIREQ05,VZIREQ03,SPARE FOR CR-101,000000000010000012,3000,SP03,,MECH-SEAL,,3.000,EA,2025-10-18T00:00:00,2025-12-01T00:00:00,11526.72,1.000,,4500000093,00010,3.000,true,
2000000094,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ05,SPARE FOR PU-610,000000000010000012,3000,SP03,,MECH-SEAL,,4.000,EA,2025-11-04T00:00:00,2025-12-18T00:00:00,11526.72,1.000,,4500000094,00010,4.000,true,
2000000095,00010,NB,,B,2,X,Z01,VZIREQ05,VZIREQ04,SPARE FOR TH-401,000000000010000012,3000,SP03,,MECH-SEAL,,2.000,EA,2026-05-11T00:00:00,2026-06-24T00:00:00,11526.72,1.000,,4500000095,00010,2.000,true,
2000000096,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ02,SPARE FOR PU-610,000000000010000012,3000,SP03,,MECH-SEAL,,3.000,EA,2026-07-10T00:00:00,2026-08-23T00:00:00,11526.72,1.000,,4500000096,00010,3.000,true,
2000000097,00010,NB,,B,2,X,Z01,VZIREQ05,VZIREQ04,SPARE FOR TH-401,000000000010000012,3000,SP03,,MECH-SEAL,,3.000,EA,2026-08-19T00:00:00,2026-10-02T00:00:00,11526.72,1.000,,4500000097,00010,3.000,true,
2000000098,00010,NB,,B,2,X,Z02,VZIREQ04,VZIREQ05,SPARE FOR PU-611,000000000010000012,2000,SP02,,MECH-SEAL,,5.000,EA,2024-10-08T00:00:00,2024-11-21T00:00:00,11526.72,1.000,,4500000098,00010,5.000,true,
2000000099,00010,NB,,B,2,X,Z03,VZIREQ05,VZIREQ02,SPARE FOR CR-101,000000000010000012,2000,SP02,,MECH-SEAL,,5.000,EA,2025-03-04T00:00:00,2025-04-17T00:00:00,11526.72,1.000,,4500000099,00010,5.000,true,
2000000100,00010,NB,,B,2,X,Z03,VZIREQ01,VZIREQ03,SPARE FOR SC-701,000000000010000012,2000,SP02,,MECH-SEAL,,4.000,EA,2026-02-01T00:00:00,2026-03-17T00:00:00,11526.72,1.000,,4500000100,00010,4.000,true,
2000000101,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ04,SPARE FOR CV-502,000000000010000012,2000,SP02,,MECH-SEAL,,5.000,EA,2026-06-21T00:00:00,2026-08-04T00:00:00,11526.72,1.000,,4500000101,00010,5.000,true,
2000000102,00010,NB,,B,2,X,Z03,VZIREQ02,VZIREQ02,SPARE FOR FA-810,000000000010000012,2000,SP02,,MECH-SEAL,,8.000,EA,2026-07-04T00:00:00,2026-08-17T00:00:00,11526.72,1.000,,4500000102,00010,8.000,true,
