Objectclas,Objectid,Changenr,Username,Udate,Utime,Tcode
MATERIAL,000000000010000517,0001000154,VZIINV01,2026-08-30T00:00:00,12:45:00,MM02
MATERIAL,000000000010000522,0001000155,VZIINV02,2026-07-10T00:00:00,11:11:00,MM02
MATERIAL,000000000030000109,0001000156,VZIINV02,2026-08-01T00:00:00,15:25:00,MM02
MATERIAL,000000000010000529,0001000157,VZIINV01,2026-06-04T00:00:00,15:53:00,MM02
MATERIAL,000000000010000541,0001000158,VZIINV01,2026-06-15T00:00:00,08:11:00,MM02
MATERIAL,000000000010000543,0001000159,VZIINV01,2026-07-25T00:00:00,15:42:00,MM02
MATERIAL,000000000010000544,0001000160,VZIINV01,2026-06-12T00:00:00,12:32:00,MM02
MATERIAL,000000000010000559,0001000161,VZIINV01,2026-07-05T00:00:00,08:33:00,MM02
MATERIAL,000000000010000560,0001000162,VZIINV01,2026-06-14T00:00:00,15:42:00,MM02
MATERIAL,000000000080000122,0001000163,VZIINV02,2026-08-12T00:00:00,14:00:00,MM02
MATERIAL,000000000080000123,0001000164,VZIINV01,2026-05-13T00:00:00,12:22:00,MM02
MATERIAL,000000000010000564,0001000165,VZIINV02,2026-08-13T00:00:00,08:36:00,MM02
MATERIAL,000000000010000566,0001000166,VZIINV02,2026-06-06T00:00:00,08:17:00,MM02
MATERIAL,000000000080000128,0001000167,VZIINV01,2026-08-24T00:00:00,07:27:00,MM02
MATERIAL,000000000080000129,0001000168,VZIINV01,2026-06-30T00:00:00,17:00:00,MM02
MATERIAL,000000000010000571,0001000169,VZIINV02,2026-07-19T00:00:00,16:52:00,MM02
MATERIAL,000000000080000130,0001000170,VZIINV01,2026-08-22T00:00:00,11:14:00,MM02
MATERIAL,000000000010000581,0001000171,VZIINV02,2026-06-11T00:00:00,14:43:00,MM02
MATERIAL,000000000010000586,0001000172,VZIINV02,2026-06-16T00:00:00,16:12:00,MM02
MATERIAL,000000000080000136,0001000173,VZIINV01,2026-06-21T00:00:00,07:46:00,MM02
MATERIAL,000000000010000601,0001000174,VZIINV01,2026-08-24T00:00:00,12:05:00,MM02
MATERIAL,000000000010000603,0001000175,VZIINV01,2026-07-21T00:00:00,10:56:00,MM02
MATERIAL,000000000010000603,0001000176,VZIINV01,2026-06-20T00:00:00,15:59:00,MM02
MATERIAL,000000000010000605,0001000177,VZIINV02,2026-07-14T00:00:00,14:26:00,MM02
MATERIAL,000000000010000607,0001000178,VZIINV01,2026-06-05T00:00:00,10:55:00,MM02
MATERIAL,000000000010000610,0001000179,VZIINV01,2026-07-03T00:00:00,12:24:00,MM02
MATERIAL,000000000010000613,0001000180,VZIINV02,2026-09-01T00:00:00,14:37:00,MM02
MATERIAL,000000000010000614,0001000181,VZIINV01,2026-08-02T00:00:00,07:05:00,MM02
MATERIAL,000000000010000618,0001000182,VZIINV02,2026-09-07T00:00:00,08:28:00,MM02
MATERIAL,000000000010000618,0001000183,VZIINV02,2026-06-21T00:00:00,11:30:00,MM02
MATERIAL,000000000010000619,0001000184,VZIINV02,2026-07-13T00:00:00,13:07:00,MM02
MATERIAL,000000000080000146,0001000185,VZIINV02,2026-05-25T00:00:00,11:00:00,MM02
MATERIAL,000000000080000148,0001000186,VZIINV02,2026-06-18T00:00:00,08:18:00,MM02
MATERIAL,000000000030000142,0001000187,VZIINV02,2026-05-27T00:00:00,15:30:00,MM02
MATERIAL,000000000030000142,0001000188,VZIINV02,2026-08-13T00:00:00,10:57:00,MM02
MATERIAL,000000000010000638,0001000189,VZIINV01,2026-08-14T00:00:00,10:25:00,MM02
MATERIAL,000000000010000641,0001000190,VZIINV02,2026-05-30T00:00:00,10:14:00,MM02
MATERIAL,000000000010000645,0001000191,VZIINV01,2026-08-17T00:00:00,15:06:00,MM02
MATERIAL,000000000030000146,0001000192,VZIINV01,2026-09-04T00:00:00,08:22:00,MM02
MATERIAL,000000000010000647,0001000193,VZIINV02,2026-05-31T00:00:00,10:07:00,MM02
MATERIAL,000000000010000653,0001000194,VZIINV02,2026-08-21T00:00:00,15:35:00,MM02
MATERIAL,000000000010000657,0001000195,VZIINV02,2026-07-07T00:00:00,11:31:00,MM02
MATERIAL,000000000010000658,0001000196,VZIINV01,2026-07-04T00:00:00,15:00:00,MM02
MATERIAL,000000000010000661,0001000197,VZIINV02,2026-09-07T00:00:00,07:12:00,MM02
MATERIAL,000000000010000663,0001000198,VZIINV01,2026-06-01T00:00:00,07:39:00,MM02
MATERIAL,000000000010000667,0001000199,VZIINV01,2026-07-28T00:00:00,08:39:00,MM02
MATERIAL,000000000010000668,0001000200,VZIINV02,2026-05-30T00:00:00,08:16:00,MM02
MATERIAL,000000000030000151,0001000201,VZIINV01,2026-05-23T00:00:00,16:55:00,MM02
MATERIAL,000000000010000672,0001000202,VZIINV01,2026-07-08T00:00:00,16:47:00,MM02
MATERIAL,000000000010000676,0001000203,VZIINV01,2026-08-08T00:00:00,11:53:00,MM02
MATERIAL,000000000030000153,0001000204,VZIINV02,2026-09-07T00:00:00,12:33:00,MM02
MATERIAL,000000000010000683,0001000205,VZIINV01,2026-08-02T00:00:00,14:32:00,MM02
MATERIAL,000000000030000155,0001000206,VZIINV01,2026-08-04T00:00:00,16:52:00,MM02
MATERIAL,000000000030000155,0001000207,VZIINV01,2026-08-06T00:00:00,12:02:00,MM02
MATERIAL,000000000080000162,0001000208,VZIINV02,2026-07-28T00:00:00,09:29:00,MM02
MATERIAL,000000000080000164,0001000209,VZIINV01,2026-07-15T00:00:00,17:29:00,MM02
MATERIAL,000000000080000166,0001000210,VZIINV02,2026-06-24T00:00:00,12:05:00,MM02
MATERIAL,000000000010000691,0001000211,VZIINV01,2026-07-01T00:00:00,11:35:00,MM02
MATERIAL,000000000010000694,0001000212,VZIINV02,2026-08-20T00:00:00,14:45:00,MM02
MATERIAL,000000000010000695,0001000213,VZIINV02,2026-09-07T00:00:00,10:46:00,MM02
MATERIAL,000000000010000695,0001000214,VZIINV02,2026-07-07T00:00:00,15:01:00,MM02
MATERIAL,000000000030000158,0001000215,VZIINV01,2026-08-19T00:00:00,13:13:00,MM02
MATERIAL,000000000010000696,0001000216,VZIINV02,2026-08-28T00:00:00,11:30:00,MM02
MATERIAL,000000000010000699,0001000217,VZIINV02,2026-08-23T00:00:00,07:23:00,MM02
MATERIAL,000000000010000703,0001000218,VZIINV02,2026-07-25T00:00:00,13:09:00,MM02
MATERIAL,000000000010000704,0001000219,VZIINV02,2026-06-12T00:00:00,10:28:00,MM02
MATERIAL,000000000080000168,0001000220,VZIINV02,2026-08-22T00:00:00,08:30:00,MM02
MATERIAL,000000000010000706,0001000221,VZIINV02,2026-07-26T00:00:00,09:21:00,MM02
MATERIAL,000000000010000712,0001000222,VZIINV02,2026-08-09T00:00:00,08:07:00,MM02
MATERIAL,000000000010000716,0001000223,VZIINV01,2026-08-17T00:00:00,13:16:00,MM02
MATERIAL,000000000010000720,0001000224,VZIINV01,2026-06-21T00:00:00,15:04:00,MM02
MATERIAL,000000000010000721,0001000225,VZIINV01,2026-06-11T00:00:00,15:17:00,MM02
MATERIAL,000000000030000161,0001000226,VZIINV01,2026-07-12T00:00:00,09:05:00,MM02
MATERIAL,000000000080000170,0001000227,VZIINV02,2026-08-09T00:00:00,13:05:00,MM02
MATERIAL,000000000010000731,0001000228,VZIINV01,2026-07-29T00:00:00,16:50:00,MM02
MATERIAL,000000000010000732,0001000229,VZIINV01,2026-07-23T00:00:00,14:43:00,MM02
MATERIAL,000000000010000736,0001000230,VZIINV01,2026-08-08T00:00:00,13:05:00,MM02
MATERIAL,000000000010000737,0001000231,VZIINV02,2026-06-10T00:00:00,09:45:00,MM02
MATERIAL,000000000080000172,0001000232,VZIINV01,2026-06-02T00:00:00,07:43:00,MM02
MATERIAL,000000000010000739,0001000233,VZIINV02,2026-08-03T00:00:00,12:40:00,MM02
MATERIAL,000000000010000740,0001000234,VZIINV01,2026-06-19T00:00:00,08:45:00,MM02
MATERIAL,000000000010000741,0001000235,VZIINV02,2026-09-07T00:00:00,17:14:00,MM02
MATERIAL,000000000080000174,0001000236,VZIINV02,2026-08-21T00:00:00,10:43:00,MM02
MATERIAL,000000000010000747,0001000237,VZIINV02,2026-05-17T00:00:00,13:45:00,MM02
MATERIAL,000000000030000168,0001000238,VZIINV02,2026-08-12T00:00:00,16:39:00,MM02
MATERIAL,000000000030000169,0001000239,VZIINV01,2026-05-23T00:00:00,14:28:00,MM02
MATERIAL,000000000030000171,0001000240,VZIINV01,2026-08-19T00:00:00,11:13:00,MM02
MATERIAL,000000000010000764,0001000241,VZIINV01,2026-09-05T00:00:00,15:06:00,MM02
MATERIAL,000000000010000765,0001000242,VZIINV01,2026-07-01T00:00:00,11:49:00,MM02
MATERIAL,000000000010000769,0001000243,VZIINV01,2026-07-05T00:00:00,08:20:00,MM02
MATERIAL,000000000010000779,0001000244,VZIINV01,2026-07-05T00:00:00,14:35:00,MM02
MATERIAL,000000000010000782,0001000245,VZIINV02,2026-08-06T00:00:00,13:35:00,MM02
MATERIAL,000000000010000787,0001000246,VZIINV02,2026-08-09T00:00:00,10:31:00,MM02
MATERIAL,000000000010000791,0001000247,VZIINV02,2026-07-12T00:00:00,11:12:00,MM02
MATERIAL,000000000010000798,0001000248,VZIINV01,2026-07-03T00:00:00,08:16:00,MM02
MATERIAL,000000000010000809,0001000249,VZIINV01,2026-07-18T00:00:00,11:25:00,MM02
MATERIAL,000000000010000810,0001000250,VZIINV01,2026-05-28T00:00:00,07:39:00,MM02
MATERIAL,000000000010000816,0001000251,VZIINV02,2026-06-25T00:00:00,16:44:00,MM02
MATERIAL,000000000010000817,0001000252,VZIINV02,2026-08-09T00:00:00,09:21:00,MM02
MATERIAL,000000000030000186,0001000253,VZIINV02,2026-05-23T00:00:00,08:45:00,MM02
MATERIAL,000000000010000821,0001000254,VZIINV01,2026-07-10T00:00:00,08:39:00,MM02
MATERIAL,000000000010000824,0001000255,VZIINV02,2026-05-27T00:00:00,08:26:00,MM02
MATERIAL,000000000010000826,0001000256,VZIINV02,2026-08-08T00:00:00,09:39:00,MM02
MATERIAL,000000000010000829,0001000257,VZIINV01,2026-08-02T00:00:00,13:33:00,MM02
MATERIAL,000000000010000830,0001000258,VZIINV02,2026-06-25T00:00:00,14:41:00,MM02
MATERIAL,000000000010000832,0001000259,VZIINV02,2026-05-29T00:00:00,17:29:00,MM02
MATERIAL,000000000010000833,0001000260,VZIINV01,2026-08-04T00:00:00,17:58:00,MM02
MATERIAL,000000000010000835,0001000261,VZIINV01,2026-08-06T00:00:00,10:34:00,MM02
MATERIAL,000000000010000838,0001000262,VZIINV02,2026-05-25T00:00:00,11:29:00,MM02
MATERIAL,000000000010000840,0001000263,VZIINV01,2026-06-03T00:00:00,13:32:00,MM02
MATERIAL,000000000030000193,0001000264,VZIINV02,2026-07-19T00:00:00,10:57:00,MM02
MATERIAL,000000000010000845,0001000265,VZIINV01,2026-07-12T00:00:00,10:37:00,MM02
MATERIAL,000000000010000851,0001000266,VZIINV02,2026-06-23T00:00:00,16:40:00,MM02
MATERIAL,000000000010000854,0001000267,VZIINV01,2026-07-04T00:00:00,16:21:00,MM02
MATERIAL,000000000010000855,0001000268,VZIINV01,2026-07-10T00:00:00,15:31:00,MM02
MATERIAL,000000000010000859,0001000269,VZIINV01,2026-06-13T00:00:00,08:59:00,MM02
MATERIAL,000000000030000196,0001000270,VZIINV01,2026-06-19T00:00:00,09:21:00,MM02
MATERIAL,000000000010000867,0001000271,VZIINV02,2026-08-21T00:00:00,17:58:00,MM02
MATERIAL,000000000010000868,0001000272,VZIINV01,2026-05-25T00:00:00,16:32:00,MM02
MATERIAL,000000000080000200,0001000273,VZIINV02,2026-06-29T00:00:00,12:04:00,MM02
MATERIAL,000000000010000873,0001000274,VZIINV02,2026-09-04T00:00:00,15:28:00,MM02
MATERIAL,000000000030000199,0001000275,VZIINV01,2026-07-29T00:00:00,07:08:00,MM02
MATERIAL,000000000010000875,0001000276,VZIINV01,2026-08-20T00:00:00,16:17:00,MM02
MATERIAL,000000000010000879,0001000277,VZIINV01,2026-06-12T00:00:00,12:17:00,MM02
MATERIAL,000000000010000881,0001000278,VZIINV01,2026-07-30T00:00:00,13:56:00,MM02
MATERIAL,000000000010000882,0001000279,VZIINV01,2026-07-24T00:00:00,11:39:00,MM02
MATERIAL,000000000080000204,0001000280,VZIINV01,2026-07-10T00:00:00,08:06:00,MM02
MATERIAL,000000000010000887,0001000281,VZIINV02,2026-06-08T00:00:00,15:49:00,MM02
MATERIAL,000000000010000891,0001000282,VZIINV01,2026-09-07T00:00:00,14:14:00,MM02
MATERIAL,000000000010000892,0001000283,VZIINV01,2026-06-11T00:00:00,10:57:00,MM02
